001_00	HA meem.
041_00	De som förnekar sanningen i denna Påminnelse när den når dem [har ett fruktansvärt straff att vänta]. Den är en Skrift [som övertygar] med väldig kraft;
042_00	ingen lögn kan komma vid den vare sig öppet eller på hemliga vägar! Nej, den uppenbaras av en allvis Gud, som allt lov och pris tillkommer.
043_00	Vad de säger till dig [Muhammad] är ingenting annat än det som har sagts till de profeter som gick före dig. Din Herre är Den som ger full förlåtelse, men också Den som straffar med ett plågsamt straff.
044_00	Om Vi hade uppenbarat denna Koran på ett annat språk än arabiska, skulle de [som nu avvisar den] helt säkert ha sagt: "Varför har inte dess verser fått en fast och klar avfattning?
044_01	[Budskap på] ett främmande språk! Och [budbäraren] arab!" Säg: "Denna [Skrift] ger alla som vill tro vägledning och bot [mot tvivel och okunnighet]; men för dem som inte vill tro har öronen täppts till och den känns som [en dimma] av blindhet [och elände] - [Koranen blir] för dem [bara] ett rop i ett långt avlägset fjärran.
045_00	Och Vi gav Moses Skriften, men olika meningar uppstod [bland människorna] om dess innebörd; och om inte din Herre hade beslutat [om uppskov] skulle allt [genast] ha varit avgjort mellan dem. Men [som det nu är] fortsätter de att omge [uppenbarelsen] med sina tvivel och misstankar.
046_00	DEN SOM handlar rättrådigt har själv gott av det, och den som gör orätt vållar sig själv skada; deras Herre vill inte Sina tjänare ont.
047_00	Han ensam har kunskapen om den Yttersta stundens ankomst; ingen frukt tränger fram ur sitt hölje och ingen varelse av honkön blir havande, inte heller föder hon, utan Hans vetskap.
047_01	Den Dag då Han skall fråga [avgudadyrkarna]: "Var är [nu] Mina medgudar?" - kommer de att svara: "Vi måste erkänna att ingen av oss kan vittna [att de finns]."
048_00	Det som de förut brukat åkalla har då övergett dem, och de har förstått att det inte finns någon plats dit de kan fly.
049_00	MÄNNISKAN förtröttas inte att be om goda ting, men när hon drabbas av ett ont tappar hon modet och misströstar [om Guds nåd].
050_00	Men om Vi förbarmar Oss över henne sedan hon haft att kämpa med svårigheter, säger hon helt säkert: "Detta är vad som tillkommer mig och den Yttersta stunden tror jag aldrig skall komma; men [om den kommer och] jag förs åter till
050_01	min Herre, kan jag helt visst vänta mig att Han skall skänka mig det högsta goda!" Förvisso skall Vi låta dem som förnekade [Uppståndelsens] sanning få veta vad deras handlingar [var värda] och Vi skall låta dem pröva på ett tungt straff.
051_00	När Vi ger människan del av Våra välsignelser vänder hon Oss ryggen och drar sig undan, men om något ont drabbar henne, förlorar hon sig i ändlösa böner.
052_00	SÄG [till dem som sätter andra gudar vid Guds sida]: "Vad tror ni? Om [Koranen] verkligen är från Gud - vilket ni förnekar - vem begår då ett större fel än den som tar avstånd [från uppenbarelsen] och sätter sig upp emot dess [budskap]?"
053_00	Vi skall visa dem Våra tecken vid horisonten och inom dem själva, ända till dess [uppenbarelsens] sanning står klar för dem! Är det inte nog för dem [att veta] att din Herre är vittne till allt som sker?
054_00	Men [ännu] är de osäkra om de skall möta sin Herre [och således uppleva uppståndelse, räkenskap och dom]! Har Han då inte full uppsikt över allt?
