001_00	Saad.
024_00	[David] sade: "Utan tvivel har han gjort dig orätt när han krävde att få din tacka utöver dem han redan hade! Många människor som har
024_01	gemensamma intressen gör sig skyldiga till [sådana] övergrepp mot varandra, utom de som tror och lever ett rättskaffens liv, men de är ett fåtal." Nu
024_02	förstod David att Vi hade velat sätta honom på prov, och han bad sin Herre om förlåtelse och föll ned på sitt ansikte i bön och ånger.
025_00	Och Vi förlät honom detta [fel] och Vi har berett honom en hedersam plats i Vår närhet och en lycklig återkomst.
026_00	[Och Vi sade:] "David! Vi har gett dig makt och myndighet på jorden.
026_01	Döm därför mellan människor med sanning och rättvisa och låt dig inte påverkas av känslor [för eller emot en part]; då kan du lockas att överge Guds väg. Och ett strängt straff väntar dem som avviker från Guds väg och glömmer Räkenskapens dag."
027_00	VI HAR inte skapat himlen och jorden och allt som är emellan dem i blindo, såsom de som förnekar sanningen förmodar. Olyckliga de som förnekar sanningen! Elden är deras mål!
028_00	Eller skulle Vi behandla dem som tror och lever rättskaffens på samma sätt som dem som stör ordningen på jorden och sprider sedefördärv? Skulle Vi behandla de gudfruktiga på samma sätt som dem som har sjunkit djupt i synd?
029_00	Detta är en välsignad Skrift som Vi har uppenbarat för dig, [Muhammad]. Människorna bör tänka över dess budskap och lägga dem på minnet, om de har förstånd.
030_00	OCH VI skänkte David [sonen] Salomo - en verklig [Guds] tjänare! Han vände alltid tillbaka till Oss med ångerfullt sinne.
031_00	Och då man vid dagens slut förde fram hans rashästar till honom,
032_00	sade han: "Jag har fattat sådan kärlek till detta [jordiska] goda att jag glömmer [att åkalla] min Herre!" - [och medan hästarna travade förbi upprepade han detta] till dess de försvann bakom en slöja [av damm; och han befallde:]
033_00	"För dem tillbaka till mig!" Och då [de åter fördes fram till honom] strök han dem [med handen] över ben och manke.
034_00	Och för att pröva Salomo satte Vi en [livlös] kropp på hans tron. Då [förstod han] och vände ångerfull tillbaka till Oss
035_00	[och] sade: "Herre! Förlåt mig [mina fel] och skänk mig sådan makt som ingen efter mig kommer att kunna utöva! - Du är den store Givaren."
036_00	Och Vi lät vinden tjäna Salomo - den blåste på hans befallning vart han ville -
037_00	och demonerna [gjorde Vi likaså till hans tjänare] - några arbetade med byggenskap, andra som pärlfiskare,
038_00	och andra [upproriska] var slagna i bojor.
039_00	[Och Vi sade:] "Detta är Våra gåvor; du kan ge dem [åt andra] eller behålla dem! Du kommer inte att avkrävas räkenskap."
040_00	Och Vi har berett honom en hedersam plats i Vår närhet och en lycklig återkomst.
041_00	OCH MINNS Vår tjänare Job, hur han ropade till sin Herre: "Djävulen har plågat mig svårt och mina krafter är slut!"
042_00	[Och Vi sade:] "Stampa i marken med din fot! Där finns friskt vatten så att du kan tvätta dig och dricka."
043_00	Och Vi gav honom tillbaka [dem som Vi hade tagit från honom av] hans familj och fördubblade deras antal som en särskild nåd från Oss och som en påminnelse till dem som har förstånd.
044_00	[Och Vi sade:] "Tag en näve [gräs] och slå med den och bryt inte din ed!" - Vi såg hans uthållighet och tålamod, en sann [Guds] tjänare! Han vände alltid tillbaka till Oss med ångerfullt sinne.
045_00	OCH MINNS Våra tjänare Abraham och Isak och Jakob, starka i anden och klarsynta.
046_00	Vi gav dem - en särskild nåd - ett sinne helt inriktat på evigheten
047_00	och deras plats hos Oss är bland de utvalda, de främsta.
048_00	Och minns Ismael och Elisa och Dhu'l-Kifl; de hörde alla till de främsta
049_00	[OM ALLT] detta har [Vi] nämnt för att hedra deras minne. Och för de gudfruktiga har Vi [berett] en lycklig återkomst:
050_00	Edens lustgårdar, vars portar står öppna på vid gavel för dem,
051_00	och där skall de vila, lutade [mot mjuka kuddar], och allt de kan önska av olika slags frukter och drycker skall bäras fram;
052_00	och hos dem skall vara oskuldsfulla kvinnor, med blygt sänkta blickar, evigt unga som de själva.
053_00	Detta är vad som lovas er till Räkenskapens dag
054_00	[och förråden] ur vilka Vi skall försörja er med allt detta är outtömliga.
055_00	Detta [om de rättfärdiga]. Men de som överskred alla gränser i sin orättfärdighet skall få en dyster återkomst;
056_00	de skall bli lågornas rov i helvetet - detta det vedervärdigaste av vilorum!
057_00	Detta [måste de utstå] och de skall få brännhett vatten [att dricka] och omges av isande mörker
058_00	och annat [lidande] av motsvarande slag.
059_00	[Helvetets väktare skall säga:] "Här kommer en hop människor instörtande i hälarna på er." [Men de som ledde andra vilse och först gick in i Elden skall säga:] "Hälsa dem inte välkomna! De skall också brinna i helvetets lågor!"
060_00	[Efterföljarna] svarar: "Det är ni som inte skall hälsas välkomna! Ni har dragit oss med er ned hit - detta jämmerliga tillhåll!"
061_00	Och de fortsätter: "Herre! Ge dem som drog oss med sig in i detta ett dubbelt straff i Elden!"
062_00	Och [ledarna] skall säga: "Hur kommer det sig att vi inte ser någon av dem som vi betraktade som eländiga stackare
063_00	och alltid gjorde narr av? Eller har vi sett fel?"
064_00	Detta är sanningen om hur de kommer att tvista och träta i Elden.
065_00	SÄG [Muhammad:] "Jag är ingenting mer än en varnare - det finns ingen gud utom Gud, den Ende, Han som härskar över allt med oinskränkt makt,
066_00	Herren över himlarna och jorden och allt som finns däremellan, den Allsmäktige, Den som förlåter och förlåter på nytt."
067_00	Säg: "Detta är ett budskap av största vikt -
068_00	och ni vänder det ryggen!"
069_00	[Säg:] "Jag hade ingen kunskap om de motsatta meningar som rådde inom den höga församlingen -
070_00	men det har uppenbarats för mig för att jag skall ge [er] en klar och entydig varning." -
071_00	Din Herre sade till änglarna: "Jag vill skapa en människa av lera.
072_00	När Jag har format henne och andats in i henne något av Min ande, fall då ned [alla] på era ansikten inför henne!"
073_00	Därpå föll änglarna ned på sina ansikten, alla
074_00	utom Iblees som [vägrade] av högmod och blev en av dem som förnekar sanningen.
075_00	[Gud] sade: "Iblees! Vad avhöll dig från att falla ned inför den som Jag har skapat med Mina händer? Tog ditt högmod överhanden eller var du [alltid] en av dem som anser sig förmer än andra?"
076_00	[Iblees] svarade: "Jag är bättre än han; mig har Du skapat av eld - honom skapade Du av lera."
077_00	[Gud] sade: "Bort härifrån! Utstött skall du vara
078_00	och Min förbannelse skall [följa] dig till Domens dag!"
079_00	[Iblees] sade: "Herre! Bevilja mig en frist till den Dag då [människorna] skall uppväckas från de döda!"
080_00	[Gud] svarade: "Du skall vara bland dem som beviljas en frist
081_00	till den Dag vars ankomst är känd [bara av Mig]."
082_00	[Iblees] sade: "Jag svär vid Din Allmakt att jag skall leda dem alla vilse
083_00	utom [sådana] bland dem som är Dina sant hängivna tjänare!"
084_00	[Gud] sade: "Detta är sanningen - och, vid Mitt sanna ord, -
085_00	Jag skall fylla helvetet med dig och de människor som följer dig, alla tillsammans!"
086_00	SÄG [Muhammad:] "Jag begär ingen lön av er för detta [budskap] och jag är inte en av dem som ger sig ut för att vara vad de inte är.
087_00	Denna [Skrift] är ingenting mindre än en påminnelse till alla folk;
088_00	innan lång tid har gått, kommer ni helt säkert att inse dess sanning."
