001_00	Alif lam meem.
025_01	därifrån skall de säga: "Detta är vad vi försågs med i forna dagar" - de kommer nämligen att få sådant som påminner om det
025_02	[förgångna]. Och [deras] hustrur skall vara med dem i dessa [lustgårdar], renade från [all jordisk] orenlighet, och där skall de förbli till evig tid.
026_00	Gud tvekar inte att framställa en liknelse om en mygga eller något ännu oansenligare.
026_01	De troende vet att dessa [liknelser] är sanningen, [uppenbarad] av deras Herre, men de som inte vill tro säger: "Vad kan Gud ha velat säga med denna liknelse?" Därmed leder Han många vilse och ger även vägledning åt många; men Han leder ingen vilse utom dem som förhärdats i synd,
027_00	som bryter förbundet med Gud, stadfäst [i människans natur], och som åtskiljer vad Gud befallt skall vara sammanfogat och som stör ordningen och sprider sedefördärv på jorden. Dessa är förlorarna.
028_00	Hur kan ni förneka Gud? Då ni var döda gav Han er livets gåva; efter detta skall Han låta er dö, och därefter skall Han låta er uppstå till nytt liv, och till Honom skall ni föras åter.
029_00	Det är Han som för er har skapat allt vad jorden bär och som, vänd mot himlavalvet, formade det till sju himlar. Han har kunskap om allt.
030_00	OCH SE, din Herre sade till änglarna: "Jag skall tillsätta en ställföreträdare på jorden." [Änglarna] sade: "Skall Du tillsätta någon som stör ordningen där och sprider sedefördärv
030_01	och [till och med] utgjuter blod, medan det är vi som sjunger Ditt lov och prisar Ditt heliga namn?" [Gud] svarade: "Jag vet vad ni inte vet."
031_00	Och Han gav Adam kunskap om alla tings namn; sedan visade Han dem för änglarna och sade: "Nämn deras namn för Mig, om det är så som ni har sagt."
032_00	De svarade: "Stor är Du i Din härlighet! Vi äger ingen annan kunskap än den som Du har gett oss; Du är den Allvetande, den Allvise."
033_00	[Då] sade Han: "Adam!
033_01	Nämn deras namn för dem." Och när [Adam] hade nämnt namnen för dem, sade [Gud]: "Jag sade er ju att Jag känner allt som är dolt i himlarna och på jorden och att Jag vet vad ni kan säga öppet och vad ni håller hemligt."
034_00	Och när Vi befallde änglarna att falla ned på sina ansikten inför Adam föll de ned utom Iblees som vägrade, full av högmod, och blev en av dem som förnekar sanningen.
035_00	Och Vi sade: "Adam! Tag, du och din hustru, er boning i denna lustgård och ät som ni har lust till av dess [frukter]; men närma er inte detta träd; då kan ni hemfalla åt synd!"
036_00	Men Djävulen kom dem att överträda detta [förbud] och orsakade så deras fall. Och Vi sade: "Bort, alla, härifrån!
036_01	Fiender skall ni vara inbördes! Under en tid skall ni ha er boning och ert uppehälle på jorden."
037_00	[Sedan] nåddes Adam av ord från sin Herre och Han tog emot [Adams] ånger - Han är Den som går den ångerfulle till mötes, den Barmhärtige.
038_00	Ja, Vi sade: "Bort, alla, härifrån! Men vägledning skall helt visst komma er till del, och de som följer Min vägledning skall inte känna fruktan och ingen sorg skall tynga dem.
039_00	Men de som förnekar sanningen och påstår att Våra budskap är lögn har Elden till arvedel, och där skall de förbli till evig tid."
040_00	ISRAELITER! Minns Mina välgärningar mot er och uppfyll ert löfte till mig, så skall Jag uppfylla Mitt löfte till er. Och stå i bävan inför Mig!
041_00	Tro på vad Jag [nu] har uppenbarat med bekräftelse av de [uppenbarelser] som ni [tidigare] fick ta emot och gå inte i spetsen för dem som förnekar sanningen. Sälj inte Mina budskap för en ynklig slant. Och frukta Mig!
042_00	Klä inte ut det sanna med lögn och göm inte undan sanningen mot bättre vetande.
043_00	Förrätta bönen och ge åt de behövande och böj era huvuden med de andra som böjer sina huvuden [i bön].
044_00	Uppmanar ni andra till fromhet medan ni själva glömmer era [plikter], och samtidigt läser ni Skriften? Vill ni inte använda ert förstånd
045_00	Sök med tålamod [Guds] hjälp i bönen! Det är förvisso en svår [väg] utom för de ödmjuka,
046_00	de som vet att de är kallade att möta sin Herre, att de skall återvända till Honom.
047_00	Israeliter! Minns Mina välgärningar mot er och hur Jag visade er sådan nåd som Jag inte har visat något annat folk.
048_00	Och frukta den Dag då ingen kan gottgöra vad en annan har brutit, då alla förböner kommer att avvisas och ingen lösen skall tas emot och ingen hjälp skall ges.
049_00	Och [minns] att Vi befriade er från Faraos män, som tillfogade er svåra lidanden, dödade era söner
049_01	och [enbart] skonade era kvinnor - detta var en tung prövning som er Herre lade på er -
050_00	och [minns] hur Vi klöv havet framför er och räddade er och dränkte faraonerna inför era ögon,
051_00	och hur Vi kallade Moses till Oss [på Sinai berg] under fyrtio nätter och hur ni i hans frånvaro tog er för att dyrka [den gyllene] kalven och så begick en svår synd.
052_00	Men ändå efterskänkte Vi därefter er skuld, så att ni [borde ha] känt tacksamhet.
053_00	Och [minns] att Vi uppenbarade Skriften för Moses och en måttstock varmed rätt kan mätas och skiljas från orätt så att ni fick vägledning,
054_00	och att Moses sade till sitt folk: "Ni har sannerligen, mitt folk, tillfogat er själva en svår orätt då ni tog er för att dyrka [den gyllene] kalven.
054_01	Vänd därför åter till er Skapare och visa ett förkrossat sinnelag; det är vad er Skapare finner vara bäst för er." Och Han tog emot er ånger - Han är Den som går den ångerfulle till mötes, den Barmhärtige.
055_00	Och [minns] att ni sade: "Moses! Vi tror dig inte förrän vi med våra egna ögon får se Gud"; och så drabbades ni där ni stod av [straffets] blixtar.
056_00	Men Vi återgav er livet, sedan ni varit [som] döda, så att ni [borde ha] känt tacksamhet.
057_00	Och Vi lät molnen skänka er skugga och gav er manna och vaktlar [till föda och uppmanade er:] "Ät av de goda ting
057_01	som Vi har skänkt er för ert uppehälle." Och de vållade Oss ingen skada [med sina synder] - de skadade enbart sig själva.
058_00	Och [minns] Våra ord: ”Gå in i detta land och ät som ni har lust till av dess [frukter], men fall ned på era ansikten vid inträdet
058_01	och be: 'Befria oss från bördan av vår synd!' [Då] skall Vi förlåta er era synder och därtill rikligt belöna dem som gör det goda och det rätta.”
059_00	Men de som framhärdade i synd satte andra ord i stället för det som de uppmanats att säga, och Vi lät ett straff från ovan drabba [dessa] syndare på grund av deras trots och olydnad.
060_00	Och [minns] att Moses bad om vatten för sitt folk och Vi sade: "Slå med din stav på klippan!" - och då vällde tolv källor fram ur den, så att var och en visste var han skulle dricka.
060_01	[Och Moses sade:] "Ät och drick av det som Gud har gett er för ert uppehälle, men sprid inte sedefördärv och annat ont på jorden."
061_00	Och [minns] att ni sade: "Moses, vi kan inte fördra att alltid få en och samma föda. Be därför din
061_01	Herre att Han av det som jorden alstrar ger oss sådant som kryddväxter, gurka, vitlök, linser och lök", [varpå Moses
061_02	svarade:] "Vill ni byta det bättre mot det sämre? Vänd då tillbaka till [slaveriet i] Egypten! Där kan ni få
061_03	det ni begär." De drabbades av skam och elände men de hade förtjänat Guds vrede, eftersom de inte upphörde att
061_04	förneka sanningen i Guds budskap och dödade profeterna mot all rätt; ja, de trotsade ständigt [Gud] och kränkte [Hans] bud.
062_00	DE SOM tror [på denna Skrift] och de som bekänner den judiska tron och de kristna och sabierna - ja, [alla] som tror på Gud och den Yttersta dagen
062_01	och som lever ett rättskaffens liv - skall helt visst få sin fulla lön av sin Herre och de skall inte känna fruktan och ingen sorg skall tynga dem.
063_00	OCH [MINNS] hur Vi slöt Vårt förbund med er med Sinai berg som vittne [och sade]: "Håll med all kraft fast vid det som Vi [nu] har uppenbarat för er och lägg dess ord på hjärtat - så att er gudsfruktan [fördjupas]!"
064_00	Men ni vände om [från denna väg]! Och om inte Gud i Sin nåd hade förbarmat Sig över er skulle ni helt säkert ha stått som förlorare;
065_00	ni vet att det bland er fanns sådana som kränkte sabbatshelgden och att Vi uttalade [denna dom] över dem: "Bli [som] apor, föremål för [allas] hån och förakt!"
066_00	Vi gjorde detta för att ge ett varnande exempel för samtid och eftervärld och en allvarlig erinran till de gudfruktiga.
067_00	OCH [MINNS] att Moses sade till sitt folk: "Gud befaller er att offra en ko" [och]
067_01	de svarade: "Driver du med oss?" [Moses] sade: "Gud bevare mig för att göra något så dåraktigt!"
068_00	De sade: "Be din Herre i vårt namn att göra klart för oss vad slags ko det är fråga om." [Moses] svarade: "[Herren] säger att det varken skall vara ett gammalt djur eller en ung kviga utan något däremellan. Gör nu som ni blivit befallda."
069_00	De sade: "Be din Herre i vårt namn att göra klart för oss vilken färg den skall ha." [Moses] svarade: "[Gud] säger att kon skall vara gul, av en kraftig gul färg som gläder ögat."
070_00	De sade: "Be din Herre i vårt namn att göra klart för oss hur den skall se ut; för oss är nämligen den ena kon den andra lik; om Gud vill, skall vi då göra rätt."
071_00	[Moses] svarade: "[Herren] säger att det skall vara en ko som inte har använts som dragdjur, för plöjning eller bevattning, felfri och utan teckning." [Då]
071_01	sade de: "Nu har du gett oss [hela] sanningen!" Och så offrade de kon [till sist], något som de hade varit nära att lämna ogjort.
072_00	[Minns, israeliter, att] ni efter att en människa hade dödats anklagade varandra för dådet - men Gud uppenbarar det som ni vill dölja. -
073_00	Då sade Vi: "Slå [kroppen] med ett stycke av denna [ko]!" Så ger Gud de döda liv och visar er Sina tecken - kanske skall ni använda ert förstånd.
074_00	Efter [allt] detta förhärdades era hjärtan och blev som stenar - hårdare än stenar. Det finns klippor som låter källådror springa fram och klippor som, när de rämnar, lösgör vatten.
074_01	Och det finns klippor som störtar i djupet i bävan inför Gud. Gud förbiser ingenting av vad ni gör.
075_00	HOPPAS NI att de skall tro på er, fastän [ni vet att] flera av dem, efter att ha lyssnat till Guds ord och förstått det, med vett och vilja förvanskade det?
076_00	När de möter dem som har antagit tron, säger de: "Vi är [också] troende." Men när de är ensamma säger några [av dem till de andra]: "Talar ni om för dem vad Gud har uppenbarat för er, så att de kan utnyttja det som argument [mot er], när ni tvistar med dem inför er Herre?
076_01	Hur använder ni ert förstånd?"
077_00	Vet de inte att Gud känner deras hemligheter lika väl som det som de öppet tillkännager
078_00	Bland dem finns också sådana som inte kan läsa och som utan kunskap om Skriften [tolkar den] efter sitt eget huvud och sina lösa antaganden.
079_00	Olyckliga de som med sina händer skriver ned [vad de säger vara ur] Skriften och påstår att det är från Gud för att därmed uppnå en ynklig vinst!
079_01	[Det skall gå dem] illa på grund av det som deras händer har skrivit och på grund av vad de [därmed] har vunnit!
080_00	De säger: "Eldens straff skall inte drabba oss mer än ett begränsat antal dagar." Säg: "Har Gud lovat er
080_01	det - för Gud sviker inte Sina löften - eller påstår ni om Gud något som ni inte kan veta?"
081_00	Nej! De som har begått onda handlingar och är helt omslutna av sin synd, har Elden till arvedel och där skall de förbli till evig tid.
082_00	Men de som tror och lever rättskaffens har paradiset till arvedel och där skall de förbli till evig tid.
083_00	MINNS, ISRAELITER, att Vi slöt Vårt förbund med er [enligt vilket ni lovade] att inte dyrka någon utom Gud, att visa godhet mot era föräldrar och anhöriga och mot de faderlösa och de nödställda, att ha ett vänligt ord för alla människor och att förrätta bönen och ge åt de behövande.
083_01	Men ni vände er ifrån [det som ni åtagit er], alla utom ett fåtal, eftersom ni är ett motsträvigt släkte.
084_00	Och i det förbund Vi slöt med er lovade ni att inte spilla en broders blod och att inte jaga bort honom från hans hem; sedan bekräftade ni [förpliktelserna enligt] förbundet och har vittnat om detta.
085_00	Ändå är det ni som dödar varandra och jagar bort några av era egna från deras hem och ni hjälper varandra i dessa syndiga och fientliga företag.
085_01	Och om ni tar några av dem [som ni förföljer] till fånga, tar ni lösen för dem, fastän det var förbjudet för er att jaga bort dem.
085_02	Tror ni på vissa delar av Skriften och förnekar andra?
085_03	Vilken lön förtjänar de bland er som begår sådana handlingar om inte skam och vanära i denna värld? Och på Uppståndelsens dag skall de utlämnas till de strängaste straff. - Gud förbiser ingenting av vad ni gör.
086_00	De som byter bort den eviga glädjen mot det [goda] i detta liv, för dem skall straffen inte lindras och ingen hjälp skall nå dem.
087_00	VI GAV Moses Skriften och lät [andra] sändebud följa honom. Och Jesus, Marias son, skänkte Vi klara bevis och stärkte honom med helig ande.
087_01	Men är det inte så att varje gång ett sändebud kom till er med [budskap] som inte behagade er, var ni för stolta [för att lyssna till honom]? Några kallade ni lögnare och andra slår ni ihjäl!
088_00	De säger: "Våra hjärtan är tillslutna!" Nej, det är Gud som har utestängt dem från Sin nåd på grund av deras förnekelse; de tror bara på få ting.
089_00	När de får ta emot en [ny] uppenbarelse från Gud som bekräftar de [sanningar] som [redan] är i deras hand - förr brukade de be om seger över dem som förnekade tron - när de [nu] får höra det som är dem välbekant, avvisar de detta.
089_01	Men Guds fördömelse skall drabba dessa förnekare.
090_00	De har sålt sina själar i en usel byteshandel när de förnekar vad Gud har uppenbarat, rasande över att Gud har visat den Han vill av Sina tjänare Sin nåd.
090_01	Så har [Guds] vrede drabbat dem gång på gång; straff och vanära väntar [alla] förnekare.
091_00	När någon säger till dem: "Tro på vad Gud har uppenbarat", svarar de: "Vi tror på det som har uppenbarats för oss" och de avvisar allt därutöver.
091_01	Och ändå är detta sanningen som bekräftar det som [redan] är i deras hand. Säg: "Varför dödade ni då i gångna tider Guds profeter, om ni [som ni säger] var troende?"
092_00	Moses kom till er med klara vittnesbörd och i hans frånvaro tog ni er för att dyrka [den gyllene] kalven och begick så en [svår] synd.
093_00	Och [minns] hur Vi slöt Vårt förbund med er med Sinai berg som vittne [och sade]: "Håll med all kraft fast vid det som Vi har uppenbarat för er och lyd [dess föreskrifter]!" [Då] sade de: "Vi hör men vi lyder inte." Till följd av deras brist på tro hade [tanken på den gyllene] kalven helt bemäktigat sig deras hjärtan.
093_01	Säg: "Om ni kallar er troende, är det sannerligen avskyvärt, det som er tro bjuder er att göra!"
094_00	Säg: "Om de eviga boningarna hos Gud är er förbehållna och alla [andra] är utestängda därifrån, borde ni önska er döden - om [era ord] är uppriktiga."
095_00	Men de kommer aldrig att önska sig [döden] på grund av det som deras händer har sänt före dem [till Domen] - Gud känner de orättfärdiga.
096_00	Säkert finner du att de hänger fast vid livet mer envist än någon annan, ja, mer än de som sätter medhjälpare vid Guds sida.
096_01	Var och en av dem skulle vilja leva i tusen år, men hur långt hans liv än blir, undgår han inte straffet - Gud ser vad de gör.
097_00	SÄG [Muhammad]: "Den som är fiende till Gabriel - som på Guds befallning låter [uppenbarelsen] sjunka in i ditt hjärta med bekräftelse på det som ännu består [av äldre tiders uppenbarelser] och ger de troende vägledning och ett budskap av hopp -
098_00	den som är Guds fiende och fiende till Hans änglar och Hans sändebud och till Gabriel och Mikael [skall veta att] Gud är fiende till dem som förnekar sanningen."
099_00	Vi har nu gett dig klara budskap, vars sanning ingen utom de trotsiga syndarna förnekar.
100_00	Är det inte så att varje gång de ingick ett förbund, förkastades det av några av dem? Nej, de flesta av dem har alls ingen tro.
101_00	När nu ett sändebud från Gud har kommit till dem med bekräftelse av det som [redan] är i deras hand, förkastar några av dem Guds skrift - den uppenbarelse som de förr fick del av - som om de inte visste [dess innehåll].
101_01	-
102_00	Däremot lyssnar de till vad onda väsen berättar om Salomos välde.
102_01	Det var dock inte Salomo som hädade Gud utan dessa demoner, vilka undervisade människorna i trolldom och i det som hade uppenbarats för de två änglarna i Babylon, Harut och Marut.
102_02	Men dessa två undervisade ingen utan att först säga: "Vi är bara en prövning och en frestelse; förneka därför inte [Guds välgärningar]!" Demonerna lärde sig av dem hur man sår missämja mellan en man och hans hustru, men de kan inte utan Guds vilja skada någon med detta; och vad de lärde sig skadade dem själva utan att vara dem till någon nytta.
102_03	Och ändå hade de fått veta att den som förvärvar denna [kunskap] inte blir delaktig av den eviga glädjen.
102_04	I sanning en ödesdiger byteshandel, i vilken de sålde sina själar! Om de bara hade vetat...!
103_00	Om de hade haft tro och fruktat Gud, skulle Gud helt säkert ha gett dem en bättre lön. Om de bara hade vetat...!
104_00	TROENDE! Säg inte [till Profeten]: "Hör på oss!" Säg hellre: "Ha tålamod med oss" - och lyssna [till hans ord]; ett plågsamt straff väntar dem som förnekar sanningen.
105_00	Varken de som förnekar sanningen bland efterföljarna av äldre tiders uppenbarelser eller de som dyrkar avgudar ser med blida ögon att er Herre skänker er något av Sitt goda.
105_01	Men Gud utmärker den Han vill med Sin nåd; Guds nåd är en outsinlig källa.
106_00	Varje vers [uppenbarelse] som Vi upphäver eller överlämnar åt glömskan ersätter Vi med en bättre eller en lika god. Vet du inte att Gud har allt i Sin makt
107_00	Vet du inte att Gud äger herraväldet över himlarna och jorden? Ni har ingen beskyddare och ingen hjälpare utom Gud.
108_00	Eller vill ni rikta en sådan begäran till ert Sändebud som den som en gång riktades till Moses? Den som byter bort tro mot förnekelse har helt övergett den raka vägen.
109_00	Många efterföljare av äldre tiders uppenbarelser önskar, [innerst drivna] av avund, att de kunde förmå er att förneka den tro som ni har antagit, och detta sedan sanningen klargjorts för dem.
109_01	Men förlåt dem och ha tålamod med dem, till dess att Gud tillkännager Sin vilja! Gud har allt i Sin makt.
110_00	Förrätta bönen och ge åt de nödställda! Det goda ni sänder framför er [till Domen] skall ni återfinna hos Gud; Gud ser vad ni gör.
111_00	OCH DE säger: "Ingen skall stiga in i paradiset som inte är jude" - eller "kristen". Det är vad de önskar och hoppas. Säg: "Lägg fram era bevis, om det ni säger är sant."
112_00	Nej, så förhåller det sig inte! De som med hela sitt väsen underkastar sig Guds vilja och som gör det goda och det rätta skall få sin fulla lön av sin Herre och de skall inte känna fruktan och ingen sorg skall tynga dem.
113_00	Och judarna säger: "De kristna står på osäker grund", och de kristna säger: "Judarna står på osäker grund." Men alla läser de Skriften.
113_01	Det som de säger är vad alla som saknar kunskap har sagt. Men på Uppståndelsens dag skall Gud döma mellan dem i [allt] det som de var oense om.
114_00	Vem är mer orättfärdig än den som förbjuder åkallan av Guds namn i Hans hus och vars mål det är att jämna dem med marken?
114_01	De har inte rätt att stiga in där, om de inte fruktar [Honom]. De skall utstå skam och vanära i denna värld och hårda straff i det kommande livet.
115_00	Öst och väst tillhör Gud och vart ni än vänder er [finner ni] Guds anlete. Gud når överallt och Han vet allt.
116_00	Och de säger: "Gud har avlat en son." Stor är Han i Sin härlighet! Nej, allt i himlarna och på jorden tillhör Honom och allt böjer sig för Hans vilja.
117_00	Himlarna och jorden är Hans verk och när Han beslutar att något skall vara säger Han endast till det: "Var!" - och det är.
118_00	OCH DE som saknar kunskap säger: "Varför talar inte Gud till oss eller ger oss ett tecken?" Så sade deras föregångare; deras ord och deras hjärtan liknar varandra.
118_01	Men Vi har gjort budskapen klara och tydliga för dem som [vill] övertygas.
119_00	Vi har förvisso sänt dig [Muhammad] med sanningen, som förkunnare av ett glatt budskap om hopp och som varnare, och du skall inte hållas ansvarig för dem som har helvetet till arvedel.
120_00	Men du kommer inte att vinna vare sig judarnas eller de kristnas välvilja, om du inte följer deras väg.
120_01	Säg: "Guds vägledning är den enda sanna vägledningen." Sannerligen, om du skulle foga dig efter deras önskningar sedan du fått all den kunskap som kommit dig till del, skulle ingen kunna skydda dig mot Gud och ingen skulle komma till din hjälp.
121_00	[Några av] dem som Vi har skänkt Skriften läser den som den bör läsas; de har den [sanna] tron. Och de som förnekar den, de är förlorarna.
122_00	ISRAELITER! Minns Mina välgärningar mot er och hur Jag visade er sådan välvilja som Jag inte har visat något annat folk.
123_00	Och tänk på den Dag då ingen kan gottgöra vad en annan har brutit och ingen lösen kommer att tas emot och då alla förböner skall avvisas och ingen hjälp skall ges.
124_00	Och [minns att] Abraham sattes på prov av sin Herre och [att han] fullgjorde alla Hans befallningar.
124_01	[Gud] sade: "Jag skall göra dig till ett föredöme för människorna." Abraham frågade: "Och mina efterkommande?" [Gud] svarade: "Mitt löfte omfattar inte syndarna."
125_00	OCH [MINNS att] Vi gjorde Helgedomen till en samlingsplats för människorna och en fristad [för förföljda].
125_01	Välj därför platsen där Abraham [en gång] stod för er bön. Och Vi gav Abraham och Ismael uppdraget att rena Helgedomen för dem som skall vandra runt den, och för dem som där skall dra sig tillbaka i stillhet, och för dem som skall böja rygg och knän och falla ned på sina ansikten [i tillbedjan].
126_00	Och då Abraham bad: "Herre, gör detta till ett tryggt land och ge dess folk - de bland dem som tror på Gud och den Yttersta dagen - de frukter de behöver
126_01	för sitt uppehälle", sade [Gud]: "Och den som förnekar tron, honom skall Jag skänka välstånd under någon tid; sedan skall Jag överlämna honom åt Eldens straff - ett i sanning fasansfullt slut!"
127_00	Och när Abraham och Ismael lade grunden till Helgedomen [bad de:] "Herre! Tag nådigt emot vår [möda]! Du är den som hör allt, vet allt.
128_00	Herre! Gör att vi underkastar oss Din vilja och gör våra efterkommande till ett samfund av [människor] som underkastar sig Din vilja. Lär oss att förrätta vår andakt och tag emot vår ånger; Du är Den som går den ångerfulle till mötes, den Barmhärtige!
129_00	Herre! Låt ett sändebud uppstå bland dem, [en man] ur deras mitt - som framför till dem Dina budskap och undervisar dem i Skriften och i [profeternas] visdom och som renar dem [från avgudadyrkans synd]. Du är den Allsmäktige, den Allvise."
130_00	Vem utom den tanklöse, den lättsinnige, vänder ryggen åt Abrahams tro? [Abraham] som Vi har utvalt och upphöjt i denna värld och som i det kommande livet helt visst har sin plats bland de rättfärdiga.
131_00	När hans Herre sade till honom: "Underkasta dig Guds vilja!" svarade han: "Jag underkastar mig Guds, världarnas Herres vilja."
132_00	Och han gav sina söner, liksom [senare] Jakob, denna maning: "Söner! Gud [själv] har valt er tro; underkasta er därför Guds vilja innan döden överraskar er."
133_00	Ja, ni är själva vittnen till att Jakob, när han kände döden nalkas, sade till sina söner: "Vem skall ni dyrka när jag är
133_01	borta?" Och de svarade: "Vi skall dyrka din och dina fäders, Abrahams, Ismaels och Isaks Gud, den Ende Guden, och vi underkastar oss Hans vilja."
134_00	Deras tid är förbi. De skall lönas efter vad de har gjort och ni skall lönas efter vad ni har gjort. Ni skall inte ställas till svars för deras handlingar.
135_00	OCH DE säger: "Bli jude" eller "Bli kristen, för att få rätt vägledning!" Säg: "Nej, [vi följer] Abrahams rena, ursprungliga tro, han som inte hörde till dem som dyrkar avgudar."
136_00	Säg: "Vi tror på Gud och på det som har uppenbarats för oss och det som uppenbarades för Abraham och Ismael och Isak och Jakob och deras efterkommande och det som uppenbarades för Moses och Jesus och för [de andra] profeterna av deras Herre; vi gör ingen åtskillnad mellan dem.
136_01	Och vi har underkastat oss Hans vilja."
137_00	Och om de tror på det som är föremål för er tro, då har de i sanning funnit rätt väg; men om de vänder om [och går en annan väg], då är de söndrare och sektbildare och Gud skall skydda dig mot dem. Han är Den som hör allt, vet allt.
138_00	Gud [själv] har färgat [vår tro] och vem ger färg bättre än Gud? Det är Honom vi tillber [och ingen annan].
139_00	Säg [till judarna och de kristna]: "Vill ni tvista med oss om Gud, Han som är vår Herre likaväl som er Herre? Våra handlingar är våra och era handlingar är era. Vi tillber Honom med uppriktig tro.
140_00	Påstår ni att Abraham och Ismael och Isak och Jakob och deras efterkommande var judar eller kristna?" Säg: "Är det ni eller Gud som vet bäst?
140_01	Vem är mer orättfärdig än den som undertrycker det vittnesbörd som han fått från Gud? Gud förbiser ingenting av vad ni gör."
141_00	Deras tid är förbi. De skall lönas efter vad de har gjort och ni skall lönas efter vad ni har gjort. Ni skall inte ställas till svars för deras handlingar.
142_00	TANKLÖSA människor skall säga: "Vad har förmått dem att ändra den böneriktning som de har följt till nu?" Säg: "Öst liksom väst tillhör Gud.
142_01	Han leder den Han vill till den raka vägen."
143_00	Och Vi har gjort er till ett mittens samfund, för att ni skall stå som vittnen mot alla människor och Sändebudet vara vittne mot er.
143_01	Den böneriktning som du [Muhammad] förut iakttog gav Vi dig enbart för att skilja dem som följer Sändebudet från dem som vänder honom ryggen.
143_02	Detta har varit en svår [prövning] utom för dem som [i allt] vägleds av Gud. Det är rätt och rimligt att Gud inte låter er tro bli utan belöning; Gud är barmhärtig och ömmar för människorna.
144_00	Ofta har Vi sett dig [Muhammad] vända ansiktet mot himlen [i väntan på ledning], och Vi skall låta dig vända dig i en böneriktning som skall göra dig nöjd.
144_01	Vänd alltså nu ditt ansikte mot den heliga Moskén; ja, var ni än befinner er, vänd era ansikten mot denna [Moské].
144_02	De som [förr] fick ta emot uppenbarelsen vet säkert att detta är ett sant [påbud] från deras Herre. Och Gud förbiser ingenting av vad de gör.
145_00	Men även om du gav dem som [i äldre tid] fick ta emot uppenbarelsen alla bevis, skulle de inte följa din böneriktning; du skall inte heller följa deras böneriktning.
145_01	Några av dem iakttar en böneriktning, andra en annan. Ja, om du skulle foga dig efter deras önskningar, sedan du fått ta emot den kunskap som [nu] har kommit dig till del, skulle du sannerligen höra till de orättfärdiga.
146_00	De till vilka Vi [tidigare] skänkte uppenbarelsen vet detta lika noga som de känner sina barn, men det finns några bland dem som mot bättre vetande döljer sanningen.
147_00	Sanningen [är vad du har tagit emot] från din Herre; låt inga tvivel uppstå [om detta]!
