001_00	Ta seen meem.
084_00	och låt efterkommande släkten minnas mig som en man av sanning
085_00	och gör mig till en av arvtagarna till lycksalighetens lustgårdar.
086_00	Och förlåt min fader - han var en av dem som gick vilse -
087_00	och förnedra mig inte på Uppståndelsens dag,
088_00	den Dag då varken rikedom eller söners [mångfald] skall vara till gagn
089_00	och då bara den [kan känna sig trygg] som stiger fram inför Gud med rent hjärta."
090_00	Då skall paradiset föras fram till de gudfruktiga,
091_00	och helvetet skall göras fullt synligt för dem som räddningslöst gått vilse;
092_00	och de skall tillfrågas: "Var är de som ni tillbad
093_00	i Guds ställe? Kan de hjälpa er eller [ens] hjälpa sig själva?"
094_00	Och de skall störtas på huvudet i helvetet, de och de som räddningslöst gått vilse
095_00	liksom Iblees hjälptrupper, alla tillsammans.
096_00	Och när de tvistar [i helvetet] skall de säga:
097_00	"Vid Gud! Vilket grovt misstag gjorde vi inte
098_00	då vi satte er vid sidan av världarnas Herre.
099_00	Bara de obotfärdiga syndarna kunde förleda oss [till detta].
100_00	Nu har vi ingen som kan tala till förmån för oss,
101_00	och ingen sann vän [som hjälper oss].
102_00	Om vi ändå fick börja om på nytt! Då skulle vi vara ett med de troende."
103_00	I detta ligger förvisso ett budskap [till människorna], men de flesta av dem vill inte tro.
104_00	Din Herre är den Allsmäktige, den Barmhärtige.
105_00	[ÄVEN] NOAS folk beskyllde [Guds] budbärare för lögn.
106_00	Och deras broder Noa sade till dem: "Fruktar ni inte Gud
107_00	Jag är ett sändebud [utsänd] till er, som ni kan lita på;
108_00	frukta därför Gud och lyd mig!
109_00	Jag begär ingen lön av er för detta - min lön får jag inte av någon annan än världarnas Herre;
110_00	frukta därför Gud och lyd mig!"
111_00	De svarade: "Skall vi tro på dig som [bara] har slöddret till anhängare?"
112_00	Han sade: "Jag kan inte veta vad de förut haft för sig!
113_00	De skall inte stå till svars inför någon annan än min Herre - förstår ni inte det?
114_00	Jag har inte rätt att stöta bort dem [som säger att de är] troende.
115_00	Jag är endast en varnare, som varnar klart och entydigt."
116_00	De sade: "Du kommer minsann att bli stenad till döds, Noa, om du inte slutar med detta!"
117_00	[Då] bad han: "Herre! Mitt folk tror inte på mina ord.
118_00	Gör därför sanningen uppenbar i min [tvist] med dem, och rädda mig och de troende som följer mig!"
119_00	Och Vi räddade honom och dem som följde honom i den fullastade arken;
120_00	sedan lät Vi dem som blev kvar dränkas.
121_00	I detta ligger förvisso ett budskap [till människorna], men de flesta av dem vill inte tro.
122_00	Din Herre är den Allsmäktige, den Barmhärtige.
123_00	[ÄVEN stammen] Aad beskyllde [Guds] budbärare för lögn.
124_00	Och deras broder Hud sade till dem: "Fruktar ni inte Gud
125_00	Jag är ett sändebud [utsänd] till er som ni kan lita på;
126_00	frukta därför Gud och lyd mig!
127_00	Jag begär ingen lön av er för detta - min lön får jag inte av någon annan än världarnas Herre.
128_00	Är det för ert nöjes skull som ni reser minnesmärken på varje kulle
129_00	och de befästa borgar ni bygger - hoppas ni därigenom nå odödlighet?
130_00	Och varför går ni till väga med sådan grymhet, när ni utövar er makt?
131_00	Frukta nu Gud och lyd mig!
132_00	Frukta Honom som har skänkt er allt det som ni [själva] vet,
133_00	skänkt er boskap och söner,
134_00	och trädgårdar och källor.
135_00	Jag är rädd att straffet [annars] drabbar er en olycksdiger Dag!"
136_00	De svarade: "Det är likgiltigt för oss om du förmanar oss eller inte förmanar oss;
137_00	det [vi gör är det som] har varit [våra] förfäders sed sedan urminnes tid,
138_00	och vi kommer inte att straffas [för detta]!"
139_00	Och när de kallade honom lögnare, lät Vi dem gå under. I detta ligger förvisso ett budskap [till människorna], men de flesta av dem vill inte tro.
140_00	Din Herre är den Allsmäktige, den Barmhärtige.
141_00	[ÄVEN stammen] Thamud beskyllde [Guds] budbärare för lögn.
142_00	Deras broder Salih vände sig till dem och sade: "Fruktar ni inte Gud
143_00	Jag är ett sändebud [utsänd] till er, som ni kan lita på;
144_00	frukta därför Gud och lyd mig!
145_00	Jag begär ingen lön av er för detta - min lön får jag inte av någon annan än världarnas Herre.
146_00	Tror ni att ni [alltid] skall få bo kvar här i trygghet
147_00	bland trädgårdar och källor
148_00	och åkerfält och dadelpalmer med deras smäckra blomkolvar
149_00	Och [fortsätta att] hugga ut bostäder åt er i bergväggen med den skicklighet [ni har uppnått]?
150_00	Frukta nu Gud och lyd mig,
151_00	och lyd inte de råd ni får av slösarna och de omåttliga,
152_00	de som stör ordningen på jorden och sprider sedefördärv och inte vill bättra sig!"
153_00	De sade: "Du är bara en av dem som har fallit offer för trolldom,
154_00	du är ingenting annat än en människa som vi! Visa oss ett tecken, om du talar sanning!"
155_00	Han svarade: "Här är ett kamelsto; hon har rätt att vattnas och ni har rätt att vattna [era djur] på en fastställd dag.
156_00	Låt henne inte komma till skada; [i annat fall] kommer straffet att drabba er en olycksdiger dag!"
157_00	Men de slaktade henne på grymmaste sätt, en handling som de fick ångra,
158_00	när de drabbades av det [förutsagda] straffet. I detta ligger förvisso ett budskap [till människorna], men de flesta av dem vill inte tro.
159_00	Din Herre är den Allsmäktige, den Barmhärtige.
160_00	[ÄVEN] LOTS folk beskyllde [Guds] budbärare för lögn.
161_00	Och deras broder Lot sade till dem: "Fruktar ni inte Gud
162_00	Jag är ett sändebud [utsänd] till er, som ni kan lita på;
163_00	frukta därför Gud och lyd mig!
164_00	Jag begär ingen lön av er för detta - min lön får jag inte av någon annan än världarnas Herre.
165_00	Måste ni, ensamma i hela skapelsen, söka er till ert eget manliga kön
166_00	och förbigå dem som er Herre har skapat till hustrur åt er? Ni överskrider verkligen alla gränser!"
167_00	De sade: "Lot! Vi svär att du kommer att jagas bort [från denna stad], om du inte slutar [med dina förmaningar]!"
168_00	[Lot] svarade: "Jag hör till dem som känner den starkaste avsky för det ni gör!"
169_00	[Och han bad till Gud:] "Herre! Rädda mig och de mina från [dessa människor och] deras förehavanden!"
170_00	Och Vi räddade honom och hela hans familj
171_00	utom en gammal kvinna, som var bland dem som dröjde sig kvar.
172_00	Därefter lät Vi de övriga gå under
173_00	i ett regn [av död och förintelse] som Vi sände över dem. Ett olycksbringande regn, det som faller över dem som har varnats [förgäves]!
174_00	I detta ligger förvisso ett budskap [till människorna], men de flesta av dem vill inte tro.
175_00	Din Herre är den Allsmäktige, den Barmhärtige.
176_00	[ÄVEN] FOLKET i [Madyans] skogsklädda dalar beskyllde [Guds] budbärare för lögn.
177_00	Deras broder Shu`ayb sade till dem: "Fruktar ni inte Gud
178_00	Jag är ett sändebud [utsänd] till er, som ni kan lita på;
179_00	frukta därför Gud och lyd mig!
180_00	Jag begär ingen lön av er för detta - min lön får jag inte av någon annan än världarnas Herre.
181_00	Ge fullt mått och tillskansa er inte vinst på andras bekostnad;
182_00	väg med rättvisande våg
183_00	och inkräkta inte på andras rättigheter. Sprid inte sedefördärv eller annat ont på jorden,
184_00	men frukta Gud som har skapat er och [alla] släkten före er!"
185_00	De sade: "Du är bara en av dem som har fallit offer för trolldom,
186_00	du är ingenting annat än en människa som vi, och vi anser att du är en lögnare.
187_00	Men försök förmå himlen att störta ned i stycken över oss, om du talar sanning!"
188_00	Han svarade: "Min Herre har full kännedom om vad ni tar er för."
189_00	Men de beskyllde honom [än en gång] för lögn. Och straffet drabbade dem en dag vars ljus skymdes i mörker, en straffets och skräckens dag.
190_00	I detta ligger förvisso ett budskap [till människorna], men de flesta av dem vill inte tro.
191_00	Din Herre är den Allsmäktige, den Barmhärtige.
192_00	DENNA [SKRIFT] är en uppenbarelse från världarnas Herre;
193_00	ingivelsens trogna ande har stigit ned
194_00	[och ingjutit] den i ditt hjärta, för att du skall vara en av varnarna
195_00	[och varna] på ren och klar arabiska.
196_00	Dess [sanning] fanns helt visst i äldre tiders böcker med nedtecknad gudomlig visdom.
197_00	Är det inte ett tecken för dem att lärda män bland Israels barn visste detta?
198_00	Men även om Vi hade uppenbarat den för någon som inte har arabiska till modersmål,
199_00	och han hade läst upp den för dem [på sitt språk], skulle de inte ha trott.
200_00	Så har Vi låtit [budskapet] passera in och ut genom de obotfärdiga syndarnas hjärtan.
201_00	Men de kommer inte att tro förrän de ser framför sig det plågsamma straff
202_00	som [är förberett och som] skall drabba dem plötsligt, när de ingenting anar;
203_00	och då kommer de att ropa: "Kan vi få ett uppskov?"
204_00	Är det då verkligen deras önskan att skynda på Vårt straff?
205_00	Vad tror du? - Om Vi under åratal hade låtit dem njuta av livet
206_00	och sedan lät det [straff] drabba dem som de hade varnats för,
207_00	vilken nytta hade de då av det långa, behagliga liv som de fick leva
208_00	Vi har aldrig låtit ett folk förgås som inte fått ta emot dem som varnade
209_00	[och] påminde dem; Vi tillfogar nämligen ingen [av Våra tjänare] orätt.
210_00	Det är inte onda andar som har stigit ned med denna [Skrift];
211_00	[den uppgiften] är inte för dem och de förmår inte [utföra den],
212_00	ja, de hålls till och med på sådant avstånd att de inte [ens] kan lyssna [till den].
213_00	Anropa därför inte en annan gud vid sidan av Gud; i annat fall kommer du att höra till dem som skall straffas.
214_00	Och varna dem som står dig närmast [för Guds straff]
215_00	och bred ödmjukt din [ömhets] vinge över dina troende anhängare;
216_00	men säg, om någon vägrar att följa dig: "Jag är inte ansvarig för vad ni gör" -
217_00	och lita till den Allsmäktige, den Barmhärtige,
218_00	som ser dig när du reser dig [ensam],
219_00	och när du är [hos dem] och de faller ned på sina ansikten i tillbedjan.
220_00	Han är Den som hör allt, vet allt.
221_00	[Säg, Muhammad:] "Skall jag säga er till vem de onda andarna stiger ned
222_00	De stiger ned till alla syndiga bedragare [beredda att själva föras bakom ljuset];
223_00	de lyssnar gärna, men de flesta av dem lägger [egna] lögner [till det som de kan snappa upp]."
224_00	Och poeterna - dem följer sådana som är osäkra om vägen.
225_00	Har du inte sett hur de strövar genom alla dalar utan mål
226_00	och hur de säger ett men gör ett annat?
227_00	Men [så uppträder] inte de troende som lever rättskaffens och ständigt anropar Gud och som försvarar sig när de blivit föremål för [hätska och hånfulla] angrepp.
227_01	Och de som har gjort sig skyldiga till [dessa] orättmätiga angrepp skall [snart] få se vilken vändning deras liv kommer att ta!
