001_00	HA meem.
014_01	Och om inte din Herre redan hade beslutat att [låta det anstå] till en tid fastställd [av Honom] hade allt varit avgjort mellan dem. Men hos dem som har ärvt Skriften efter sina föregångare, kvarstår tvivlet och misstankarna om denna [uppenbarelse].
015_00	Kalla därför [människorna till den rena tron] och gå din väg rakt fram, som du är befalld, och låt dig inte påverkas av deras önskningar utan säg: "Jag tror på allt vad Gud har uppenbarat [för Sina sändebud] och jag har blivit befalld att döma mellan er med rättvisa. Gud är vår Herre och er Herre.
015_01	Vi skall stå till svars för våra handlingar och ni skall stå till svars för era handlingar. Låt oss inte tvista! Gud skall föra oss samman, Han som är målet för allas färd!"
016_00	Och vad angår dem som vill tvista om Gud efter det att [människorna] har bejakat Hans [kallelse], får de se sina argument underkända inför sin Herre och de skall drabbas av [Hans] vrede och ett strängt straff.
017_00	Det är Gud som har uppenbarat Skriften med sanningen och [rättvisans] Våg, [en hjälp till människan att handla rättvist]. Och hur skall du kunna veta om inte den Yttersta stunden är nära
018_00	De som tvivlar på denna Stund säger sig önska dess snara ankomst, men de troende, de som vet att den är verklighet, bävar inför den.
018_01	De som inte vill tro på den Yttersta stunden begår ett svårt misstag!
019_00	GUD VISAR Sina tjänare en ofattbar välvilja. Han ger den Han vill hans uppehälle. Han äger all styrka, all makt.
020_00	Den som vill [så för att] skörda i evigheten skall Vi ge riklig skörd; och den som vill [så för att] skörda i denna värld skall Vi ge något av det han strävar efter, men i evigheten blir han lottlös.
021_00	Har de [satt upp] medhjälpare till [Gud], som utan Guds tillstånd har utfärdat föreskrifter för dem på religionens område?
021_01	Om inte beslut om [uppskov med] avgörandet hade fattats, skulle domarna över dem helt visst ha fallit. Men de som begår sådan orätt har ett plågsamt straff att vänta.
022_00	Och du skall få se hur de orättfärdiga ängslas inför det [straff] som de [med sina handlingar] förtjänat och som [inte kan undgå att] drabba dem.
022_01	Men de som trodde och levde ett rättskaffens liv, får [glädjas åt] de blommande ängarna i paradiset [och] njuta av allt vad de kan önska hos sin Herre. Det är den stora gåvan av Guds nåd,
023_00	som Han kungör för Sina rättskaffens troende tjänare.
023_01	Säg [Muhammad]: "Jag begär ingen ersättning av er för detta [budskap]; jag ber bara att ni ger [medmänniskorna] den kärlek [de har rätt att vänta]." Och om någon gör en god handling skall Vi ge honom mångdubbel belöning. Gud förlåter mycket och Han erkänner [Sina tjänares] förtjänster.
024_00	SÄGER de kanske att [Muhammad] har ljugit ihop allt detta om Gud?
024_01	Men om [detta vore sant och] Gud ville, kunde Han försegla ditt hjärta [och utplåna Koranen ur ditt minne]; Gud stryker ut lögnen och bekräftar och klargör sanningen med Sina ord. Gud vet vad som rör sig i människans innersta.
025_00	Det är Han som tar emot Sina tjänares ånger och som förlåter och stryker ut dåliga handlingar; Han vet nämligen allt vad ni gör;
026_00	Han bönhör dem som tror och lever rättskaffens och ger dem i Sin nåd mer [än de förtjänar]. Men förnekarna av sanningen skall få ett strängt straff.
027_00	Och om Gud inte satte en gräns för Sin frikostighet mot Sina tjänare, skulle de säkert [frestas till] övergrepp och att begå annan orätt på jorden; men Han skänker vad Han vill efter Sitt mått; Gud är väl underrättad om Sina tjänares [behov] och förlorar dem inte ur sikte.
028_00	Det är Han som när människorna gett upp hoppet sänder regn och når [alla] med Sin barmhärtighet; Han är Beskyddaren, Den som allt lov och pris tillkommer.
029_00	Och bland Hans tecken är skapelsen av him-larna och jorden och alla varelser som Han har låtit [uppstå och] sprida sig där; och [liksom Han har skapat dem] har Han makt att samla dem till Sig när Han vill.
030_00	Ingen motgång drabbar er som inte är en följd av era egna händers verk; ändå är det mycket som Han förlåter.
031_00	Ni kan inte uppresa er mot [Hans vilja] på jorden och ni har ingen beskyddare och ingen hjälpare utom Gud.
032_00	Bland Hans tecken är också skeppen som seglar över havet, där de [reser sig som bergstoppar över horisonten].
033_00	Om Han vill låter Han vinden mojna, och då blir de liggande stilla på [havets] yta - i detta ligger helt visst budskap till var och en som står fast i motgången och som tackar [Gud i allt] -
034_00	eller Han kan låta dem förlisa [med man och allt] på grund av vad de har förtjänat [med sina handlingar]; ändå utplånar Han mycken synd.
035_00	Och de som sätter Guds uppenbarelser i fråga skall veta att de aldrig kommer att finna en plats dit de kan fly.
036_00	OCH [GÖR klart för er att] vad det än är som ni får ta emot [på jorden], är det [bara] sådant som förljuvar det jordiska livet, medan det [som väntar] hos Gud är det bästa och det som består. [Det väntar] dem som tror och litar till sin Herre
037_00	och som avhåller sig från de grövsta synderna och skamliga handlingar och som förlåter, [även] om vreden har gripit dem,
038_00	och som svarar när deras Herre kallar och som förrättar bönen och som [i allt] iakttar regeln om samråd och som ger åt andra av det som Vi skänker dem för deras försörjning;
039_00	och som hjälper varandra att försvara sig när de har utsatts för övergrepp.
040_00	Svaret på ett ont [som någon har lidit] är ett motsvarande ont [tillfogat gärningsmannen]; men den som förlåter och söker försoning [med sin fiende] skall få sin lön av Gud; Han är inte vän till dem som begår övergrepp.
041_00	Inget klander kan riktas mot dem som försvarar sig mot liden oförrätt.
042_00	Ingen får klandras utom den som tillfogar [andra] människor ont och som här på jorden begår övervåld i strid med rätten och sanningen; ja, sådana [människor] får se fram mot ett plågsamt straff.
043_00	Men den som bär [den lidna orätten] med tålamod och förlåter [har bestått ett prov som kräver] fasthet i föresatsen!
044_00	DEN SOM Gud låter gå vilse finner därefter ingen beskyddare. Du skall få se hur de orättfärdiga beter sig när de [efter Uppståndelsen] står inför straffet och ropar: "Finns det ingen väg tillbaka?"
045_00	Och du skall se dem föras fram till [Elden], uppgivna, förödmjukade, kastande förstulna blickar [omkring sig], medan de troende säger: "Förlorarna
045_01	[denna] Uppståndelsens dag är de som har förverkat sina och sina meningsfränders själar!" Ja, de orättfärdiga måste [utstå] ett ändlöst lidande
046_00	och ingen annan kan beskydda eller hjälpa dem än Gud. Den som Gud låter gå vilse, finner ingen väg [tillbaka].
047_00	Bejaka er Herres [kallelse], innan en Dag, en Guds [dag], oåterkalleligen randas då ni inte kan finna en plats att fly till och då ni inte kommer att kunna förneka [det onda ni gjort].
048_00	OM DE vänder dig ryggen [Muhammad, skall du veta att] Vi inte har sänt dig för att vaka över dem - du har bara att framföra [ditt budskap].
048_01	Då Vi låter människan erfara Vår nåd [- en av dem som inte har mer än denna världens goda för ögonen -], jublar hon över denna [som hon ser det, framgång], men när hon till följd av sina egna handlingar drabbas av ett ont, förnekar hon Oss [och glömmer att hon är Oss tack skyldig].
049_00	Gud äger herraväldet över himlarna och jorden. Han skapar vad Han vill och Han skänker åt den Han vill döttrar och åt den Han vill söner;
050_00	eller skänker både söner och döttrar åt den Han vill och gör den Han vill ofruktsam. Han vet allt och är mäktig allt.
051_00	Det är inte människan givet att Gud talar till henne på annat sätt än genom ingivelse eller från andra sidan av ett förhänge eller genom ett sändebud som Han sänder och som uppenbarar det Han vill [skall uppenbaras]. Gud är upphöjd, vis.
052_00	Så har Vi också låtit dig [Muhammad, efter de tidigare profeterna] få del av helig ingivelse.
052_01	[Förr] visste du inte vad uppenbarelse betydde och inte heller vad [sann] tro innebar. Men Vi har gett dig [detta budskap] som ett ljus med vilket du skall leda dem Vi vill av Våra tjänare, leda [dem] till den raka vägen,
053_00	vägen till Gud, som allt det som himlarna rymmer och det som jorden bär tillhör. Allt är förvisso på väg tillbaka till Gud!
