001_00	TROENDE! Fullgör [era förpliktelser enligt] de avtal som ni har ingått!
012_01	hjälper de behövande, tror på Mina sändebud och håller dem i ära och ger Gud ett lån av goda gärningar, skall Jag helt visst förlåta era
012_02	dåliga handlingar och föra er till lustgårdar, vattnade av bäckar. Men den av er som efter detta förnekar sanningen har helt förlorat den raka vägen ur sikte."
013_00	När de sedan svek sina löften, fördömde Vi dem och lät deras hjärtan hårdna. De förvränger [uppenbarelsens] ord och bryter ut dem ur deras sammanhang och de har glömt en del av det som de förmanades att lägga på minnet.
013_01	Och du kommer om och om igen att möta trolöshet och svek från deras sida, utom hos ett fåtal, men förlåt dem och glöm [vad de gjort]. Gud älskar dem som gör gott [mot andra].
014_00	[I Vårt förbund] med dem som säger "Vi är kristna" tog Vi löften [också] av dem och även de har glömt en del av det som de förmanades att lägga på minnet.
014_01	Därför har Vi låtit fiendskap och hat uppstå bland dem [och så skall det fortgå] till Uppståndelsens dag. Gud skall [en gång] låta dem veta vad deras handlingar [var värda].
015_00	Efterföljare av äldre tiders uppenbarelser!
015_01	Ett Sändebud från Oss har kommit till er [med budskap] som klargör för er mycket av det som ni har dolt [för er själva] i Skriften; mycket [annat] har förbigåtts. Gud har skänkt er ett [nytt] ljus och en klar Skrift;
016_00	med den visar Han dem som söker Hans välbehag till räddningens vägar och leder dem enligt Sin vilja ut ur mörkret till ljuset och till en rak väg.
017_00	De förnekar sanningen som säger: "Gud är Kristus, Marias son." Säg: "Vem kan hindra Gud, om Han vill låta Kristus, Marias son, hans moder och alla på jorden förgås?
017_01	Guds är herraväldet över himlarna och jorden och allt som finns däremellan.
017_02	Han skapar vad Han vill. Han är allsmäktig."
018_00	Judarna säger liksom de kristna: "Vi är Guds barn som Han älskar." Säg: "Varför straffar Han er då för era synder? Nej, ni är människor liksom [alla andra] som Han har skapat.
018_01	Han förlåter vem Han vill och Han straffar vem Han vill. Guds är herraväldet över himlarna och jorden och allt som finns däremellan och Han är målet för [allas] färd."
019_00	Efterföljare av äldre tiders uppenbarelser!
019_01	Efter ett avbrott i budbärarnas rad har Vårt Sändebud kommit till er för att klargöra [sanningen] för er, så att ni inte skall kunna säga: "Till oss har ingen budbärare kommit med ett hoppets budskap och ingen varnare." Nu har en förkunnare av ett glatt budskap om hopp och en varnare kommit till er; Gud har allt i Sin makt.
020_00	OCH MOSES sade till folket: "Minns Guds välgärningar mot er, mitt folk, hur Han lät profeter uppstå bland er och
020_01	gjorde er till herrar i eget hus och skänkte er det som Han inte har skänkt något [annat] folk i världen!
021_00	Gå in i det heliga landet, som Gud har bestämt för er, mitt folk! Och vänd inte tillbaka - då har ni förlorat allt!"
022_00	De svarade: "Moses! I detta land bor ett folk av jättar och där kan vi inte gå in förrän de har lämnat det; men om de lämnar det skall vi gå in.
023_00	Då sade två av dem, [sant] gudfruktiga män som vunnit Guds välbehag: "Gå in rakt emot dem genom stadsporten; om ni går in denna [väg], är det ni som får överhanden.
023_01	Och lita till Gud, om ni är sanna troende!"
024_00	[Men] de sade: "Moses! I detta [land] går vi aldrig in så länge [jättarna] är kvar där. Gå, du och din Herre, och kämpa [mot dem]! Vi stannar här."
025_00	[Och Moses] bad: "Herre! Jag har inte makt över någon utom mig själv och min bror [Aron]; skilj oss från detta syndiga och trotsiga folk!"
026_00	[Gud] svarade: "Detta [land] skall under fyrtio år vara förbjudet för dem och [under denna tid] skall de vandra omkring på jorden utan mål; men sörj inte över sådana trotsiga syndare."
027_00	LÅT DEM höra berättelsen om Adams två söner, så som allt verkligen gick till - de bar fram var sitt offer [till Gud] och den enes [offer] togs nådigt emot men inte den andres.
027_01	[Denne] sade: "Jag svär att jag skall döda dig." [Och brodern] svarade: "Gud tar inte emot offer av andra än dem som fruktar Honom.
028_00	Även om du lyfter din hand för att döda mig, skall jag inte lyfta min hand mot dig; jag fruktar Gud, världarnas Herre.
029_00	Men jag vill att du skall bära min synd i tillägg till din egen synd, och att Elden skall vara din arvedel; sådan är de orättfärdigas lön."
030_00	Men den andre, driven av sin [hetsiga] natur, tvekade inte inför brodermordet, och han dödade honom och blev så en av förlorarna.
031_00	Och Gud sände en korp, som krafsade i jorden och visade honom hur han kunde dölja broderns nakna kropp.
031_01	[Och] han utropade: "Har jag, eländige stackare, blivit så svag att jag inte kan göra som denna korp och dölja min broders lik?" Och han greps av ånger.
032_00	Av denna orsak föreskrev Vi för Israels barn att om någon dödar en människa, som inte själv har dödat någon eller försökt störa ordningen på jorden och sprida sedefördärv, skall det anses som om han hade dödat hela människosläktet.
032_01	Och om någon räddar ett människoliv, skall det anses som om han hade räddat hela människosläktet.
032_02	Trots att Våra sändebud har kommit till dem med klara vittnesbörd, fortsätter många bland dem att begå ohämmat övervåld på jorden.
033_00	De som kämpar mot Gud och Hans Sändebud och vars strävan det är att störa ordningen på jorden och sprida sedefördärv skall utan förskoning dödas eller korsfästas eller få hand och fot på motsatta sidor avhuggna eller förvisas från [sitt] land.
033_01	Denna förnedring skall de utstå i detta liv och i det kommande livet skall de få utstå ett outsägligt lidande;
034_00	dock skall de som visar ånger innan ni har fått makt över dem skonas. Ni skall veta att Gud är ständigt förlåtande, barmhärtig.
035_00	TROENDE! Frukta Gud och sök det som kan föra er närmare Honom, och sträva och kämpa för Hans sak för att det skall gå er väl i händer.
036_00	Om de som förnekar sanningen ägde allt på jorden och lika mycket därtill och med detta ville friköpa
036_01	sig från straff på Uppståndelsens dag, skulle detta vägras dem; för dem finns ett plågsamt straff [i beredskap].
037_00	De vill komma bort från Elden, men de kan inte komma bort; deras lidande är utan slut.
038_00	MANNEN SOM stjäl och kvinnan som stjäl skall som straff för detta brott få handen avhuggen; [denna föreskrift] är en sträng varning från Gud. Gud är allsmäktig, vis.
039_00	Men den som efter att ha begått brottet ångrar sig och gör bot och bättring [skall se att] Gud tar emot hans ånger; Gud är ständigt förlåtande, barmhärtig.
040_00	Vet du inte att Gud äger herraväldet över himlarna och jorden? Han straffar den Han vill och förlåter den Han vill; Gud har allt i Sin makt.
041_00	SÖRJ INTE, du Sändebud, över dem som tävlar med varandra om att förneka sanningen - några är sådana som har tron på sina läppar, men inte i sina hjärtan, några är bekännare av den
041_01	judiska tron som gärna lyssnar till lögner [och] lyssnar till andra människor, som inte har kommit till dig, och som förvränger [innebörden av de uppenbarade] orden genom att ta dem ur deras sammanhang och
041_02	säger: "Om detta är vad ni har fått höra, kan ni godta det; i annat fall bör ni vara på er vakt!" Och om Gud vill sätta någon på prov genom frestelse till det
041_03	onda, kan du inte uppnå någonting till hans förmån av Gud. Dessa [människors] hjärtan vill Gud inte rena; förnedring skall drabba dem i denna värld och i det kommande livet väntar dem ett hårt straff -
042_00	de som ivrigt lyssnar till lögner och frossar i förbjudna ting. Om de nu kommer till dig [och ber dig döma], har du [valet att] antingen döma mellan dem eller att vända dig ifrån dem.
042_01	Om du vänder dig ifrån dem, [skall du veta att] de inte kan vålla dig skada; men om du [väljer att] döma, döm då mellan dem med rättvisa. Gud älskar dem som gör rättvisa.
043_00	Men de som har Tora med de regler som har fastställts av Gud - varför ber de dig att döma över dem - och vänder [dig] sedan ryggen? Dessa [människor] är inte sanna troende.
044_00	Vi har uppenbarat Tora med vägledning och ljus. Profeterna, som underkastade sig Guds vilja, dömde på dess grundval mellan dem som bekände den judiska tron och [så gjorde] deras skriftlärda och rabbiner, eftersom de hade anförtrotts att vaka över det som Gud hade uppenbarat och vittnade [om dess sanning].
044_01	Frukta således inte människorna! Frukta Mig!
044_02	Och sälj inte Mina budskap för en ynklig slant! De som inte dömer i enlighet med vad Gud har uppenbarat, de är [i sanning] förnekare.
045_00	Och i denna [Tora] föreskrev Vi för dem att ett liv [skall tas] för varje liv [som spills] och ett öga för ett öga och en näsa för en näsa och ett öra för ett öra och en tand för en tand och för varje sår ett motsvarande sår.
045_01	Men den som för Guds skull vill förlåta [och avstå från hämnd] kan få förlåtelse [för egen synd]. Ja, de som inte dömer i enlighet med vad Gud har uppenbarat begår orätt mot sig själva.
046_00	Efter [dessa profeter] sände Vi Jesus, Marias son, med bekräftelse av allt det som ännu bestod av Tora och Vi skänkte honom
046_01	Evangeliet, som gav vägledning och ljus och bekräftade det som ännu bestod av Tora - där fanns vägledning och förmaningar till de gudfruktiga.
047_00	Låt därför dem som följer Evangeliet döma i enlighet med vad Gud där har uppenbarat; de som inte dömer i enlighet med vad Gud har uppenbarat är syndare som trotsar Gud.
048_00	[Muhammad!] Vi har uppenbarat Koranen för dig med sanningen, som bekräftar det som består av [äldre tiders] uppenbarade Skrifter och vars uppgift det är att vaka över det.
048_01	Döm mellan dem [som följer dessa Skrifter] på grundval av det som Gud har uppenbarat [för dig] och ge inte efter för deras önskningar [som står i strid] med den sanning som du har fått ta emot.
048_02	För var och en av er har Vi fastställt en lag och en levnadsregel.
048_03	Om Gud hade velat hade Han helt visst gjort er till ett enda samfund, men det var Hans vilja att sätta er på prov genom det som Han har skänkt er. Tävla därför med varandra om att göra gott! Till Gud skall ni alla vända åter och Han skall upplysa er om allt det som ni var oense om.
049_00	Du skall därför döma mellan dem, stödd på det som Gud har uppenbarat [för dig, Muhammad], och inte foga dig efter deras önskningar; och var på din vakt så att de inte lockar dig bort från något av det som Gud har uppenbarat för dig.
049_01	Och om de drar sig undan skall du veta att det är Guds vilja att straffa dem för några av deras synder; ja, många människor är sannerligen förhärdade i synd och trots!
050_00	Vill de kanske dömas efter den hedniska tidens lagar? Men för dem som har visshet [i tron] finns ingen bättre domare än Gud.
051_00	TROENDE!
051_01	Välj inte judar och kristna till era bundsförvanter - de stöder och skyddar varandra - och den av er som söker deras stöd och skydd blir en av dem. Gud vägleder inte de orättfärdiga.
052_00	Du ser att de vilkas hjärtan är sjuka av tvivel har bråttom att söka vinna deras [gunst].
052_01	De säger: "Vi fruktar att vår lycka skall vända sig." Men det kan hända att Gud skänker [de troende] segern eller ger Sin vilja till känna [på annat sätt], och då måste dessa människor [med sjuka sinnen] ångra sina [hemliga] tankar.
053_00	Och de troende säger: "Är dessa [verkligen] samma människor som svor sina heligaste eder vid Gud att de stod på vår sida? Alla deras strävanden har gått om intet och [nu] står de som förlorare!"
054_00	Troende!
054_01	Om någon av er avsvär sig sin tro, skall Gud [i deras ställe] sätta människor som Han älskar och som älskar Honom, anspråkslösa gentemot [andra] troende, omutligt fasta mot förnekarna av sanningen, [människor] som strävar och kämpar för Guds sak utan att bekymra sig om andras ogillande.
054_02	Detta är en nåd från Gud, som Han skänker åt den Han vill. Gud når överallt, vet allt.
055_00	Era beskyddare är inga andra än Gud och Hans Sändebud och de [övriga] troende - de som förrättar bönen och betalar allmoseskatten och som böjer rygg och knän [inför Gud].
056_00	De som söker skydd hos Gud och Hans Sändebud och de troende, dessa Guds trogna är det som [till sist] skall vinna seger.
057_00	Troende!
057_01	Välj inte till bundsförvanter dem som gör er tro till föremål för hån och skämt, vare sig de hör till dem som mottog uppenbarelsen före er tid eller till förnekarna - men frukta Gud, om ni är sanna troende -
058_00	de som, när kallelsen till bön ljuder, hånar och gör narr av den, därför att de är människor som inte använder sitt förstånd.
059_00	Säg: "Ni, efterföljare av äldre tiders uppenbarelser, har ni ingenting annat emot oss än detta att vi tror på Gud och på det som har uppenbarats för oss och på det som uppenbarades i äldre tid, medan ni [själva] - de flesta av er - är förhärdade i trots och olydnad?"
060_00	Säg: "Skall jag säga er vad som inför Gud förtjänar ett hårdare straff än detta?
060_01	[Det är vad de gjorde] som, därför att de dyrkade onda makter, drabbades av Guds fördömelse och Hans vrede och som Han förvandlade till apor och svin. Deras läge var sämre och de hade förirrat sig ännu längre bort från den raka vägen."
061_00	När [hycklarna] kom till er sade de: "Vi har antagit tron", men [i själva verket] hade de då redan beslutat förneka den, och med förnekelse i sinnet lämnade de er. Men Gud har full kunskap om vad de ville dölja.
062_00	Och du ser hur många av dem skyndar att begå synd och övervåld och att göra sig otillåtna vinster. Ja, skamligt är deras beteende!
063_00	Varför förbjuder dem inte deras andliga ledare och deras rabbiner att komma med syndiga [och osanna] påståenden och att göra sig otillåtna vinster? Ja, de begår de skamligaste handlingar!
064_00	Judarna påstår: "Guds händer är bundna." Deras händer skall bindas och de skall fördömas för dessa ord. Nej, Hans händer är tvärtom utsträckta.
064_01	Han fördelar [Sina gåvor] som Han vill. Och det [uppenbarelsens ljus] som är din Herres gåva till dig [Muhammad] skall helt säkert göra många av dem ännu övermodigare och förhärda dem i deras otro.
064_02	Vi har låtit fiendskap och hat uppstå bland dem [och så skall det vara] till Uppståndelsens dag. Var gång de tänder krigets eldar, låter Gud dem slockna. Deras hela strävan är att störa ordningen på jorden och att sprida sedefördärv - och Gud är inte vän av dem som stör ordningen på jorden.
065_00	Om efterföljarna av äldre tiders uppenbarelser ville tro [helt och fullt] och frukta Gud, skulle Vi helt visst förlåta dem deras dåliga handlingar och föra dem till lycksalighetens lustgårdar.
066_00	Om de i alla delar ville följa Tora och Evangeliet och det som har uppenbarats för dem av deras Herre [med denna Koran], skulle de få njuta himmelens och jordens alla gåvor.
066_01	Bland dem finns sådana som följer en rak kurs utan överdrifter eller avvikelser, men många av dem begår förkastliga handlingar.
067_00	FÖRKUNNA, du Sändebud, allt vad din Herre har uppenbarat för dig!
067_01	Gör du inte det, har du inte förmedlat Hans budskap. Gud skall skydda dig mot människorna; Gud vägleder inte förnekarna av sanningen!
068_00	Säg: "Ni står inte på [fast] grund, efterföljare av äldre tiders uppenbarelser, så länge ni inte [i allt] följer Tora och Evangeliet liksom det som er Herre [nu] har uppenbarat för er." Men det som din Herre [nu] har uppenbarat för dig [Muhammad] gör helt säkert många av dem ännu övermodigare och förhärdar dem i deras otro.
068_01	Men sörj inte över förnekarna!
069_00	De som tror [på denna Skrift] och de som bekänner den judiska tron och sabierna och de kristna - ja, [alla] som tror på Gud och den Yttersta dagen och som lever ett rättskaffens liv - skall förvisso få sin fulla lön av sin Herre och de skall inte känna fruktan och ingen sorg skall tynga dem.
070_00	VI SLÖT Vårt förbund med Israels barn och Vi sände sändebud till dem.
070_01	Var gång ett sändebud kom till dem med [budskap] som inte föll dem i smaken [vände de honom ryggen] - några kallade de lögnare och andra slår de ihjäl.
071_00	De trodde att inga prövningar skulle drabba dem och så slöt de ögon och öron [för sanningen]. Gud tog därefter emot deras ånger, men sedan slöt många av dem ögon och öron [på nytt]. Gud ser vad de gör.
072_00	De som säger: "Gud är Kristus, Marias son" förnekar sanningen; Kristus sade [själv]: "Israeliter!
072_01	Dyrka Gud, min Herre och er Herre." Gud utestänger den från paradiset som sätter medhjälpare vid Guds sida och Elden skall bli hans sista hemvist. För [dessa] syndare finns ingen hjälpare.
073_00	De som säger: "Gud är den tredje av ett tretal" förnekar sanningen - ingen annan gud finns än Gud, den Ende.
073_01	Och om de inte upphör med sina påståenden, kommer de bland dem som yttrar dessa hädelser förvisso att drabbas av ett plågsamt straff.
074_00	Varför ångrar de sig inte och ber om Hans förlåtelse? Gud är ständigt förlåtande, barmhärtig.
075_00	Ett sändebud, varken mer eller mindre, var Kristus, Marias son. [Andra] sändebud föregick honom och hans moder var en sanningsenlig kvinna.
075_01	Båda åt [jordisk] föda. Se hur Vi klargör [Våra] budskap för dem - hur förvirrade är inte deras begrepp! -
076_00	Säg: "Vill ni i Guds ställe dyrka vad som varken kan skada er eller gagna er? - Gud är Den som hör allt, vet allt."
077_00	Säg: "Efterföljare av Evangeliet!
077_01	Överskrid inte sanningens gränser i utövningen av er religion. Och rätta er inte efter önsketänkandet hos dem som förut gick vilse och drog många med sig och som helt har förlorat den raka vägen ur sikte."
078_00	FÖR DERAS trots och deras ständiga överträdelser [av Guds bud] förbannade David och Jesus, Marias son dem som förnekade sanningen bland Israels barn.
079_00	Den ene försökte inte avhålla den andre från att begå de onda handlingar som de begick; ja, de handlade förkastligt!
080_00	Du ser hur många [judar i Profetens stad] sluter sig till förnekarna och de onda handlingar som de har sänt framför sig [till Domen] har upptänt Guds vrede mot dem; deras straff skall vara i evighet.
081_00	Om de trodde på Gud och på sin Profet och på vad som har uppenbarats för honom skulle de inte ha tagit dessa [avgudadyrkare] till bundsförvanter; men många av dem är förhärdade i trots och synd.
082_00	Helt visst skall du finna att bland alla människor är judarna och avgudadyrkarna de hätskaste fienderna till dem som
082_01	tror [på denna Skrift]. Och du skall helt säkert finna att de som kommer dem närmast i vänskap av
082_02	alla människor är de som säger "Vi är kristna"; det finns nämligen bland dem präster och ordensfolk, som sällan visar högmod.
083_00	Och när de får höra det som har uppenbarats för Sändebudet, får du se hur deras ögon tåras [av rörelse], därför att de i detta känner igen en del av sanningen [och] de säger: "Herre, vi tror!
083_01	Räkna oss bland vittnena.
084_00	Skulle vi inte tro på Gud och på [all] sanning som vi har fått ta emot, när vår djupaste önskan är att vår Herre skall låta oss stiga in [i paradiset] med de rättfärdiga?"
085_00	Och för vad de har sagt skall Gud belöna dem med lustgårdar vattnade av bäckar, där de skall förbli till evig tid; detta är lönen till dem som gör det goda och det rätta.
086_00	Men de som förnekar sanningen och påstår att Våra budskap är lögn, de har helvetet till arvedel.
087_00	TROENDE! Neka er inte de goda ting [i livet] som Gud har gett er rätt att njuta av, men gå inte utöver [de gränser som Gud har fastställt] - Gud är inte överträdarnas vän.
088_00	Njut således av alla tillåtna goda ting som Gud har skänkt er för er försörjning och frukta Gud, målet för er tro.
089_00	GUD STÄLLER er inte till svars för eder som ni har svurit av obetänksamhet, men Han ställer er till svars för allvarligt menade eder.
089_01	Ni skall sona [edsbrott] genom att utspisa tio nödställda med mat jämförbar med den ni ger er familj eller förse dem med kläder eller genom att befria en människa ur slaveri; den som inte är [i stånd till detta] skall fasta under tre dagar.
089_02	Detta är boten för de [allvarligt menade] eder som ni svor [men inte höll].
089_03	Håll därför era eder. Så klargör Gud Sina budskap för er; kanske skall ni tacka Honom.
090_00	TROENDE! Rusdrycker och spel om pengar, alla hedniska bruk och spådomskonst är ingenting annat än Djävulens skamliga påfund; håll er borta från allt sådant, för att det skall gå er väl i händer.
091_00	Djävulen vill med hjälp av rusdrycker och spel om pengar framkalla fiendskap och hat mellan er och få er att glömma Gud och plikten att förrätta bönen.
091_01	Vill ni inte upphöra [med allt detta]?
092_00	Lyd Gud och lyd Sändebudet och var på er vakt! Och om ni vänder om [och går en annan väg] skall ni veta att Vårt Sändebuds enda plikt är att klart framföra det budskap [som han anförtrotts].
093_00	De som tror och lever rättskaffens skall inte göra sig förebråelser för vad de [förut] har ätit och druckit, om de fruktar Gud och [håller fast vid] tron och lever ett rättskaffens liv; låt det sägas än en gång: [de har ingenting att förebrå sig om de] fruktar Gud och [håller fast vid] tron - ja, ännu en gång: [de skall] frukta Gud och [sträva efter att] göra det goda och det rätta.
093_01	Gud älskar dem som gör det goda och det rätta.
094_00	TROENDE!
094_01	Gud skall sätta er på prov genom det vilt som ni under jakt kan fånga med era händer och fälla med era spjut, så att [ni får visa] Gud vem som fruktar Honom, trots att Han inte kan ses eller förnimmas. Den som hädanefter bryter mot [detta påbud] har ett plågsamt straff att vänta.
095_00	Troende!
095_01	Döda inte vilt då ni befinner er på vallfärd.
095_02	Den av er som [då] med avsikt nedlägger vilt [skall utge] bot i kreatur, motsvarande [i värde] vad han har dödat, vilket skall fastställas av två rättsinniga män ibland er, en offergåva att överlämnas till Ka`bah; som botgöring kan han i stället ge de behövande mat eller fasta i motsvarande mån, så att han får erfara följderna av sin handling.
095_03	Gud utplånar det som har varit, men den som återfaller [i denna synd] undgår inte Guds straff. Gud är en mäktig hämnare.
096_00	Det som fiske i hav [och andra vatten] kan ge och allt ätligt som kan hämtas därifrån är tillåtet för er, till nytta och glädje för er och för dem som befinner sig på resa, medan jakt till lands är förbjuden för er under pågående vallfärd.
096_01	Och frukta Gud - det är till Honom ni skall samlas åter.
097_00	Gud har låtit uppföra helgedomen Ka`bah som ett stöd för människorna [i fullgörandet av deras religiösa och världsliga plikter]; och [gett er] den helgade månaden och
097_01	de bekransade offerdjuren, [symboler som lär er] att Gud känner allt det som himlarna rymmer och det som jorden bär och att Gud har kunskap om allt.
098_00	Ni skall veta att Gud straffar med stränghet och [likväl] är Gud ständigt förlåtande, barmhärtig.
099_00	Sändebudets enda uppgift är att framföra det budskap [som blivit honom anförtrott] - men Gud vet vad ni öppet tillkännager och vad ni vill dölja.
100_00	Säg: "Även om du [människa] lockas av det onda på grund av dess rikliga förekomst, kan det inte ställas sida vid sida med det goda. Frukta därför Gud, ni som har förstånd; kanske skall det gå er väl i händer."
101_00	TROENDE!
101_01	Fråga inte om saker som, om de förklarades för er, kan leda till att [ytterligare] bördor läggs på er; ställer ni frågor medan uppenbarelsen av Koranen pågår, skall de nämligen klargöras för er. [Men] Gud har förlåtit er [om ni har ställt sådana frågor] - Gud är ständigt förlåtande, mild och överseende.
102_00	Människor som levde före er ställde sådana frågor, och resultatet av detta blev att de [till sist] förnekade sin tro.
103_00	BRUKET ATT skilja ut djur ur era hjordar och undanta dem från allt arbete har inte instiftats av
103_01	Gud; men förnekarna av sanningen sätter ihop lögner om Gud och de flesta av dem använder inte sitt förstånd.
104_00	Och när de hör uppmaningen: "Kom och slut upp kring det som Gud har uppenbarat och kring Profeten", svarar de:
104_01	"För oss räcker det som var våra förfäders tro." Men om deras förfäder inte använde sitt förstånd och saknade all vägledning
105_00	Troende! Era själar är ert ansvar.
105_01	Om ni är rätt vägledda, kan de som har gått vilse inte skada er. Till Gud skall ni alla samlas åter och Han skall låta er veta vad era handlingar [var värda].
106_00	TROENDE! När någon bland er känner döden nalkas och vill förordna [om sin kvarlåtenskap, skall han tillkalla som] vittnen två av era rättsinniga män eller
106_01	- om han befinner sig på resa och tror att döden är nära - två andra utanför [ert samfund]. Håll dem kvar efter bönen och
106_02	om ni tvekar [om deras trovärdighet] låt dem svära vid Gud: "Vi skall inte göra oss någon vinst av detta, inte ens [till förmån] för
106_03	en nära anförvant, och vi skall inte undanhålla vad vi på Guds befallning har bevittnat - i annat fall skulle vi sannerligen höra till förbrytarna och syndarna."
107_00	Och om det visar sig att de två [vittnena] gjort sig skyldiga till [sådan] synd, då skall två andra som står närmast till bland dem vars rätt har kränkts träda i
107_01	deras ställe och de skall svära vid Gud: "Vårt vittnesbörd är sannare än deras och vi har inte överträtt [Guds bud] - i annat fall skulle vi sannerligen höra till de orättfärdiga."
108_00	Detta [tillvägagångssätt] ökar sannolikheten att sanna vittnesbörd avges; vittnena måste annars vara rädda att [andras] eder därefter ställs mot deras eder.
108_01	Frukta därför Gud och lyd [Hans befallningar]; Gud vägleder sannerligen inte trotsiga syndare.
109_00	DEN DAG då Gud samlar sändebuden och frågar: "Vilket gensvar fick ni?" - kommer de att svara: "[Om det] vet Vi ingenting; Du [ensam] känner det som är dolt för människor."
110_00	Då skall Gud säga: "Jesus, son av Maria! Minns Mina välgärningar mot dig och din moder - hur Jag stärkte dig med helig ande [och lät dig]
110_01	tala till människorna både i vaggan och i mogen ålder och hur Jag delgav dig uppenbarelsen och visdom och Tora och Evangeliet och hur du ville med
110_02	Min tillåtelse forma något liknande en fågel i lera och andas på den för att den med Min tillåtelse skulle bli en fågel och hur du med
110_03	Mitt tillstånd botade de blinda och de spetälska och hur du väckte de döda till liv med Mitt tillstånd och hur Jag höll tillbaka israeliterna [som ville
110_04	döda dig] när du kom till dem med klara bevis, och de av dem som förnekade sanningen sade: "Detta är helt uppenbart ingenting annat än bländande och förhäxande vältalighet!"
111_00	OCH [MINNS] hur Jag ingav de vitklädda tron på Mig och Mitt Sändebud [så att] de förklarade: "Vi tror; var du därför vårt vittne att vi har underkastat oss Guds vilja."
112_00	Och de vitklädda sade: "Jesus, son av Maria!
112_01	Kan din Herre låta ett bord [dukat till måltid] sänka sig ned till oss från himlen?" [Och Jesus] svarade: "Frukta Gud, om ni har sann tro!"
113_00	De sade: "Vi vill smaka [en sådan måltid], så att våra hjärtan får ro och vi får veta att det som du har sagt oss är sanningen, och så att vi kan vara dina vittnen."
114_00	Och Jesus, Marias son, sade: "Gud, vår Herre! Låt en måltid från himlen sänka sig ned till oss; den skall bli en högtid för oss, för den förste och den siste, och ett tecken från Dig.
114_01	Och försörj oss [med det som vi behöver]! Du är den bäste Försörjaren."
115_00	Gud svarade: "Ja, Jag skall låta denna [måltid] sänka sig ned till er, men om efter detta någon av er förnekar [tron] skall Jag låta honom utstå ett straff som ingen i hela världen fått utstå."
116_00	OCH GUD skall säga: "Jesus, son av Maria!
116_01	Är det du som uppmanade människorna att dyrka dig och din moder som gudomliga väsen vid sidan av Gud?" [Jesus] skall svara: "Stor är Du i Din härlighet!
