001_00	UPPENBARELSEN av denna Skrift är Guds, den Allsmäktiges, den Vises, verk.
069_00	Och jorden skall lysa med sin Herres ljus. Och boken [där allas handlingar är upptecknade] skall tas fram och profeterna och [de andra] vittnena tillkallas, och alla skall dömas på en grund av sanning och ingen skall tillfogas orätt.
070_00	Och var och en skall få den fulla lönen för sina handlingar - Han vet nämligen allt vad de gjorde.
071_00	Och de som förnekade sanningen skall drivas mot helvetet, skara efter skara, och när de når fram öppnas dess portar och
071_01	väktarna säger till dem: "Har inte sändebud ur era egna led kommit och framfört er Herres budskap till er och påmint
071_02	er om mötet denna Dag?" Och de skall svara: "Jo, [så är det]." Men [Guds] straffdom har oåterkalleligen fallit över förnekarna
072_00	och [väktarna] säger: "Gå in genom helvetets portar - där skall ni förbli till evig tid!" Usel är den boning [som är förberedd] för dem som syndade av högmod!
073_00	Och de som fruktade sin Herre skall ledas mot paradiset, skara efter skara, och när de når fram står [redan] dess portar öppna och väktarna säger: "Fred vare med er, ni goda människor!
073_01	Stig in [i paradiset]! Här skall ni förbli till evig tid!"
074_00	Och de [saliga] skall säga: "Låt oss lova och prisa Gud, som har uppfyllt Sitt löfte och gett oss [detta] land till arvedel, [denna] lustgård där vi får slå oss ned var vi har lust!" Ja, makalös är den belöning [som är förberedd] för dem som arbetar och strävar [för Guds sak]!
075_00	Och du skall se änglarna omge [Allmaktens] tron med lovsång till sin Herres ära. Och rättvisa domar har fällts och [alla] höjer ropet: "Allt lov och pris tillkommer Gud, världarnas Herre!"
