001_00	Alif lam meem.
017_00	De som ni dyrkar i Guds ställe är bara bilder utan liv, och [på så sätt] ger ni verklighet åt en lögn.
017_01	De som ni tillber i Guds ställe kan inte sörja för era behov. Be därför Gud om er försörjning, dyrka Honom och tacka Honom; det är till Honom ni skall föras åter.
018_00	Och kallar ni [mig] lögnare, så har [andra] folk före er beskyllt [sina profeter] för lögn. Och på Sändebudet har ingen annan uppgift [lagts] än att med klarhet framföra [sitt budskap]."
019_00	SER INTE [förnekarna av sanningen de spår som visar] hur Gud inleder skapelsen? När tiden är inne skall Han förnya den? Detta är lätt för Gud.
020_00	Säg: "Gå ut i världen och se [dessa spår som visar] hur Han har inlett skapandet! - Till sist, när tiden är inne, skall Gud frambringa den sista skapelsen. Gud har allting i Sin makt.
021_00	Han straffar den Han vill och förbarmar sig över den Han vill och till Honom skall ni föras åter;
022_00	och ni kan inte trotsa [Hans vilja] vare sig på jorden eller i himlen, och ni har ingen annan beskyddare eller hjälpare än Gud."
023_00	De som framhärdar i att förneka sanningen i Guds budskap och [människans kommande] möte med Honom, för dem är allt hopp om Min nåd och Min barmhärtighet ute och [i det kommande livet] väntar dem ett svårt lidande.
024_00	[ABRAHAMS] folk svarade honom inte, men [några] sade [till de andra]: "Döda honom eller bränn honom [på bål]!" - men Gud räddade honom undan elden. I detta ligger förvisso budskap till människor som vill tro!
025_00	Och [Abraham] sade: "[Det är inte av egen övertygelse som] ni i Guds ställe dyrkar dessa avgudar, [utan] på grund av de känslor av vänskap [och solidaritet] som förenar er i detta liv.
025_01	Men på Uppståndelsens dag skall ni ta avstånd från varandra och förbanna varandra, och Elden skall bli er slutliga hemvist och [där] skall ingen hjälpa er.
026_00	Lot, [den ende] som trodde på honom, sade: "Jag vill lämna ondskans rike och vända åter till min Herre. Det är Han som är den Allsmäktige, den Vise!"
027_00	Och Vi skänkte [Abraham sonen] Isak och [sonsonen] Jakob och kallade flera av hans efterkommande till profeter och skänkte dem uppenbarelsen.
027_01	Och Vi gav honom hans lön i denna värld och i det kommande livet har han sin plats bland de rättfärdiga.
028_00	OCH [MINNS] att Lot sade till sitt folk: "Ni begår sådana skamlösa handlingar som ingen i världen någonsin begått före er!
029_00	Ni nalkas ju män, [upptända av lust], och går tvärs emot naturens vägar.
029_01	Och ni gör det [öppet], när ni samlas till era skamliga sammankomster!" Hans folks enda svar var: "Be då Gud straffa oss, om du talar sanning!"
030_00	[Då] bad han: "Herre! Hjälp mig mot dem som stör ordningen på jorden och sprider [sådant] sedefördärv!"
031_00	Och när Våra sändebud kom till Abraham med det glada budskapet [om Isaks födelse], sade de: "Vi skall förinta folket i detta land; de är sannerligen onda människor."
032_00	[Abraham] sade: "Lot är [bosatt] där" - och de svarade: "Vi vet mycket väl vem som bor där; vi skall helt visst rädda honom och [hela] hans familj med undantag av hans hustru, som skall vara bland dem som blir kvar."
033_00	Och när Våra sändebud kom till Lot såg han att han inte hade möjlighet att skydda dem och blev bedrövad; men de sade: "Var inte bekymrad och sörj inte!
033_01	Vi skall rädda dig och de dina utom din hustru, som är bland dem som skall bli kvar.
034_00	Vi är utsända [för att låta] ett straff från ovan [drabba] folket i detta land på grund av deras synd och deras trots."
035_00	Och av [detta straff] har Vi efterlämnat spår som ett tydligt tecken för dem som använder sitt förstånd.
036_00	TILL [folket i] Madyan [sände Vi] deras broder Shu`ayb. Han sade: "Dyrka Gud, mitt folk, och tänk på den Yttersta dagen! Sprid inte sedefördärv och annat ont på jorden!"
037_00	Men de kallade honom lögnare. Då drabbades de av ett jordskalv och morgonen fann dem liggande framstupa i sina hem.
038_00	OCH [VI lät även stammarna] Aad och Thamud gå under, vilket ni lätt kan se av [vad som återstår av] deras boplatser. Djävulen skönmålade för dem deras handlingar och spärrade [Guds] väg för dem, trots att de var klarsynta människor.
039_00	Och Qarun och Farao och Haman [lät Vi gå under på liknande sätt]. Moses kom till dem med bevis [för sanningen], men i sitt högmod [vände de honom ryggen]; [Vårt straff] kunde de emellertid inte komma undan.
040_00	Var och en av [dessa förnekare] straffade Vi för hans synd.
040_01	Mot några av dem sände Vi en fruktansvärd orkan, några gick under i [en katastrof åtföljd av] ett [underjordiskt] dån, några slukades av jorden och några dränkte Vi [i havet].
040_02	Gud gjorde dem ingen orätt - det var de som gjorde sig själva orätt.
041_00	DE SOM tar andra än Gud till beskyddare kan liknas vid spindeln som väljer det allra bräckligaste hus till sin bostad.
041_01	Om de bara visste [vilket bräckligt skydd de får]!
042_00	Gud vet vad de anropar i Hans ställe; Han är den Allsmäktige, den Vise.
043_00	Dessa liknelser framställer Vi för människorna, men bara de som har [sann] kunskap förstår dem helt och fullt,
044_00	[de som vet] att Gud har skapat himlarna och jorden i enlighet med en plan och ett syfte. I detta ligger helt visst ett budskap till dem som tror.
045_00	LÄS VAD som har uppenbarats för dig av denna Skrift och förrätta bönen. Bönen avhåller [den bedjande] från skamlösa handlingar och allt som strider mot rimlighet och förnuft.
045_01	Men först och störst är åkallandet av Guds namn. Och Gud vet vad ni gör.
046_00	Och ge er inte in i diskussioner med efterföljarna av tidigare uppenbarelser annat än på det hövligaste och mest hänsynsfulla sätt - utom med sådana bland dem som vill väcka förargelse - och
046_01	säg: "Vi tror på det som har uppenbarats för oss och det som har uppenbarats för er, och vår Gud och er Gud är en och samme Gud och vi underkastar oss Hans vilja."
047_00	Det är så som Vi har uppenbarat Skriften för dig, och de som [i äldre tider] mottog uppenbarelsen tror på den, och bland dessa [andra] finns de som tror på den.
047_01	Ingen avvisar [mot bättre vetande] Våra budskap utom de som är beredda att förneka [den uppenbara] sanningen.
048_00	Du har aldrig läst upp [något ur en] uppenbarad Skrift innan denna [uppenbarades för dig]; inte heller har du egenhändigt skrivit ned något [ur en Skrift]; annars kunde de som ifrågasätter [uppenbarelsens sanning] haft fog för sina tvivel.
049_00	Nej, denna [Skrift] utgörs av budskap vars innebörd är klar för dem som har hjärtan upplysta av verklig kunskap, och ingen avvisar [mot bättre vetande] Våra budskap utom de orättfärdiga.
050_00	Och de säger: "Varför har hans Herre inte gett honom ett tecken?" Säg: "Gud ensam råder över tecken och under; jag är ingenting mer än en varnare, som varnar klart och entydigt."
051_00	Är det inte nog för dem att Vi har uppenbarat för dig [denna] Skrift [så att] den kan läsas upp för dem? I den ligger nåd och en påminnelse till dem som vill tro.
052_00	Säg [till förnekarna och tvivlarna]: "Utöver Gud behövs inga vittnen mellan mig och er.
052_01	Han känner allt i himlarna och på jorden; och de som framhärdar i att tro på lögnen och att förneka Gud är de som skall stå som förlorare.
053_00	Och de [låtsas] önska att du skall skynda på straffet, som redan skulle ha drabbat dem om inte [Gud] hade utsatt en frist. Men det kommer med säkerhet att drabba dem och det [skall ske] plötsligt, när de minst anar det.
054_00	Ja, de [säger sig] önska att du skall skynda på straffet. Men helvetet skall omsluta dem som förnekade sanningen
055_00	en Dag då plågorna skall täcka dem ovanifrån och [stiga upp] från fotsulorna och [en röst] skall säga: "Smaka [frukten] av era handlingar!"
056_00	MINA troende tjänare! Min jord är vid nog - [bege er dit där ni fritt kan] dyrka Mig!
057_00	Varje människa skall smaka döden. Därefter skall ni föras åter till Oss,
058_00	och åt dem som valde tron och levde ett rättskaffens liv skall Vi skänka de högst belägna boningarna i paradiset med bäckar porlande nedanför, där de skall förbli till evig tid. En härlig belöning för deras möda,
059_00	de som höll ut i motgången och som satte sin lit till sin Herre!
060_00	Hur många varelser saknar inte förmåga att sörja för sig själva! Gud sörjer för dem liksom för er. Han är Den som hör allt, vet allt.
061_00	Och om du frågar [människorna]: "Vem är det som har skapat himlarna och jorden och underordnat solen och månen [under Sina lagar]?" svarar de säkerligen: "Det är Gud." Hur förvirrade är inte deras begrepp!
062_00	Gud ger den Han vill av Sina tjänare riklig och den [Han vill] knappare utkomst. Gud har full kunskap om allt.
063_00	Och om du frågar: "Vem låter regn strömma från skyn och ger med detta nytt liv åt den jord som
063_01	varit död?" svarar de säkerligen: "Gud." Säg: "Gud ske lov och pris!" Men de flesta [människor] använder inte sitt förstånd.
064_00	Detta jordiska liv är [knappast mer än] lek och flyktig glädje, men i evighetens boningar [väntar] livet i dess fullhet. Ack, om de visste...!
065_00	När de [skall företa en sjöresa och] går ombord, ber de om Guds [beskydd] med ren och uppriktig tro; men när Han har låtit dem [oskadda] stiga i land, sätter de gudar vid Hans sida
066_00	och visar därmed sin brist på tacksamhet för den [nåd] Vi har skänkt dem, och går [på nytt helt] upp i de jordiska fröjderna. Men en dag skall de få veta [sanningen].
067_00	Har de inte sett att Vi har gjort [deras stad] till en säker tillflykt, medan övergrepp mot människor [och deras egendom ständigt] äger rum runt omkring dem? Kan de ändå [fortsätta att] tro på lögnen och förneka Guds välgärningar
068_00	Och vem är orättfärdigare än den som sätter ihop lögner om Gud eller förnekar sanningen när den når honom? Är inte helvetet ett [lämpligt] tillhåll för [dessa] förnekare
069_00	Men dem som strävar och kämpar för Vår sak skall Vi sannerligen leda på de vägar som för till Oss. Gud är alltid med dem som gör det goda och det rätta.
