001_00	Elif, Lam, Ra. Bunlar, gerçeği açıklayan Kitap'ın ayetleridir.
027_00	Yusuf: "Beni kendine o çağırdı" dedi. Kadın tarafından bir şahit, "Eğer gömleği önden yırtılmışsa kadın doğru söylemiş, erkek yalancılardandır; şayet gömleği arkadan yırtılmışsa kadın yalan söylemiştir, erkek doğrulardandır" diye şahidlik etti.
028_00	Kocası gömleğin arkadan yırtılmış olduğunu görünce, karısına hitaben "Doğrusu bu sizin hilenizdir, siz kadınların fendi büyüktür" dedi. Yusuf'a dönerek: "Yusuf! Sen bundan kimseye bahsetme"; kadına dönerek: "Sen de günahının bağışlanmasını dile, çünkü suçlulardansın" dedi.
029_00	Kocası gömleğin arkadan yırtılmış olduğunu görünce, karısına hitaben "Doğrusu bu sizin hilenizdir, siz kadınların fendi büyüktür" dedi. Yusuf'a dönerek: "Yusuf! Sen bundan kimseye bahsetme"; kadına dönerek: "Sen de günahının bağışlanmasını dile, çünkü suçlulardansın" dedi.
030_00	Şehirde bir takım kadınlar: "Vezirin karısı kölesinin olmak istiyormuş; sevgisi bağrını yakmış; doğrusu onun besbelli sapıtmış olduğunu görüyoruz." dediler.
031_00	Kadınların kendisini yermesini işitince onları davet etti; koltuklar hazırladı; geldiklerinde her birine birer bıçak verdi.
031_01	Yusuf'a: "Yanlarına çık" dedi. Kadınlar Yusuf'u görünce şaşıp ellerini kestiler ve "Allah'ı tenzih ederiz ama, bu insan değil ancak çok güzel bir melektir" dediler.
032_00	Vezirin karısı: "İşte sözünü edip beni yerdiğiniz budur.
032_01	And olsun ki onun olmak istedim, fakat o iffetinden dolayı çekindi. Emrimi yine yapmazsa, and olsun ki hapse tıkılacak ve kahre uğrayanlardan olacak."
033_00	Yusuf: "Rabbim! Hapis benim için, bunların istediklerini yapmaktan daha iyidir. Eğer tuzaklarını benden uzaklaştırmazsan onlara meyleder ve bilmeyenlerden olurum." dedi.
034_00	Rabbi onun duasını kabul etti ve kadınların tuzağına engel oldu. Zira O, işitir ve bilir.
035_00	Sonra, kadının ailesi delilleri Yusuf'un lehinde gördüğü halde, onu bir süre için hapsetmeyi uygun buldu.
036_00	Hapse, onunla beraber, iki genç daha girdi.
036_01	Biri, "Rüyamda şaraplık üzüm sıktığımı gördüm" dedi; diğeri "Başımın üzerinde, kuşların yediği bir ekmek taşıdığımı gördüm" dedi. "Bize bunu yorumla; senin iyi bir kimse olduğunu görüyoruz"
037_00	Yusuf: "Rabbimin bana öğrettiği bilgi ile, daha yiyeceğiniz yemek gelmeden size onu yorumlarım.
037_01	Doğrusu ben, Allah'a inanmayan ve ahireti inkar eden, bir milletin dinini bırakmışımdır.
038_00	Atalarım İbrahim, İshak ve Yakub'un dinine uydum.
038_01	Allah'a herhangi bir ortak koşmak bize yaraşmaz; bu, Allah'ın bize ve insanlara olan lütfudur; fakat insanların çoğu şükretmez" dedi.
039_00	"Ey mahpus arkadaşlarım! Ayrı ayrı bir sürü uydurma rabler mi daha iyidir, yoksa her şeyden üstün tek Allah mı?"
040_00	"Allah'ı bırakıp taptığınız, sizin ve babalarınızın adlandırdığı putlardan başka bir şey değildir. Allah onların doğru olduğuna dair bir delil indirmemiştir.
040_01	Hüküm vermek ancak Allah'a aittir; kendisinden başkasına değil, O'na tapmanızı emretmiştir. Bu, dosdoğru dindir, fakat insanların çoğu bilmezler".
041_00	"Ey mahpus arkadaşlarım!
041_01	Biriniz efendinize şarap sunacak, diğeri asılacak ve kuşlar başından yiyecektir. Sorduğunuz iş işte böylece kesinleşmiştir."
042_00	İkisinden, kurtulacağını sandığı kimseye Yusuf: "Efendinin yanında beni an" dedi. Ama şeytan efendisine onu hatırlatmayı unutturdu ve Yusuf bu yüzden daha birkaç yıl hapiste kaldı.
043_00	Hükümdar: "Ben, yedi semiz ineği yedi zayıf ineğin yediğini; yedi yeşil başak ve bir o kadar da kurumuş başak görüyorum.
043_01	Ey ileri gelenler! Eğer rüya yormasını biliyorsanız rüyamı söyleyiniz." dedi.
044_00	Etrafındakiler: "Bir takım karışık rüyalar; biz böyle rüyaların yorumunu bilmeyiz" dediler.
045_00	Hapisteki iki kişiden kurtulmuş olanı, nice zaman sonra Yusuf'u hatırladı ve: "Ben size bunu yorumlayacağım, hele beni gönderin" dedi.
046_00	Hapishaneye varıp: "Ey doğru sözlü Yusuf!
046_01	Rüyada görülen yedi semiz ineği yedi zayıf ineğin yemesi; yedi yeşil başak ve bir o kadar kuru başak nedir? Bize yorumla, ben de insanlara ulaştırayım da bilsinler" dedi.
047_00	Yusuf: "Devamlı yedi sene ekin ekip, biçtiğiniz ekinin yediğinizden artanını başağında bırakın."
048_00	"Sonra bunun ardından yedi kurak yıl gelir, bütün biriktirdiğinizi yer, yalnız az bir miktar saklarsınız."
049_00	"Sonra, halkın yağmur göreceği bir yıl gelir, o zaman sıkıp sağarlar" dedi.
050_00	Hükümdar: "Onu bana getirin" dedi.
050_01	Yusuf'a elçi gelince, "Efendine dön, kadınlar niçin ellerini kesmişlerdi bir sor; doğrusu Rabbim onların hilesini bilir" dedi.
051_00	Hükümdar kadınlara: "Yusuf'un olmak istediğiniz zaman durumunuz neydi?" dedi. Kadınlar, "Haşa!
051_01	Onun bir fenalığını görmedik" dediler. Vezirin karısı: "Şimdi gerçek ortaya çıktı; onun olmak isteyen bendim; doğrusu Yusuf doğrulardandır" dedi.
052_00	Yusuf, "Maksadım, vezire, gıyabında ihanet etmediğimi, hainlerin tuzaklarını Allah'ın başarıya erdirmediğini bilmesini sağlamaktı" dedi.
053_00	"Ben nefsimi temize çıkarmam; çünkü nefs, Rabbimin merhameti olmadıkça, kötülüğü emreder. Doğrusu Rabbim bağışlayandır, merhamet edendir."
054_00	Hükümdar: "Onu bana getirin, yanıma alayım" dedi. Onunla konuşunca: "Bugün senin yanımızda önemli bir yerin ve güvenilir bir durumun vardır." dedi.
055_00	Yusuf: "Beni memleketin hazinelerine memur et, çünkü ben korumasını ve yönetmesini bilirim" dedi.
056_00	Yusuf'u böylece o memlekete yerleştirdik; istediği yerlerde oturabilirdi. Rahmetimizi tıpkı bu misalde olduğu gibi istediğimize veririz; iyi davrananların ecrini zayi etmeyiz.
057_00	Ama ahiret ecri, inananlar ve Allah'a karşı gelmekten sakınanlar için daha iyidir.
058_00	Yusuf'un kardeşleri gelip yanına girdiler. Kendisini tanımadıkları halde o onları tanıdı.
059_00	Onların yüklerini hazırlatınca şöyle dedi: "Baba bir kardeşinizi bana getirin. Sizlere ölçüyü bol tuttuğumu ve benim misafir konuklayanların en iyisi olduğumu görmüyor musunuz?"
060_00	"Eğer onu bana getirmezseniz bundan böyle benden bir ölçek bile alamazsınız ve bana artık yaklaşmayın da."
061_00	Kardeşleri: "Babasını ikna etmeye çalışacağız ve her halde bunu yaparız" dediler.
062_00	Yusuf adamlarına: "Karşılık olarak getirdiklerini de yüklerine koyun. Belki ailelerine varınca, onu anlarlar da bir daha dönerler" dedi.
063_00	Babalarına döndüklerinde, "Ey babamız! Bize yiyecek yasak edildi, kardeşimizi bizimle beraber gönder de yiyecek alalım. Onu elbette koruruz" dediler.
064_00	"Daha önce kardeşini size emanet ettiğim gibi, şimdi onu emanet eder miyim? Ama Allah en iyi koruyandır, O merhametlilerin merhametlisidir" dedi.
065_00	Yüklerini açınca karşılık olarak götürdükleri mallarının kendilerine iade edilmiş olduğunu gördüler.
065_01	"Ey babamız! Daha ne isteriz; işte mallarımız da bize iade edilmiş; ailemize onunla yine yiyecek getirir, kardeşimizi de korur ve bir deve yükü de artırmış oluruz; esasen bu az bir şeydir" dediler.
066_00	Babaları: "Hepiniz helak olmadıkça onu bana geri getireceğinize dair Allah'a karşı sağlam bir söz vermezseniz, sizinle göndermeyeceğim" dedi.
066_01	Söz verdiklerinde: "Sözümüze Allah vekildir" dedi.
067_00	Babaları: "Oğullarım!
067_01	Tek bir kapıdan değil, ayrı ayrı kapılardan girin. Ama Allah katında size bir faydam olmaz, hüküm ancak Allah'ındır, O'na güvendim, güvenenler de O'na güvensinler" dedi.
068_00	Babalarının emrettiği gibi girdiler.
068_01	Esasen bu, Allah katında onlara bir fayda sağlamazdı, ancak Yakub içindeki arzuyu ortaya koymuş oldu. O, şüphesiz kendisine öğrettiğimizi bilir fakat insanların çoğu bilmezler.
069_00	Yusuf'un yanına girdiklerinde, kardeşini bağrına bastı ve: "Ben senin kardeşinim, onların yaptıklarına artık üzülme" dedi.
070_00	Yusuf onların yüklerini yükletirken, bir su kabını kardeşinin yüküne koydurdu. Sonra bir münadi şöyle bağırdı: "Ey kervancılar, siz hırsızsınız!"
071_00	Geri dönerek, "Ne kaybettiniz?" dediler.
072_00	"Hükümdarın su kabını kaybettik, onu getirene bir deve yükü mükafat verilecek, buna ben kefil oluyorum" dediler.
073_00	"Allah'a yemin ederiz ki memleketi ifsat etmeğe gelmediğimizi ve hırsız da olmadığımızı biliyorsunuz" dediler.
074_00	"Yalancı iseniz, hırsızlığın cezası nedir?" dediler.
075_00	"Cezası, kimin yükünde bulunursa, ceza olarak ona el konulur; biz zalimleri böyle cezalandırırız" dediler.
076_00	Yusuf kardeşinin yükünden önce onlarınkini aramaya başladı; sonra kardeşinin yükünden su kabını çıkardı. İşte biz Yusuf'a böyle bir plan kullanmasını vahyettik.
076_01	Çünkü hükümdarın kanunlarına göre kardeşini alıkoyamazdı, meğer ki Allah dileye. Dilediğimizi derecelerle yükseltiriz. Her ilim sahibinden üstün bir bilen bulunur.
077_00	"Çalmışsa, daha önce kardeşi de çalmıştı" dediler.
077_01	Yusuf bunu içinde sakladı, onlara açmadı. İçinden, "Durumunuz pek kötüdür; anlattığınızı Allah daha iyi bilir" dedi.
078_00	Kardeşleri: "Ey Vezir! Onun yaşlanmış, kocamış bir babası vardır. Bizden birini onun yerine al. Doğrusu biz senin iyi davrananlardan olduğunu görüyoruz" dediler.
079_00	"Maazallah! Biz, malımızı kimde bulmuşsak ancak onu alıkoruz, yoksa haksızlık etmiş oluruz" dedi.
080_00	Ümidsizliğe düşünce, konuşmak üzere bir kenara çekildiler.
080_01	Büyükleri şöyle dedi: "Babanızın Allah'a karşı sizden bir söz aldığını, daha önce Yusuf meselesinde de ileri gittiğinizi bilmiyor musunuz?
080_02	Artık babam bana izin verene veya Allah hakkımda hüküm verene kadar ki O, hükmedenlerin en iyisidir bu yerden ayrılmayacağım. Siz dönün, babanıza gidin ve deyin ki: Ey Babamız! Senin oğlun hırsızlık yaptı, bu bildiğimizden başka bir şey görmedik; görülmeyeni de bilmeyiz; bulunduğumuz kasabanın halkına ve beraberinde olduğumuz kervana da sorabilirsin; biz şüphesiz doğru söylüyoruz."
081_00	Yakup: "Sizi nefsiniz bir iş yapmaya sürükledi, artık bana güzelce sabır gerekir; belki Allah hepsini birden bana getirecektir, çünkü O bilendir, hakimdir" dedi.
082_00	Onlara sırt çevirdi, "Vah, Yusuf'a yazık oldu!" dedi ve üzüntüden gözlerine ak düştü. Artık acısını içinde saklıyordu.
083_00	Onlara sırt çevirdi, "Vah, Yusuf'a yazık oldu!" dedi ve üzüntüden gözlerine ak düştü. Artık acısını içinde saklıyordu.
084_00	Onlara sırt çevirdi, "Vah, Yusuf'a yazık oldu!" dedi ve üzüntüden gözlerine ak düştü. Artık acısını içinde saklıyordu.
085_00	"Allah'a yemin ederiz ki, Yusuf'u anıp durman seni bitkin düşürecek veya helak olacaksın" dediler.
086_00	Yakup: "Ben üzüntü ve tasamı yalnız Allah'a açarım. Allah katından, sizin bilmediklerinizi bilirim" dedi.
087_00	"Ey Oğullarım! Gidin, Yusuf'u ve kardeşini arayın. Allah'ın rahmetinden ümidinizi kesmeyin; doğrusu kafirlerden başkası Allah'ın rahmetinden ümidini kesmez."
088_00	Kardeşleri vezirin yanına vardıklarında: "Ey Vezir!
088_01	Biz ve çoluk çocuğumuz darlığa uğradık; pek değersiz bir malla geldik; ölçeği bize tam yap ve sadaka ver; Allah sadaka verenleri şüphesiz mükafatlandırır" dediler.
089_00	"Siz, Yusuf ve kardeşine bilmeden neler yaptığınızın farkında mısınız?" dedi.
090_00	"Yoksa sen Yusuf musun?" dediler.
090_01	"Ben Yusuf'um, bu da kardeşim. Allah bize iyilikte bulundu; doğrusu kim kötülükten sakınır ve sabrederse bilsin ki Allah iyi davrananların ecrini katiyen zayi etmez" dedi..
091_00	"Allah'a yemin ederiz ki, Allah seni bizden üstün tutmuştur; doğrusu biz suç işlemiştik" dediler.
092_00	Yusuf: "Bugün azarlanacak değilsiniz, Allah sizi bağışlar. O, merhametlilerin merhametlisidir. Bu gömleğimi götürün, babamın yüzüne sürün, görmeğe başlar; bütün çoluk çocuğunuzla bana gelin" dedi.
093_00	Yusuf: "Bugün azarlanacak değilsiniz, Allah sizi bağışlar. O, merhametlilerin merhametlisidir. Bu gömleğimi götürün, babamın yüzüne sürün, görmeğe başlar; bütün çoluk çocuğunuzla bana gelin" dedi.
094_00	Kervan, memleketlerine dönmek üzere ayrıldığında, babaları: "Doğrusu ben Yusuf'un kokusunu duyuyorum; ne olur bana bunak demeyin" dedi.
095_00	Çevresindekiler: "Allah'a yemin ederiz ki sen, hala eski şaşkınlığındasın" dediler.
096_00	Müjdeci gelip, gömleği Yakub'un yüzüne bırakınca, hemen gözleri açıldı. Bunun üzerine Yakub "Ben size, Allah katından sizin bilmediğinizi biliyorum dememiş miydim?" dedi.
097_00	Oğulları: "Ey Babamız! Suçlarımızın bağışlanmasını dile, bizler hiç şüphesiz suçluyuz" dediler.
098_00	Yakub: "Rabbim'den bağışlanmanızı dileyeceğim; O şüphesiz bağışlar ve merhamet eder" dedi.
099_00	Yusuf'un yanına geldiklerinde, o, anasını babasını bağrına bastı, "Allah'ın dileğince, güven içinde Mısır'da yerleşin" dedi.
100_00	Ana babasını tahtın üzerine oturttu, hepsi onun önünde (Allah'a secde edip) eğildiler.
100_01	O zaman Yusuf: "Babacığım!
100_02	İşte bu, vaktiyle gördüğüm rüyanın çıkışıdır; Rabbim onu gerçekleştirdi. Şeytan, benimle kardeşlerimin arasını bozduktan sonra, beni hapisten çıkaran, sizi çölden getiren Rabbim bana pek çok iyilikte bulundu. Doğrusu Rabbim dilediğine lütufkardır, O şüphesiz bilendir, Hakim'dir" dedi.
101_00	"Rabbim! Bana hükümranlık verdin, rüyaların yorumunu öğrettin.
101_01	Ey göklerin ve yerin yaradanı! Dünya ve ahirette işlerimi yoluna koyan sensin; benim canımı müslüman olarak al ve beni iyilere kat."
102_00	Sana böylece vahyettiklerimiz, gaybe ait haberlerdir. Onlar elbirliği edip düzen kurdukları zaman yanlarında değildin; sen ne kadar yürekten istersen iste, insanların çoğu inanmazlar.
103_00	Sana böylece vahyettiklerimiz, gaybe ait haberlerdir. Onlar elbirliği edip düzen kurdukları zaman yanlarında değildin; sen ne kadar yürekten istersen iste, insanların çoğu inanmazlar.
104_00	Oysa sen buna karşılık onlardan bir ücret de istemiyorsun. Kuran, alemler için sadece bir öğüttür.
105_00	Göklerde ve yerde nice belgeler vardır ki, yanlarından yüzlerini çevirerek geçerler.
106_00	Onların çoğu, ortak koşmadan Allah'a inanmazlar.
107_00	Allah tarafından, onları kuşatacak bir azaba uğramalarından veya farkına varmadan, kıyamet saatinin ansızın gelmesinden güvende midirler?
108_00	De ki: "Benim yolum budur; ben ve bana uyanlar bilerek insanları Allah'a çağırırız. Allah'ı noksan sıfatlardan tenzih ederim. Ben asla Allah'a eş koşanlardan değilim."
109_00	Senden önce kasabalar halkından şüphesiz, kendilerine vahyettiğimiz bir takım insanlar gönderdik. Yeryüzünde dolaşmıyorlar mı ki, kendilerinden önce geçenlerin sonlarının ne olduğunu görsünler?
109_01	Ahiret yurdu Allah'a karşı gelmekten sakınanlar için hayırlıdır. Akletmez misiniz?
110_00	Öyle ki, peygamberler ümitsizliğe düşüp, yalanlandıklarını sandıkları bir sırada onlara yardımımız gelmiştir. Böylece, istediğimizi kurtarırız. Azabımız suçlu milletten geri çevrilemeyecektir.
111_00	And olsun ki, peygamberlerin kıssalarında, aklı olanlar için ibretler vardır.
111_01	Kuran uydurulabilen bir söz değildir. Fakat kendinden önceki Kitapları tasdik eden, inanan millete her şeyi açıklayan, doğru yolu gösteren bir rehber ve rahmettir.
