001_00	Kitap'ın indirilmesi, güçlü ve Hakim olan Allah katındandır.
066_00	"Hayır; yalnız Allah'a kulluk et ve şukredenlerden ol."
067_00	Onlar Allah'ı gereği gibi değerlendiremediler.
067_01	Bütün yeryüzü, kıyamet günü O'nun avucundadır; gökler O'nun kudretiyle dürülmüş olacaktır. O, putperestlerin ortak koşmalarından yüce ve münezzehtir.
068_00	Sura üflenince, Allah'ın dilediği bir yana, göklerde olanlar, yerde olanlar hepsi düşüp ölür. Sonra Sura bir daha üflenince hemen ayağa kalkıp bakışır dururlar.
069_00	Yeryüzü Rabbinin nuruyla aydınlanır, kitap açılır, peygamberler ve şahidler getirilir ve onlara haksızlık yapılmadan, aralarında adaletle hüküm verilir.
070_00	Her kişiye işlediği ödenir. Esasen Allah onların yaptıklarını en iyi bilendir.
071_00	İnkar edenler, bölük bölük cehenneme sürülür.
071_01	Oraya vardıklarında kapıları açılır; bekçileri onlara: "Size içinizden Rabbinizin ayetlerini okuyan ve bugüne kavuşacağınızı ihtar eden peygamberler gelmedi mi" derler.
071_02	"Evet geldi" derler. Lakin azap sözü inkarcıların aleyhine gerçekleşir.
072_00	Onlara: "Temelli kalacağınız cehennemin kapılarından girin; böbürlenenlerin durağı ne kötüdür!" denir.
073_00	Rablerine karşı gelmekten sakınanlar, bölük bölük cennete götürülürler.
073_01	Oraya varıp da kapıları açıldığında, bekçileri onlara: "Selam size, hoş geldiniz! Temelli olarak buraya girin" derler.
074_00	Onlar: "Bize verdiği sözde duran ve bizi bu yere varis kılan Allah'a hamdolsun. Cennette istediğimiz yerde oturabiliriz. Yararlı iş işleyenlerin ecri ne güzelmiş!" derler.
075_00	Melekleri, arşın etrafını çevirmiş oldukları halde, Rablerini hamd ile överken görürsün. Artık insanların aralarında adaletle hüküm olunmuştur. "Övgü, Alemlerin Rabbi olan Allah içindir" denir.
