001_00	Elif, Lam, Ra. İşte bunlar hikmetli Kitap'ın ayetleridir.
028_00	Onların hepsini bir gün toplarız, sonra, puta tapanlara, "Siz ve putlarınız yerlerinize! deyip onları birbirlerinden ayırırız.
028_01	Putları ise: "Bize tapmıyordunuz ki. Allah, sizinle bizim aramızda şahit olarak yeter. Sizin tapınmanızdan bizim haberimiz yoktu" derler.
029_00	Onların hepsini bir gün toplarız, sonra, puta tapanlara, "Siz ve putlarınız yerlerinize! deyip onları birbirlerinden ayırırız. Putları ise: "Bize tapmıyordunuz ki. Allah, sizinle bizim aramızda şahit olarak yeter. Sizin tapınmanızdan bizim haberimiz yoktu" derler.
030_00	İşte orada herkes dünyada yapmış olduğuyla imtihan verir ve gerçek Mevlaları olan Allah'a döndürülür. Uydurdukları putlar da ortadan kaybolmuştur.
031_00	De ki: "Gökten ve yerden size rızık veren kimdir? Kulak ve gözlerin sahibi kimdir? Diriyi ölüden çıkaran, ölüyü de diriden çıkaran kimdir?
031_01	Her işi düzenleyen kimdir?" Onlar: "Allah'tır! " diyecekler. "O halde O'na karşı gelmekten sakınmaz mısınız?" de.
032_00	İşte gerçek Rabbiniz Allah budur. Gerçeğin dışında sadece sapıklık vardır. Öyleyse nasıl olup da döndürülüyorsunuz?
033_00	Böylece, fasık olanların inanmayacaklarına dair Rabbinin söylediği söz gerçekleşti.
034_00	De ki: "Koştuğunuz ortaklardan, önce yaratan, sonra bunu tekrar eden var mıdır?" De ki: "Allah önce yaratır, sonra bunu tekrar eder. Nasıl da döndürülürsünüz! "
035_00	De ki: "Koştuğunuz ortaklardan gerçeğe eriştiren var mıdır?" De ki: "Ama Allah gerçeğe eriştirir.
035_01	Gerçeğe eriştiren mi, yoksa, birisi götürmezse gidemeyen mi uyulmağa daha layıktır? Ne biçim hüküm veriyorsunuz?"
036_00	Onların çoğu zanna uyarlar; gerçekte ise zan, hakikat karşısında bir şey ifade etmez. Allah, yaptıklarını şüphesiz bilir.
037_00	Bu Kuran, Allah'tandır, başkası tarafından uydurulmuş değildir. Ancak kendinden öncekini doğrular ve O Kitap'ı açıklar. Alemlerin Rabbinden geldiğinden şüphe yoktur.
038_00	Senin için, "Onu uydurdu mu?" diyorlar. De ki: "Onun surelerine benzer bir sure meydana getirin, iddianızda samimi iseniz, Allah'tan başka çağırabileceklerinizi de çağırın."
039_00	Onlar, ilmini kavrayamadıkları ve henüz yorumu da kendilerine bildirilmemiş olan şeyi yalanladılar. Onlardan öncekiler de böylece yalanlamışlardı. Zalimlerin sonunun nasıl olduğuna bir bak.
040_00	Aralarında ona inanan ve inanmayan vardır. Rabbin, bozguncuları daha iyi bilir.
041_00	Seni yalanlarlarsa, "Benim yaptığım bana, sizin yaptığınız sizedir; siz benim yaptığımdan sorumlu değilsiniz, ben de sizin yaptığınızdan sorumlu değilim" de.
042_00	Aralarında sana kulak veren vardır. Sen, sağırlara, üstelik akılları da almazsa, işittirebilir misin?
043_00	Aralarında sana bakan vardır. Sen körleri, görmezlerken doğru yola iletebilir misin?
044_00	Allah insanlara hiç zulmetmez, fakat insanlar kendilerine zulmederler.
045_00	Onları toplayacağı kıyamet günü, sanki gündüz, birbirleriyle sadece tanışacakları bir saat kadar kalmış gibidirler.
045_01	Allah'ın karşısına çıkmayı yalan sayanlar kaybetmişlerdir.
046_00	Onlara, söz verdiğimiz azabın bir kısmını ya dünyada sana gösteririz, veya senin ruhunu alırız da nasıl olsa onların dönüşü Bizedir; (ahirette görürsün) Allah onların yaptıklarına şahiddir.
047_00	Her ümmetin bir peygamberi vardır. Onlara peygamberleri geldiğinde aralarında adaletle hüküm verilmiş olur. Onların hakları yenmez.
048_00	"Bu iddiada samimi iseniz, bu azabın gerçekleşmesi ne zamandır? söyle" derler.
049_00	De ki: "Allah'ın dilemesi dışında ben kendime bir fayda ve zarar verecek durumda değilim.
049_01	Her ümmet için bir süre vardır; süreleri sona erince bir saat bile geciktirilmezler ve öne de alınmazlar."
050_00	De ki: "Allah'ın azabı size gece veya gündüz gelirse, ne yaparsınız? Suçlular neye bunda acele ediyorlar?"
051_00	Vuku bulduktan sonra mı O'na inanacaksınız? İnanmayanlar azabı görünce, "şimdi miydi?" derler. "Elbette, siz onu acele istiyordunuz" denir.
052_00	Haksızlık edenlere de: "Sürekli azabı tadın, ancak yaptığınıza karşılık ceza çekiyorsunuz" denir.
053_00	"O gerçek midir?" diye senden sorarlar. De ki: "Evet, Rabbim hakkı için o gerçektir, siz aciz kılamazsınız (önleyemezsiniz)."
054_00	Haksızlık etmiş olan her kişi, yeryüzünde olan her şeye sahip olsa, onu azabın fidyesi olarak verirdi.
054_01	Azabı görünce pişmanlık gösterdiler. Haksızlığa uğratılmadan aralarında adaletle hükmolunmuştur.
055_00	İyi bilin ki, Allah'ın verdiği söz gerçektir, ama çoğu bunu bilmez.
056_00	Dirilten ve öldüren O'dur. O'na döneceksiniz.
057_00	Ey insanlar! Rabbinizden size bir öğüt ve kalblerde olana şifa, inananlara doğruyu gösteren bir rehber ve rahmet gelmiştir.
058_00	De ki: "Bunlar, Allah'ın bol nimeti ve rahmetiyledir." Buna sevinsinler. O, onların topladıklarından daha hayırlıdır.
059_00	De ki: "Allah'ın size indirdiği rızkın bir kısmını haram, bir kısmını helal kıldığınızı görmüyor musunuz?" De ki: "Size Allah mı izin verdi, yoksa Allah'a karşı yalan mı uyduruyorsunuz?"
060_00	Allah'a karşı yalan uyduranlar kıyamet gününü ne zannederler? Doğrusu Allah'ın insanlara olan nimeti boldur, fakat çoğu şükretmezler.
061_00	Ne iş yaparsan yap ve sizler ona dair Kuran'dan ne okursanız okuyun; ne yaparsanız yapın; yaptıklarınıza daldığınız anda, mutlaka Biz sizi görürüz.
061_01	Yerde ve gökte hiçbir zerre Rabbinden gizli değildir. Bundan daha küçüğü veya daha büyüğü şüphesiz apaçık bir Kitap'dadır.
062_00	İyi bilin ki, Allah'ın dostlarına korku yoktur, onlar üzülmeyeceklerdir.
063_00	Onlar Allah'a inanmış ve O'na karşı gelmekten sakınmışlardır.
064_00	Dünya hayatında da, ahirette de müjde onlaradır. Allah'ın sözlerinde hiçbir değişme yoktur. Bu büyük başarıdır.
065_00	İnkarcıların sözleri seni üzmesin, çünkü bütün kudret Allah'ındır. O, işitir ve bilir.
066_00	İyi bilin ki, göklerde ve yerde kim varsa hepsi Allah'ındır.
066_01	Allah'ı bırakıp ortak koşanlar sadece zanna uyanlardır. Onlar ancak tahminde bulunuyorlar.
067_00	Size geceyi dinlenesiniz diye karanlık ve gündüzü çalışasınız diye aydınlık olarak yaratan Allah'tır. Kulak veren millet için bunlarda ayetler vardır.
068_00	"Allah çocuk edindi" dediler; haşa; O müstağnidir; göklerde ve yerde olanlara sahiptir.
068_01	Elinizde, onun çocuk edindiğine dair bir delil yoktur, bilmediğiniz şeyi Allah'a karşı nasıl söylüyorsunuz?
069_00	De ki: "Allah'a karşı yalan uyduranlar, kurtuluşa erişemezler."
070_00	Onlar için dünyada bir müddet geçinme vardır, sonra dönüşleri Bizedir. İnkarlarına karşılık onlara çetin azab taddıracağız.
071_00	Onlara Nuh'un başından geçenleri anlat: Milletine, "Ey milletim!
071_01	Eğer durumum, Allah'ın ayetlerini hatırlatmam size ağır geliyorsa ki ben Allah'a güvenmişimdir siz ve koştuğunuz ortaklar elbirliği edin; yapacağınız iş sonra size bir tasa vermesin. Sonra onu bana uygulayın ve beni ertelemeyin" demişti.
072_00	"Eğer yüz çevirirseniz bilin ki, ben sizden bir ücret istemiyorum. Benim ecrim Allah'a aiddir. Müslimlerden olmakla emrolundum."
073_00	Onu yalancı saydılar; ama Biz onu ve gemide beraberinde bulunanları kurtardık.
073_01	Onları ötekilerin yerine geçirdik, ayetlerimizi yalanlayanları suda boğduk. Uyarılanlardan söz dinlemeyenlerin sonlarının nasıl olduğuna bir bak.
074_00	Sonra onun ardından milletlere peygamberler gönderdik, onlara belgeler getirdiler.
074_01	Diğerlerinin daha önce yalan saymış olduklarına bunlar da inanmadılar. Aşırı gidenlerin kalblerini işte böylece mühürleriz.
075_00	Onların ardından da Firavun ve erkanına ayetlerimizle Musa ve Harun'u gönderdik. Ama büyüklük tasladılar ve suçlu bir millet oldular.
076_00	Gerçek, katımızdan onlara gelince: "Doğrusu bu apaçık bir büyüdür" dediler.
077_00	Musa: "Size gelen gerçeğe dil mi uzatırsınız? Bu sihir midir? Sihirbazlar zaten başarı kazanamazlar" dedi.
078_00	"Siz ikiniz, bizi babalarımızı üzerinde bulduğumuz yoldan çevirmek ve yeryüzünün büyükleri olasınız diye mi geldiniz? Biz size inanmıyoruz" dediler.
079_00	Firavun: "Bütün bilgin sihirbazları bana getirin" dedi.
080_00	Sihirbazlar gelince Musa onlara: "Atacağınızı atın" dedi.
081_00	Attıklarında, Musa: "Yaptığınız sihirdir, fakat Allah onu boşa çıkaracaktır. Allah bozguncuların işini elbette düzeltmez. Suçlular istemese de Allah sözleriyle hakkı gerçekleştirecektir" dedi.
082_00	Attıklarında, Musa: "Yaptığınız sihirdir, fakat Allah onu boşa çıkaracaktır. Allah bozguncuların işini elbette düzeltmez. Suçlular istemese de Allah sözleriyle hakkı gerçekleştirecektir" dedi.
083_00	Firavun ve erkanının kendilerine fenalık yapmasından korktuklarından, milletinin bir kısım gençleri dışında, kimse Musa'ya inanmamıştı, çünkü Firavun o yerde hakimdi.
083_01	O, gerçekten aşırı gidenlerdendi.
084_00	Musa: "Ey milletim! Allah'a inanıyorsanız ve teslim olmuşsanız O'na güvenin" dedi.
085_00	"Allah'a güvendik; Ey Rabbimiz! Zalim bir millet ile bizi sınama, rahmetinle bizi kafirlerden kurtar" dediler.
086_00	"Allah'a güvendik; Ey Rabbimiz! Zalim bir millet ile bizi sınama, rahmetinle bizi kafirlerden kurtar" dediler.
087_00	Musa ve kardeşine: "Mısır'da milletinize evler hazırlayın; evlerinizi namazgah edinin, namaz kılın" diye vahyettik, "İnananlara müjde et."
088_00	Musa: "Rabbimiz! Doğrusu sen Firavun'a ve erkanına ziynetler ve dünya hayatında mallar verdin. Rabbimiz!
088_01	Senin yolundan şaşırtmaları için mi? Rabbimiz! Mallarını yok et, kalblerini sık; çünkü onlar can yakıcı azabı görmedikçe inanmazlar" dedi.
089_00	Allah: "İkinizin duası kabul olundu. Dürüst hareket edin; bilmeyenlerin yoluna asla uymayın" dedi.
090_00	İsrailoğullarını denizden geçirdik, Firavun ve askerleri haksızlık ve düşmanlıkla ardlarına düştüler.
090_01	Firavun boğulacağı anda: "İsrailoğullarının inandığından başka tanrı olmadığına inandım, artık ben O'na teslim olanlardanım" dedi.
091_00	O'na: "Şimdi mi inandın? Daha önce baş kaldırmış ve bozgunculuk etmiştin" dendi.
092_00	"Senden sonrakilere bir ibret teşkil etmesi için bugün sadece senin cesedini çıkarıp (sahile) atacağız" dedik. Doğrusu insanların çoğu ayetlerimizden habersizdir.
093_00	And olsun ki, İsrailoğullarını iyi bir yere yerleştirdik, onlara
093_01	temiz rızıklar verdik, kendilerine bir bilgi gelene kadar ayrılığa düşmediler.
094_00	Sana indirdiğimizden şüphede isen, senden önce indirdiğimiz Kitap'ları okuyanlara sor.
094_01	And olsun ki, sana Rabbinden gerçek gelmiştir, sakın şüphelenenlerden olma.
095_00	Allah'ın ayetlerini yalanlayanlardan da olma, yoksa kaybedenlerden olursun.
096_00	Doğrusu Rabbinin söz verdiği azabı hak edenler, can yakıcı azabı görene kadar kendilerine her türlü belge gelse bile inanmazlar.
097_00	Doğrusu Rabbinin söz verdiği azabı hak edenler, can yakıcı azabı görene kadar kendilerine her türlü belge gelse bile inanmazlar.
098_00	Bir kent halkı inanmalı değil miydi ki, imanları kendilerine fayda versin! İşte Yunus'un milleti, inandığı zaman, dünya hayatında rezilliği gerektiren azabı onlardan kaldırdık ve onları bir süre daha bu dünyada geçindirdik.
099_00	Rabbin dileseydi, yeryüzünde bulunanların hepsi inanırdı. Öyle iken insanları inanmaya sen mi zorlayacaksın?
100_00	Allah'ın izni olmadıkça hiç kimse inanamaz. O, aklını kullanmayanlara kötü bir azab verir.
101_00	"Göklerde ve yerde neler var, bir bakın" de. İnanmayacak bir millete ayetler ve uyarmalar fayda vermez.
102_00	Kendilerinden önce geçenlerin başlarına gelen olaylardan başka bir şey mi bekliyorlar? "Bekleyin, ben de sizinle beraber beklemekteyim" de.
103_00	Sonra Biz, peygamberlerimizi ve inananları böylece kurtarırız, inananları (verdiğimiz söz gereğince) kurtarmamız Bize haktır.
104_00	De ki: "Ey insanlar! Benim dinimden şüphede iseniz bilin ki ben Allah'tan başka taptıklarınıza tapmam.
104_01	Ancak, sizi öldürecek olan Allah'a kulluk ederim. İnananlardan olmakla emrolundum."
105_00	(Muhammed'e) "Yüzünü, doğruya yönelmiş olarak dine çevir, sakın ortak koşanlardan olma; sana fayda da zarar da veremeyecek, Allah'tan başkasına yalvarma; öyle yaparsan şüphesiz, zalimlerden olursun" denildi.
106_00	(Muhammed'e) "Yüzünü, doğruya yönelmiş olarak dine çevir, sakın ortak koşanlardan olma; sana fayda da zarar da veremeyecek, Allah'tan başkasına yalvarma; öyle yaparsan şüphesiz, zalimlerden olursun" denildi.
107_00	Allah sana bir sıkıntı verirse, onu O'ndan başkası gideremez. Sana bir iyilik dilerse O'nun nimetini engelleyecek yoktur.
107_01	O'nu kullarından dilediğine verir. O, bağışlayandır, merhametlidir.
108_00	De ki: "Ey insanlar! Rabbinizden size gerçek gelmiştir.
108_01	Doğru yola giren ancak kendisi için girmiş ve sapıtan da kendi zararına olarak sapıtmıştır. Ben sizin üzerinize vekil değilim."
109_00	Sana vahyedilene uy; Allah hükmünü verene kadar sabret. O, hüküm verenlerin en iyisidir.
