001_00	Ha, Mim,
015_00	Ama inkarcılar O'na çocuk isnat ettiler. İnsan gerçekten apaçık nankördür.
016_00	Demek O yarattıkları arasından kızları kendisine alıp da oğulları size verdi öyle mi?
017_00	Ama Rahman olan Allah'a isnat ettiği kız evlat kendilerinden birine müjdelenince, o kimsenin içi gayzla dolarak yüzü simsiyah kesilir.
018_00	Demek, süs içinde yetiştirilecek de çekişmeyi beceremeyecek olanı Allah'a değil mi?
019_00	Onlar, Rahman olan Allah'ın kulları melekleri de dişi saydılar. Yaratılışlarını mı görmüşler? Onların bu şahidlikleri yazılacak ve sorguya çekileceklerdir.
020_00	"Eğer Rahman dilemiş olsaydı, biz bunlara kulluk etmezdik" derler. Buna dair bir bilgileri yoktur; onlar sadece vehimde bulunuyorlar.
021_00	Yoksa onlara daha önce bir kitap verdik de ona mı bağlanıyorlar?
022_00	Hayır; "Doğrusu Biz babalarımızı bir din üzerinde bulduk, biz de onların izlerinden gitmekteyiz" derler.
023_00	Senden önce, herhangi bir şehre gönderdiğimiz uyarıcıya, şımarık varlıklıları sadece: "Doğrusu babalarımızı bir din üzerinde bulduk, biz de onların izlerini izlemekteyiz" dediler.
024_00	Gönderilen uyarıcı: "Eğer size, babalarınızı üzerinde bulduğunuz dinden daha doğrusunu getirmiş isem de mi bana uymazsınız?" dedi. Onlar: "Doğrusu sizinle gönderilen şeyi inkar ediyoruz" dediler.
025_00	Bunun üzerine Biz de onlardan öç aldık. Yalancıların sonunun nasıl olduğuna bir bak!
026_00	İbrahim, babasına ve milletine demişti ki: "Beni yaratan hariç, sizin taptığınız şeylerden uzağım. Beni doğru yola eriştirecek olan şüphesiz O'dur."
027_00	İbrahim, babasına ve milletine demişti ki: "Beni yaratan hariç, sizin taptığınız şeylerden uzağım. Beni doğru yola eriştirecek olan şüphesiz O'dur."
028_00	İbrahim ardından geleceklere bu sözü, devamlı kalacak bir miras olarak bıraktı. Artık belki doğru yola dönerler.
029_00	Hayır; Ben bunları ve babalarını gerçek ve onu açıklayan bir peygamber gelene kadar geçindirdim.
030_00	Gerçek kendilerine geldiği zaman: "Bu bir büyüdür. Doğrusu biz onu inkar ediyoruz" dediler.
031_00	"Bu Kuran, iki şehrin birinden bir büyük adama indirilmeli değil miydi?" dediler.
032_00	Rabbinin rahmetini onlar mı taksim edip paylaştırıyorlar?
032_01	Dünya hayatında onların geçimliklerini aralarında Biz taksim ettik; birbirlerine iş gördürmeleri için kimini kimine derecelerle üstün kıldık; Rabbinin rahmeti, onların biriktirdikleri şeylerden daha iyidir.
033_00	Eğer bütün insanlar tek ümmet olma durumuna gelmeyecek olsaydı, Rahman olan Allah'ı inkar edenlerin evlerinin tavanlarını, üzerinde yükseldikleri merdivenleri, evlerinin kapılarını, üzerine yaslanacakları kerevetleri gümüşten yapar ve altın bezeklerle işlerdik. Bunların hepsi ancak dünya hayatının geçimliğidir. Ahiret, Rabbinin katında O'na karşı gelmekten sakınanlaradır.
034_00	Eğer bütün insanlar tek ümmet olma durumuna gelmeyecek olsaydı, Rahman olan Allah'ı inkar edenlerin evlerinin tavanlarını, üzerinde yükseldikleri merdivenleri, evlerinin kapılarını, üzerine yaslanacakları kerevetleri gümüşten yapar ve altın bezeklerle işlerdik. Bunların hepsi ancak dünya hayatının geçimliğidir. Ahiret, Rabbinin katında O'na karşı gelmekten sakınanlaradır.
035_00	Eğer bütün insanlar tek ümmet olma durumuna gelmeyecek olsaydı, Rahman olan Allah'ı inkar edenlerin evlerinin tavanlarını, üzerinde yükseldikleri merdivenleri, evlerinin kapılarını, üzerine yaslanacakları kerevetleri gümüşten yapar ve altın bezeklerle işlerdik. Bunların hepsi ancak dünya hayatının geçimliğidir. Ahiret, Rabbinin katında O'na karşı gelmekten sakınanlaradır.
036_00	Rahman olan Allah'ı anmayı görmezlikten gelene, yanından ayrılmayacak bir şeytanı arkadaş veririz.
037_00	Şüphesiz onlar bunları yoldan alıkorlar, bunlar da doğru yola eriştiklerini sanırlar.
038_00	Sonunda Bize gelince arkadaşına: "Keşke benimle senin aranda doğu ile batı arasındaki kadar uzaklık olsaydı, sen ne kötü arkadaş imişsin!" der. Nedametin bugün size hiç faydası dokunmaz; zira haksızlık etmiştiniz, şimdi azabda ortaksınız.
039_00	Sonunda Bize gelince arkadaşına: "Keşke benimle senin aranda doğu ile batı arasındaki kadar uzaklık olsaydı, sen ne kötü arkadaş imişsin!" der. Nedametin bugün size hiç faydası dokunmaz; zira haksızlık etmiştiniz, şimdi azabda ortaksınız.
040_00	Sağırlara sen mi duyuracaksın? Yoksa körleri ve apaçık sapıklıkta olanları doğru yola sen mi eriştireceksin?
041_00	Seni onlardan uzaklaştırsak bile doğrusu Biz kendilerinden öç alırız; yahut onlara vadettiğimizi sana gösteririz. Çünkü onlara karşı gücü yetenleriz.
042_00	Seni onlardan uzaklaştırsak bile doğrusu Biz kendilerinden öç alırız; yahut onlara vadettiğimizi sana gösteririz. Çünkü onlara karşı gücü yetenleriz.
043_00	Sana vahyolunana sarıl, sen, şüphesiz doğru yol üzerindesin.
044_00	Doğrusu bu Kuran sana ve ümmetine bir öğüttür, ondan sorumlu tutulacaksınız.
045_00	Senden önce gönderdiğimiz elçilerimizden sor; Biz, Rahman olan Allah'tan başka, kulluk edilecek tanrılar meşru kılmış mıyız?
046_00	And olsun ki Biz Musa'yı mucizelerimizle Firavun'a ve erkanına göndermiştik, "Şüphesiz ben, Alemlerin Rabbinin elçisiyim" demişti.
047_00	Onlara mucizelerimizi getirdiği zaman, bunlara gülüvermişlerdi.
048_00	Onlara gösterdiğimiz her mucize diğerinden daha büyüktü; doğru yola dönmeleri için onları azaba uğrattık.
049_00	"Ey Sihirbaz! Sana verdiği ahde göre Rabbine bizim için yalvar da doğru yola erişelim" dediler.
050_00	Ama, azabı üzerlerinden kaldırdığımızda hemen sözlerinden döndüler.
051_00	Firavun, milletine şöyle seslendi: "Ey milletim! Mısır hükümdarlığı ve memleketimde akan bu ırmaklar benim değil mi? Görmüyor musunuz?"
052_00	"Yahut, ben zavallı ve nerdeyse konuşamayan bu kimseden daha üstün değil miyim?"
053_00	"Ona altın bilezikler verilmeli veya yanında ona yardım edecek melekler gelmeli değil mi?"
054_00	Firavun, milletini küçümsedi ama, onlar kendisine yine de itaat ettiler. Doğrusu onlar yoldan çıkmış bir milletti.
055_00	Böylece Bizi öfkelendirince onlardan öç aldık, hepsini suda boğduk.
056_00	Onları, sonradan gelecek inkarcılara ibret alınacak bir geçmiş kıldık.
057_00	Meryem oğlu misal verilince, senin milletin buna gülüp geçiverdi.
058_00	"Bizim tanrımız mı yoksa o mu daha iyidir?" dediler. Sana böyle söylemeleri, sadece, tartışmaya girişmek içindir. Onlar şüphesiz kavgacı bir millettir.
059_00	Meryemoğlu, ancak kendisine nimet verdiğimiz ve İsrailoğullarına örnek kıldığımız bir kuldur.
060_00	Eğer dileseydik, size bedel yeryüzünde sizin yerinizi tutacak melekler var ederdik.
061_00	O kıyametin kopacağını bildirir; o saatin geleceğinden şüphe etmeyin, Bana uyun, bu doğru yoldur.
062_00	Sakın şeytan sizi bu yoldan alıkoymasın; şüphesiz o size apaçık bir düşmandır.
063_00	İsa, belgeleri getirdiği zaman demişti ki: "Size hikmetle ve ayrılığa düştüğünüz şeylerin bir kısmını açıklamak üzere geldim. Allah'a karşı gelmekten sakının, bana itaat edin."
064_00	"Doğrusu Allah benim de Rabbimdir, sizin de Rabbinizdir, artık O'na kulluk edin, bu, doğru yoldur."
065_00	Ama, aralarında guruplaştılar, ayrılığa düştüler. Kıyamet gününün can yakıcı azabına uğrayacak zalimlerin vay haline!
066_00	Onlar farkında değillerken kıyamet gününün kendilerine ansızın gelmesini mi bekliyorlar?
067_00	O gün Allah'a karşı gelmekten sakınanlar dışında, dost olanlar birbirine düşman olurlar.
068_00	Allah: "Ey kullarım! Bugün size korku yoktur, siz üzülmeyeceksiniz" der.
069_00	Bunlar, ayetlerimize inanmış ve kendilerini Bize vermişlerdir.
070_00	Şöyle denir: "Siz ve eşleriniz, ağırlanmış olarak cennete giriniz."
071_00	Onlar için altın kadeh ve tepsiler dolaştırılır, canlarının istediği ve gözlerinin hoşlandığı her şey oradadır. Siz orada ebedi kalacaksınız.
072_00	İşlediklerinize karşılık, size miras verilen işte bu cennettir.
073_00	Orada sizin için bol yemiş vardır, onlardan yersiniz.
074_00	Doğrusu suçlular, temelli kalacakları cehennemin azabı içindedirler.
075_00	Azaba hiç ara verilmez, onlar orada tamamen umutsuzdurlar.
076_00	Biz onlara zulmetmedik, ama onlar zalim kimselerdi.
077_00	Cehennemde şöyle seslenilir: "Ey Nöbetçi! Rabbin hiç değilse canımızı alsın." Nöbetçi: "Siz böyle kalacaksınız" der.
078_00	And olsun ki, size gerçeği getirdik; fakat çoğunuz gerçeği sevmiyorsunuz.
079_00	Yoksa bir işe mi karar verdiler? Doğrusu Biz de kararlıyız.
080_00	Yoksa, kendilerinin gizli veya açık konuşmalarını duymayız mı sanırlar? Hayır; öyle değil; yanlarındaki elçilerimiz yazmaktadır.
081_00	De ki: "Eğer Rahman olan Allah'ın çocuğu olsa, kulluk edenlerin ilki ben olurdum."
082_00	Göklerin ve yerin Rabbi, Arşın Rabbi onların vasıflandırmalarından münezzehtir.
083_00	Bırak onları, kendilerine söz verilen güne kavuşana kadar, dalsınlar, oynasınlar.
084_00	Gökte de Tanrı, yerde de Tanrı O'dur. Hakim olan, her şeyi bilen O'dur.
085_00	Göklerin, yerin ve ikisi arasında bulunanların hükümranlığı kendisinin olan Allah ne yücedir! Kıyamet saatini bilmek O'na aittir. O'na döneceksiniz.
086_00	Allah'ı bırakıp yalvardıkları şeyler, şefaat edemezler. Ancak hakkı bilip ona şahidlik edenler bunun dışındadır.
087_00	And olsun ki, onlara kendilerini kimin yarattığını sorsan: "Allah" derler. Öyleyken nasıl da aldatılıp döndürülüyorlar?
088_00	Onlar hakkında: "Ey Rabbim! Bunlar inanmayan bir millettir" demesi üzerine Allah: "Onlardan geç, esenlik dile; yakında bileceklerdir" buyurdu.
089_00	Onlar hakkında: "Ey Rabbim! Bunlar inanmayan bir millettir" demesi üzerine Allah: "Onlardan geç, esenlik dile; yakında bileceklerdir" buyurdu.
