001_00	Elif, Lam, Mim, Sad.
067_00	"Ey milletim! Ben beyinsiz değil, Alemlerin Rabbinin peygamberiyim.
068_00	Size Rabbimin sözlerini bildiriyorum. Ben sizin için güvenilir bir öğütçüyüm; sizi uyarmak üzere, aranızdan bir adam vasıtasiyle Rabbinizden size bir haber gelmesine mi şaşıyorsunuz? Allah'ın sizi Nuh'un milleti yerine getirdiğini ve vücutça da onlardan üstün kıldığını hatırlayın, başarıya erişebilmeniz için Allah'ın nimetlerini anın" dedi.
069_00	Size Rabbimin sözlerini bildiriyorum.
069_01	Ben sizin için güvenilir bir öğütçüyüm; sizi uyarmak üzere, aranızdan bir adam vasıtasiyle Rabbinizden size bir haber gelmesine mi şaşıyorsunuz? Allah'ın sizi Nuh'un milleti yerine getirdiğini ve vücutça da onlardan üstün kıldığını hatırlayın, başarıya erişebilmeniz için Allah'ın nimetlerini anın" dedi.
070_00	"Bize yalnız Allah'a kulluk etmemizi, babalarımızın taptıklarını bırakmamızı söylemek için mi geldin? Doğru sözlülerden isen haydi bizi tehdit ettiğin azaba uğrat" dediler.
071_00	"Hiç şüphesiz artık Rabbinizin azab ve öfkesini hakettiniz.
071_01	Allah'ın hiçbir delil indirmediği, isimlerini de siz ve babalarınızın koyduğu putlar hakkında mı benimle tartışıyorsunuz? Bekleyin, doğrusu ben de sizinle beraber bekleyenlerdenim" dedi.
072_00	Biz, rahmetimizle, Hud'u ve beraberinde bulunanları kurtardık, ayetlerimizi yalan sayarak inanmayanların kökünü kestik.
073_00	Semud milletine de kardeşleri Salih'i gönderdik. "Ey milletim!
073_01	Allah'a kulluk edin, O'ndan başka tanrınız yoktur. Rabbinizden size bir belge geldi: Allah'ın bu dişi devesi size bir delildir, onu bırakın, Allah'ın toprağında otlasın; ona kötülük etmeyin, yoksa can yakıcı azaba uğrarsınız.
074_00	Allah'ın sizi Ad milleti yerine getirdiğini, ovalarında köşkler kurup dağlarında kayadan evler
074_01	yonttuğunuz yeryüzünde yerleştirdiğini hatırlayın; Allah'ın nimetlerini anın, yeryüzünde bozgunculuk yaparak karışıklık çıkarmayın" dedi.
075_00	Milletinin büyüklük taslayan ileri gelenleri, aralarından iman eden ve bu sebeple hor gördükleri kimselere, "Salih'in
075_01	Rabbi tarafından gönderildiğini sahiden biliyor musunuz?" dediler, onlar da, "Doğrusu biz onunla gönderilene inanıyoruz" dediler.
076_00	Büyüklük taslayanlar, "Sizin inandığınızı biz inkar ediyoruz" dediler ve dişi deveyi kesip devirdiler; Rablerinin buyruğuna baş kaldırdılar, "Ey Salih, eğer sen peygambersen bizi tehdit ettiğin azaba uğrat bakalım" dediler.
077_00	Büyüklük taslayanlar, "Sizin inandığınızı biz inkar ediyoruz" dediler ve dişi deveyi kesip devirdiler; Rablerinin buyruğuna baş kaldırdılar, "Ey Salih, eğer sen peygambersen bizi tehdit ettiğin azaba uğrat bakalım" dediler.
078_00	Bu yüzden onları bir sarsıntı tuttu ve oldukları yerde diz üstü çöküverdiler.
079_00	Salih de onlardan yüz çevirdi ve "Ey milletim! And olsun ki ben size Rabbimin sözünü bildirmiş ve öğüt vermiştim; fakat siz öğüt verenleri sevmiyorsunuz" dedi.
080_00	Lut'u da gönderdik, milletine "Dünyalarda hiç kimsenin sizden önce yapmadığı bir hayasızlığı mı yapıyorsunuz? Siz kadınları bırakıp erkeklere yaklaşıyorsunuz, doğrusu çok aşırı giden bir milletsiniz" dedi.
081_00	Lut'u da gönderdik, milletine "Dünyalarda hiç kimsenin sizden önce yapmadığı bir hayasızlığı mı yapıyorsunuz? Siz kadınları bırakıp erkeklere yaklaşıyorsunuz, doğrusu çok aşırı giden bir milletsiniz" dedi.
082_00	Milletinin cevabı sadece, "Onları kasabanızdan çıkarın, güya onlar temiz kalmaya uğraşan insanlarmış" demek oldu.
083_00	Bunun üzerine Lut'u ve taraftarlarını kurtardık; yalnız karısı, geride kalıp helake uğrayanlardan oldu.
084_00	Geriye kalanların üzerine öyle bir yağmur yağdırdık ki! Suçluların sonunun nasıl olduğuna bir bak!
085_00	Medyen halkına da kardeşleri Şuayb'ı gönderdik, onlara şöyle dedi: "Ey milletim!
085_01	Allah'a kulluk edin, O'ndan başka tanrınız yoktur.
085_02	Rabbinizden size bir belge geldi. Ölçü ve tartıyı tam yapın, insanların eşyasını eksik vermeyin, düzelttikten sonra yeryüzünde bozgunculuk etmeyin; inanıyorsanız bilin ki, bunlar sizin için hayırlıdır."
086_00	"Allah'a inananları yolundan alıkoyup ve o yolun eğriliğini dileyerek tehdit edip her yolda pusu kurup oturmayın.
086_01	Azken, Allah'ın sizi çoğalttığını hatırlayın; bozguncuların sonunun nasıl olduğuna bir bakın."
087_00	"İçinizde mademki benimle gönderilene inanan bir topluluk ve inanmayan bir topluluk var, o halde Allah'ın aramızda hükmünü bildirmesine kadar sabredin.
087_01	Allah hükmedenlerin en iyisidir."
088_00	Milletinin büyüklük taslayan ileri gelenleri, "Ey Şuayb! Ya dinimize dönersiniz ya da, and olsun ki seni ve inananları seninle beraber kentimizden çıkarırız" dediler. Şuayb, onlara: "İstemezsek de mi? Allah bizi dininizden kurtardıktan sonra ona dönecek olursak, doğrusu Allah'a karşı yalan uydurmuş oluruz.
088_01	Rabbimizin dilemesi bir yana, dininize dönmek bize yakışmaz. Rabbimizin ilmi her şeyi kuşatmıştır. Biz yalnız Allah'a güvendik. Rabbimiz! Bizimle milletimiz arasında hak ile Sen hüküm ver, Sen hükmedenlerin en hayırlısısın" dedi.
089_00	Milletinin büyüklük taslayan ileri gelenleri, "Ey Şuayb! Ya dinimize dönersiniz ya da, and olsun ki seni ve inananları seninle beraber kentimizden çıkarırız" dediler. Şuayb, onlara: "İstemezsek de mi?
089_01	Allah bizi dininizden kurtardıktan sonra ona dönecek olursak, doğrusu Allah'a karşı yalan uydurmuş oluruz. Rabbimizin dilemesi bir yana, dininize dönmek bize yakışmaz. Rabbimizin ilmi her şeyi kuşatmıştır.
089_02	Biz yalnız Allah'a güvendik. Rabbimiz! Bizimle milletimiz arasında hak ile Sen hüküm ver, Sen hükmedenlerin en hayırlısısın" dedi.
090_00	Milletinin inkar eden ileri gelenleri, "Şuayb'a uyarsanız, and olsun ki siz kaybedersiniz" dediler.
091_00	Bu yüzden onları bir sarsıntı tuttu ve oldukları yerde diz üstü çöküverdiler.
092_00	Şuayb'ı yalanlayanlar, yurtlarında sanki hiç yaşamamışlar gibi oldular, izleri bile kalmadı. Mahvolanlar, Şuayb'ı yalanlayanlar oldu.
093_00	Şuayb onlardan döndü de, "Ey milletim! And olsun ki, Rabbimin sözlerini size bildirdim, öğüt verdim; inkarcı millet için niçin üzüleyim?" dedi.
094_00	Biz hangi kente (ülkeye) bir peygamber gönderdikse, ora halkını, yalvarıp yakarsınlar diye, darlık ve sıkıntıya uğratmışızdır.
095_00	Sonra kötülüğün yerine iyiliği koyduk, öyle ki, çoğalıp, "babalarımız da darlığa uğramış, bolluğa kavuşmuşlardı" dediler. Bu yüzden onları haberleri olmadan, ansızın yakalayıverdik.
096_00	Eğer kentlerin halkı inanmış ve Bize karşı gelmekten sakınmış olsalardı, onlara göğün ve yerin bolluklarını verirdik. Ama yalanladılar; bu yüzden onları, yaptıklarına karşılık yakalayıverdik.
097_00	Kentlerin halkı, geceleyin uyurlarken azabımızın kendilerine gelmesinden güvende miydiler?
098_00	Yahut kentlerin halkı, kuşluk vakti eğlenirlerken azabımızın kendilerine gelmesinden güvende miydiler?
099_00	Onlar Allah'ın düzeninden güvende miydiler? Allah'ın düzeninden ancak mahvolacak millet güvende olur. Sahiplerinden sonra yeryüzüne mirasçı olan kimselere hala şu açıkça anlaşılmadı mı ki Biz dileseydik onları da suçlarının cezasına uğratırdık.
100_00	Kalblerini kapatıp mühürleriz de birşey duymazlar.
101_00	İşte o kentlerin haberlerini sana anlatıyoruz.
101_01	And olsun ki onlara peygamberler belgeler getirdi; önceleri yalanladıklarından ötürü inanamadılar. Allah kafirlerin kalblerini böylece kapatıp mühürler.
102_00	Onların çoğunda ahde bağlılık görmedik, çoğunu fasık kimseler olarak bulduk.
103_00	Sonra peygamberlerin ardından Musa'yı ayetlerimizle Firavun ve erkanına gönderdik. Ayetlerimize karşı haksızlık ettiler. Bozguncuların sonunun nasıl olduğuna bir bak.
104_00	Musa, "Ey Firavun! Ben alemlerin Rabbinin peygamberiyim.
105_00	Bana Allah'a karşı ancak gerçeği söylemek yaraşır. Size Rabbinizden bir mucize getirdim, İsrailoğullarını benimle beraber gönder" dedi.
106_00	Firavun: "Bir mucize getirdiysen ortaya koy bakalım, doğru sözlülerden isen bunu yaparsın" dedi.
107_00	Musa, asasını yere atar atmaz apaçık bir yılan (ejderha) oluverdi; elini çıkardı, bakanlar bembeyaz olduğunu gördüler.
108_00	Musa, asasını yere atar atmaz apaçık bir yılan (ejderha) oluverdi; elini çıkardı, bakanlar bembeyaz olduğunu gördüler.
109_00	Firavun milletinin ileri gelenleri, "Doğrusu bu bilgin bir sihirbazdır, sizi memleketinizden çıkarmak istiyor" dediler. Firavun: "Ne buyurursunuz?" dedi.
110_00	Firavun milletinin ileri gelenleri, "Doğrusu bu bilgin bir sihirbazdır, sizi memleketinizden çıkarmak istiyor" dediler. Firavun: "Ne buyurursunuz?" dedi.
111_00	"Onu ve kardeşini eğle; şehirlere toplayıcılar gönder, bütün bilgin sihirbazları sana getirsinler" dediler.
112_00	"Onu ve kardeşini eğle; şehirlere toplayıcılar gönder, bütün bilgin sihirbazları sana getirsinler" dediler.
113_00	Sihirbazlar Firavun'a geldi, "Yenecek olursak bize şüphesiz bir mükafat var değil mi?" dediler.
114_00	Firavun, "Evet, yenerseniz gözdelerden olacaksınız" dedi.
115_00	Sihirbazlar: "Ey Musa! Marifetini ya sen ortaya koy veya biz koyalım" dediler.
116_00	Musa: "Siz koyun" dedi. Sihirbazlar marifetlerini ortaya koyunca insanların gözlerini sihirlediler ve onları ürküttüler, büyük bir sihir yaptılar.
117_00	Biz de Musa'ya, "Asanı koyuver" dedik, o da koydu; hemen onların uydurduklarını yutmaya başladı.
118_00	Hak tahakkuk etti, onların yaptıkları boşa gitti.
119_00	İşte orada yenildiler, küçük düştüler.
120_00	Sihirbazlar secdeye kapanıp, "Alemlerin Rabbine, Musa ve Harun'un Rabbine inandık" dediler.
121_00	Sihirbazlar secdeye kapanıp, "Alemlerin Rabbine, Musa ve Harun'un Rabbine inandık" dediler.
122_00	Sihirbazlar secdeye kapanıp, "Alemlerin Rabbine, Musa ve Harun'un Rabbine inandık" dediler.
123_00	Firavun: "Ben size izin vermeden mi O'na inandınız? Doğrusu bu, halkı şehirden çıkarmak için düzdüğünüz bir hiledir, fakat siz göreceksiniz. And olsun ki, ellerinizi ayaklarınızı çaprazlama keseceğim, sonra da hepinizi asacağım" dedi.
124_00	Firavun: "Ben size izin vermeden mi O'na inandınız? Doğrusu bu, halkı şehirden çıkarmak için düzdüğünüz bir hiledir, fakat siz göreceksiniz. And olsun ki, ellerinizi ayaklarınızı çaprazlama keseceğim, sonra da hepinizi asacağım" dedi.
125_00	Onlar da: "Doğrusu biz ancak Rabbimize döneriz. Rabbimizin ayetleri gelince, onlara inanmamızdan ötürü bizden öç alıyorsun. Rabbimiz! Bize sabır ver ve canımızı müslim olarak al" dediler.
126_00	Onlar da: "Doğrusu biz ancak Rabbimize döneriz. Rabbimizin ayetleri gelince, onlara inanmamızdan ötürü bizden öç alıyorsun. Rabbimiz! Bize sabır ver ve canımızı müslim olarak al" dediler.
127_00	Firavun milletinin ileri gelenleri: "Musa'yı ve milletini yeryüzünde bozgunculuk yapsınlar, seni ve tanrılarını bıraksınlar diye mi koyveriyorsun?" dediler.
127_01	Firavun: "Onların oğullarını öldüreceğiz, kadınlarını sağ bırakacağız. Elbette biz onları ezecek üstünlükteyiz" dedi.
128_00	Musa milletine: "Allah'tan yardım dileyin ve sabredin; yeryüzü şüphesiz Allah'ındır, kullarından dilediğini ona mirasçı kılar; sonuç Allah'a karşı gelmekten sakınanlarındır" dedi.
129_00	Milleti: "Sen bize gelmeden önce de, geldikten sonra da eziyet çektik" dediler.
129_01	Musa da: "Rabbinizin düşmanlarınızı yok etmesi ve yeryüzünde sizi onların yerine geçirmesi umulur. O zaman nasıl davranacağınıza bakar" dedi.
130_00	And olsun ki, Biz de Firavun ailesini, ders alsınlar diye, yıllarca kuraklığa ve ürün kıtlığına uğrattık.
131_00	Onlara bir iyilik geldiği zaman; "Bu bizden ötürüdür" derler, bir fenalığa uğrarlarsa da, Musa ve onunla beraber olanların uğursuzluğuna verirlerdi.
131_01	Bilin ki, kendilerinin uğradığı uğursuzluk Allah katındandır, fakat çoğu bunu bilmezler.
132_00	Firavun ailesi: "Bizi sihirlemek için ne mucize gösterirsen göster, sana inanmayacağız" dediler.
133_00	Bunun üzerine su baskınını, çekirgeyi, haşeratı, kurbağaları ve kanı birbirinden ayrı mucizeler olarak onlara musallat kıldık; yine de büyüklük taslayıp suçlu bir millet oldular.
134_00	Azab başlarına çökünce, "Ey Musa!
134_01	Rabbine, sana verdiği ahde göre bizim için yalvar. Bizden azabı kaldırırsan sana, and olsun ki, inanacağız ve İsrailoğullarını seninle beraber göndereceğiz"dediler.
135_00	Azabı nasıl olsa sonuna gelecekleri bir müddet için üzerlerinden kaldırınca, hemen sözlerinden cayıyorlardı.
136_00	Bu sebeple onlardan öç aldık, ayetlerimizi yalan sayıp umursamadıkları için onları denizde boğduk.
137_00	Hor görülen yahudileri, bereketlendirdiğimiz yerin doğularına ve batılarına mirasçı kıldık.
137_01	Rabbinin İsrailoğullarına verdiği güzel söz, sabırlarına karşılık yerine geldi. Firavun ve milletinin yaptığını ve yükselttiklerini yıktık.
138_00	İsrailoğullarının denizden geçmelerini sağladık. Puta gönülden tapan bir millete rastladılar.
138_01	"Ey Musa! Onların tanrıları gibi bize de bir tanrı yap" dediler, Musa: " Doğrusu siz bilgisiz bir milletsiniz, bunlar yok olacaklar ve işledikleri boşa gidecektir" dedi.
139_00	İsrailoğullarının denizden geçmelerini sağladık. Puta gönülden tapan bir millete rastladılar. "Ey Musa! Onların tanrıları gibi bize de bir tanrı yap" dediler, Musa: " Doğrusu siz bilgisiz bir milletsiniz, bunlar yok olacaklar ve işledikleri boşa gidecektir" dedi.
140_00	"Sizi alemlere üstün kılmış olan Allah'tan başka bir tanrı mı arayacağım?" dedi.
141_00	Sizi kötü azaba sokan, kadınlarınızı sağ bırakıp oğullarınızı öldüren Firavun ailesinden kurtarmıştık.
141_01	Bunda, size Rabbiniz tarafından büyük bir imtihan vardı.
