001_00	Sad. Öğüt veren Kuran'a and olsun ki, inkar edenler gurur ve ayrılık içindedirler.
036_00	Bunun üzerine Biz de, istediği yere onun buyruğu ile kolayca giden rüzgarı, bina kuran ve dalgıçlık yapan şeytanları, demir halkalarla bağlı diğerlerini onun buyruğu altına verdik.
037_00	Bunun üzerine Biz de, istediği yere onun buyruğu ile kolayca giden rüzgarı, bina kuran ve dalgıçlık yapan şeytanları, demir halkalarla bağlı diğerlerini onun buyruğu altına verdik.
038_00	Bunun üzerine Biz de, istediği yere onun buyruğu ile kolayca giden rüzgarı, bina kuran ve dalgıçlık yapan şeytanları, demir halkalarla bağlı diğerlerini onun buyruğu altına verdik.
039_00	"İşte Bizim bağışımız budur; ister ver, ister tut, hesapsızdır." dedik.
040_00	Doğrusu onun katımızda yakınlığı ve güzel bir istikbali vardır.
041_00	Kulumuz Eyyub'u da an; Rabbine: "Doğrusu şeytan bana yorgunluk ve azap verdi" diye seslenmişti.
042_00	"Ayağını yere vur! İşte yıkanacak ve içilecek soğuk bir su" dedik.
043_00	Katımızdan bir rahmet ve akıl sahiplerine bir öğüt olmak üzere, ona tekrar ailesini ve geçmiş olanlarla bir mislini daha vermiştik.
044_00	"Ey Eyyub! Eline bir demet sap alıp onunla vur, yeminini bozma" demiştik. Doğrusu Biz onu sabırlı bulmuştuk. Ne iyi kuldu, daima Allah'a yönelirdi.
045_00	Güçlü ve anlayışlı olan kullarımız İbrahim, İshak ve Yakub'u da an.
046_00	Biz onları ahiret yurdunu düşünen, içten bağlı kimseler kıldık.
047_00	Doğrusu onlar katımızda seçkin, iyi kimselerdendirler.
048_00	İsmail'i, Elyesa'ı, Zülkifl'i de an. Hepsi iyilerdendir.
049_00	İşte bu güzel bir anmadır. Doğrusu Allah'a karşı gelmekten sakınanlara güzel bir gelecek vardır.
050_00	Kapıları onlara açılmış Adn cennetleri vardır.
051_00	Orada tahtlara yaslanmış olarak türlü meyveler ve içecekler isterler.
052_00	Yanlarında, gözlerini eşlerine dikmiş yaşıt güzeller vardır.
053_00	İşte bu hesap günü için, size söz verilenlerdir.
054_00	Doğrusu, verdiğimiz bu rızıklar tükenecek değildir.
055_00	Bu böyle; ama azgınlara kötü bir gelecek vardır.
056_00	Cehenneme girerler; ne kötü bir konaktır!
057_00	İşte bu kaynar su ve irindir, artık onu tatsınlar.
058_00	Bunlara benzer daha başkaları da vardır...
059_00	(İnkarcıların ileri gelenlerine denir ki;) "İşte şunlar sizinle beraber girecek olanlardır." (Derler ki;) "Onlar rahat yüzü görmesin. Behemehal ateşe gireceklerdir"
060_00	(Onlara uyanlar;) "Hayır, asıl siz rahat yüzü görmeyin; bunu başımıza getiren sizsiniz; ne kötü bir duraktır!" derler.
061_00	"Rabbimiz! Bunu kim başımıza getirdiyse, ateşte onun azabını kat kat artır" derler.
062_00	Şöyle derler: "Kendilerini dünyada iken kötü saydığımız kimseleri burada niçin görmüyoruz?"
063_00	"Onları alaya alırdık; yoksa şimdi gözlere görünmezler mi?"
064_00	İşte cehennemliklerin bu şekilde tartışması gerçektir.
065_00	De ki: "Ben sadece bir uyarıcıyım. Gücü her şeye yeten tek Allah'tan başka tanrı yoktur."
066_00	"Göklerin, yerin ve ikisi arasında bulunanların Rabbi, güçlüdür, çok bağışlayandır."
067_00	De ki: "Bu Kuran büyük bir haberdir, ama siz ondan yüz çeviriyorsunuz."
068_00	De ki: "Bu Kuran büyük bir haberdir, ama siz ondan yüz çeviriyorsunuz."
069_00	"Onlar tartışırlarken Melei Ala'daki bu olanlar hakkında bir bilgim yoktu."
070_00	"Bana sadece vahyolunuyor; doğrusu ben ancak apaçık bir uyarıcıyım."
071_00	Rabbin meleklere şöyle demişti: "Ben çamurdan bir insan yaratacağım. Onu yapıp ruhumdan ona üflediğim zaman ona secdeye kapanın."
072_00	Rabbin meleklere şöyle demişti: "Ben çamurdan bir insan yaratacağım. Onu yapıp ruhumdan ona üflediğim zaman ona secdeye kapanın."
073_00	Bütün melekler secde etmişlerdi, fakat İblis; o, büyüklük taslamış ve inkarcılardan olmuştu.
074_00	Bütün melekler secde etmişlerdi, fakat İblis; o, büyüklük taslamış ve inkarcılardan olmuştu.
075_00	Allah: "Ey İblis, ellerimle (kudretimle) yarattığıma secde etmekten seni alıkoyan nedir? Böbürlendin mi? Yoksa gururlananlardan mısın?" dedi.
076_00	İblis: "Ben ondan daha üstünüm. Beni ateşten yarattın, onu çamurdan yarattın" dedi.
077_00	Allah: "Defol oradan, sen artık kovulmuş birisin. Din (kıyamet/ceza) gününe kadar lanetim senin üzerinedir" dedi.
078_00	Allah: "Defol oradan, sen artık kovulmuş birisin. Din (kıyamet/ceza) gününe kadar lanetim senin üzerinedir" dedi.
079_00	"Rabbim! Dirilecekleri güne kadar beni (canımı almayı) ertele" dedi.
080_00	Allah: "Sen bilinen güne kadar erteye bırakılanlardansın" dedi.
081_00	Allah: "Sen bilinen güne kadar erteye bırakılanlardansın" dedi.
082_00	İblis: "Senin kudretine and olsun ki, onlardan, sana içten bağlı olan kulların bir yana, hepsini azdıracağım" dedi.
083_00	İblis: "Senin kudretine and olsun ki, onlardan, sana içten bağlı olan kulların bir yana, hepsini azdıracağım" dedi.
084_00	Allah: "Doğrudur; işte Ben hakikati söylüyorum, sen ve sana uyanların hepsiyle cehennemi dolduracağım" dedi.
085_00	Allah: "Doğrudur; işte Ben hakikati söylüyorum, sen ve sana uyanların hepsiyle cehennemi dolduracağım" dedi.
086_00	De ki: "Buna karşılık sizden bir ücret istemiyorum. Kendiliğimden bir şey iddia eden kimselerden de değilim."
087_00	"Bu Kuran, ancak dünyalar için bir öğüttür."
088_00	"Onun verdiği haberin doğruluğunu bir zaman sonra öğreneceksiniz."
