001_00	Ta, Sin, Bunlar Kuran'ın, Kitab-ı Mübin'in ayetleridir.
012_00	"Değneğini at!" Musa, değneğinin yılan gibi hareketler yaptığını görünce, arkasına bakmadan dönüp kaçtı. "Ey Musa! Korkma; Benim katımda peygamberler korkmaz; yalnız haksızlık eden bunun dışındadır. Kötü hali iyiliğe çeviren kimse bilsin ki Ben şüphesiz bağışlarım, merhamet ederim. Elini koynuna sok, Firavun ve milletine gönderilen dokuz mucizeden biri olarak kusursuz, bembeyaz çıksın. Gerçekten onlar yoldan çıkmış bir millettir."
013_00	Ayetlerimiz gözlerinin önüne serilince: "Bu apaçık bir sihirdir" dediler.
014_00	Gönülleri kesin olarak kabul ettiği halde, haksızlık ve büyüklenmelerinden ötürü onları bile bile inkar ettiler. Bozguncuların sonunun nasıl olduğuna bir bak!
015_00	And olsun ki, Davud'a ve Süleyman'a ilim verdik. İkisi "Bizi mümin kullarının çoğundan üstün kılan Allah'a hamdolsun" dediler.
016_00	Süleyman Davud'a varis oldu: "Ey insanlar! Bize kuş dili öğretildi ve bize herşeyden bolca verildi. Doğrusu bu apaçık bir lütuftur" dedi.
017_00	Süleyman'ın cinlerden, insanlardan ve kuşlardan müteşekkil olan ordusu toplandı. Hepsi toplu olarak gidiyorlardı.
018_00	Sonunda, karıncaların bulunduğu vadiye geldiklerinde bir dişi (kraliçe) karınca: "Ey karıncalar! Yuvalarınıza girin, Süleyman'ın ordusu farkına varmadan sizi ezmesin" dedi.
019_00	Süleyman, onun sözüne hafifçe güldü ve: "Rabbim!
019_01	Bana ve ana babama verdiğin nimete şükürde, hoşnut olacağın işi yapmakta beni muvaffak kıl. Rahmetinle, beni iyi kullarının arasına koy" dedi.
020_00	Süleyman, kuşları araştırarak: "Hüdhüd'ü niçin göremiyorum? Yoksa kayıplarda mı? Bana apaçık bir delil getirmelidir; yoksa onu ya şiddetli bir azaba uğratırım yahut keserim" dedi.
021_00	Süleyman, kuşları araştırarak: "Hüdhüd'ü niçin göremiyorum? Yoksa kayıplarda mı? Bana apaçık bir delil getirmelidir; yoksa onu ya şiddetli bir azaba uğratırım yahut keserim" dedi.
022_00	Çok geçmeden Hüdhüd gelip Süleyman'a: "Senin bilmediğin bir şeyi öğrendim. Sana Sebe'den doğru bir haber getirdim. Ora halkına hükmeden, herşeyden kendisine bolca verilen ve büyük bir tahta sahip olan bir kadın buldum; onun ve milletinin Allah'ı bırakıp güneşe secde ettiklerini gördüm. Göklerde ve yerde gizli olanları ortaya koyan, gizlediğiniz ve açıkladığınız şeyleri bilen Allah'a secde etmemeleri için şeytan, kendilerine, yaptıklarını güzel göstermiş, onları doğru yoldan alıkoymuştur. Bunun için, doğru yolu bulamazlar. O çok büyük arşın sahibi olan Allah'tan başka tanrı yoktur" dedi.
023_00	Çok geçmeden Hüdhüd gelip Süleyman'a: "Senin bilmediğin bir şeyi öğrendim. Sana Sebe'den doğru bir haber getirdim. Ora halkına hükmeden, herşeyden kendisine bolca verilen ve büyük bir tahta sahip olan bir kadın buldum; onun ve milletinin Allah'ı bırakıp güneşe secde ettiklerini gördüm. Göklerde ve yerde gizli olanları ortaya koyan, gizlediğiniz ve açıkladığınız şeyleri bilen Allah'a secde etmemeleri için şeytan, kendilerine, yaptıklarını güzel göstermiş, onları doğru yoldan alıkoymuştur. Bunun için, doğru yolu bulamazlar. O çok büyük arşın sahibi olan Allah'tan başka tanrı yoktur" dedi.
024_00	Çok geçmeden Hüdhüd gelip Süleyman'a: "Senin bilmediğin bir şeyi öğrendim. Sana Sebe'den doğru bir haber getirdim. Ora halkına hükmeden, herşeyden kendisine bolca verilen ve büyük bir tahta sahip olan bir kadın buldum; onun ve milletinin Allah'ı bırakıp güneşe secde ettiklerini gördüm. Göklerde ve yerde gizli olanları ortaya koyan, gizlediğiniz ve açıkladığınız şeyleri bilen Allah'a secde etmemeleri için şeytan, kendilerine, yaptıklarını güzel göstermiş, onları doğru yoldan alıkoymuştur. Bunun için, doğru yolu bulamazlar. O çok büyük arşın sahibi olan Allah'tan başka tanrı yoktur" dedi.
025_00	Çok geçmeden Hüdhüd gelip Süleyman'a: "Senin bilmediğin bir şeyi öğrendim. Sana Sebe'den doğru bir haber getirdim. Ora halkına hükmeden, herşeyden kendisine bolca verilen ve büyük bir tahta sahip olan bir kadın buldum; onun ve milletinin Allah'ı bırakıp güneşe secde ettiklerini gördüm. Göklerde ve yerde gizli olanları ortaya koyan, gizlediğiniz ve açıkladığınız şeyleri bilen Allah'a secde etmemeleri için şeytan, kendilerine, yaptıklarını güzel göstermiş, onları doğru yoldan alıkoymuştur. Bunun için, doğru yolu bulamazlar. O çok büyük arşın sahibi olan Allah'tan başka tanrı yoktur" dedi.
026_00	Çok geçmeden Hüdhüd gelip Süleyman'a: "Senin bilmediğin bir şeyi öğrendim. Sana Sebe'den doğru bir haber getirdim. Ora halkına hükmeden, herşeyden kendisine bolca verilen ve büyük bir tahta sahip olan bir kadın buldum; onun ve milletinin Allah'ı bırakıp güneşe secde ettiklerini gördüm. Göklerde ve yerde gizli olanları ortaya koyan, gizlediğiniz ve açıkladığınız şeyleri bilen Allah'a secde etmemeleri için şeytan, kendilerine, yaptıklarını güzel göstermiş, onları doğru yoldan alıkoymuştur. Bunun için, doğru yolu bulamazlar. O çok büyük arşın sahibi olan Allah'tan başka tanrı yoktur" dedi.
027_00	Süleyman şöyle söyledi: "Doğru mu söylüyorsun, yoksa yalancılardan mısın, bakacağız."
028_00	"Şu yazımı götür, onlara at, sonra bir yana çekil, varacakları sonuca bak."
029_00	Sebe melikesi: "Ey ileri gelenler! Bana, Bismillahirrahmanirrahim diye başlayan ve 'sakın bana karşı baş kaldırmayın ve teslim olarak gelin' diyen Süleyman'dan gönderilen önemli bir mektup bırakıldı" dedi.
030_00	Sebe melikesi: "Ey ileri gelenler! Bana, Bismillahirrahmanirrahim diye başlayan ve 'sakın bana karşı baş kaldırmayın ve teslim olarak gelin' diyen Süleyman'dan gönderilen önemli bir mektup bırakıldı" dedi.
031_00	Sebe melikesi: "Ey ileri gelenler! Bana, Bismillahirrahmanirrahim diye başlayan ve 'sakın bana karşı baş kaldırmayın ve teslim olarak gelin' diyen Süleyman'dan gönderilen önemli bir mektup bırakıldı" dedi.
032_00	"Ey ileri gelenler! Vereceğim emir hakkında bana fikrinizi söyleyin; siz benim yanımda bulunmadıkça, bir iş hakkında kesin bir hüküm vermem" dedi.
033_00	"Biz güçlü kimseler ve zorlu savaş adamlarıyız, emir senindir, sen emretmene bak."
034_00	Melike: "Doğrusu hükümdarlar bir şehre girdikleri zaman orasını bozarlar, onurlu kimselerini aşağılık yaparlar. İşte böyle davranırlar. Ben onlara bir hediye göndereyim de, elçilerin ne ile döneceklerine bakayım" dedi.
035_00	Melike: "Doğrusu hükümdarlar bir şehre girdikleri zaman orasını bozarlar, onurlu kimselerini aşağılık yaparlar. İşte böyle davranırlar. Ben onlara bir hediye göndereyim de, elçilerin ne ile döneceklerine bakayım" dedi.
036_00	Süleyman'a geldiklerinde: "Bana mal ile yardım etmek mi istiyorsunuz? Allah'ın bana verdiği size verdiğinden daha iyidir. Ama belki de siz hediyenizle sevinirsiniz. Onlara dön! And olsun ki, güç yetiremeyecekleri bir ordu ile gelir onları oradan alçalmış ve küçük düşmüş olarak çıkarırız" dedi.
037_00	Süleyman'a geldiklerinde: "Bana mal ile yardım etmek mi istiyorsunuz? Allah'ın bana verdiği size verdiğinden daha iyidir. Ama belki de siz hediyenizle sevinirsiniz. Onlara dön! And olsun ki, güç yetiremeyecekleri bir ordu ile gelir onları oradan alçalmış ve küçük düşmüş olarak çıkarırız" dedi.
038_00	Süleyman: "Ey cemaat! Bana teslim olmalarından önce, hanginiz o kraliçenin tahtını yanıma getirebilir?" dedi.
039_00	Cinlerden bir ifrit: "Sen yerinden kalkmadan önce sana onu getiririm, buna karşı güvenilir bir güce sahibim" dedi.
040_00	Kitabın bilgisine sahip olan biri: "Gözünü açıp kapamadan ben onu sana getiririm" dedi.
040_01	Süleyman, tahtı yanına yerleşivermiş görünce: "Bu, şükür mü edeceğim yoksa nankörlük mü edeceğim diye beni sınayan Rabbimin lütfundandır.
040_02	Şükreden ancak kendisi için şükretmiş olur; fakat nankörlük eden bilsin ki Rabbim müstağnidir, kerem sahibidir" dedi.
041_00	Süleyman "Onun tahtını tanınmaz hale getirin, bakalım tanıyabilecek mi yoksa tanıyamayacak mı?" (yola gelecek mi, yoksa yola gelmeyenlerden mi olacak?) dedi.
042_00	Melike geldiğinde "Senin tahtın böyle miydi?" denildi. O da "Sanki odur, daha önce bize bilgi verilmişti ve teslim olmuştuk" dedi.
043_00	Melikeyi o zamana kadar alıkoyan, Allah'tan başka taptığı şeylerdi; çünkü kendisi inkarcı bir millettendi.
044_00	Ona: "Köşke gir" dendi; salonu görünce, onu derin bir su zannetti, eteğini çekti. Süleyman: "Doğrusu bu camdan yapılmış mücella bir salondur" dedi.
044_01	Melike: "Rabbim! Şüphesiz ben kendime yazık etmişim. Süleyman'la beraber, Alemlerin Rabbi olan Allah'a teslim oldum" dedi.
045_00	And olsun ki, Semud milletine kardeşleri Salih'i "Allah'a kulluk ediniz" desin diye gönderdik. Hemen birbiriyle çekişen iki zümreye ayrıldılar.
046_00	Salih: "Ey milletim! Niye iyilikten önce, acele kötülük istiyorsunuz? Merhamet olunasınız diye Allah'tan mağfiret dileseniz olmaz mı?" dedi.
047_00	"Sen ve beraberindekiler yüzünden uğursuzluğa uğradık" dediler. Salih: "Uğursuzluğunuz Allah katındandır; belki imtihana çekilen bir milletsiniz" dedi.
048_00	O şehirde, yeryüzünde bozgunculuk yapan, düzeltmeye uğraşmayan dokuz kişi (çete) vardı.
049_00	"Biz gece ona ve ailesine baskın verelim, sonra da onun dostuna, ailesinin yok edilişinde bulunmadık, şüphesiz biz doğru söylüyoruz, diyelim" diye aralarında Allah'a yemin ettiler.
050_00	Onlar bir düzen kurdular. Biz farkettirmeden düzenlerini bozduk.
051_00	Hilelerinin sonunun nasıl olduğuna bir bak! Biz onları ve milletlerini, hepsini, yerle bir ettik.
052_00	İşte, haksızlıklarına karşılık çökmüş bulunan evleri! Bunda, bilen bir millet için şüphesiz, ders vardır.
053_00	İnanıp Allah'a karşı gelmekten sakınanları kurtardık.
054_00	Lut'u da gönderdik; milletine şöyle dedi: "Göz göre göre bir hayasızlık mı yapıyorsunuz?"
055_00	"Kadınları bırakıp, erkeklere mi yaklaşıyorsunuz; evet, siz cahil bir milletsiniz."
056_00	Milletinin cevabı sadece: "Lut'un ailesini kasabanızdan çıkarın, güya onlar temiz kalmaya çalışan insanlarmış" demek oldu.
057_00	Bunun üzerine onu ve ailesini kurtardık, yalnız karısının geride kalanlardan olmasını gerekli bulduk.
058_00	Geride kalanların üzerlerine bir yağmur yağdırdık. Uyarılan fakat yola gelmeyenlerin yağmuru ne kötü idi!
059_00	De ki: "Hamd Allah'a mahsustur, seçtiği kullarına selam olsun. Allah mı daha iyidir, yoksa O'na koştukları ortaklar mı?"
060_00	Yoksa gökleri ve yeri yaratan, gökten size su indirip onunla, bir ağacını bile bitirmeye gücünüzün yetmediği, güzel güzel bahçeler meydana getiren mi?
060_01	Allah'ın yanında başka bir tanrı mı? Hayır; onlar taptıklarını Allah'a eşit tutan bir millettir.
061_00	Yoksa yeri, yaratıklarının oturmasına elverişli kılan ve aralarında ırmaklar meydana getiren, yeryüzüne sabit dağlar yerleştiren, iki deniz arasına engel koyan mı?
061_01	Allah'ın yanında başka bir tanrı mı? Hayır; çoğu bilmezler.
062_00	Yoksa, darda kalana, kendisine yakardığı zaman karşılık veren, başındaki sıkıntıyı gideren ve sizi yeryüzünün sahipleri yapan mı? Allah'ın yanında başka bir tanrı mi? Pek kıt düşünüyorsunuz.
063_00	Yoksa, karanın ve denizin karanlıklarında size yol bulduran, rüzgarları rahmetinin önünde müjdeci gönderen mi?
063_01	Allah'ın yanında başka bir tanrı mı? Allah, koştukları eşlerden yücedir.
064_00	Yoksa, önce yaratan, sonra da yaratmayı tekrar edecek olan; size gökten ve yerden rızık veren mi? Allah'ın yanında başka bir tanrı mı? De ki: "Eğer doğru sözlülerden iseniz, açık delilinizi getirin."
065_00	De ki: "Göklerde ve yerde gaybı Allah'tan başka bilen yoktur." Ne zaman diriltileceklerini de bilmezler.
066_00	Ahirete dair bilgileri yeterli midir? Hayır; ondan şüphe etmektedirler. Hayır; ona karşı kördürler.
067_00	İnkar edenler: "Biz ve babalarımız toprak olduğumuzda mı, doğrusu bizler mi tekrar çıkarılacağız? Bununla biz de, daha önce babalarımız da, and olsun ki, tehdit edilmiştik. Bu, öncekilerin masallarından başka bir şey değildir" dediler.
068_00	İnkar edenler: "Biz ve babalarımız toprak olduğumuzda mı, doğrusu bizler mi tekrar çıkarılacağız? Bununla biz de, daha önce babalarımız da, and olsun ki, tehdit edilmiştik. Bu, öncekilerin masallarından başka bir şey değildir" dediler.
069_00	De ki: "Yeryüzünde gezin, suçluların sonunun nasıl olduğuna bir bakın."
070_00	Onlara üzülme. Hilelerine karşı da sıkılma.
071_00	Onlar: "Eğer doğru söylüyorsanız, bildirin, bu sözünüz ne zaman yerine gelecektir?" derler.
072_00	De ki: "Acele ettiğiniz şeyin bir kısmı belki hemen başınıza gelir."
073_00	Doğrusu Rabbin, insanlara karşı lütuf sahibidir. Fakat onların çoğu şükretmezler.
074_00	Şüphesiz Rabbin onların gönüllerinin gizlediklerini de, açığa vurduklarını da bilir.
075_00	Gökte ve yerde gizli hiçbir şey yoktur ki apaçık bir kitapta olmasın.
076_00	Doğrusu bu Kuran, İsrailoğullarına, ayrılığa düştükleri şeyin çoğunu anlatmaktadır.
077_00	Doğrusu Kuran, inananlara doğruluk rehberi ve rahmettir.
078_00	Rabbin şüphesiz, aralarında, kendi hükmünü verecektir. O güçlüdür, bilendir.
079_00	Allah'a güven, şüphesiz sen apaçık gerçek üzerindesin.
080_00	Sen, ölülere şüphesiz ki işittiremezsin; dönüp giden sağırlara da çağrıyı duyuramazsın.
081_00	Körleri sapıklıklarından vazgeçirip doğru yola döndüremezsin; ancak ayetlerimize inananlara sen duyurabilirsin; işte onlar Müslümanlardır.
082_00	Kendilerine söylenmiş olan başlarına geldiği zaman, yerden bir çeşit hayvan çıkarırız ki o, onlara, insanların ayetlerimize kesin olarak inanmadıkların söyler.
083_00	O gün her ümmetin ayetlerimizi yalanlayanlarını toplarız. Onlar bir arada tutulup, hesap yerine sevkedilirler.
084_00	Geldikleri zaman Allah: "Ayetlerimi anlamadığınız halde yalanladınız mı? Yoksa yaptığınız neydi?" der.
085_00	Haksızlıklarından ötürü, söylenilen söz başlarına gelir. Artık konuşamaz olurlar.
086_00	Size geceyi dinlenesiniz diye karanlık ve gündüzü çalışasınız diye aydınlık olarak yarattığımızı görmediler mi? Doğrusu bunda, inanan millet için dersler vardır.
087_00	Sura üfürüldüğü gün, Allah'ın diledikleri bir yana, göklerde olanlar da yerde olanlar da, korku içinde kalırlar. Hepsi Allah'a boyunları bükülmüş olarak gelirler.
088_00	Dağları yerinde donmuş gibi durur görürsün, oysa onlar bulutlar gibi geçerler. Bu her şeyi sağlam tutan Allah'ın işidir. Doğrusu O, yaptıklarınızdan haberdardır.
089_00	Kim bir iyilik getirirse, ona daha iyisi verilir. Onlar o günün korkusundan güvendedirler.
090_00	Kötülük getiren kimseler, yüzükoyun ateşe atılırlar. "Yaptıklarınızdan başka bir şeyle mi cezalandırılacaksınız?" denir.
091_00	De ki: "Ben, yalnız her şeyin sahibi olan ve bu kutlu kılınmış şehrin Rabbine kulluk etmekle emrolundum. Müslümanlardan olmakla ve Kuran okumakla emrolundum." Kim doğru yolu bulmuşsa, yalnız kendisi için bulmuş olur, kim sapıtmışsa kendine etmiş olur. De ki: "Ben sadece, uyaranlardan biriyim."
092_00	De ki: "Ben, yalnız her şeyin sahibi olan ve bu kutlu kılınmış şehrin Rabbine kulluk etmekle emrolundum. Müslümanlardan olmakla ve Kuran okumakla emrolundum." Kim doğru yolu bulmuşsa, yalnız kendisi için bulmuş olur, kim sapıtmışsa kendine etmiş olur. De ki: "Ben sadece, uyaranlardan biriyim."
093_00	De ki: "Hamd Allah'a mahsustur. O, ayetlerini size gösterecek, siz de onları bileceksiniz." Rabbin yaptıklarınızdan habersiz değildir.
