001_00	İnsanların hesap görme zamanı yaklaştı, fakat onlar hala habersiz, hakdan yüz çeviriyorlar.
074_00	Lut'a da hüküm ve ilim verdik; onu, çirkin işler işleyen kasabadan kurtardık. Doğrusu onlar yoldan çıkmış kötü bir milletti.
075_00	Lut'u rahmetimizin içine aldık; doğrusu o iyilerdendi.
076_00	Nuh da daha önceleri Bize yalvarmıştı, onun duasını kabul edip, kendisini ve ailesini büyük sıkıntıdan kurtardık.
077_00	Ayetlerimizi yalanlayan millete karşı ona yardım ettik. Doğrusu onlar fena bir milletti, hepsini suda boğduk.
078_00	Davud ve Süleyman da milletin koyunlarının yayıldığı bir ekin hakkında hüküm veriyorlarken, Biz onların hükmüne şahiddik.
079_00	Süleyman'a bu meselenin hükmünü bildirmiştik; her birine hüküm ve ilim verdik. Davud ile beraber tesbih etsinler diye dağları ve kuşları buyruk altına aldık. Bunları Biz yapmıştık.
080_00	Ona, sizi savaşta korumak için zırh yapma sanatını öğrettik, artık şükreder misiniz?
081_00	Bereketli kıldığımız yere doğru, Süleyman'ın emriyle yürüyen şiddetli rüzgarı, onun buyruğuna verdik. Biz herşeyi biliyorduk.
082_00	Dalgıçlık yapan ve bundan başka işler de gören şeytanlardan da onun buyruğu altına verdik. Onların hepsini gözetiyorduk.
083_00	Eyyub da: "Başıma bir bela geldi, (Sana sığındım), Sen merhametlilerin merhametlisisin" diye Rabbine nida etmişti.
084_00	Biz de onun duasını kabul etmiş ve başına gelenleri kaldırmıştık. Katımızdan bir rahmet ve kulluk edenlere bir hatıra olmak üzere ona tekrar ailesini ve kaybettikleriyle bir mislini daha vermiştik.
085_00	İsmail, İdris ve Zülkifl hakkında anlattığımızı da an; onların her biri sabredenlerdendi.
086_00	Onları rahmetimizin içine aldık; doğrusu onlar iyilerdendi.
087_00	Zünnun (Balık Sahibi; Yunus) hakkında söylediğimizi de an. O, öfkelenerek giderken, kendisini sıkıntıya sokmayacağımızı sanmıştı; fakat sonunda karanlıklar içinde: "Senden başka tanrı yoktur, Sen münezzehsin, doğrusu ben haksızlık edenlerdenim" diye seslenmişti.
088_00	Biz de ona cevap verip, onu üzüntüden kurtarmıştık. inananları böyle kurtarırız.
089_00	Zekeriya da: "Rabbim! Beni tek Başıma bırakma, Sen varislerin en hayırlısısın" diye nida etmişti.
090_00	Biz de ona icabet ederek, Yahya'yı bahşetmiş, eşini de doğum yapacak hale getirmiştik.
090_01	Doğrusu onlar iyi işlerde yarışıyorlar, korkarak ve umarak Bize yalvarıyorlardı. Bize karşı gönülden saygı duyuyorlardı.
091_00	Mahrem yerini koruyan Meryem'e ruhumuzdan üflemiş, onu ve oğlunu, alemler için bir mucize kılmıştık.
092_00	Doğrusu tevhid dini olan Müslümanlık, bir tek din olarak sizin dininizdir ve Ben de Rabbinizim, artık Bana kulluk edin.
093_00	Ama insanlar, din konusunda aralarında bölüklere ayrıldılar, hepsi Bize döneceklerdir.
094_00	İnanmış olarak yararlı iş işleyenin ameli inkar edilmeyecektir. Biz onu yazmaktayız.
095_00	Yok ettiğimiz kasaba halkının ahirette ceza görmek üzere Bize dönmemesi imkansızdır.
096_00	Yecüc ve Mecüc'ün seddi yıkıldığı zaman her dere ve tepeden boşanırlar.
097_00	Gerçek vaad yaklaştığında, inkar edenlerin gözleri beleriverir: "Vah bize! Bundan önce gaflet içindeydik, hem de zalimdik" derler.
098_00	Siz ve Allah'tan başka taptıklarınız, cehennemin yakıtısınız; oraya gireceksiniz.
099_00	Eğer bunlar tanrı olsaydı cehenneme girmezlerdi; hepsi orada temelli kalacaktır.
100_00	Orada onlara ah etmek vardır; birşey de işitemezler.
101_00	Yaptıklarına karşılık katımızdan kendileri için iyi şeyler yazılmış olanlar, işte onlar cehennemden uzak tutulanlardır.
102_00	Cehennemin uğultusunu duymazlar. Canlarının istediği şeyler içinde temelli kalırlar.
103_00	En büyük korku bile onları üzmez; kendilerini melekler: "Size söz verilen gün işte bugündür" diye karşılarlar.
104_00	Göğü, kitap dürer gibi dürdüğümüz zaman, yaratmaya ilk başladığımız gibi katımızdan verilmiş bir söz olarak onu tekrar var edeceğiz. Doğrusu Biz yaparız.
105_00	And olsun ki, Tevrat'tan sonra Zebur'da da yeryüzüne ancak iyi kullarımın mirasçı olduğunu yazmıştık.
106_00	Doğrusu bu Kuran'da, kulluk eden kimselere bildiri vardır.
107_00	Biz seni ancak alemlere rahmet olarak gönderdik.
108_00	De ki: "Doğrusu tanrınızın tek bir Tanrı olduğu bana şüphesiz vahyolundu. Artık müslüman olacak mısınız?"
109_00	Eğer yüz çevirirlerse, de ki: "Size düpedüz açıkladım; tehdit olunduğunuz şeyin yakın mı uzak mı olduğunu bilmem."
110_00	"Doğrusu O, açığa vurulan sözü de bilir, gizlediklerinizi de bilir."
111_00	"Bilmem; belki bu gecikme sizi denemek ve bir süreye kadar geçindirmek içindir."
112_00	Peygamber: "Rabbim! Aramızda gerçekle hükmet, anlattıklarınıza karşı ancak Rahman olan Rabbimizden yardım istenir" dedi.
