001_00	Elif, Lam, Mim.
048_00	Ona Kitabı, hikmeti, Tevrat'ı ve İncil'i öğretecek, İsrailoğullarına şöyle diyen bir peygamber kılacak: "Ben size Rabbinizden bir ayet getirdim. Ben size çamurdan kuş gibi bir şey yapıp ona üfleyeceğim, Allah'ın izniyle, hemen kuş olacaktır; anadan doğma körleri, alacalıları iyi edeceğim; Allah'ın izniyle, ölüleri dirilteceğim; yediklerinizi ve evlerinizde sakladıklarınızı da size haber vereceğim. İnanmışsanız bunda size delil vardır".
049_00	Ona Kitabı, hikmeti, Tevrat'ı ve İncil'i öğretecek, İsrailoğullarına şöyle diyen bir peygamber kılacak: "Ben
049_01	size Rabbinizden bir ayet getirdim. Ben size çamurdan kuş gibi bir şey yapıp ona
049_02	üfleyeceğim, Allah'ın izniyle, hemen kuş olacaktır; anadan doğma körleri, alacalıları iyi edeceğim; Allah'ın izniyle,
049_03	ölüleri dirilteceğim; yediklerinizi ve evlerinizde sakladıklarınızı da size haber vereceğim. İnanmışsanız bunda size delil vardır".
050_00	"Benden önce gelen Tevrat'ı tasdik etmekle beraber size yasak edilenlerin bir kısmını helal kılmak üzere, Rabbinizden size bir ayet getirdim.
050_01	Allah'tan sakının ve bana itaat edin; çünkü Allah benim de Rabbim, sizin de Rabbinizdir. O'na kulluk edin, bu doğru yoldur".
051_00	"Benden önce gelen Tevrat'ı tasdik etmekle beraber size yasak edilenlerin bir kısmını helal kılmak üzere, Rabbinizden size bir ayet getirdim. Allah'tan sakının ve bana itaat edin; çünkü Allah benim de Rabbim, sizin de Rabbinizdir. O'na kulluk edin, bu doğru yoldur".
052_00	İsa onların inkarlarını hissedince: "Allah uğrunda yardımcılarım kimlerdir?" dedi.
052_01	Havariler şöyle dediler: "Biz Allah'ın yardımcılarıyız, Allah'a inandık, O'na teslim olduğumuza şahid ol".
053_00	"Rabbimiz! İndirdiğine inandık, Peygambere uyduk; bizi sahid olanlarla beraber yaz".
054_00	Fakat (inkarcılar) hile yaptılar. Allah da onları cezalandırdı. Allah, hile yapanların cezasını en iyi verendir.
055_00	Allah demişti ki: "Ey İsa! Ben seni eceline yetireceğim, seni kendime yükselteceğim, inkar edenlerden seni tertemiz ayıracağım; sana uyanları, kıyamet gününe kadar, inkar edenlerin üstünde tutacağım. Sonra dönüşünüz Banadır.
055_01	Ayrılığa düştüğünüz hususlarda aranızda hükmedeceğim. İnkar edenleri de dünya ve ahirette şiddetli azaba uğratacağım. Onların hiç yardımcıları olmayacaktır."
056_00	Allah demişti ki: "Ey İsa! Ben seni eceline yetireceğim, seni kendime yükselteceğim, inkar edenlerden seni tertemiz ayıracağım; sana uyanları, kıyamet gününe kadar, inkar edenlerin üstünde tutacağım. Sonra dönüşünüz Banadır. Ayrılığa düştüğünüz hususlarda aranızda hükmedeceğim. İnkar edenleri de dünya ve ahirette şiddetli azaba uğratacağım. Onların hiç yardımcıları olmayacaktır."
057_00	İnanıp yararlı iş işleyenlerin ecirleri ise tastamam verilecektir. Allah zalimleri sevmez.
058_00	Sana okuduğumuz bunlar, ayetlerden ve hikmet dolu Kuran'dandır.
059_00	Allah'ın katında İsa'nın durumu kendisini topraktan yaratıp sonra ol demesiyle olmuş olan Adem'in durumu gibidir.
060_00	Gerçek Rabb'indendir, o halde şüphelenenlerden olma.
061_00	Sana ilim geldikten sonra, bu hususta seninle kim tartışacak olursa, de ki: "Gelin, oğullarımızı,
061_01	oğullarınızı, kadınlarımızı, kadınlarınızı, kendimizi ve kendinizi çağıralım, sonra lanetleşelim de, Allah'ın lanetinin yalancılara olmasını dileyelim".
062_00	Şüphesiz bu anlatılanlar gerçek olaylardır. Allah'tan başka tanrı yoktur. Doğrusu Allah güçlüdür, Hakim'dir.
063_00	Eğer yüz çevirirlerse, şüphesiz Allah bozguncuları bilir.
064_00	De ki: "Ey Kitap ehli!
064_01	Ancak Allah'a kulluk etmek, O'na bir şeyi eş koşmamak, Allah'ı bırakıp birbirimizi rab olarak benimsememek üzere, bizimle sizin aranızda müşterek bir söze gelin". Eğer yüz çevirirlerse: "Bizim müslüman olduğumuza şahid olun" deyin.
065_00	Ey Kitap ehli! İbrahim hakkında niçin tartışıyorsunuz? Tevrat da, İncil de şüphesiz ondan sonra indirilmiştir. Akletmiyor musunuz?
066_00	Siz, hadi bilginiz olan şey üzerinde tartışanlarsınız. Ama bilginiz olmayan şey hakkında niçin tartışırsınız? Oysa Allah bilir, sizler bilmezsiniz.
067_00	İbrahim, yahudi de, hıristiyan da değildi, ama doğruya yönelen bir müslimdi; ortak koşanlardan değildi.
068_00	Doğrusu İbrahim'e en yakın olanlar, ona uyanlar, bu Peygamber ve inananlardır. Allah inananların dostudur.
069_00	Kitap ehlinden bir takımı sizi sapıtmak isterler; oysa kendilerini saptırırlar da farkına varmazlar.
070_00	Ey Kitap ehli! Sizler göz göre göre Allah'ın ayetlerini niçin inkar ediyorsunuz?
071_00	Ey Kitap ehli! Niçin hakkı batıla karıştırıyor ve bile bile hakkı gizliyorsunuz?
072_00	Kitap ehlinden bir takımı şöyle dedi: "İnananlara indirilene günün başında inanın, sonunda inkar edin ki, belki dönerler ve dininize uyanlardan başkasına inanmayın". De ki: "Doğru yol Allah'ın yoludur". Ve yine başkasına da verildiğine veya Rabbinizin katında Müslümanların karşı delil getirip sizi alt edeceğine inanmayın, derler. De ki: "Doğrusu bol nimet Allah'ın elindedir, onu dilediğine verir. Allah'ın fazlı her şeyi kaplar, O her şeyi bilir".
073_00	Kitap ehlinden bir takımı şöyle dedi: "İnananlara indirilene günün başında inanın, sonunda inkar edin ki, belki dönerler ve dininize uyanlardan başkasına inanmayın". De ki: "Doğru yol Allah'ın yoludur".
073_01	Ve yine başkasına da verildiğine veya Rabbinizin katında Müslümanların karşı delil getirip sizi alt edeceğine inanmayın, derler. De ki: "Doğrusu bol nimet Allah'ın elindedir, onu dilediğine verir. Allah'ın fazlı her şeyi kaplar, O her şeyi bilir".
074_00	"Rahmetini dilediğine tahsis eder, Allah büyük, bol nimet sahibidir".
075_00	Kitap ehli arasında kantarla emanet bıraksan onu sana ödeyen ve bir lira emanet etsen, tepesine dikilmedikçe onu sana ödemeyen vardır.
075_01	Bu, onların: "Kitapsızlara karşı üzerimize bir sorumluluk yoktur" demelerindendir.
075_02	Onlar bile bile Allah'a karşı yalan söylemektedirler.
076_00	Hayır, öyle değil; ahdini yerine getiren ve günahtan sakınan bilsin ki, Allah sakınanları şüphesiz sever.
077_00	Allah'ın ahdini ve yeminlerini az bir değere değişenlerin, işte onların, ahirette bir payları yoktur.
077_01	Allah onlara kıyamet günü hitab etmeyecek, onlara bakmayacak, onları temize çıkarmayacaktır. Elem verici azab onlar içindir.
078_00	Onlardan bir takımı, Kitapta olmadığı halde Kitaptan zannedesiniz diye dillerini eğip bükerler.
078_01	O, Allah katından olmadığı halde: "Allah katındandır" derler, bile bile Allah'a karşı yalan söylerler.
079_00	Allah'ın kendisine Kitap'ı, hükmü, peygamberliği verdiği insanoğluna: "Allah'ı bırakıp bana kulluk edin"
079_01	demek yaraşmaz, fakat: "Kitabı öğrettiğinize, okuduğunuza göre Rabb'e kul olun" demek yaraşır.
080_00	Size melekleri, peygamberleri Rab olarak benimsemenizi emretmesi de yaraşmaz. Siz müslüman olduktan sonra, size inkar etmeyi mi emredecek?
081_00	Allah peygamberlerden ahid almıştı: "And olsun ki size Kitap, hikmet verdim; sizde olanı tasdik eden bir peygamber gelecek, ona mutlaka inanacaksınız ve ona mutlaka yardım edeceksiniz, ikrar edip bu ahdi kabul ettiniz mi?" demişti.
081_01	"İkrar ettik" demişlerdi de: "Şahid olun, Ben de sizinle beraber şahidlerdenim" demişti.
082_00	Bunun ardından yüz çeviren var ya, işte onlar fasık olanlardır.
083_00	Allah'ın dininden başka bir din mi arzu ediyorlar? Oysa göklerde ve yerde kim varsa, ister istemez O'na teslim olmuştur, O'na döneceklerdir.
084_00	"Allah'a, bize indirilene, İbrahim'e, İsmail'e, İshak'a, Yakub'a ve torunlarına indirilene, Rableri tarafından Musa,
084_01	İsa ve peygamberlere verilene inandık, onları birbirinden ayırt etmeyiz, biz O'na teslim olanlarız" de.
085_00	Kim İslam'dan başka bir dine yönelirse, onunki kabul edilmeyecektir. O ahirette de kaybedenlerdendir.
086_00	İnandıktan, peygamberin hak olduğuna şehadet ettikten, kendilerine belgeler geldikten sonra inkar eden bir milleti Allah nasıl doğru yola eriştirir? Allah zalimleri doğru yola eriştirmez.
087_00	İşte bunların cezası, Allah'ın, meleklerin, insanların hepsinin lanetine uğramalarıdır.
088_00	Orada temellidirler; onlardan azab hafifletilmez; onların azabı geciktirilmez.
089_00	Ancak bunun ardından tevbe edip düzelenler müstesnadır. Doğrusu Allah bağışlar ve merhamet eder.
090_00	İnandıktan sonra inkar edip, inkarda aşırı gidenler var ya, onların tevbeleri kabul edilmeyecektir. İşte sapıklar onlardır.
091_00	Doğrusu inkar edip, inkarcı olarak ölenlerin hiçbirinden, yeryüzünü dolduracak kadar altını fidye vermiş olsa bile, bu kabul edilmeyecektir.
091_01	İşte elem verici azab onlaradır, onların hiç yardımcıları da yoktur.
092_00	Sevdiğiniz şeylerden sarfetmedikçe iyiliğe erişemezsiniz. Her ne sarfederseniz, şüphesiz Allah onu bilir.
093_00	Tevrat'ın indirilmesinden önce İsrail'in kendisine haram ettiğinden başka bütün yiyecekler İsrailoğullarına helal idi.
093_01	De ki: "Doğru sözlü iseniz Tevrat'ı getirip okuyun".
094_00	Bundan sonra Allah'a karşı kim yalan isnad ederse, işte onlar zalimlerdir.
095_00	De ki: "Allah doğru söyledi, doğruya meyleden İbrahim'in dinine uyun; O, puta tapanlardan değildi".
096_00	Doğrusu insanlar için ilk kurulan ev, Mekke'de, dünyalar için mübarek ve doğru yol gösteren Kabe'dir.
097_00	Orada apaçık deliller vardır, İbrahim'in makamı vardır; kim oraya girerse, güvenlik içinde olur; oraya yol bulabilen insana Allah için Kabe'yi haccetmesi gereklidir.
097_01	Kim inkar ederse, bilsin ki; doğrusu Allah alemlerden müstağnidir.
098_00	De ki: "Ey Kitap ehli! Allah yaptıklarınızı görüp dururken, niçin Allah'ın ayetlerini inkar ediyorsunuz?"
099_00	De ki: "Ey Kitap ehli! Siz doğru olduğuna şahidken, niçin inananları Allah'ın yolunu eğri göstermeğe yeltenerek ondan çeviriyorsunuz? Allah işlediklerinizden gafil değildir".
100_00	Ey İnananlar! Kitap verilenlerin bir takımına uyarsanız, inanmanızdan sonra sizi kafir olmağa çevirirler.
101_00	Allah'ın ayetleri size okunur, aranızda da Peygamberi bulunurken nasıl inkar edersiniz? Kim Allah'ın Kitabına sarılırsa şüphesiz doğru yola erişir.
102_00	Ey inananlar! Allah'tan, sakınılması gerektiği gibi sakının, sizler ancak müslüman olarak can verin.
103_00	Toptan Allah'ın ipine sarılın, ayrılmayın.
103_01	Allah'ın size olan nimetini anın: Düşmandınız, kalblerinizin arasını uzlaştırdı da onun nimeti sayesinde kardeş oldunuz.
103_02	Bir ateş çukurunun kenarında idiniz, sizi oradan kurtardı. Allah, doğru yola erişesiniz diye size böylece ayetlerini açıklar.
104_00	Sizden, iyiye çağıran, doğruluğu emreden ve fenalıktan meneden bir cemaat olsun. İşte başarıya erişenler yalnız onlardır.
105_00	Kendilerine belgeler geldikten sonra ayrılan ve ayrılığa düşenler gibi olmayın. Bir takım yüzlerin ağaracağı ve bir takım yüzlerin kararacağı günde büyük azab onlaradır. Yüzleri kararanlara: "İnanmanızdan sonra inkar eder misiniz? İnkar etmenizden dolayı tadın azabı" denecektir.
106_00	Kendilerine belgeler geldikten sonra ayrılan ve ayrılığa düşenler gibi olmayın. Bir takım yüzlerin ağaracağı ve bir takım yüzlerin kararacağı günde büyük azab onlaradır. Yüzleri kararanlara: "İnanmanızdan sonra inkar eder misiniz? İnkar etmenizden dolayı tadın azabı" denecektir.
107_00	Yüzleri ağaranlar ise Allah'ın rahmetindedirler. Onlar orada temellidirler.
108_00	İşte bunlar, sana doğru olarak okuduğumuz Allah'ın ayetleridir. Allah hiç kimseye zulmetmek istemez.
109_00	Göklerde olanlar da, yerde olanlar da Allah'ındır. İşler Allah'a varacaktır.
110_00	Siz, insanlar için ortaya çıkarılan, doğruluğu emreden, fenalıktan alıkoyan, Allah'a inanan hayırlı bir ümmetsiniz.
110_01	Kitap ehli inanmış olsalardı, kendileri için daha hayırlı olurdu; içlerinde inananlar olmakla beraber, çoğu yoldan çıkmıştır.
111_00	Onlar incitmekten başka size bir zarar veremezler. Sizinle savaşa koyulurlarsa, geri dönüp kaçarlar. Sonra kendilerine yardım da edilmez.
112_00	Nerede bulunsalar Allah'ın ve inanan insanların himayesinde olanlar müstesna onlara alçaklık damgası vurulmuştur. Allah'tan bir gazaba uğradılar, onlara aşağılık damgası vuruldu.
112_01	Bu, Allah'ın ayetlerini inkar etmeleri ve haksız yere peygamberleri öldürmelerindendir. Bu, karşı gelmeleri ve taşkınlık yapmalarındandır.
113_00	Kitap ehlinin hepsi bir değildir: Onlardan geceleri secdeye kapanarak Allah'ın ayetlerini okuyup duranlar vardır; bunlar Allah'a ve ahiret gününe inanır, kötülükten meneder, iyiliklere koşarlar. İşte onlar iyilerdendir.
114_00	Kitap ehlinin hepsi bir değildir: Onlardan geceleri secdeye kapanarak Allah'ın ayetlerini okuyup duranlar vardır; bunlar Allah'a ve ahiret gününe inanır, kötülükten meneder, iyiliklere koşarlar. İşte onlar iyilerdendir.
115_00	Ne iyilik yaparlarsa, karşılığını bulacaklardır. Allah sakınanları bilir.
116_00	İnkar eden kimselerin malları ve çocukları, Allah'tan yana, onlara bir fayda vermeyecektir. İşte onlar cehennemliklerdir, onlar orada temellidirler.
117_00	Bu dünya hayatında sarfettiklerinin durumu, kendilerine zulmeden kimselerin ekinlerine isabetle kavurup mahveden soğuk bir rüzgarın durumu gibidir.
117_01	Allah onlara zulmetmedi, onlar kendilerine yazık ettiler.
118_00	Ey İnananlar! Sizden olmayanı sırdaş edinmeyin, onlar sizi şaşırtmaktan geri durmazlar, sıkıntıya düşmenizi isterler.
118_01	Onların öfkesi ağızlarından taşmaktadır, kalblerinin gizlediği ise daha büyüktür. Eğer aklediyorsanız, şüphesiz size ayetleri açıkladık.
119_00	İşte siz, onlar sizi sevmezken onları seven ve Kitapların bütününe inanan kimselersiniz. Size rastladıkları zaman: "İnandık" derler, yalnız kaldıklarında da, size öfkelerinden parmaklarını ısırırlar.
119_01	De ki: "Öfkenizden çatlayın". Allah kalblerde olanı bilir.
120_00	Size bir iyilik gelse, onların fenasına gider; başınıza bir kötülük gelse buna sevinirler.
120_01	Sabreder ve sakınırsanız, onların hilesi size hiçbir zarar vermez. Allah işlediklerinin hepsini ilmiyle kuşatmıştır.
121_00	Sen inananları savaş için duracakları yerlere yerleştirmek üzere, erkenden evinden ayrılmıştın. Allah işitir ve bilir.
122_00	Sizden iki takım bozulup geri çekilmek üzere idi; oysa Allah onların dostu idi, inananlar yalnız Allah'a güvensinler.
123_00	And olsun ki, siz düşkün bir durumda iken, Bedir'de, Allah size yardım etmişti; Allah'tan sakının ki şükredebilesiniz.
124_00	İnananlara: "Rabbinizin size gönderilmiş üç bin melekle yardım etmesi size yetmeyecek mi?" diyordun. Evet, eğer sabrederseniz, sakınırsanız ve onlar de hemen üzerinize gelirlerse Rabbiniz size, nişanlı beş bin melekle imdat edecektir.
125_00	İnananlara: "Rabbinizin size gönderilmiş üç bin melekle yardım etmesi size yetmeyecek mi?" diyordun. Evet, eğer sabrederseniz, sakınırsanız ve onlar de hemen üzerinize gelirlerse Rabbiniz size, nişanlı beş bin melekle imdat edecektir.
126_00	Allah bunu, ancak size müjde olsun ve böylece kalbleriniz yatışsın diye yapmıştır. İnkar edenlerin bir kısmını kesmek veya ümidsiz olarak geri dönecek şekilde bozguna uğratmak için gereken yardım, ancak Güçlü ve Hakim olan Allah katından olur.
127_00	Allah bunu, ancak size müjde olsun ve böylece kalbleriniz yatışsın diye yapmıştır. İnkar edenlerin bir kısmını kesmek veya ümidsiz olarak geri dönecek şekilde bozguna uğratmak için gereken yardım, ancak Güçlü ve Hakim olan Allah katından olur.
128_00	Allah'ın, onların tevbelerini kabul veya onlara azab etmesi işiyle senin bir ilişiğin yoktur; çünkü onlar zalimlerdir.
129_00	Göklerde olanlar da, yerde olanlar da Allah'ındır. Dilediğini bağışlar, dilediğine azab eder. Allah bağışlayandır, merhamet edendir.
130_00	Ey İnananlar! Faizi kat kat alarak yemeyin. Allah'tan sakının ki başarıya erişesiniz.
131_00	İnkar edenler için hazırlanmış ateşten sakının.
132_00	Size merhamet edilmesi için, Allah'a ve Peygamber'e itaat edin.
133_00	Rabbinizin mağfiretine ve Allah'a karşı gelmekten sakınanlar için hazırlanmış eni gökler ve yer kadar olan cennete koşuşun.
134_00	Onlar bollukta ve darlıkta sarfederler, öfkelerini yenerler, insanların kusurlarını affederler. Allah iyilik yapanları sever.
135_00	Onlar fena bir şey yaptıklarında veya kendilerine zulmettiklerinde Allah'ı anarlar, günahlarının bağışlanmasını dilerler.
135_01	Günahları Allah'tan başka bağışlayan kim vardır? Onlar, yaptıklarında bile bile direnmezler.
136_00	Onların hareketlerinin karşılığı Rablerinden bağışlanma ve altlarından ırmaklar akan, içinde temelli kalacakları cennetlerdir. İyi davrananların ne güzel ecri vardır!
137_00	Sizden önce neler gelip geçmiştir. Yeryüzünde gezin de, yalancıların sonunun ne olduğuna bir bakın.
138_00	Bu Kuran, insanlara bir açıklama, sakınanlara yol gösterme ve bir öğüttür.
139_00	Gevşemeyin, üzülmeyin, inanmışsanız, mutlaka siz en üstünsünüzdür.
140_00	Eğer siz (Uhud'da) bir yara almışsanız, (size düşman olan) o topluluk da (Bedir'de) benzeri bir yara almıştı.
140_01	Böylece biz, Allah'ın gerçek müminleri ortaya çıkarması ve içinizden şahitler edinmesi için, bu günleri bazen lehe, bazen de aleyhe döndürüp duruyoruz. Allah, zulmedenleri sevmez.
141_00	Bir de Allah, böylece iman edenleri günahlardan arıtmak, inkarcıları ise yok etmek ister.
142_00	Yoksa içinizden Allah cihad edenleri ve sabredenleri belirtmeden cennete gireceğinizi mi sanıyordunuz?
143_00	And olsun ki, ölümle karşılaşmadan önce onu temenni ediyordunuz; işte onu gözlerinizle bakarak gördünüz.
144_00	Muhammed ancak bir peygamberdir. Ondan önce de peygamberler geçmişti.
144_01	Ölür veya öldürülürse geriye mi döneceksiniz? Geriye dönen, Allah'a hiçbir zarar vermez. Allah şükredenlerin mükafatını verecektir.
145_00	Hiçbir kimse Allah'ın izni olmadan ölmez; o, belli bir vakte bağlanmıştır.
