001_00	Kaf, Ha, Ya, Ayn, Sad.
037_00	Fırkalar, kendi aralarında anlaşmazlığa düştüler. Vay o büyük günü görecek kafirlerin haline!
038_00	Bize geldikleri gün neler görüp neler işitecekler! Ama zalimler bugün apaçık bir sapıklık içindedirler.
039_00	Hala gaflet içinde bulunanları ve hala inanmayanları işin bitmiş olacağı o hasret günü ile uyar.
040_00	Şüphesiz Biz bütün yeryüzüne ve üzerinde bulunanlara varis olacağız. Onlar Bize döneceklerdir.
041_00	Kitap'da İbrahim'e dair anlattıklarımızı da an, o şüphesiz dosdoğru bir peygamberdi.
042_00	Babasına şöyle demişti: "Babacığım! İşitmeyen, görmeyen ve sana bir faydası olmayan şeylere niçin tapıyorsun?"
043_00	"Babacığım! Doğrusu sana gelmeyen bir ilim bana geldi. Bana uy, seni doğru yola eriştireyim."
044_00	"Babacığım! Şeytana tapma, çünkü şeytan Rahman'a baş kaldırmıştır"
045_00	"Babacığım! Doğrusu sana Rahman katından bir azabın gelmesinden korkuyorum ki böylece şeytanın dostu olarak kalırsın."
046_00	Babası: "Ey İbrahim! Sen benim tanrılarımdan yüz çevirmek mi istiyorsun? Bundan vazgeçmezsen mutlaka seni taşlarım; uzun bir süre benden uzaklaş git." dedi.
047_00	İbrahim şöyle cevap verdi: "Sana selam olsun. Senin için Rabbim'den mağfiret dileyeceğim, çünkü O, bana karşı çok lütufkardır."
048_00	"Sizi Allah'tan başka taptıklarınızla bırakıp çekilir, Rabbime yalvarırım. Rabbime yalvarışımda mahrum kalmayacağımı umarım."
049_00	İbrahim onları Allah'tan başka taptıklarıyla başbaşa bırakıp çekilince ona İshak ve Yakub'u bahşettik ve her birini peygamber yaptık.
050_00	Onlara rahmetimizden bağışta bulunduk. Onların her dilde üstün şekilde anılmalarını sağladık.
051_00	Kitap'da Musa'ya dair anlattıklarımızı da an. O seçkin kılınmış bir insan, tarafımızdan gönderilmiş bir peygamberdi.
052_00	Ona Tur'un sağ yanından seslenmiş ve konuşmak için onu yaklaştırmıştık.
053_00	Rahmetimizden, kardeşi Harun'u bir peygamber olarak ona bağışladık.
054_00	Kitap'da İsmail'e dair anlattıklarımızı da an. Çünkü o sözünde doğru bir kimse idi, tarafımızdan gönderilmiş bir peygamberdi.
055_00	Çevresinde bulunanlara namaz kılmalarını, zekat vermelerini emrederdi. Rabbinin katında hoşnutluğa ermişti.
056_00	Kitap'da İdris'i de zikret, çünkü o dosdoğru bir peygamberdi.
057_00	Biz onu yüce bir yere yükselttik.
058_00	İşte bunlar Allah'ın kendilerine nimetler sunduğu peygamberler; Adem'in soyundan, Nuh ile beraber taşıdıklarımızdan; İbrahim ve İsmail'in neslinden ve doğru yola erdirdiğimizden, seçip beğendiklerimizdendirler.
058_01	Rahman'ın ayetleri onlara okunduğu zaman ağlayarak secdeye kapanırlardı.
059_00	Onların ardından, namazı bırakan, şehvetlerine uyan bir nesil geldi. İşte bunlar azgınlıklarının karşılığını göreceklerdir.
060_00	Ancak tevbe eden, inanıp yararlı iş yapanlar bunun dışındadır. Bunlar hiçbir haksızlığa uğratılmadan, Rahman'ın kullarına gaybde vadettiği cennete, Adn cennetlerine gireceklerdir. Şüphesiz, O'nun sözü yerini bulacaktır.
061_00	Ancak tevbe eden, inanıp yararlı iş yapanlar bunun dışındadır. Bunlar hiçbir haksızlığa uğratılmadan, Rahman'ın kullarına gaybde vadettiği cennete, Adn cennetlerine gireceklerdir. Şüphesiz, O'nun sözü yerini bulacaktır.
062_00	Orada boş sözler değil sadece esenlik veren sözler işitirler. Orada rızıklarını sabah akşam hazır bulurlar.
063_00	Kullarımızdan Allah'a karşı gelmekten sakınanları mirasçı kılacağımız Cennet işte budur.
064_00	Cebrail: "Biz ancak Rabbinin buyruğu ile ineriz, geçmişimizi geleceğimizi ve ikisinin arasındakileri bilmek O'na mahsustur. Rabbin unutkan değildir."
065_00	O, göklerin, yerin ve ikisi arasında bulunanların Rabbidir. Öyleyse Ona ibadette sabırlı ol. Hiç O'na benzeyen bir şey bilir misin?
066_00	İnsan: "Ben öldüğümde mi diriltileceğim?" der.
067_00	Bu insan kendisi önceden bir şey değilken onu yaratmış olduğumuzu hatırlamaz mi?
068_00	Rabbine and olsun ki Biz onları mutlaka uydukları şeytanlarla beraber haşredeceğiz. Sonra cehennemin yanında diz çöktürerek hazır bulunduracağız.
069_00	Sonra her toplumdan Rahman'a en çok kimin baş kaldırdığını ortaya koyacağız.
070_00	Cehenneme girmeye en layık olanları Biz biliriz.
071_00	Sizden cehenneme uğramayacak yoktur. Bu, Rabbinin yapmayı üzerine aldığı kesinleşmiş bir hükümdür.
072_00	Sonra Biz Allah'a karşı gelmekten sakınmış olanları kurtarır, zalimleri de orada diz üstü çökmüş olarak bırakırız.
073_00	Ayetlerimiz kendilerine apaçık okunduğu zaman inkar edenler inananlara: "Bu iki takımın hangisinin makamı daha iyi ve yeri daha güzeldir?" derler.
074_00	Onlardan önce nice nesilleri yok ettik ki, onlar varlıkça ve gösterişçe bunlardan daha üstündüler.
075_00	De ki: "Sapıklıkta olanı Rahman ne kadar ertelese bile, sonunda tehdit edildikleri azabı ya da
075_01	kıyamet gününü gördükleri zaman onlar kimin yerinin daha kötü ve taraftarlarının daha güçsüz olduğunu bilecektir."
076_00	Allah doğru yolda olanların doğruluğunu artırır. Baki kalacak yararlı işler Rabbinin katında sevap olarak da daha iyidir, sonuç olarak da daha iyidir.
077_00	Ayetlerimizi inkar eden ve "bana elbette mal ve çocuk verilecektir" diyeni gördün mu?
078_00	O görülmeyeni mi biliyor, yoksa Rahman katından bir söz mü almıştır?
079_00	Hayır, söylediğini yazacağız ve onun azabını uzattıkça uzatacağız.
080_00	Bahsettikleri şeyler Bize kalacaktır, kendisi Bize tek olarak gelecektir.
081_00	Onlar kendilerine kuvvet ve şeref kazandırsın diye, Allah'ı bırakarak tanrılar edindiler.
082_00	Hayır, tanrıları kendilerinin ibadetlerini inkar edecekler ve onlara düşman olacaklardır.
083_00	Kafirlerin üzerine onları kışkırtan şeytanlar gönderdiğimizi bilmiyor musun?
084_00	Öyleyse onların acele yok olmalarını isteme. Biz onların günlerini saydıkça sayıyoruz.
085_00	sakınanları o gün Rahman'ın huzurunda O'na gelmiş konuklar olarak toplarız, suçluları suya götürür gibi cehenneme süreriz.
086_00	sakınanları o gün Rahman'ın huzurunda O'na gelmiş konuklar olarak toplarız, suçluları suya götürür gibi cehenneme süreriz.
087_00	Rahman'ın katında bir ahd almış olandan başkası asla şefaatte bulunamıyacaktır.
088_00	Bazı kimseler: "Rahman çocuk edindi" dediler
089_00	And olsun ki, ortaya pek kötü bir şey attınız.
090_00	Rahman'a çocuk isnat etmelerinden ötürü neredeyse gökler parçalanacak, yer yarılacak, dağlar göçecekti.
091_00	Rahman'a çocuk isnat etmelerinden ötürü neredeyse gökler parçalanacak, yer yarılacak, dağlar göçecekti.
092_00	Oysa Rahman'a çocuk edinmek yaraşmaz, çünkü göklerde ve yerde olan her şey Rahman'a baş eğmiş kul olarak gelecektir.
093_00	Oysa Rahman'a çocuk edinmek yaraşmaz, çünkü göklerde ve yerde olan her şey Rahman'a baş eğmiş kul olarak gelecektir.
094_00	And olsun ki onların adedini bilmiş ve teker teker saymıştır.
095_00	Kıyamet günü hepsi O'na tek olarak gelecektir.
096_00	İnanıp yararlı iş işleyenleri Rahman sevgili kılacaktır.
097_00	Biz Kuran'ı Allah'a karşı gelmekten sakınanları müjdelemen ve inatçı milleti uyarman için senin dilinde indirerek kolaylaştırdık.
098_00	Onlardan önce nice nesilleri yok ettik, şimdi onlardan hiçbirini duyuyor veya bir ses işitiyor musun?
