001_00	O besimtarë! Plotësoni obligimet (marrëveshjet)!
009_00	Perëndia u ka premtuar atyre që besojnë dhe bëjnë vepra të mira – falje (të mëkateve) dhe shpërblim të madh;
010_00	kurse atyre që nuk kanë besuar dhe që kanë mohuar argumentet tona – ata do të jenë banorë të zjarrit.
011_00	O besimtarë! – kujtonie dhuntinë e Perëndisë, të cilën ua dhuroi atë ditë kur një grup njerëzish deshën t’u dëmtojnë juve me duart e tyre prej jush.
011_01	Druajuni Perëndisë! Dhe le të mbështetën vetëm te Perëndia besimtarët!
012_00	Me të vërtetë, Perëndia mori premtimin e bijve të Israilit dhe nga mesi i tyre caktoi dymbëdhjetë kujdestarë (mbikëqyrës), – dhe Perëndia tha: “Unë jam (në ndihmën tuaj)!
012_01	Në qoftë se do të kryeni namazin e jepni zeqatin, e besoni pejgamberët e Mi, i ndihmoni ata dhe t’i jepni vullnetarisht hua Perëndisë (në rrugën e Tij),
012_02	atëherë, Na, me të vërtetë, do t’ju mbulojmë mëkatet tuaja dhe do t’ju shpiem në kopshtije, nëpër të cilat rrjedhin lumenj. E, ai që prej jush mohon edhe pas kësaj, me të vërtetë, e ka humbur rrugën e drejtë.
013_00	Për shkak se ata e thyen obligimin e tyre, Na i mallkuam ata dhe ua forcuam (si gur) zemrat e tyre. Ata ngatërrojnë rendin e fjalëve nga vendet e tyre, duke harruar një pjesë nga ato këshilla.
013_01	Ti përherë do të vërejsh tradhëtinë e tyre, përpos një pakice të tyre, pra, falju atyre fajet dhe mos i qorto! Se, Perëndia, i don bamirësat.
014_00	Dhe prej atyre që thanë: “Jemi të krishterë”, kemi marrë premtimin e tyre, por edhe këta kanë harruar një pjesë nga ato që janë këshilluar, prandaj ua shtiem armiqësinë dhe urrejtjen në mes tyre deri në Ditën e Kijametit.
014_01	Se, Perëndia, me të vërtetë, di t’i lajmërojë ata për ato që kanë punuar.
015_00	O ithtarët e Librit!
015_01	Ju erdhi juve Pejgamberi Ynë i cili u shpjegon gjëra nga to që i keni fshehur ju prej Librit (Teuratit dhe Ungjillit) dhe ju falë shumë (kalon në heshtje). E, prej Perëndisë ju erdh juve dritë (Pejgamberi) dhe Libri i qartë (Kur’ani),
016_00	me të cilin Perëndia i drejton ata që ndjekin kënaqësinë e Tij, në rrugën e shpëtimit, i nxjerr nga errësira në dritë me lejen e Vet dhe i shpie në rrugën e drejtë.
017_00	Me të vërtetë, kanë mohuar (të Vërtetën) ata që thonë: “Me siguri perëndi është Mesihu, i biri i Merjemës!” Thuaj: “Kush mund të pengojë gjë
017_01	në punët e Perëndisë, nëse Ai don ta zhdukë Mesihun, të birin e Merjemës dhe nënën e tij dhe gjithë çka gjendet në Tokë?” E
017_02	pronë e Perëndisë janë: qiejt, Toka dhe çdo gjë që gjendet në mes tyre. Ai krijon çka të dojë, dhe Perëndia është i Plotëfuqishëm për çdo gjë.
018_00	Hebrenjt dhe të krishterët kanë thënë: “Na jemi të bijt e Perëndisë dhe të dashurit e Tij”. Thuaj: “E përse ju dënoi (Ai) juve për shkak të mëkateve tuaja? Jo!
018_01	(Nuk është ashtu si thoni ju), por ju jeni njerëz nga ata që ka krijuar Ai. Ai falë kënd të dojë dhe e dënon kënd të dojë. E, pronë e Perëndisë janë: qiejt, Toka dhe çdo gjë që gjendet në mes tyre. Dhe vetëm tek Ai kthehen të gjithë.
019_00	O ithtarë të Librit! – juve ju ka ardhur Pejgamberi Ynë, - shpjeguesi juaj mu në kohë të ndërprerjes së dërgimit të pejgamberëve, për të mos thënë ju (kur të dënoheni), se nuk na ka ardhur ndonjë sihariques e as ndonjë paralajmërues.
019_01	Por, ja ju erdhi juve sihariquesi dhe paralajmëruesi. Se, Perëndia është i Plotëfuqishëm për çdo gjë.
020_00	(Kujtoje) kur Musai i tha kombit të vet: “O populli im!
020_01	Kujtonie mirësinë e Perëndisë ndaj jush, kur prej jush bëri pejgamber, dhe ju bëri disa prej jush sundimtarë, dhe juve ju dha atë që nuk i kishte dhënë askujt para jush;
021_00	O populli im! Hyni në Tokën e shenjtë që Perëndia ua ka cktuar juve e mos u ktheni prapa, se atëherë do të ktheheni të dëmtuar”. –
022_00	ata thanë: “O Musa! – a ty, në atë tokë gjendet popull i pa mëshirë (dhunues), dhe ne në të nuk do të hyjmë pa dalë ata; e nëse dalin ata prej saj, ne atëherë, me siguri do të hyjmë në të”.
023_00	Dy njerëz nga ata që i druanin Perëndisë, që i kishte pajisur Ai me mirësi – thanë: “Futuni (befas) në porten e qytetit!
023_01	E, kur të kaloni nëpër te, me siguri do të jeni fitues. Dhe, nëse jeni besimtarë (të vërtetë), mbështetuni në Perëndinë!”
024_00	Ata thanë: “O Musa! Na kurrsesi nuk do të hyjmë atje, përderisa aty të gjenden ata. Shko ti te Zoti yt e luftoni ata. Se ne do të rrimë këtu”.
025_00	Musai tha: “O Zotim im! Unë jam i pushtetshëm vetëm për vete dhe vllaun tim. O Zot! Ndana neve prej këtij populli të korruptuar!”
026_00	Perëndia tha: “Ajo (toka e shenjtë) u është ndaluar dyzet vjet atyre. Ata do të bredhin nëpër tokë. E, mos u zemro ndaj atij populli ngatërrestar”.
027_00	Tregoju (o Muhammed!) saktësisht atyre (popullit tënd) ngjarjen e dy bijve të Ademit, kur ata therrën kurban, njërit iu pranua, kurse tjetrit jo.
027_01	Tha – njëri: “Tu gjithsesi do të mbysë”. Tjetri tha: “Perëndia pranon (kurbanin) vetëm prej atij që ruhet prej mëkatesh.
028_00	Nëse ti ngre dorë të më vrasësh mua, unë në të vërtetë nuk do ta ngre dorën në ty që të të vras. Dhe unë me të vërtetë, i druaj Perëndisë, Zotit të gjithësisë.
029_00	Unë preferoj që ti të kthehesh me mëkatin tim dhe me mëkatin tënd (për vrasjen time dhe për kundrështimin tënd); e kështu të bëhesh ndër banorët e zjarrit. E, ky është ndëshkimi i zullumqarëve”.
030_00	Vetja e tij e nxiti në vrasjen e të vëllait, dhe e mbyti. Kështu, ai u bë njëri nga të humburit.
031_00	Perëndia e dërgoi një sorrë, e cila gropontë në tokë, për t’i treguar se si ta mbulojë trupin e kalbur të vëllait të tij.
031_01	(Kabili) tha: “Mjeri unë, a nuk qenkam i zoti të bëhem si kjo sorrë e ta mbuloj trupin e tim vëllau?!” E u bë nga të penduarit.
032_00	Andaj Na i urdhëruam Izrailitët, se ai që mbyt ndokend, i cili s’ka mbytur askend, ose atë që nuk ka bërë çrregullim në Tokë – është
032_01	sikur t’i mbysish të gjithë njerëzit; e nëse ndokush bëhet shkaktar që të shpëtojë jetën e ndokujt – është sikur me i shpëtuar jetën e të gjithë njerëzve.
032_02	Pejgamberët tanë u kanë sjellë argumente të qarta, por shumë nga ata edhe pas kësaj, kanë kaluar tërë kufijt me të këqija në Tokë.
033_00	Ndëshkimi i atyre që luftojnë kundër Perëndisë dhe të dërguarit të Tij dhe të cilët bëjnë ngatërresa në Tokë është të vriten ose të varen, ose t’u këputen duart dhe këmbët e tyre nga anët e ndryshme (djathtas e majtas), ose të dëbohen nga vendi.
033_01	Ky ndëshkim për ta është poshtërim në këtë jetë, e në jetën tjetër ka mundim të madh për ta,
034_00	përveç atyre që pendohen pa i zënë ju. Dinie se Perëndia është falës dhe mëshirues.
035_00	O besimtarë! Kinie frikë Perëndinë dhe tentoni që t’i afroheni Atij me vepra të mira, dhe luftoni në rrugën e Tij për të shpëtuar!
036_00	Me të vërtetë, mohuesit – sikur të kenë tërë pasurinë që gjendet në tokë, madje edhe njëherë aq, e ta sakrifikojnë
036_01	për të shpëtuar nga dënimi i Dikës së Kijametit, nuk do të pranohet prej tyre, sepse, për ta ka dënim pikëllues.
037_00	Ata dëshirojnë të dalin nga zjarri, por nuk kanë dalje nga ai. Ata i pret dënimi i përhershëm.
038_00	Vjedhësit dhe vjedhëses këputjuani duart e tyre, për ndëshkim të asaj që kanë punuar – dënim nga ana e Perëndisë; se, Perëndia, është i Plotëfuqishëm dhe i Gjithëdijshëm.
039_00	E, kushdo që të pendohet pas të këqijave të tij dhe përmirëson punën e tij, Perëndia ia pranon pendimin, se Perëndia, me të vërtetë, është falës dhe mëshirues.
040_00	Ti (o Muhammed!), e di me siguri, se të Perëndisë janë pushteti mbi qiejt dhe Tokën. Ai dënon kë të dojë dhe falë kë të dojë. Se Perëndia është i Plotëfuqishëm për çdo gjë.
041_00	O i dërguari i Perëndisë! Mos të brengos ty ajo, që ata shpejt shprehin mosbesimin, të cilët me gojën e tyre thonë: “Besojmë” kurse zemrat e tyre nuk besojnë, dhe Hebrenjt, të cilët trillimet i dëgjojnë shumë dhe të cilët i pranojnë lehtë fjalët e huaja, të atyre që s’kanë ardhur te ti; ata i ngatërruan vendet e fjalëve të tyre dhe thanë: “Nëse kështu gjykohet ndërlikueshëm atëherë pranoni këtë, e nëse nuk gjykohet kështu, atëherë, ruhuni e mos e pranoni.
041_01	– E, këtë dojë Perëndia ta lë në humbje, ti asgjë nuk do të mund të pengosh Perëndinë për këtë.
041_02	Këta janë të asaj dore (fare), të cilët Perëndia nuk dëshiron t’ua pastrojë zemrat e tyre.
041_03	Për ta, në këtë jetë ka poshtërim, kurse në jetën tjetër për ta ka ndëshkim të rëndë.
042_00	(Ata) janë dëgjue të gënjeshrës, e hanë me kënaqësi të madhe atë që është e ndaluar. E, nëse vinë te ti, gjykoji ata ose shmangu prej tyre!
042_01	Nëse shmangesh nga ata, nuk mund të dëmtojnë ty asgjë. E, nëse i gjykon – gjykoji me të drejtë! Se, Perëndia, me të vërtetë, i don të drejtët.
043_00	E qysh të drejtohen ata ty për t’i gjykuar, e te ata është Teurati, në të cilin janë dispozitat e Perëndisë, e madje edhe pas kësaj shmangen prej teje. Sepse, ata nuk janë besimtarë.
044_00	Na kemi dërguar Teuratin, në të cilin është udhëzimi dhe drita.
044_01	Sipas tij –pejgamberët, të cilët ishin të bindur e të ndershëm ndaj Perëndisë i gjykonin hebrenjt, por edhe të diturit dhe juristët gjykonin sipas aaj që është ruajtur nga Libri i Perëndisë, e për të cilin ata dëshmonin (se është i vërtetë).
044_02	Prandaj, mos druani nga njerëzit, por druani vetëm prej Meje! Dhe mos i ndërroni argumentet e Mia me ndonjë vlerë të vogël! E, ata që nuk gjykojnë sipas asaj që ka shpallur Perëndia, ata janë mohues të vërtetë.
045_00	Na iu caktuam atyre (Izraelitëve) në të (Teurat), që të: shkëmbehet me personin (të dënohet vrasësi me vrasje), syri me sy, hunda me hundë, veshi me vesh, dhëmbi me dhëmb, dhe plaga me plagë.
045_01	E, kushdo që t’ia falë atë, ai është shpagues për mëkatet e tij. Dhe, kushdo që nuk gjykon me ate që ka zbritur Perëndia, ata janë zullumqarë të vërtetë.
046_00	Na dërguam në gjurmët e pejgamberëve, Isain – të birin e Merjemës, vërtetues të Teuratit që e kanë para tyre.
046_01	Dhe Na ia dhamë atij Inxhilin, në të cilin ka udhëzim dhe dritë, vërtetues i Teuratit, të cilin e kanë para vet – udhërrëfim dhe këshillim për ata që i druajnë Perëndisë.
047_00	Le të gjykojnë ithtarët e Inxhilit ashtu siç ka shpallë Perëndia në të. E, kush nuk gjykon ashtu siç ka shpallë Perëndia – ata janë mëkatarë të vërtetë.
048_00	Na ty (o Muhammed!) ta kemi dërguar Librin (Kur’anin), me të vërtetë, vërtetues të librit që e kanë përpara dhe dëshmues i tij.
048_01	Gjyko në mes tyre me atë që ka zbritur Perëndia dhe mos ndjek dëshirat e tyre, për të mos devijuar në atë që të ka ardhur ty nga e Vërteta.
048_02	Na për të gjithë ju kemi bërë ligj një rrugë të qartë.
048_03	E, sikur të donte Perëndia, do t’u kishte bërë juve një popull, por, Ai don që t’ju provojë juve në ate që ju ka dhënë, andaj bëni gara ju në punë të mira! Të gjithë do të ktheheni te Perëndia e Ai do t’ju lajmërojë për çështjet, në të cilat nuk jeni pajtuar ju.
049_00	Dhe, (Na të dërguam Librin) që të gjykosh ti me atë që të ka shpallur Perëndia, e mos ndjek dëshirat e tyre! Ruaju nga ata, që të mos të turbullojnë ty prej disa sendesh që t’i ka zbritur Perëndia!
049_01	Nëse ata kthehen e nuk dëgjojnë gjykimin tënd, atëherë ta dish se Perëndia don vetëm atë, që t’i dënojë ata, për disa mëkate të tyre. E, me të vërtetë, shumë njerëz janë mëkatarë.
050_00	A mos kërkojnë ata gjykimin e kohës së paganizmit?! E, kush është gjykatës më i mirë se Perëndia për njerëzit që besojnë bindshëm?
051_00	O besimtarë! Mos i konsideroni për miq hebrenjt dhe të krishterët!
051_01	Ata janë miq të njëri-tjetrit. Kushdo që prej jush i konsideron ata për miq, ai është me ta. Me të vërtetë, Perëndia nuk i udhëzon në rrugë të drejtë zullumqarët.
052_00	I sheh ti ata, zemrat e të cilëve lëngojnë (nga hipokrizia) se si vrapojnë për të lidhur miqësi me ta duke thënë: “Druajmë se mos po na goditë ndonjë fatkeqësi”.
052_01	E, Perëndia do t’i sjell fitoren ose diçka tjetër nga ana e Tij, e prandaj, për atë që kanë fshehur në veten e tyre do të pendohen,
053_00	e ata që besojnë do të thonë: “A këta janë ata që përbetoheshin, me betimin më të thellë, se ata me të vërtetë janë me ju?” Veprat e tyre kanë dështuar (për shkak të hipokrizisë) dhe ata u dëmtuan.
054_00	O besimtarë!
054_01	Nëse ndokush prej jush shmanget nga besimi i vet, me të vërtetë Perëndia do të sjell një popull, që e don dhe që ata e donë (Perëndinë), të cilët janë të përulur ndaj besimtarëve dhe të ashpër ndaj mohuesve; luftojnë në rrugën e Perëndisë dhe nuk i druajnë qortimit të asnjë qortuesi.
054_02	Kjo është mirësia e Perëndisë, të cilën Ai ia jep kujt të dojë, se Perëndia ka mirësinë e gjerë dhe di çdo gjë.
055_00	Miku juaj është vetëm Perëndia, Profeti i Tij dhe besimtarët, të cilët falin namazin, japin zeqatin, që janë modest e të përvuajtur ndaj Perëndisë.
056_00	Me të vërtetë, ata që marrin për mik Perëndinë, Pejgamberin e Tij dhe ata që besojnë, (ata janë në anën e Perëndisë); dhe ana e Perëndisë do të jetë fitues.
057_00	O besimtarë!
057_01	Mos i merrni për miq ata, të cilët, fenë tuaj e marrin për tallje dhe lojë, qofshin ata, të cilëve ju është dhënë Libri para jush, apo qofshin mohuesit, - dhe druajuni Perëndisë, nëse jeni besimtarë!
058_00	(Dhe mos i merrni për miq ata), që kurr t’i thirrni për namaz ata e marrin atë për tallje dhe lojë, sepse ai është popull i zhveshur nga mendja.
059_00	Thuaj: “O ithtarët e Librit! – a mos na urreni neve për shkak se besojmë në Perëndinë dhe atë që na ëshë shpallur, dhe atë që është shpallur më parë, e shumica prej jush jeni mëkatarë?”
060_00	Thuaj: “A doni t’ju tregoj juve për të keqën më të madhe (dhe kush meriton më të rëndin), dënimin te Perëndia?
060_01	(Këta janë ata), në të cilët është pezmatuar Perëndia, dhe që i ka mallkuar, i ka shndërruar në majmunë dhe derra dhe ata që adhurojnë djallin – ata janë në vendin më të mjerueshëm, sepse, ata qëndrojnë larg rrugës së vërtetë”.
061_00	E, kur ju erdhën ata juve, thanë: “Besojmë”, por ata hynë mohues dhe dolën mohues, e Perëndia e di mirë atë që fshehin ata.
062_00	Ti do t’i shohësh shumë nga ata që vrapojnë në mëkate, në armiqësi dhe në ngrënien e haramit. E, me të vërtetë, të këqija janë ato vepra!
063_00	Sikur fetarët dhe dijetarët të mos i ndalonin ata, nga të folurit gënjeshtra dhe ngrënies së haramit, sa keq do të kishin punuar ata!
064_00	Hebrenjt thanë: “Dora e Perëndisë është koprrace!” Ju lidhshin duart atyre! – Dhe, qofshin të mallkuar për atë që thanë! Jo, duart e Tija janë të hapura.
064_01	Ai dhuron dhe furnizon si të dojë. E, ajo që t’u ka shpallë ty nga Zoti yt, me të vërtetë, shumicës prej tyre, do t’ua shtojë (azganllëkun) dhe mohimin. Na, kemi shkaktuar në mes tyre armiqësi dhe urrejtje deri në Ditën e Kijametit.
064_02	Kurdo që ata ndezin zjarrin e luftës, Perëndia e shuan atë. Ata përpiqen të shkaktojnë ngatërresa në Tokë. E Perëndia nuk i don ngatërrestarët.
065_00	E, sikur ithtarët e Librit të besonin dhe të ruhen nga mohimi, Ne do t’ua mbulonim atyre veprat e këqija dhe do t’i shpienim në kopshtet e kënaqësisë.
066_00	Sikur ata t’i përmbaheshin Teuratit dhe Inxhilit dhe asaj që iu është shpallur nga Zoti i tyre, ata do të kënaqeshin me frytet (që rriten) mbi ata dhe nën këmbët e tyre.
066_01	Disa prej tyre nuk janë ekstremë, por shumë prej tyre bëjnë vepra të këqija.
067_00	O Pejgamber! Trego atë që të është shpallur nga Zoti yt!
067_01	– Në qoftë se nuk e bën këtë, atëherë nuk e ke kryer profetninë tënde; Perëndia të ruan ty prej njerëzve. Se, Perëndia, me të vërtetë, nuk i udhëzon në rrugë të drejtë njerëzit që nuk besojnë.
068_00	Thuaj: O ithtarët e Librit!
068_01	Ju nuk keni asgjë (në besim), përderisa të mos i përmbaheni Teuratit dhe Inxhilit dhe asaj që iu është shpallur nga zoti juaj, e ajo që t’u ka shpallur ty nga Zoti yt, do t’ua shtojë shumicës së tyre të harbuarit dhe mohimin. E, mos u hidhëro ti (o Muhammed!) për fatin e mohuesve.
069_00	Ata që besojnë, madje Hebrenjt, të krishterët dhe Sabi’inët; - kushdo që beson Perëndinë (si është urdhëruar), jetën tjetër dhe punon vepra të mira, për ta nuk ka kurrfarë droje as mërzie.
070_00	Na kemi marrë premtimin nga bijt e Izraelit (për besim) dhe ju kemi dërguar pejgamberë.
070_01	Por, sa herë që ju ka ardhur atyre ndonjë pejgamber me atë (dispozitë), që s’jua donte shpirti i tyre, disa nga ata (pejgamberë) i konsideronin për gënjeshtarë e disa prej tyre i mbytnin.
071_00	Ata menduan se nuk do t’i gjejë kurrfarë dënimi, andaj ngelën të verbër dhe të shurdhët (nuk e panë drejtësinë). Pastaj, Perëndia ua pranoi pendimin tyre, e përsëri, u verbuan dhe u shurdhuan shumë nga ata; e Perëndia sheh mirë atë që punojnë ata.
072_00	Me të vërtetë, kanë mohuar (të Vërtetën) ata që thonë: “Me siguri Perëndi është Mesihu – i biri i Merjemës! E, Mesihu tha: “O bijt e Israelit, adhuronie Perëndinë, që është Zoti im dhe Zoti juaj.
072_01	Se, me të vërtetë, kush i ën shok Perëndisë, Perëndia ia ndalon atij Xhennetin dhe strehim i tij është zjarri. Dhe, për zullumqarët nuk ka ndihmëtarë.
073_00	Me të vërtetë, u bënë mohues ata, që thonë: “Perëndia është njëri prej treve!” S’ka Zot tjetër përveç se një Zot!
073_01	E, nëse nuk frenohen nga ato që thanë, me të vërtetë, ka për t’i goditë ata – mohuesit, dënimi pikëllues.
074_00	E, përse ata nuk pendohen, (të kthehen te Perëndia) e të kërkojnë ndjesë nga Ai? Se, Perëndia, është falës dhe mëshirues.
075_00	Mesihu – i biri i Merjemës, është vetëm Pejgamber, - edhe para tij kanë kaluar pejgamberë. Nëna e tij përherë ka qenë e drejtë.
075_01	Që të dy, ngrënin ushqim. Shiko si ua shpjegojmë Ne atyre argumentet dhe shih si zmbrapsën ata (nga e Vërteta).
076_00	Thuaju (o Muhammed!): “Vallë, a e adhuroni ju, përpos Perëndisë, atë që nuk është në gjendje t’u sjell dëm e as dobi?” E, Perëndia është Ai, që dëgjon dhe di çdo gjë.
077_00	Thuaj: “O ithtarët e Librit!
077_01	Mos kaloni kufirin në besimin tuaj, në kundërshtimin me të vërtetën dhe mos ndiqni pasionin e një populli, që qysh më parë patën humbur dhe kanë nxjerrë prej udhës së drejtë shumë njerëz dhe vetë janë shmangur nga udha e drejtë”.
078_00	U mallkuan ata nga bijtë e Israelit që ishin mohues, me gjuhën e Dautit dhe të Isait – të birit të Merjemës, për shkak se ishin të padëgjueshëm dhe ngase kishin kaluar kufirin:
079_00	njëri-tjetrin nuk e pengonin nga veprat e këqija që punonin. E, sa të shëmtuara ishin veprat që punonin ata!
080_00	Ti i sheh shumicën nga ata që miqësohen me mohuesit. Me të vërtetë, e shëmtuar ësthë ajo që i përgatisin ata vetes: që Perëndia të pezmatohet në ta dhe t’i dënojë përherë.
081_00	Sikur t’i besonin ata Perëndisë, Pejgamberit dhe asaj që i është shpallur atij, nuk do t’i merrnim ata (mohuesit) për miq. Por, shumica prej tyre janë mëkatarë.
082_00	Ti gjithsesi do të vëresh, se armiqët më të ashpër për besimtarët (muslimanët) janë Hebrenjt dhe paganët.
082_01	E, gjithsesi do të vëresh, se miqët më të afërt të besimtarëve janë ata që thonë: “Na jemi të krishterë”.
082_02	Kjo rrjedh, nga se ndër ta ka dijetarë dhe murgë dhe ata me të vërtetë nuk madhështohen (në pranimin e së vërtetës).
083_00	Kur dëgjuan ata për ate (Kur’anin) që i është zbritur Pejgamberit, i sheh ti ata, prej se kuptuan të Vërtetën, se si ju rrjedhin lotët nga sytë.
083_01	Ata thanë: “O Zoti ynë! Na besojmë, andaj na regjistro në mesin e atyre që dëshmojnë (profetninë e Muhammedit)”.
084_00	E përse të mos besojmë Perëndinë dhe të Vërtetën (Kur’anin), që na është dërguar, kur shpresojmë se edhe neve Zoti ynë do të na shpie me njerëz të mirë.
085_00	E Perëndia do t’i shpërblejë ata për fjalët që thanë (që besuan) me kopshte, nëpër të cilat rrjedhin lumenj dhe ku ata do të qëndrojnë përgjithmonë. E ky është shpërblimi i bamirësve.
086_00	E ata që mohuan dhe i konsideruan të rrejshme argumentet tona, ata do të jenë banorë të ferrit (skëterrës).
087_00	O besimtarë! Mos ia ndaloni vetes gjërat e bukura, të cilat Perëndia ua ka lejuar dhe mos kaloni kufirin. Se, Perëndia, nuk i don ata që e kapërcejnë kufirin (e urdhërave të Perëndisë).
088_00	Hani nga ato që u ka furnizuar Perëndia – të lëjuara dhe të mira! Druajuni Perëndisë, të cilit ju i keni besuar!
089_00	Perëndia nuk do t’ju ndëshkojë për betimin që e bëni pa qëllim, por do t’ju ndëshkojë për betimin e bërë me qëllim.
089_01	Larja e mëkatit për thyerjen e betimit është: ushqyerja e dhjetë të varfërve me mesataren e ushqimit, të familjes suaj, ose t’i vishni ata, ose të lironi një skllav.
089_02	Ai që nuk gjen mundësi për këto, le të agjërojë tri ditë.
089_03	Ky është dënimi i thyerjes së betimeve tuaja – kur betoheni. Mbani betimet tuaja! Kështu ua shpjegon Perëndia argumentet e Veta, që të jeni falënderues.
090_00	O besimtarë! Me të vërtetë, vera (pijet alkoolike), bixhozi, statujet dhe shigjetat e fallit janë vepra të ndyta nga punët e djallit. Pra, për të shpëtuar, largohuni nga këto!
091_00	Me të vërtetë, djalli me pije alkoolike dhe me bixhoz dëshiron që të fusë në mes jush armiqësi dhe urrejtje dhe t’ju shmangë juve nga të kujtuarit e Perëndisë dhe kryerjen e namazit.
091_01	Prandaj, a doni të shmangeni? (Shmanguni ju nga këto vepra të këqia)!
092_00	Bindjuni Perëndisë, bindjuni dhe Pejgamberit dhe ruajuni (nga kundërshtarët)! E, nëse zmbrapseni (nga bindja), ta dini se Pejgamberi Ynë është i obliguar të bëjë vetëm shpalljen e qartë.
093_00	S’ka mëkat për ata besimtarë që bëjnë punë të mira (në atë) që kanë ngranë (para ndalimit), kur ata të jenë ruajtur (nga ndalimet), të kenë besuar e të kenë bërë vepra të mira; të ruhen e të besojnë; dhe të ruhen e të bëjnë vepra të mira (vijimisht).
093_01	E, Perëndia i don bamirësit.
