001_00	Sâd! Pasha Kur’anin e madhërueshëm (që këshillon),
064_00	Kjo është, me të vërtetë, grindja e banorëve të ferrit.
065_00	Thuaj (o Muhammed!): “Me të vërtetë, unë jam vetëm paralajmërues, e nuk ka zot përveç Allahut, të Vetmit e Ngadhënjimtarit,
066_00	Zotit të qiejve e të Tokës dhe të asaj që gjendet midis tyre, të Plotëfuqishmit, Falësit”.
067_00	Thuaj: “Ky (Kur’ani) është lajm i madh,
068_00	e ju prej tij po shmangeni.
069_00	Unë nuk kam pasur kurrfarë dije për meleqtë e lartë, kur ata polemizuan mes vete, -
070_00	mua vetëm më është shpallë se jam paralajmërues i qartë, -
071_00	(Kujtoju atyre) kur Zoti yt u ka thënë meleqve: “Me të vërtetë, Unë do ta krijojë njeriun prej balte,
072_00	e kur Unë ta plotësoj atë t’i jap frymë prej shpirtit Tim (kur t’i jap jetë), bëni sexhde atij!”
073_00	E të gjithë meleqtë (engjëjt), së bashku, bënë sexhde,
074_00	përveç Iblisit; ai u bë mendjemadh e ishte mohues.
075_00	(Zoti) tha: “O Iblis, ç’të pengoi ty, që të mos bësh sexhde para atij që e kam krijuar Unë me duart e Mia (pa ndihmën e askujt)? A mos je mendjemadhësuar apo mendon se je nga të lartit?”
076_00	(Iblisi) tha: “Unë jam më i mirë se ai. Mua më ke krijuar prej zjarrit, kurse atë prej baltës”.
077_00	(Perëndia) tha: “Dil atëherë prej xhennetit! Me të vërtetë, ti je i dëbuar.
078_00	Me të vërtetë mallkimi Im është mbit ty deri në Ditën e gjykimit”.
079_00	(Iblisi) tha: “O Zoti im, më jep afat deri në ditën kur do të ringjallen ata!”
080_00	(Zoti) tha: “Me të vërtetë, do të jepet dy afat
081_00	deri në ditën e caktuar”.
082_00	(Iblisi) tha: “Pasha madhërinë Tënde, unë do t’i mashtrojë ata të gjithë –
083_00	përveç robërve Tu të sinqertë!”
084_00	(Zoti) tha: “Unë betohem me të drejtën dhe flas të vërtetën,
085_00	me të vërtetë, Unë do ta mbush ferrin me ty dhe me të gjithë ata që të pasojnë ty!”
086_00	Thuaj (o Muhammed!): “Unë prej jush nuk kërkoj kurrfarë shpërblimi për të (Kur’anin), e as nuk jam nga ata që paraqiten të atillë (çfarë nuk janë),
087_00	ai (Kur’ani), me të vërtetë, është këshilël për tërë botën!
088_00	Dhe ju, me të vërtetë, do ta dini lajmin e tij pas një kohe!”
