001_00	(Kjo është) Shpallja e Librit nga Allahu i Plotëfuqishëm dhe i Gjithëdijshëm!
008_00	Kur njeriun e godet një e keqe, ai i lutet Zotit të vet, duke iu drejtuar krejtësisht, e kur atij t’i kthehet një e mirë prej Tij, ai harron atë për të cilën më parë iu lut Perëndisë dhe i bënë shok Perëndisë, andaj largohet nga rruga e Tij (Perëndisë).
008_01	Ti thuaj (atij mohuesit): “Kënaqu pak me mosbesimin tënd! Ti, me siguri, do të jeshë nga banorët e zjarrit!
009_00	(A më i mirë është ky) apo ai që bën lutje natën, duke bërë sexhde dhe duke qëndruar në këmbë e që ruhet (nga dënimi) i jetës tjetër dhe shpreson në mëshirën e Zotit të tij...?
009_01	Thuaj: “A janë të barabartë ata që dinë dhe ata që nuk dinë? Vetëm mentarët i pranojnë këshillat!
010_00	Thuaj: “O robërit e mi, që keni besuar, ruajuni prej (dënimit) të Zotit tuaj!
010_01	Ata që bëjnë mirë në këtë jetë do të kenë të mira, e toka e Perëndisë është e gjerë. Vetëm ata që janë të durueshëm do të shpërblehen pa masë”.
011_00	Thuaj: “Mua më është urdhëruar që ta adhuroj Perëndinë dhe ndaj Tij të jem i sinqertë në besim,
012_00	dhe më është urdhëruar që të bëhem musliman i parë.
013_00	Thuaj: “Unë, me të vërtetë, druajn – nëse kundërshtojë Zotin tim, dënimit të Ditës së madhe”.
014_00	Thuaj: “Vetëm Perëndinë e adhuroj sinqerisht me besimin tim të plotë,
015_00	e ju adhuroni, përveç Perëndisë, kë të doni!” Thuaj: “Me të vërtetë, do të jenë në humbje ata që kanë humbur veten dhe familjen e tyre në Ditën e Kijametit. Ka, kjo është humbje e madhe!”
016_00	Mbi ta dhe nën ta do të ketë shtresa të zjarrit. Me këtë, Perëndia i frikon robërit e Vet. “O robërit e Mi, ruajuni (dënimit Tim)!”
017_00	Ata që shmangen nga adhurimi i idhujve e kthehen kah Perëndia, për ta ka gëzim. Gëzoi pra (o Muhammed) robërit e Mi,
018_00	të cilët dëgjojnë fjalën (Kur’anin) e pasojnë atë që është më mirë. Këta janë ata që Perëndia i ka orientuar në rrugë të drejtë dhe ata janë të mençur.
019_00	Mos vallë, a ti do ta shpëtosh atë që e ka merituar dënimin, ta nxjerrësh atë që është në zjarr?
020_00	Ndërkaq, ata që i frikohen Zotit, do të kenë dhoma kat-kat – pranë të cilave rrjedhin lumenjtë. (Ky është) premtim i Perëndisë, (e) Perëndia nuk e shkelë premtimin (e Vet).
021_00	A nuk po sheh që Perëndia ka zbritur ujin (shiun) prej qiellit, e shpie (shpërndanë) atë nëpër burime në tokë, mandej me të nxjerrë të lashta të llojllojshme, ngjyrash të ndryshme, pastj thahen dhe i sheh të zverdhura, e mandej i shkatërron ato.
021_01	Me të vërtetë, në të gjitha këto, ka këshilla për ata që janë të mençur.
022_00	A thua a është i (njëjtë) ai të cilit Perëndia ia ka hapur zemrën për islamizëm, e ai është në dritën e Zotit të vet...? Mjerë për ata që e kanë zemrën të pandishme kur përmendet Allahu; të tillët janë në humbje të qartë!
023_00	Perëndia e ka shpallur fjalën më të bukur – Librin (Kur’anin), pjesët e të cilit i gjasojnë njëra-tjetrës dhe përsëriten. Prej tij u rrënqethet lëkura atyre që frikohen prej Zotit të tyre, e mandej qetësohen dhe kënaqen lëkurat dhe zemrat e tyre, kur përmendet Perëndia (dhe premtimi i Tij).
023_01	Ky Libër është udhëzim i Perëndisë, me të Perëndia e udhëzon kë të dojë, e kë Perëndia e shpie në humbje, s’ka kush që mund ta udhëzojë.
024_00	A është (i barabartë) ai që e ruan veten prej dënimit të rëndë në Ditën e Kijametit (dhe ai që nuk e ruan)? (Atëhrë) zullumqarëve, u thuhet: “Shijoni atë që keni punuar!”
025_00	Kanë përgënjeshtruar ata që kanë qenë para tyre (Mekkasve), e u erdhi atyre dënimi prej nga nuk e pritnin.
026_00	Dhe, Perëndia u ka dhëna tyre ta shijojnë poshtërimin në këtë jetë, e dënimi i jetës tjetër është më i madh, sikur ta dinin ata (këtë)!
027_00	Dhe, me të vërtetë, u kemi sjellë njerëzve shembuj në këtë Kur’an për çdo gjë, për t’u këshilluar,
028_00	në Kur’anin në gjuhën arabe, në të cilin nuk ka kurrfarë kundërthëniesh, e që t’i druajnë Zotit të tyre.
029_00	Perëndia ka sjelël si shembull (krahasimi) njeriun (robin), i cili ka shumë bashkëpronarë të padurueshëm që e kundërshtojnë njëri-tjetrin dhe njeriun (robin), i cili (i takon) vetëm një pronari (dhe e dëgjon vetëm atë). A është pozita e këtyre dyve e barabartë? Lavdi Perëndië, nuk është (e barabartë), por shumica e tyre nuk e dinë këtë!
030_00	Me të vërtetë, do të vdesësh ti, e me të vërtetë, do të vdesin edhe ata,
031_00	e pastaj, në Ditën e gjykimit, te Zoti juaj do të polemizoni.
032_00	Kush është më i keq se ai që gënjen (trillon) për Perëndinë dhe konsideron gënjeshtër të Vërtetën (Kur’anin), kur i erdhi ajo? A nuk është skëterra vendstrehim për mohuesit?
033_00	E, ai që ka sjellë të Vërtetën (Muhammedi) dhe (ata) që i kanë besuar asaj janë të ruajtur (nga të këqiat),
034_00	ata do të kenë, çka të duan te Zoti i tyre; e ky është shpërblim për bamirësit,
035_00	që Zoti t’ua mbulojë atyre veprimet më të këqia që i kanë bërë dhe t’i shpërblejë për veprat më të mira që i kanë bërë.
036_00	A nuk i mjafton Zoti robit të Vet? E ata të frikojnë ty me zotëra, pos Tij (Perëndisë). Kë e shpie Perëndia në humbje për të ska kurrfarë udhëzuesi.
037_00	E kë e udhëzon Perëndia, (atë) s’ka kush e shpie në humbje. A nuk është i fuqishëm Perëndia që dënon (mëkatarët).
038_00	Nëse ti i pyet ata se kush i ka krijuar qiejt dhe Tokën, me siguri do të thonë: “Perëndia” – Thuaju: “A mendoni për ata që i adhuroni ju përveç Perëndisë – që mund ta evitojnë të keqen e Tij, nëse Perëndia don të ma dërgojë, ose a mund ta pengojnë mëshirën e Tij, nëse Ai don të më dërgojë (atë mëshirë)”.
038_01	Thuaj: “Më mjafton Perëndia.
038_02	Tek Ai mbështeten ata që kërkojnë mbështetje”.
039_00	Thuaj: “O populli im! Ju punoni sipas gjendjes suaj, e unë do të punojë (ashtu siç po punojë), e së shpejti do ta dini,
040_00	kë do ta arrijë dënimi poshtërues dhe kë do ta arrijë dënimi i përhershëm”.
041_00	Ne, ta kemi zbritur ty Librin (Kur’anin), për dobi të njerëzve, me të vërtetën; e kush shkon në rrugë të drejtë, ai e ka për dobi të vet, e kush e humbë këtë rrugë, ai humb në dëm të vet, e ti (o Muhammed), nuk je përgjegjës për punët e tyre.
042_00	Perëndia iu merr shpirtërat atyre që u ka ardhur çasti i vdekjes, por dhe atyre që nuk kanë vdekur e janë në gjumë, e ai ndalë shpirtin e atij që i është caktuar vdekja, e të tjerëve ua kthen shpirtërat deri në kohën e caktuar...
042_01	Me të vërtetë, për këtë ka argumente, për ata që mendojnë.
043_00	A marrin ata, përveç Perëndisë, ndërmjetësues tjetër? Thuaj: “Vallë, a (i merrni ata ndërmjetësues) edhe pse nuk kanë asgjë në dorë dhe nuk kuptojnë?!”
044_00	Thuaju: “Vetëm për Perëndinë është i tërë ndërmjetësimi (mirësia); atij i takon pushteti i qiejve dhe i Tokës, e pastaj – tek Ai do të ktheheni”.
045_00	Kur përmendet vetëm Perëndia, neveriten zemrat e atyre që nuk besojnë në jetën tjetër, ndërsa kur të përmenden ata (zotërat), përveç Perëndisë, ata menjëherë gëzohen.
046_00	Thuaj: “O Zoti im, Krijues i qiejve dhe i Tokës, njohës i së dukshmes e të padukshmes, Ti do të gjykosh mes robërve Tu, për atë që nuk janë pajtuar!”
047_00	Sikur zullumqarët të kishin çdo gjë që gjendet në Tokë, dhe po kaq më tepër, ata të gjitha këto do t’i flijonin (për të shpëtuar), prej dënimit të ashpër në Ditën e Kijametit.
047_01	Atëherë, Zoti do t’u tregojë atyre atë që nuk e kanë llogaritur,
048_00	u shfaqen atyre të këqiat që i kanë bërë dhe do t’i kaplojë dënimi të cilin e përqeshnin.
049_00	Kur njeriut i bie ndonjë e keqe, ai na lutet Neve, e kur pas kësaj i afrojmë një të mirë prej Nesh, thotë: “Kjo më është dhënë vetëm pse kam ditur”.
049_01	Jo, por kjo është vetëm një sprovim, e shumica e tyre nuk e dinë.
050_00	Kështu thonin edhe ata që ishin para tyre, prandaj nuk patën dobi nga ajo që patën fituar,
051_00	prandaj, i goditi ata dënimi i të këqiave që kanë punuar. Por, dhe ata që kanë bërë zullum prej këtyre (kurejshit), do t’u bie dënimi për të këqiat që kanë bërë, e nuk do të mund t’i ikin (dënimit).
052_00	A nuk e dinë ata se Perëndia i afron furnizim të bollshëm kujt të dojë, e ia ngushton (kujt të dojë); me të vërtetë, në këtë ka argumente për popullin që beson.
053_00	Thuaj: “O robërit e mi, që i keni bërë keq vetvetes, mos e humbni shpresën në mëshirën e Perëndisë!
053_01	Perëndia, me siguri, i falë të gjitha mëkatet. Ai, me të vërtetë, është falës dhe përdëllimtar.
054_00	Kthehuni kah Zoti juaj dhe përuluni para Tij, para se t’u vijë dënimi, sepse, pastaj nuk do të keni ndihmë.
055_00	Dhe, pasoni atë më të bukurën që u është shpallur (Kur’anin) nga Zoti juaj, para se t’ju vie dënimi papritmas, pa e hetuar atë,
056_00	e njeriu të thotë: “Mjer për mua që nuk i kam kryer obligimet ndaj Perëndisë, e madje edhe jam tallur (me besimtarët)!”
057_00	Ose të thotë: “Sikur Perëndia të më kishte udhëzuar, do të isha bërë nga të mirët!”
058_00	Ose të thotë, kur ta sheh dënimin: “Sikur të ishte e mundshme për t’u kthyer edhe një herë (në këtë botë), e të bëhem prej të mirëve!”
059_00	(Atij i thuhet): “Me të vërtetë, të ka ardhur dokumenti Im (Kur’ani), e ti e konsiderove të rrejshëm atë, u bëre mendjemadh (nuk e ke përfillur dhe ishe jobesimtar)”.
060_00	E, në Ditën e Kijametit do t’i shohësh ata që kanë përgënjeshtruar Perëndinë – me fytyra të zeza. E vallë, a nuk është ferri – vend për ata që janë mendjemëdhenj?!
061_00	Perëndia do t’i shpëtojë ata që ruhen për të mirat e bëra, prandaj ata nuk do t’i prekë e keqja, e as nuk do të pikëllohen.
062_00	Perëndia është Krijues i çdo gjëje dhe Ai është mbikëqyrës i çdo gjëje,
063_00	të Tij janë, çelësat e qiejve dhe të Tokës! E, ata që i mohojnë argumentet e Perëndisë, ata janë të humbur!
064_00	Thuaju atyre: “Vallë, a ju po më urdhëroni që të adhuroj dike tjetër, përveç Zotit, o injorantë!”
065_00	Me të vërtetë, të është shpallur ty edhe atyre (pejgamberëve) që kanë qenë para teje: “Nëse i përshkruan Perëndisë shok, me siguri do të të humbin punët tuaja dhe do të jesh ndër ata që janë shkatërruar”.
066_00	(Mos adhuro idhujt), por adhuro vetëm Perëndinë dhe bëhu falenderues!
067_00	Ata nuk e kanë madhëruar Perëndinë siç duhet; e tërë Toka në Ditën e gjykimit do të jetë nën pushtetin e Tij, e qiejt do të jenë të përfshirë në fuqinë e Tij.
067_01	Qoftë lavdëruar Ai dhe larg nga ajo që i bëjnë shok Atij!
068_00	Dhe fryhet në Sur (Buri), e vdesin të gjithë ata që gjenden në qiej dhe në Tokë, do të mbesin vetëm ata që do Perëndia; pastj do të fryhet për të dytën herë në Sur dhe ata përnjëherë do të ngjallen e do të presin (çka do të ndodhë).
069_00	Dhe Toka do të shndëritet me dritën e Zotit të vet dhe do të vendoset libri, do të sillen pejgamberët dhe dëshmitarët dhe do të gjykohen ata me drejtësi, e nuk do t’u bëhet asgjë e pa drejtë;
070_00	secilit njeri do t’i jepet shpërblimi për atë që ka bërë, meqë Ai di më së miri se çka kanë punuar.
071_00	Dhe jobesimtarët do të shtyhen në ferr, grupe-grupe, dhe kur të arrijnë atje, hapen dyert e tij dhe rojtarët u thonë atyre: “A
071_01	nuk u kanë ardhur pejgamberët nga mesi juaj, të cilët ju lexonin argumentet e Zotit tuaj e ju tërheqnin vërejtjen për takimin e kësaj dite?
071_02	Mohuesit do të thonë: “Po, me të vërtetë, (na kanë ardhur), por është e sigurt fjala e Perëndisë për dënimin e mohuesve”.
072_00	(Atyre) u thuhet: “Hyni në portat e ferrit, ku do të qëndroni gjithmonë në të! Sa vend i shëmtuar që është ai për mendjemëdhenjtë!
073_00	E, ata që janë ruajtur (nga mëkatet), do të shtyhen në xhennet, grupe-grupe dhe dyert e tij hapen e do t’u thonë atyre rojtarët e tij: “Shpëtimi qoftë mbi ju!
073_01	Ju jeni të kënaqur, andaj hyni në të, ku do të qëndroni përgjithmonë!”
074_00	Ata do të thonë: “Falenderimi qoftë për Perëndinë, që na plotësoi premtimin e Vet e na dha në trashëgim tokën (e xhennetit), që të vendosemi si të duam!” Sa i mrekullueshëm është shpërblimi i atyre që kanë punuar (sipas dispozitave të Perëndisë)!
075_00	Do ti shohësh engjëjt e tubuar rreth Arshit duke lavdëruar me falenderim Zotin e tyre; dhe do t’u gjykohet mes tyre me të drejtë dhe u thuhet: “Falenderimi qoftë për Perëndinë, Zotit të gjithësisë!”
