001_00	Elif, Lám, Mîm.
014_00	Dhe, Ne, i kemi urdhëruar njeriun që t’i nderojë prindërit e vet. Nëna e ka bartur atë, duke duruar mundim pas mundimi, e ndarja e tij (nga gjiri) është brenda dy vitesh. (Dhe i kemi thënë njeriut): “Bëhu falenderues ndaj Meje dhe prindërve tu! Tek Unë do të ktheheni të gjithë”.
015_00	Nëse insistojnë ata, që të më bësh Mua shok për atë që nuk din asgjë, mos i dëgjo, por shoqërohu me ta në këtë jetë me
015_01	të mirë, e ndiqe rrugën e atij që drejtohet tek Unë; pastaj, tek Unë do të ktheheni dhe Unë do t’ju lajmëroj për atë që keni punuar.
016_00	“O djali im, nëse (vepra e punuar) është e rëndë qoftë se një kokërr hardeli (lloj mëlmese), e ajo të jetë në shkëmb, ose në qiej ose në tokë, Perëndia do ta nxjerrë në shesh atë.
016_01	Me të vërtetë, Perëndia është i butë dhe njohës i të gjitha fshehtësive.
017_00	O djali im, kryeje namazin, urdhëro me të mirë dhe pengo nga të këqiat dhe bëhu i durueshëm për atë që të ka goditur! Me të vërtetë, kjo është nga punët e mëdha, të vendosura.
018_00	Mos e shmang fytyrën tënde nga njerëzit dhe mos ec nëpër tokë mendjemadhësisht, se Perëndia nuk e don asnjë mendjemadh, as mburracak.
019_00	Ec me kujdes e modesti, e fol me zë të ulët; se zëri më i vrazhdë është zëri (pallja e) i gomarit!”
020_00	A nuk shihni, se si Perëndia u ka mundësuar – t’i shfrytëzoni të gjitha ato që gjenden në qiej dhe në Tokë dhe ju ka plotësuar dhuntitë e Tij – të jashtme dhe të brendshme?
020_01	E, ka njerëz që polemizojnë për Perëndinë pa kurrfarë dijenie, pa kurrfarë rrëfyesi dhe pa libër ndriçues.
021_00	Kur atyre u thuhet: “Pasoni atë që u ka shpallur Perëndia!” ata thonë: “Jo, (por) ne pasojmë të parët tanë”.
021_01	E, sikur ata t’i thërriste djalli edhe në dënimin e skëterrës, (a do ta pasonin)?
022_00	Kush kthehet kah Perëndia, me tërë qenien e tij, duke qenë i mirë, ai është kapur për vegën më të fortë. E, te Perëndia, është fundi i çdo gjëje.
023_00	Dhe kush mohon, të mos të brengos mohimi i tij. Tek Ne do të kthehen ata, e Ne do t’i lajmërojmë për atë që kanë punuar. Me të vërtetë, Perëndia di ç’ka në zemrat e njerëzve.
024_00	Ne, ata do t’i kënaqim përkohësisht, e pastaj, do t’i hudhin furishëm në dënimin e ashpër.
025_00	E, nëse i pyet ti (o Muhammed) ata: “Kush ka krijuar qiejt dhe Tokën?” – me siguri do të thonë: “Perëndia!” E ti thuaj: “Falenderimi qoftë për Perëndinë!” Por, shumica e tyre nuk dinë.
026_00	Të Perëndisë janë të gjitha, në qiej dhe në Tokë. Me të vërtetë, Perëndia është i pavarur dhe i lavdëruar.
027_00	Sikur të gjithë drunjtë të gjenden në Tokë – të jenë penda (shkrimi), e deti ngjyrë shkrimi (tintë), e t’i shtohen atij edhe shtatë dete të tjera, nuk do të soseshin fjalët e Perëndisë. Me të vërtetë, Perëndia është i Plotëfuqishëm dhe i Gjithëdijshëm.
028_00	Të krijuarit dhe të ringjallurit e të gjithë juve është njësoj (për Te) – si të krijuarit e vetëm një njeriu. Me të vërtetë, Perëndia i dëgjon dhe i sheh të gjitha.
029_00	A nuk po sheh ti se Perëndia e shtie natën në ditë dhe ditën në natë (e zgjatë njërën dhe e shkurton tjetrën), dhe
029_01	e ka nënshtruar Diellin dhe Hënën – secili lëvizë deri në kohë të caktuar – dhe se Perëndia e di mirë çka punoni ju.
030_00	Kjo është (kështu), ngase Perëndia është i vetmi i Vërtetë, e ato që adhurojnë ata – pos Tij, janë të kota, dhe se Perëndia është i lartësuar dhe i madh.
031_00	A nuk po sheh ti, e anijet lundrojnë nëpër det me dhuntinë e Perëndisë, për t’ju treguar disa argumente të Veta? Këto janë, me të vërtetë, argumente për çdo njeri të durueshëm dhe mirënjohës.
032_00	E, kur ata t’i mbulojë vala – si bjeshkë, e thërrasin Perëndinë me lutje të sinqerta; e, posa t’i
032_01	shpëtojë ata në tokë, një pjesë e tyre e mbajnë mesataren; e ajetet Tona i mohon vetëm mshtruesi dhe jomirënjohësi.
033_00	O njerëz!
033_01	Druajuni Zotit tuaj dhe frikësojuni Ditës kur prindi nuk do të mund t’i ndihmojë fëmijës së vet asgjë, e as fëmija nuk do të mund t’i ndihmojë asgjë prindit të vet! Me të vërtetë, premtimi i Perëndisë është i sigurt, e, le të mos u mashtrojë jeta e kësaj bote, dhe le të mos u mashtrojë mashtruesi (djalli) në Perëndinë.
034_00	Me të vërtetë, vetëm Perëndia e di Çastin (Ditën e Kijametit), Ai e zbret shiun dhe di çka k në barkun e shtatzënës, e askush nuk di ç’do të fitojë nesër dhe askush nuk di se në ç’vend do të vdes.
034_01	Me të vërtetë, Perëndia është i Gjithëdijshëm dhe njohës i çdo gjëje.
