001_00	Elif Lâm Râ. Këto janë versetet e Librit plot dijeni.
018_00	Ata adhurojnë – përveç Perëndisë – atë që as nuk u bënë dëm, as nuk u sjell dobi dhe thonë: “Këta janë ndërmjetësit tonë te Perëndia!
018_01	Thuaj: “A mundeni ju t’i tregoni Perëndisë se në qiej dhe në Tokë ekziston diçka që nuk e di Ai?!” Qoftë lavdëruar Ai dhe lartë qoftë nga ajo që i bëjnë shok Atij!
019_00	Të gjithë njerëzit kanë qenë vetëm një popull (të një feje), e pastaj u kundërshtuan (u përçanë). E, sikur të mos ishte thënë më parë fjala nga Zoti yt (për shtyerjen e dënimit), atëherë do të gjykoheshin në mes tyre, për atë që nuk u pajtuan.
020_00	Dhe ata thonë: “Sikur t’i ishte zbritur atij ndonjë mrekulli prej Zotit të tij?” Thuaj: “Me të vërtetë, të padukshmet i di vetëm Perëndia. E, pritni ju, se edhe unë po pres me ju”.
021_00	Kur Na, pas të keqes që i goditi, u dhamë njerëzve të shijojnë mëshirën, ata përsëri bënë intriga me argumentet Tona!
021_01	Thuaj: “Perëndia është më i shpejtë në dënimin e ngatërrestarëve”. Me të vërtetë, të dërguarit (engjëjt) Tonë shënojnë intrigat tuaja.
022_00	Ai ua mundëson të udhëtoni nëpër tokë dhe det. E, kur ju të gjendeni në barkë (anije) dhe ajo lundron me ju me erën e përshtatshme,
022_01	e ata i gëzohen kësaj, arrin një stuhi dhe ata do t’i sulmojnë valët nga të gjitha anët e mendojnë ata që do të shkatërrohen, (atë herë)
022_02	i luteni Perëndisë sinqerisht, duke i premtuar besimin: “Nëse na shpëton nga kjo, na, me të vërtetë, do të jemi falenderues”.
023_00	E kur Perëndia i shpëtoi ata; ata përnjëherë pa kurrfarë të drejte bënë çrregullime në Tokë. O njerëz!
023_01	Me të vërtetë, padrejtësia që bëni për t’u kënaqur në jetën e kësaj bote, vetëm juve ju dëmton. Ju do të ktheheni te Na dhe Ne pastaj do t’ju njoftojmë për atë që keni punuar.
024_00	Me të vërtetë, jeta e kësaj bote i shembëllen shiut që Na e lëshojmë nga qielli, me të përzihen bimët e tokës, me të cilat ushqehen njerëzit dhe shtazët.
024_01	E, kur Toka të vishet dhe zbukurohet, dhe kur banorët e saj mendojnë se ata janë zotërues të saj, (atëherë) u vie urdhëri Ynë, natën ose ditën, dhe Na e bëjmë atë si të ketë qenë e korrur, thuajse nuk kishte ekzistuar dje.
024_02	Kështu, Na ua shpjegojmë argumentet, njerëzve që mendojnë.
025_00	Perëndia i thërret njerëzit në Shtëpinë e shpëtimit (xhennetit) dhe Ai e udhëzon kë të dojë në rrugën e drejtë.
026_00	Ata që bëjnë mirë, do të kenë shpërblim të mirë, e edhe më tepër! Fytyrat e tyre nuk do t’i mbulojë errësira as poshtërimi. Ata do të jenë banorë të xhennetit, në të cilin do të banojnë përherë.
027_00	E ata, që kanë bërë vepra të këqia, kanë dënim gjegjës për atë të keqe dhe ata do t’i mbulojë poshtërimi. Ata nuk do të kenë askend që t’i mbrojnë nga dënimi i Perëndisë.
027_01	Fytyrat e tyre thuajse iu kanë mbuluar me hije të errësirës së natës. Këta do të jenë banorët e zjarrit dhe në to do të qëndrojnë përgjithmonë.
028_00	(Kujtoje) kur do t’i tubojmë të gjithë ata që i kanë bërë shok Perëndisë dhe t’u themi: “Rrini në vendet tuaja ju dhe idhujtë tuaj!” E, do t’i ndajmë ata.
028_01	Dhe idhujtë e tyre do të thonë: “Ju nuk na keni adhuruar neve.
029_00	Mjafton Perëndia të jetë dëshmitar në mesh nesh dhe jush. Na, me të vërtetë, kemi qenë të pakujdesshëm ndaj adhurimit tuaj”.
030_00	Aty (atë ditë), çdokush do të paguhet për atë që ka punuar më parë dhe do t’i kthehen Perëndisë, Zotit të tyre të vërtetë, e do të zhduken ato që i kanë trilluar ata (idhujtë).
031_00	Thuaj: “Kush ju ushqen juve nga qielli dhe Toka? Ose, kush mund të krijojë të dëgjuarit dhe të pamurit? Dhe kush mund të nxjerrë të gjallin nga i vdekuri dhe të vdekurin nga i gjalli?
031_01	Dhe kush i drejton gjërat? Ata do të thonë: “Perëndia”. E ti (o Muhammed!) thuaj: “E, përse atëherë nuk i ruheni atij?”
032_00	Ky është Perëndia, Zoti juaj i vërtetë. E, çka keni pas së vërtetës, përpos humbjes? E, ku shkoni ju atëherë?
033_00	Kështu u sendërtua (realizua) fjala e Zotit tënd, te ata që bënë çrregullime; se, me të vërtetë, ata nuk do të besojnë.
034_00	Thuaj: “A ka ndër shokët tuaj (idhujtarë që i adhuroni ju) ndonjë që mund të krijojë prej kurrgjëje, e pastaj (pas vdekjes) përsëri ta kthejë (në jetë)?” Thuaj: “Perëndia krijon prej kurrgjëje, e pastaj e përsërit atë (në jetën e amshueshme)!” E, si shmangeni ju (nga besimi në Perëndinë)?
035_00	Thuaj: “A ka ndër shokët tuaj (idhujtarë që i adhuroni ju) ndonjë që mund të udhëzojë në rrugë të drejtë?” Thuaj: “Vetëm Perëndia udhëzon në rrugë të drejtë! E pra, a është më e merituar të shkosh pas atij që udhëzon në rrugë të drejtë, apo ai, i cili as vetën nuk është në rrugën e drejtë, përveç, nëse e shpie dikush atë?
035_01	E, çka keni. Si po gjykoni ju ashtu?! ”
036_00	Shumica veprojnë vetëm sipas hamendjes. Me të vërtetë hamendja nuk e plotëson të vërtetën. Perëndia, pa dyshim di mirë atë që punojnë ata.
037_00	Kyr Kur’an nuk është i trilluar prej askujt, por vetëm është shpallur prej Perëndisë, për të vërtetuar shpalljet e mëparshme, dhe të shpjegojë dispozitat; në të s’ka dyshim (ka zbritur) nga Zoti i gjithësisë!
038_00	Ose ata thonë: “Ai (Muhammedi) e ka trilluar atë (Kur’anin)”. Thuaj: “E pra, silleni ju një sur të ngjashme dhe thirrni (në ndihmë) kë të doni, përpos Perëndisë, nëse jeni të drejtë”.
039_00	Ata e mohojnë atë (Kur’anin) pa e kuptuar me themel çka ka në të e pa i ardhur akoma as shpjegimi i tij; po kështu, kanë mohuar edhe ata para tyre; e shiko, si kanë përfunduar zullumqarët!
040_00	Disa prej tyre besojnë në të, e disa nuk besojnë në të (Kur’an). E, Zoti yt më së miri i njeh ngatërrestarët.
041_00	Nëse ata të përgënjeshtrojnë ty, thuaju: “Për mua janë veprat e mia, e për ju – veprat tuaja, ju jeni larg prej veprave që punoj unë, e unë jam larg prej veprave që punoni ju.
042_00	Ka prej tyre, që të përgjojnë. Por, a mund të bësh ti, që të dëgjojnë të shurdhëtit, të cilët skanë as mend?
043_00	Ka prej tyre, që të shikojnë ty. E, mos vallë ti do t’i udhëzosh në rrugë të drejtë të verbëtit, të cilët nuk shohin hollësisht (me mend)?
044_00	Me të vërtetë, Perëndia nuk u bënë kurrfarë të keqe njerëzve, por njerëzit i bëjnë keq vetvetes.
045_00	E, atë ditë kur do t’i tubojmë Na ata, do t’u duket atyre se vetëm një moment të shkurtër të ditës kanë bredhur në Tokë, aq sa për ta njohur njëri-tjetrin.
045_01	Madje, janë të humbur, ata që kanë përgënjeshtruar takimin me Perëndinë, e nuk ishin në rrugë të drejtë.
046_00	Qoftë që të tregojmë Na ty, diçka nga ajo që u kemi premtuar atyre ose ta marrim shpirtin Na ty, te Na do të kthehen ata, e Perëndia është dëshmitar për që punojnë ata.
047_00	Çdo popull ka pasur pejgamber. Dhe kur atyre t’u vie pejgamberi, do të gjykohet mes tyre me të drejtë, dhe nuk do t’u bëhet zullum.
048_00	Ata thonë: “Kur do të plotësohet ky premtim, nëse thoni të vërtetën?”
049_00	Thuaj: “Unë nuk jam në gjendje t’i bëj vetes as dëm as dobi, përveç asaj që dëshiron Perëndia.
049_01	Çdo popull ka afatin e vet; kur t’i vijë ai, nuk mund ta shtyejnë (ata), për asnjë çast, e as ta shpejtojnë.
050_00	Thuaj: “Çka mendoni ju, nëse ju vie dënimi i Tij natën apo ditën, pse e nxitojnë atë (dënimin) mëkatarët?”
051_00	A mos vallë, vetëm atëherë kur të ndodhë – besoni në të? A, tash po besoni, e madje më parë e nxitonit dënimin?!
052_00	E pastaj, u thuhet zullumqarëve: “Shijoni dënimin e përhershëm! Dhe, nuk dënoheni ndryshe, përveç ashtu si keni punuar”.
053_00	Ata kërkojnë shpjegim prej teje: “A është e vërtetë ajo?” Thuaj: “Po pasha Zotin tim, ajo padyshim është e vërtetë, e ju nuk do të mund t’i shmangeni!”
054_00	Kur çdonjëri që ka bërë zullum, sikur të kishte ai tërë pasurinë e botës, ai do të jepte krejt atë, për të shpëtuar (nga dënimi).
054_01	Ata do të fshehin pendimin kur të shohin dënimin, e do të gjykohen mes tyre me të drejtë dhe nuk do t’u bëhet padrejtësi.
055_00	A! me të vërtetë, të Perëndisë janë të gjitha që gjenden në qiej dhe në Tokë. A! me të vërtetë, premtimi i Perëndisë është i vërtetë, por shumica e njerëzve nuk e dijnë.
056_00	Ai jep gjallëri dhe vdekje dhe tek Ai do të ktheheni.
057_00	O njerëz, ju ka ardhur madje këshilla (Kur’ani) nga Zoti juaj, ilaç për zemrat tuaja, udhëzim dhe mëshirë për besimtarët.
058_00	Thuaj: “Me dhuntinë e Perëndisë dhe mëshirën e Tij – vetëm me këto le të gëzohen! Kjo është më mirë se ajo që grumbullojnë ata”.
059_00	Thuaj: “Çka mendoni ju për ushqimin, që ua ka zbritur Perëndia, e ju prej tij keni bërë diçka të ndaluar e diçka të lejuar?” Thuaj: “A ju ka lejuar Perëndia atë, apo po ia shpifni Perëndisë?”
060_00	Çka mendojnë ata që shpifin gënjeshtra për Perëndinë, - në Ditën e Kijametit? Me të vërtetë, Perëndia është bamirës i madh i njerëzve, por, pjesa dërmuese nuk e falenderojnë Ate.
061_00	Ti nuk do të bësh asgjë, as nuk do të lexosh asgjë nga Kur’ani, as nuk do të punoni kurrfarë pune, e që Ne mos të jemi dëshmitar, kur ju të thelloheni në të.
061_01	Nuk do të humbë nga Zoti yt as sa një thërmi peshe, në Tokë as në qiell, as më pak nga ajo as më shumë, e që të mos jetë e shënuar në Librin e qartë.
062_00	A! Me të vëtetë, pë të dashurit e Perëndisë nuk ka frikë as pikëllim,
063_00	për ata që besojnë dhe që i druajnë Perëndisë,
064_00	për ta ka sihariq në këtë jetë dhe në tjetrën. S’ka ndryshim në fjalët e Perëndisë. Kjo është fitore e madhe.
065_00	Mos të pikëlloj ty fjala e tyre. E, gjithë fuqia i përket Perëndisë! Ai dëgjon dhe di çdo gjë.
066_00	A!
066_01	Me të vërtetë, Perëndisë i përket pushteti i çdo gjëje që gjendet në qiej dhe në Tokë. E, ata që, pos Perëndisë, adhurojnë idhujtë, shkojnë vetëm pas hamendjeve dhe vetëm gënjejnë.
067_00	Ai (Perëndia) ua krijoi natën për të pushuar në të, kurse ditën për të parë. Me të vërtetë, në këtë ka argumente për njerëzit që dëgjojnë.
068_00	Kanë thënë: “Perëndia ka djalë”. I lavdëruar është Ai. Ai është i pastër, s’ka nevojë për asgjë.
068_01	Të Atij janë të gjitha – ç’gjendet në qiej dhe në Tokë. Ju nuk keni asnjë argument për këtë. A thoni ju për Perëndinë, atë që nuk e dini!
069_00	Thuaj: “Me të vërtetë, ata që shpifin gënjeshtra për Perëndinë nuk do të shpëtojnë”.
070_00	(Do të keni) kënaqësi të shkurtër në këtë botë, e pastaj do të kthehen te Ne, dhe Ne, do t’u japim të shijojnë dënimin e ashpër për shkak se kanë mohuar.
071_00	Tregoju historinë e Nuhut!
071_01	Kur ai popullit të vet i tha: “O populli im, nëse u është i rëndë qëndrimi im në mesin tuaj, dhe këshillat e mia me dokumente të Perëndisë, e unë jam mbështetur vetëm te Perëndia, - atëherë, bashkë me shokët (idhujt) tuaj, vendosni për mua, dhe vendimi juaj le të mos fshihet, e pra, zbatoni në mua; e mos pritni!
072_00	E, nëse ktheheni (nuk i dëgjoni këshillat), unë prej jush nuk kërkoj kurrfarë shpërblimi. Shpërblimi im është vetëm te Perëndia. Mua më është urdhëruar të jem në anën e muslimanëve”.
073_00	Por, ata, e quajtën gënjeshtar, kurse Ne e shpëtuam atë dhe të gjithë ata që ishin në anije me të.
073_01	Dhe i bëmë ata zëvendës (të atyre që u zhdukën) kurse, i fundosëm ata që përgënjeshtruan dokumentet Tona. Shikoje se si ishte përfundimi i atyre që ishin paralajmëruar.
074_00	Pastaj, pas tij – u dërguam pejgamberë popujve të tyre e ata u sollën argumente atyre, por nuk deshën të besojnë atë që e kishin përgënjeshtruar më parë.
074_01	Kështu, Ne, ua vulosim zemrat atyre, që kalojnë kufirin.
075_00	Pastaj, pas tyre, iu dërguam Musain dhe Harunin – Faraonit dhe parisë së tij – me mrekullitë Tona, por ata u sollën me mendjemadhësi (nuk besuan), meqë ishin popull mëkatarë:
076_00	kur u erdhi e Vërteta prej Nesh, ata thanë: “Kjo, me të vërtetë, është magji e qartë!”
077_00	Musai tha: “A mos vallë, për të Vërtetën thuani (se është magji), pasi që ju ka ardhur juve? A kjo është, magji? E, magjistarët nuk shpëtojnë!”
078_00	E, ata thanë: “A mos ke ardhur ti të na kthesh neve nga ajo, në të cilën i kemi gjetur etërit tonë, e ju të dyve t’u takojë pushteti në Tokë? E, nuk duam t’u besojmë ju dyve!”
079_00	Faraoni tha: “M’i sillni të gjithë magjistarët e shkathët!”
080_00	Pasi erdhën magjistarët, Musai u tha: “Hedhni ç’keni për të hedhur!”
081_00	E, kur i hodhën ata, Musai tha: “Atë që e keni sjellë ju, është magji. Me të vërtetë, Perëndia do ta shkatërrojë atë. Perëndia, me siguri, nuk do ta forcojë punën e ngatërrestarëve.
082_00	Perëndia, me premtimin e Tij e forcon të Vërtetën, e madje edhe sikur ta urrejnë mëkatarët!”
083_00	Dhe Musait nuk i besoi askush, përveç një pakice nga populli i tij, nga frika se do t’i keqpërdorte ata Faraoni
083_01	dhe paria e tij, e Faraoni – me të vërtetë, ishte zullumqar në Tokë dhe në të keqe kalonte çdo kufi.
084_00	Musai tha: “O populli im! Nëse besoni Perëndinë, mbështetuni tek Ai, nëse jeni musliman!”
085_00	Ata thanë: “Na ju kemi mbështetur Perëndisë. O Zoti ynë, mos na vënë në sprovë të popullit zullumqarë,
086_00	dhe shpëtona neve, me mëshirën Tënde, nga populli mohues!”
087_00	Na ia kemi shpallur Musait dhe vëllait të tij: “Ndërtoni shtëpi për popullin tuaj në Egjipt dhe shndërroni ato në faltore dhe falni namazin! Dhe sihariqoi besimtarët!”
088_00	Musai tha: “O Zoti ynë! Ti i ke dhënë Faraonit dhe parisë së tij stoli dhe pasuri në jetën e kësaj bote, por ata, o Zoti ynë, na largojnë nga rruga Jote!
088_01	O Zoti ynë! Shkatërroje pasurinë e tyre dhe vulosi zemrat e tyre, se ata nuk besojnë, përderisa të shijojnë dënimin e dhëmbshëm!”
089_00	(Perëndia) tha: “U pranua lutja e ju të dyve! Qëndroni ju dy dhe kurrsesi mos ndiqni rrugën e të padijshmëve!”
090_00	Na i bartëm Israelitët përtej deit, e ata i ndoqi Faraoni dhe ushtria e tij nga e keqja dhe armiqësia.
090_01	E kur e arriti ate (Faraonin) mbytja (në det), tha: “Besoj se s’ka zot tjetër përveç Atij që i besojnë të bijtë e Israelit dhe unë jam musliman”.
091_00	“A, tani (po beson) e më parë ishe rrebel dhe ishe prej ngatërrestarëve?!
092_00	Sot do të shpëtojmë ty – trupin tënd, që të bëhesh vërejtje për ata që vijnë pas teje”. Por, me të vërtetë, shumica e njerëzve janë të pakujdesshëm ndaj argumenteve Tona.
093_00	Na i kemi vendosur në vend të mirë të bijtë e Israelit dhe i kemi furnizuar me ushqim të këndshëm dhe ata, nuk u përçanë në mendime, derisa u erdhi ajo që e dinin ata (profetnia e Muhammedit).
093_01	Me të vërtetë, zoti yt do t’i gjykojë ata në Ditën e Kijametit, për atë që u përçanë ata.
094_00	Nëse ti je në dyshim në atë që të kemi shpallur ty, pyeti ata që kanë lexuar Librin para teje.
094_01	Padyshim, ty të ka ardhur e Vërteta nga Zoti yt, e mos u bën kurrsesi nga ata që dyshojnë.
095_00	Dhe mos u bën nga ata që i përgënjeshtrojnë dokumentet Tona, e të bëhesh ndër ata që janë të humbur.
096_00	Me të vërtetë, ata në të cilët ka ra fjala e Zotit tënd (dënimi), nuk besojnë,
097_00	madje sikur t’u vijnë të gjitha dokumentet, përderisa mos ta ndiejnë dënimin e dhëmbshëm.
098_00	E, sikur të ishte ndonjë vendbanim që beson, e që t’i bëjë dobi besimi i tij (s’ka pasur dobi), përveç popullit të Junusit, meqë ata besuan (në momentin e dënimit), e Na e larguam nga ata dënimin e poshtërimit në jetën e kësaj bote, dhe u dhamë të kënaqen edhe njëfarë kohe.
099_00	Sikur të donte Zoti yt, do të besonin të gjitha ata – që gjenden në tokë. E, përse atëherë ti t’i detyrosh njerëzit të bëhen besimtarë!?
100_00	Askujt nuk i është dhënë të besojë, përveç me lejen e Perëndisë. Ai dënon ata që s’mendojnë.
101_00	Thuaj: “Shikoni çka ka në qiej dhe në Tokë!” – Por, nuk i bëjnë kurrfarë dobie argumentet dhe vërejtjet – popullit që nuk beson.
102_00	Vallë, a presin ata tjetër gjë, përpos (dënimeve) të ngjashme si të atyre që kanë përjetuar më parë. Thuaj: “Pritni ju (dënimin) se edhe unë po pres me ju!”
103_00	Pastaj, Na do t’i shpëtojmë pejgamberët Tanë dhe ata që kanë besuar. Kjo është detyra (e premtuar) e Jona, që t’i shpëtojmë besimtarët.
104_00	Thuaj: “O njerëz, nëse dyshoni ju në fenë time, - e unë, përveç Perëndisë, nuk do të adhurojë atë që e adhuroni ju,
104_01	por do të adhuroj Perëndinë, i cili ua merr shpirtin juve; e mua më është urdhëruar të bëhem besimtar.
105_00	(dhe më është urdhëruar): “Ktheju ti fesë së vërtetë dhe kurrsesi mos u bën nga idhujtarët,
106_00	dhe, përveç Perëndisë, mos iu lut tjetër kujt, të cilët nuk të sjellin as dobi as dëm, e nëse e bën këtë, ti atëherë, me të vërtetë, je nga zullumqarët”.
107_00	Nëse Perëndia të sjellë ndonjë dëm, askush nuk mund të ta largojë, përveç Tij, e nëse Ai don të ta bëjë ndonjë të mirë, s’ka kush të ta pengojë mirësinë e Tij.
107_01	Ai ia jep atë mirësi kujt të dojë nga robërit e Tij; dhe Ai është falës dhe mëshirues.
108_00	Thuaj: “O njerëz, ju erdhi juve e Vërteta nga Zoti juaj. Kush udhëzohet në rrugën e drejtë, ai është udhëzuar për dobi të vet, e kush është humbur, ka humbur në dëm të vet.
108_01	E, unë nuk jam mbikëqyrësi juaj”.
109_00	Paso ti atë që të është shpallë ty dhe duro derisa të gjykojë Perëndia, se, Ai, është gjykatësi mëi mirë!
