001_00	U afrua Çasti (Dita e Kijametit) dhe u ça Hëna!
030_00	e, çfarë ka qenë dënimi Im dhe paralajmërimet e Mia?!
031_00	Ne e dërguam te ta një ulurimë e ata u bënë si sana e copëtuar në pleme,
032_00	në të vërtetë, Ne Kur’anin e kemi bërë të lehtë (të kuptueshëm) pë këshillim, e a ka kush që këshillohet (me të)?
033_00	Edhe populli i Lutit i ka përgënjeshtruar paralajmërimet.
034_00	Ne, me të vërtetë, e kemi dërguar një fortunë mbi ta, pos në familjen e Lutit, këtë e shpëtuam në agim,
035_00	nga dhuntia Jonë. Ja, kështu Ne i shpërblejmë ata që falenderojnë.
036_00	Me të vërtetë, ai (Luti) i paralajmëroi ata me fuqinë e dënimit Tonë, e ata polemizuan duke i mohuar paralajmërimet.
037_00	At aprej tij i kërkuan mysafirët e tij, e Ne ua fshimë sytë atyre (i verbuam): “Shijoni dënimin Tim dhe paralajmërimin Tim!”
038_00	E, të nesërmen në mëngjes, ata i goditi dënimi i përhershëm.
039_00	“Shijoni dënimin Tim dhe paralajmërimin Tim!”
040_00	Me të vërtetë, Ne Kur’anin e kemi bërë të lehtë për (ta mësuar përmendësh) këshillim, e a ka kush që këshillohet (me të)?
041_00	Edhe njerëzve të Faraonit u patën ardhur paralajmërimet,
042_00	por ata i mohuan të gjitha argumentet Tona, andaj Ne i dënuam ata, ashtu siç dënon i Plotëfuqishmi dhe i Plotëpushtetshmi.
043_00	A mos vallë mohuesit tuaj (Mekkasit) janë më të mirë se ata (që u përmendën), apo ju keni ndonjë dekret në librat e shpallur?
044_00	Apo, ata thonë: “Ne jemi grup i pathyeshëm!”
045_00	Së shpejti do të thyhet grupi dhe me të vërtetë, mëkatarët do të jenë të humbur dhe në zjarr (në jetën tjetër) është më i tmerrshëm dhe më i idhët (se dënimi në këtë botë).
046_00	,
047_00	Me të vërtetë, mëkatarët do të jenë të humbur dhe në zjarr (në jetën tjetër).
048_00	Ditën që do të tërhiqen (me forcë) fytyrat e tyre në zjarr (e ju thuhet): “Shijoni zjarrin e xhehennemit!”
049_00	Ne, me të vërtetë, të gjitha i kemi krijuar sipas dispozitës,
050_00	Urdhëri Ynë është vetëm një fjalë (në kryerjen e punëve – i shpejtë) sa çel e mbyllë sytë.
051_00	E, Ne, madje i kemi shkatërruar të ngjashmit me ju, - e a ka kush që këshillohet (me të)?!
052_00	E, çkado që punojnë, ato janë në librat (e veprave të njerëzve)
053_00	të gjitha, të mëdha dhe të vogla, janë shënuar në rreshta.
054_00	Ata që i druajnë Perëndisë me të vërtetë, do të jenë në kopshtet e xhennetit dhe pranë lumenjve
055_00	në vendin e kënaqësisë, te Sunduesi i Plotëfuqishëm.
