001_00	Bamirësi i Gjithmbarshëm,
040_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
041_00	e mëkatarët atëherë, do të njihen sipas pamjes (së fytyrës së tyre) dhe do të kapen për flokë (kacule) dhe për këmbë.
042_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
043_00	(Atyre u thuhet): “Ja, ky është xhehennemi të cilin e përgënjeshtronin mëkatarët!
044_00	Ata do të sillen në mes zjarrit dhe ujit të vëluar ë ka arritur shkallën më të lartë të vëlimit!
045_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
046_00	E, për ata që i druajnë paraqitjes para Zotit të vet, do të kenë dy xhennete,
047_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
048_00	(dy xhennete) me drunj të degëzuar,
049_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
050_00	në të ka burime që rrjedhin
051_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
052_00	në ta – prej çdo lloj peme, ka nga dy lloje, -
053_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
054_00	(ata do të jenë) të mbështetur në shtrojet, astari i të cilave është prej mëndafshi të trashë, e frytet e dy xhenneteve do të jenë të afërta (për t’i kapë me dorë),
055_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
056_00	Në ta, do të jenë ato (virxhëreshat), me sy ulur, të cilat – para tyre, nuk kanë pasur takim as me njerëz as me xhindë,
057_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
058_00	ato do të jenë si rubin (gurë të çmueshëm) dhe merxhanë (korale),
059_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
060_00	Vallë, për veprën e mirë, a ka tjetër shpërblim pos të mirë?!
061_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
062_00	E, nën këto dy (xhennete) janë edye dy xhennete (tjera), -
063_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
064_00	(Këta dy janë) të stolisur me gjelbërim,
065_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
066_00	në to janë dy burime (të përhershme) fiskishë (që hedhin lart ujin),
067_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
068_00	në to ka pemë, hurme dhe shega,
069_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
070_00	në to ka bukuroshe virtytesh të mrekullueshme,
071_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
072_00	hyritë (e xhennetit) të kufizuara më shatorra,
073_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
074_00	të cilat – para tyre, nuk kanë pasur takim as me njerëz as me xhindë, -
075_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
076_00	Ata do të rrinë mbështetur në shtroje të gjelbëra, të mrekullueshme dhe të bukura, -
077_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
078_00	Është i lartësuar emri i Zotit tënd, të Madhërueshëm dhe Bamirës!
