001_00	یس (یا.سین)
022_00	و چه شده است مرا که پرستش نکنم کسی را که مرا آفریده است، (همه) به سوی او باز گردانده می شوید؟
023_00	آیا غیر از او معبودهایی را بر گزینم که اگر (خداوند) رحمان بخواهد به من زیانی برساند، شفاعت آنها چیزی را از من دفع نمی کند (و کمترین فایده ای برایم ندارد) و مرا نجات نخواهند داد؟!
024_00	(اگر چنین کنم) یقیناً آنگاه من در گمراهی آشکاری خواهم بود.
025_00	من به پروردگارتان ایمان آورده ام، پس (سخنان) مرا بشنوید.
026_00	(پس او را شهید کردند) به او گفته شد: «وارد بهشت شو» گفت: ای کاش قوم من می دانستند( )،
027_00	که پروردگارم مرا آمرزیده و از گرامی شدگان قرار داده است!
028_00	و بعد از او بر قومش هیچ لشکری از آسمان فرو نفرستادیم و ما فرو فرستنده نبودیم.
029_00	(بلکه کیفر آنها) جز یک بانگ مرگبار نبود، پس ناگاه همه خاموش(=هلاك) شدند.
030_00	ای افسوس بر (این) بندگان، هیچ پیامبری به سوی آنها نمی آمد مگر اینکه او را استهزاء می کردند!
031_00	آیا ندیدند که پیش از آنها چه بسیار نسلها را نابود کردیم، که آنها هرگز به سوی ایشان باز نمی گردند؟!
032_00	و همه آنها (برای حساب) نزد ما جمع و احضار می شوند.
033_00	و زمین مرده برای شان نشانه (و عبرتی) است که ما آن را زنده گردانیدیم، و دانه ای (غذایی) که از آن می خورند، بیرون آوردیم.
034_00	و در آن باغهایی از نخلها و انگورها قرار دادیم، و در آن چشمه های جاری ساختیم.
035_00	تا از میوه ی آن بخورند در حالی که دست آنان (در تولید آنها) هیچ دخالتی نداشته است( )، آیا سپاس نمی گویند.
036_00	منزه است کسی که همه ی جفتها را آفرید، از آنچه زمین می رویاند، و از (جنس) خودشان، و از آنچه نمی دانند.
037_00	و شب (نیز) برای آنها نشانه (و عبرتی) است ما روز را از آن بر می کشیم، پس آنگاه همه در تاریکی فرو می روند.
038_00	و خورشید(نیز که) پیوسته به سوی قرار گاهش( ) در حرکت است، این تقدیر (خداوند) پیروزمند داناست.
039_00	و برای ماه منزلگاههای مقدر کرده ایم، تا چون شاخه ی (خشک و) کهنه خرما باز گردد.
040_00	نه خورشید را سزد که به ماه رسد، و نه شب بر روز پیشی می گیرد، و هر یک در مدار خود شناورند.
041_00	نشانه ای (دیگر) برای آنان این است که فرزندانشان را بر کشتی( ) پر بار سوار کردیم.
042_00	و(مرکبهای دیگری) همانند آن برای آنها آفریدیم، که سوار می شوند.
043_00	و اگر بخواهیم آنها را غرق می کنیم، پس آنها را هیچ فریاد رسی نباشد، نه آنها رهایی یابند.
044_00	مگر اینکه رحمتی از سوی ما (شامل حال آنها شود) و تا زمان معینی (از دنیا) بهره بگیرند.
045_00	و هنگامی که به آنها گفته شود: «از آنچه پیش روی شماست، و از آنچه پشت سر شماست، بترسید، شاید مورد رحمت قرار گیرید» (اعراض می کننند).
046_00	و هیچ آیه ای از آیات پروردگارشان برای آنها نیاید مگر آنان از آن روی بگردانند.
047_00	و هنگامی که به آنها گفته شود: از آنچه خدا به شما روزی داده است، انفاق کنید، کسانی که کافر شدند، به کسانی که ایمان آوردند می گویند: آیا ما کسی را طعام بدهیم که اگر خداوند می خواست، (خود) به او طعام می داد و شما جز در گمراهی آشکار نیستید.
048_00	و می گویند: « اگر راست می گویید، این وعده (عذاب) کی خواهد بود؟!»
049_00	آنها جز انتظار یک بانگ مرگبار نمی کشند، که آنها را فرو گیرد در حالی که سر گرم جدال (و دشمنی) هستند.
050_00	پس (در آن وقت) نمی توانند وصیتی کنند، و نه به سوی خانواده ی خود باز گردند.
051_00	و (چون بار دیگر) در صور دمیده شود( )، پس ناگهان آنها از قبرها (بیرون آیند) شتابان به سوی پروردگارشان می روند.
052_00	گویند:« وای بر ما چه کسی ما را از خوابگاهمان بر انگیخت؟!» (به آنها گفته شود:) این همان است که (خداوند) رحمان وعده داده بود، و پیامبران (خدا) راست گفتند.
053_00	(آن) جز یک بانگ مرگبار نخواهد بود، پس ناگهان همه نزد ما جمع و احضار می شوند.
054_00	پس امروز به هیچ کس ذره ای ستم نخواهند شد، و جز به آنچه عمل می کردید، جزا داده نمی شوید.
055_00	بی گمان اهل بهشت امروز در کاری (لذت بخش) مشغولند (و) شادمان هستند.
056_00	آنها و همسرانشان در سایه هایی (گسترده بهشتی) بر تختها تکیه زده اند.
057_00	برای آنها در آن (= بهشت، انواع) میوه است، و هر چه که بخواهند برایشان (فراهم) است.
058_00	(به آنها گفته می شود) سلام (بر شما باد) این سخنی است از جانب پروردگار مهربان.
059_00	ای گنهکاران امروز(از نیکان) جدا شوید.
060_00	ای فرزندان آدم! آیا با شما پیمان نبستم که شیطان را نپرستید، که او برای شما دشمن آشکار است؟!
061_00	و اینکه مرا بپرستید، این راه مستقیم است.
062_00	و به راستی او گروه زیادی از شما را گمراه ساخت آیا اندیشه نکردید؟!
063_00	این (همان) جهنمی است که به شما وعده داده می شد.
064_00	امروز به سزای کفری که ورزیده اید به آن در آیید.
065_00	امروز بر دهانهایشان مهر می نهیم، و دستهایشان با ما سخن می گویند، و پاهایشان به آنچه می کردند گواهی می دهند.
066_00	و اگر بخواهیم چشمانشان را محو (ونابود) می کنیم، پس شتابان آهنگ راه می کنند، اما چگونه می توانند ببینند؟!
067_00	و اگر بخواهیم آنها را در جایگاهشان مسخ(ومیخ کوب) می کنیم، پس نتوانند که به پیش قدم بر دارند، و نه به عقب باز گردند.
068_00	و هر کس را طول عمر دهیم، در آفرینش دگرگونش کنیم، (و به حالت ناتوانی کودکی بر می گردانیم) آیا اندیشه نمی کنند؟!
069_00	ما (هرگز) شعر به او (= رسول) نیاموخته ایم و شایسته او نیست، این (کتاب چیزی) جز اندرز، و قرآنی روشنگر نیست.
070_00	تا هر کس را که زنده (دل) باشد، بیم دهد و سخن حق بر کافران ثابت شود.
071_00	آیا ندیدند که ما برای آنها از آنچه ساخته ی دست های ماست، چهار پایانی را آفریده ایم، پس آنان مالک آن هستند.
072_00	و آنها را برایشان رام کردیم، پس بر بعضی سوار می شوند، و از (گوشت) بعضی می خورند.
073_00	و برای آنها بهره های دیگر، و نوشیدنیها در آن (حیوانات) است، آیا سپاس نمی گویند؟!
074_00	و آنها غیر از خدا معبودانی (برای خود) بر گزیدند، (به این امید) شاید که یاری شوند.
075_00	آنها قادر به یاری ایشان نیستند، و آنان (= مشرکان) اینها (= معبودان) لشکری احضار شده (و آماده) هستند.
076_00	پس (ای پیامبر) سخن آنان تو را غمگین نسازد، بی گمان ما آنچه را که پنهان می دارند و آنچه را که آشکار می کنند، می دانیم.
077_00	آیا انسان ندیده است که ما او را از نطفه ای آفریده ایم، پس او ستیزه جویی آشکار شده است.
078_00	و برای ما مثلی زد، و آفرینش خود را فراموش کرد، گفت:« چه کسی (این) استخوانها را (دوباره) زنده می کند در حالی که پوسیده است؟!»( ).
079_00	بگو:« (همان) کسی آن را زنده می کند که نخستین بار آن را پدید آورد، و او به هر آفرینشی داناست،
080_00	(همان) کسی که از درخت سبز برای شما آتش پدید آورد، پس آنگاه شما از آن (آتش) می افروزید».
081_00	آیا کسی که آسمانها و زمین را آفریده است، نمی تواند همانند آنها (= انسانها) را بیافریند؟! آری (می تواند) و او آفریننده ی داناست.
082_00	جز این نیست که فرمان او، چون چیزی را اراده کند، (این است) که به آن می گوید: «موجود شو» پس (بی درنگ) موجود می شود.
083_00	پس منزه است، کسی که پادشاهی همه چیز در دست اوست، و (همه) به سوی او باز گردانده می شوید.
