001_00	طه (طا. ها).
039_00	که :«او را در صندوقی بگذار، آنگاه آن (صندوق) را به دریا بینداز، تا دریا او را به ساحل افکند، (و) دشمن من و دشمن او، او را برگیرد ».
039_01	و من محبتی از سوی خود بر تو افکندم و تا در برابر دیدگان من پرورش یابی .
040_00	آنگاه که خواهرت می رفت و می گفت : «آیا کسی به شما نشان دهم که سرپرستی اش را به عهده گیرد ؟! »
040_01	پس تو را به مادرت باز گرداندیم، تا چشمش (به دیدار تو) روشن شود، و اندوهگین نگردد، و (بعدها) تو یک نفر (قبطی) را کشتی، پس (ما) تو را از اندوه (و گرفتاری) نجات دادیم، و بارها (چنانکه باید) تو را آزمودیم. پس (از آن) سالها در میان مردم مدین ماندی، سپس ای موسی! بر (طبق) تقدیر (الهی به اینجا) آمدی .
041_00	و تو را برای خودم خاص ساختم (و پرورش دادم).
042_00	(اینک) تو و برادرت با آیات من برو، و در یاد من سستی نکنید .
043_00	به سوی فرعون بروید، بی گمان او سرکشی کرده است.
044_00	پس به نرمی با او سخن بگویید، شاید که او پند گیرد یا (از پروردگارش) بترسد،
045_00	(موسی وهارون) گفتند :«پروردگارا ! به راستی ما می ترسیم که بر ما پیش دستی نماید (و قبل از بیان حق ما را آزار دهد) یا طغیان کند»
046_00	فرمود :«نترسید! بی شک من با شما هستم، می شنوم و می بینم.
047_00	پس به نز د او بروید و بگویید : ما فرستادگان پروردگارت هستیم، بنی اسرائیل را با ما بفرست، و آنها را آزار و شکنجه نکن،
047_01	به راستی که ما نشانه ى روشنى از سوی پروردگارت برای تو آورده ایم ، و سلام بر آن کسی که از هدایت پیروی کند .
048_00	همانا به ما وحی شده که محققاً عذاب (الهی) بر کسی است که (آیات و معجزات را) تکذیب کند، و (از ایمان) روی بگرداند».
049_00	(فرعون) گفت :«ای موسی! پروردگار شما کیست ؟»
050_00	(موسی) گفت : «پروردگار ما کسی است که آفرینش هر چیزی را به او ارزانی داشته، سپس (آنها را) هدایت کرده است»
051_00	(فرعون) گفت : «پس حال (و سرنوشت) نسلهای گذشته چه می شود؟ »
052_00	(موسی) گفت :«علم آن نزد پروردگارم در کتابی (ثبت) است، پروردگارم نه اشتباه می کند و نه فراموش می کند .
053_00	(همان) کسی که زمین را برای شما گهواره (و محل آسایش) قرار داد، و برای شما در آن راههایی ایجاد نمود، و از آسمان آبی فرو فرستاد پس با آن، انواع گوناگون گیاه را (از زمین) بیرون آوردیم.
054_00	بخورید، و (نیز) چهار پایانتان را بچرانید، بی گمان در این (امور) نشانه های برای خردمندان است .
055_00	(ما) شما را از آن (= زمین) آفریدیم، و در آن باز می گردانیم، و بار دیگرشما را از آن بیرون می آوریم.
056_00	و به راستی (ما) همه ی آیات خود را به او نشان دادیم، پس (او همه را) تکذیب کرد و سر باز زد .
057_00	گفت :«ای موسی ! آیا به نزد ما آمده ای که با سحر خود، ما را از سرزمین مان بیرون کنی ؟!
058_00	پس یقیناً ما هم سحری مانند آن برای تو می آوریم، پس (هم اکنون) در مکانی هموار (و مقبول همه) موعدی میان ما و خودت قرار بده که نه ما و نه تو از آن تخلف نکنیم،
059_00	(موسی) گفت : «موعد شما روز (عید) زینت است و آن که (همه ی) مردم چاشتگاه گرد آورده شوند»
060_00	آنگاه فرعون باز گشت، پس (همه ی) مکر و حیله خود را جمع کرد، سپس آمد.
061_00	موسی به آنها گفت : «وای بر شما ! برخدا دروغ نبندید، که شما را با عذابی نابود می سازد، و یقیناً کسی که (بر خدا) افترا بندد، نا کام (و نا امید) می شود»
062_00	پس آنها در کارشان میان خود اختلاف کردند، و رازشان را پنهان داشتند.
063_00	گفتند : «مسلماً این دو (نفر) جادو گرند، می خواهند شما را با جادوشان از سرزمین تان بیرون کنند، و آیین (و راه و رسم) برتر شما را از بین ببرند.
064_00	پس (همه ی) حیله (و تدبیر) خود را گرد آورید (و به کار بندید) سپس در یک صف (برای مبازه) بیایید، و به راستی امروز کسی رستگار خواهد شد که چیره (و غالب) گردد .
065_00	(ساحران) گفتند :«ای موسی ! یا این است که (اول) تو (عصا را) بیفکنی یا آنکه ما کسانی باشیم که اول بیفکنیم ؟! »
066_00	(موسی) گفت :« بلکه، (شما) بیفکنید» پس نا گهان ریسمانهایشان و عصا هایشان از (اثر) سحرشان چنان به نظرش رسید که حرکت می کند (و می دوند)
067_00	پس موسی در دل خود ترسی احساس کرد (مبادا در ایمان مردم خللی ایجاد شود) .
068_00	گفتیم : «نترس! مسلماً تو (غالب و) برتری،
069_00	و آنچه را در دست راست خود داری بیفکن، تا (تمام) آنچه را که ساخته اند، ببلعد، بی شک آنچه ساخته اند، تنها مکر ساحر است، و ساحر هر جا رود رستگار (و موفق) نخواهد شد».
070_00	( پس موسی عصای خود را افکند، ناگهان به مار بزرگی تبدیل شد و همه ی آنها را که ساخته بودند بلعید) آنگاه ساحران (همگی) به سجده افتادند، گفتند: «(ما) به پروردگار هارون و موسی ایمان آوردیم».
071_00	(فرعون) گفت: «آیا پیش از آن که به شما اجازه دهم به او ایمان آوردید؟!
071_01	بی تردید او بزرگ شماست که به شما سحر آموخته است، پس یقیناً دستانتان و پاهایتان بر خلاف یکدیگر قطع می کنم، و شما را بر تنه های نخل به دار می آویزم، و بی شک خواهید دانست که عذاب (و شکنجه) کدامیک از ما سخت تر است و پایدارتر است!».
072_00	گفتند: «سوگند به آن که ما را آفریده است، هرگز تو را بر این دلایل روشنی که برای ما آمده، ترجیح نمی دهيم، پس به هر حکمی که می خواهی حکم کن، تو تنها می توانی در این زندگی دنیا حکم کنی.
073_00	همانا ما به پروردگارمان ایمان آورده ایم تا گناهانمان و آنچه را از سحر که ما را به آن وادار کردی، برای مان ببخشاید، و خداوند بهتر و پایدارتر است».
074_00	بی گمان کسی که گناهکار به نزد پروردگارش حاضر شود، پس آتش جهنم برای اوست، در آن جا نه می میرد، و نه زنده می ماند.
075_00	و کسی که مؤمن نزد او آید، در حالی که کارهای شایسته انجام داده باشد، پس اینان برای شان درجات بلند است.
076_00	باغهای جاویدان (بهشتی) که نهرها زیر (درختان) آن جاری است، همیشه در آن خواهند بود، و این است پاداش کسی که خود را (از شرک و گناهان) پاک نموده است.
077_00	و به راستی (ما) به موسی وحی کردیم که: «شبانه بندگان مرا (از مصر بیرون) ببر، سپس برای آنها در دریا راهی خشک بگشا، که نه از تعقیب (دشمنان) خواهی ترسید، و نه (از غرق شدن در دریا) هراسی داری.
078_00	پس فرعون با لشکریانش آنان را دنبال کردند، آنگاه دریا چنانکه باید آنان را (بطور کامل در میان امواج خود) فرو پوشانید.
079_00	و فرعون قوم خود را گمراه نمود، و هدایت نکرد.
080_00	ای بنی اسرائیل! به راستی (ما) شما را از (دست) دشمنانتان نجات دادیم، و در طرف راست (کوه) طور با شما وعده گذاردیم، (تا تورات را بر شما نازل کنیم) و بر شما «منّ» (= ترنجبین) و «سلوی» (= بلدرچین) نازل کردیم.
081_00	از پاکیزه ها آنچه به شما روزی داده ایم؛ بخورید، و در آن سرکشی نکنید، که خشم من بر شما وارد می شود، وکسی که خشم من بر او وارد شود، قطعاً نابود شده است.
082_00	و همانا من آمرزنده ام برای کسی که توبه کرد و ایمان آورد، و کار شایسته انجام داد، سپس هدایت یافت.
083_00	ای موسی! چه چیز سبب شد که از قوم خود پیشی گیری؟
084_00	(موسی) گفت:«پروردگارا! آنان به دنبال من هستند، و من به سوی تو شتاب کردم، تا(از من) خشنود شوی».
085_00	فرمود:«بی گمان ما قوم تو را بعد از تو، آزمودیم، و سامری آنها را گمراه کرد».
086_00	پس موسی خشمگین (و) اندوهناک به سوی قومش بازگشت، (و) گفت:«ای قوم من!
086_01	مگر پروردگارتان وعده ی نیکو به شما نداده بود؟ آیا مدت (جدایی من از شما) به درازا کشید، یا خواستید خشمی از (سوی) پروردگارتان بر شما نازل شود، که وعده ی مرا خلاف کردید؟».
087_00	گفتند:«(ما) به اختیار خود وعده ی تو را خلاف نکردیم، لیکن بارهای سنگینی از زینت (و زیورهای) قوم (فرعون) که با خود داشتیم، آن را (در آتش) افکندیم» پس بدینسان سامری نیز (آنچه داشت) افکند.
088_00	آنگاه برای آنها مجسمه ی گوساله ای که صدای (چون صدای گوساله) داشت، پدید آورد، پس (سامری و پیروانش به مردم) گفتند:«این معبود شما، و معبود موسی است، که آن را فراموش کرده است».
089_00	آیا نمی بینند که (این گوساله) هیچ پاسخی به آنها نمی دهد، و مالک هیچ سود و زیانی برای آنها نیست؟
090_00	و بی شک هارون پیش از این به آنها گفته بود:« ای قوم من ! یقیناً شما به (وسیله ی) این (گوساله) آزمون شده اید، و بی گمان پروردگار شما (خداوند) رحمان است، پس از من پیروی نمائید و فرمانم را اطاعت کنید».
091_00	(آنها) گفتند:«(ما) پیوسته پیرامون آن (برای پرستش) می نشینیم (و آن را عبادت می کنیم)،تا موسی به سوی ما باز گردد».
092_00	(چون موسی آمد) گفت:«ای هارون! چه چیزی تو را بازداشت، هنگامی که آنها را دیدی گمراه شده اند،
093_00	از من پیروی نکردی؟ آیا فرمان مرا عصیان (و سرپیچی) کردی؟!».
094_00	(هارون) گفت:«ای پسر مادرم! نه ریش مرا بگیر، و نه (موی) سرم را، همانا من ترسیدم که بگویی میان بنی اسرائیل تفرقه انداختی، و سخن (و سفارش) مرا به کار نبستی ».
095_00	(موسی رو به سامری کرد و) گفت:«ای سامری! (این) کار تو چیست؟ (چرا چنین کرده ای؟)».
096_00	گفت:« من چیزی را دیدم که آنها ندیدند، پس مشتی (خاک) از رد پای (اسب) رسول (= جبرئیل) را گرفتم، آنگاه آن را (بر پیکر) افکندم ، و این چنین (هوای) نفسم (این کار را) برایم آراسته جلوه داد».
097_00	(موسی) گفت:« پس برو، بی شک بهره ی تو در زندگی دنیا این است که بگویی:«(به من) دست نزنید (و نزدیک نشوید)»
097_01	و همانا وعده ای (از عذاب) داری، که هرگز تخلف نخواهد شد، و (اکنون) به معبودت بنگر که پیوسته عبادتش می کردی (و آن را رها نمی کردی) آن را خواهیم سوزاند، سپس (خاکستر و ذرات) آن را در دریا پراکنده می سازیم.
098_00	معبود شما تنها الله است که جز او هیچ معبودی نیست؛ و علم او همه چیز را فرا گرفته است».
099_00	(ای پیامبر!) این گونه از خبرهای آنچه گذشته است بر تو باز گو می کنیم، و به راستی (ما) از جانب خود به تو ذکر (= قرآن) داده ایم.
100_00	کسی که از آن (قرآن) روی گردان شود، پس بی گمان او روز قیامت بار سنگینی (از گناه) بر دوش خواهد کشید.
101_00	که در آن (رنج) جاودانه خواهند ماند، و برای آنها روز قیامت بد باری است.
102_00	(همان) روزی که در «صور» دمیده شود، و مجرمان را کبود (چشم) در آن روز گرد آوریم.
103_00	آنها در میان خود آهسته سخن می گویند، (و به یکدیگر می گویند:) «(شما) فقط ده روز (در دنیا) درنگ کرده اید».
104_00	ما به آنچه می گویند؛ داناتریم، چون نیکو روش ترین آنها بگوید :«(شما) تنها یک روز درنگ کرده اید».
105_00	و (ای پیامبر!)از تو درباره ی کوهها می پرسند، پس بگو:«پروردگارم آنها را سخت متلاشی (و پراکنده) خواهد کرد،
106_00	پس آنها را (زمینی) صاف و هموار می گرداند،
107_00	که در آن هیچ پستی وبلندی را نبینی».
108_00	(در) آن روز، (همگی) دعوت کننده را پیروی کنند، هیچ راه سرپیچی (و مخالفت) نیست، و همه ی صداها در برابر (خداوند) رحمان خاشع می شود، پس جز صدای آهسته (چیزی) نشنوی.
109_00	آن روز شفاعت (هیچ کس) سود نمی بخشد، جز کسی را که (خداوند) رحمان به او اجازه داده، و گفتار او را پسندیده است.
110_00	آنچه را پیش رو دارند، و آنچه را پشت سرشان است می داند، و آنها به علم او احاطه ندارند.
111_00	و (همه ی) چهره ها در برابر (خداوند) زنده ی پاینده فروتن می شود، و آن که (بار) ستم بر دوش دارد، ناکام (و مأیوس) می گردد.
112_00	و کسی که کارهای شایسته انجام دهد در حالی که او مؤمن باشد، پس نه از ستمی می ترسد و نه از کم و کاستی، (در حقش می هراسد).
113_00	و این گونه آن را قرآنی عربی نازل کردیم، و وعید (و هشدارها) را در آن گوناگون بیان داشتیم، و شاید آنها تقوا پیشه کنند، یا برای آنها پندی پدید آورد.
114_00	پس بلند مرتبه است خداوندی که فرمانروای حق است، به (تلاوت) قرآن شتاب مکن؛ پیش از آن که وحی آن برتو تمام شود، و بگو:«پروردگارا! به علم من بیفزا».
115_00	و به راستی پیش از این به آدم سفارش کردیم (و عهد بستیم) پس او فراموش کرد، و برای او عزمی (استوار) نیافتیم.
116_00	و (به یاد آور) آنگاه که به فرشتگان گفتیم:«برای آدم سجده کنید» پس (همگی) سجده کردند؛ جز ابلیس که سر باز زد.
117_00	پس گفتیم:«ای آدم! بی گمان این (ابلیس) دشمن تو و (دشمن) همسرت است، پس مبادا شما را از بهشت بیرون کند که به رنج (و مشقت) افتی.
118_00	همانا برای تو این است که در آن نه گرسنه می شوی و نه برهنه می مانی.
119_00	و آن که تو در آن نه تشنه می شوی و نه گرما (و سوزش آفتاب) می یابی.
120_00	پس شیطان او را به وسوسه انداخت، گفت:«ای آدم! آیا (می خواهی) تو را به درخت جاودانگی و فرمانروایی بی زوال راهنمایی کنم؟!».
121_00	آنگاه (آدم و حوا) از آن (درخت) خوردند، (و لباسهای بهشتی آنها ریخت) پس عورتشان برایشان آشکار گشت، و شروع کردند که از برگ (درختان) بهشت بر خودشان می چسپاندند، و آدم پروردگارش را نافرمانی کرد، پس گمراه شد.
122_00	سپس پروردگارش او را برگزید، پس توبه اش را پذیرفت، و (او را) هدایت کرد.
123_00	فرمود:«(شما دو تن با ابلیس) همگی از آن (بهشت) فرود آیید، در حالی که دشمن یکدیگر خواهید بود، پس اگر از (سوی) من هدایتی برای شما بیاید، هر کس از هدایت من پیروی کند، پس نه گمراه می شود و نه به رنج افتد (و بدبخت شود).
124_00	و کسی که از یاد من روی گردان شود، پس بی گمان زندگانی (سخت و) تنگی خواهد داشت، و روز قیامت او را نابینا بر انگیزیم.
125_00	گوید:«پروردگار! چرا مرا نا بینا برانگیختی؟ و حال آنکه من (در دنیا) بینا بودم!».
126_00	فرمود:«همان گونه که آیات ما برای تو آمد پس آنها را فراموش کردی؛ و این گونه امروز (تو در آتش) فراموش خواهی شد».
127_00	و این گونه کسی را که اسراف کند، و به آیات پروردگارش ایمان نیاورد؛ جزا می دهیم، و یقیناً عذاب آخرت شدیدتر و پایدارتر است.
128_00	آیا برای هدایت (و بیداری) آنها کافی نیست که پیش از اینان چه بسیار از نسلها را هلاک کردیم که در مساکن آنها راه می روند؟! بی گمان در این (امر) نشانه های برای خردمندان است.
129_00	و اگر فرمانی که پیش از این از پروردگارت مقرر شده (مبنی بر تأخیر عذاب) و وقت معین، نبود، مسلماً (عذاب الهی) بر آنها محقق می شد.
130_00	پس (ای پیامبر!) بر آنچه می گویند، صبر کن، و پیش از طلوع آفتاب و قبل از غروب آن
130_01	به ستایش پروردگارت تسبیح گوی، و (نیز) در ساعاتی از شب و اطراف روز تسبیح گوی، باشد که خشنود شوی.
131_00	و هرگز چشمان خود را به (سوی) آنچه (از نعمتها و متاع دینوی) که گروههایی از آنان را از آن بهره مند ساخته ایم، ندوز، اینها زینت ها (و شکوفه های) زندگی دنیا است، تا ،آنان را در آن بیازماییم، و روزی پروردگار تو بهتر و پایدارتر است.
132_00	و خانواده ات را به نماز فرمان بده، و (خود) بر (انجام) آن شکیبا باش، (ما) از تو روزی نمی خواهیم، (بلکه) ما به تو روزی می دهیم، و سرانجام نیک برای پرهیزگاران است.
133_00	و (مشرکان) گفتند:«چرا معجزه ای از جانب پروردگارش برای ما نمی آورد؟!» بگو:«آیا دلایل روشنی که در کتابهای پیشین بوده برای آنها نیامده است؟!
134_00	اگر (ما) آنها را پیش از آمدن او (= پیامبر) با عذابی هلاک می کردیم؛ قطعاً (روز قیامت) می گفتند:«پروردگارا! چرا پیامبری به سوی ما نفرستادی،تا پیش از آن که خوار و رسوا شویم از آیات تو پیروی کنیم؟!».
135_00	(ای پیامبر!) بگو:« همه منتظرند، شما (نیز) منتظرباشید، پس به زودی خواهید دانست که چه کسی اصحاب راه راست، و چه کسی هدایت یافته اند».
