001_00	آنچه در آسمانها وزمین است برای خدا تسبیح می گویند( ), و او پیروزمند حکیم است.
015_00	پس امروز نه از شما فدیه ای پذیرفته می شود ونه از کسانی که کافر شدند, وجایگاه شما آتش (جهنم) است. همان شایسته شماست, وچه بد جایگاهی است.
016_00	آیا برای کسانی که ایمان آورده اند وقت آن نرسیده است که دلهایشان برای ذکر خدا وآنچه از حق نازل شده است خاشع گردد؟ ومانند کسانی نباشند
016_01	که پیش از این به آنها کتاب (آسمانی) داده شد, پس مدت زمان طولانی بر آنها گذشت, آنگاه قلبهایشان سخت شد, وبسیاری از آنها (گنهکار و) فاسقند.
017_00	بدانید که خداوند زمین را بعد از مردنش زنده می کند, به راستی ما آیات (خود) را برای شما (به روشنی) بیان کردیم باشد که شما اندیشه کنید.
018_00	بی گمان مردان وزنان صدقه دهنده و(آنها که) به خداوند «قرض الحسنه» دهند, برایشان دوچندان می شود وبرای آنها پاداش ارجمندی است.
019_00	وکسانی که به خدا وپیامبرانش ایمان آوردند, آنها نزد پروردگارشان صدیقین وشهداء هستند, برای آنها
019_01	است پاداششان ونورشان, وکسانی که کافر شدند وآیات ما را تکذیب کردند, آنها دوزخی اند.
020_00	بدانید که زندگی دنیا تنها بازیچه وسرگرمی وتجمل, وفخر فروشی در میان شما و افزون طلبی در اموال وفرزاندان است, همانند بارانی که
020_01	روییدنی اش کشا ورزان را به شگفت آورد سپس خشک شود (به گونه ای که) آن را زرد رنگ بینی, سپس خرد (وبه
020_02	کاه تبدیل) شود ودر آخرت (برای کفار) عذاب سخت است و(برای مؤمنان) آمرزشی از جانب خداوند وخشنودی است, وزندگی دنیا چیزی جز متاع فریبنده نیست.
021_00	برای رسیدن به آمرزش پروردگارتان وبهشتی که پهنای آن مانند پهنای آسمانها وزمین است بر یکدیگر پیشی گیرید (که آن) برای کسانی که
021_01	به خدا وپیامبرانش ایمان آورده اند آماده شده است, این فضل خداست که به هرکس بخواهد می دهد, وخداوند دارای فضل عظیم است.
022_00	هیچ مصیبتی در زمین ونه در وجود شما روی نمی دهد مگر پیش از آنکه آن را پدید آوریم در کتاب (لوح محفوظ نوشته) است( ). مسلماً این امر بر خداوند آسان است.
023_00	(این را بیان کردیم) تا به خاطر آنچه از دستان رفته است افسوس نخورید, وبه آنچه (خداوند) به شما داده است شادمان نشوید, وخداوند هیچ خود پسند فخر فروشی را دوست ندارد.
024_00	(همان) کسانی که بخل می ورزند ومردم را (نیز) به بخل فرمان می دهند, وهرکس که (از فرمان الهی) روی یگردان شود, پس (بداند که) خداوند بی نیاز ستوده است.
025_00	به راستی که پیامبران خود را با دلایل روشن فرستادیم, وبا آنها کتاب (آسمانی) ومیزان (عدالت) نازل کردیم.
025_01	تا مردم به عدالت قیام کنند, وآهن را نازل کردیم که در آن نیروی سخت ومنافعی برای مردم است. وتا خداوند معلوم بدارد چه کسی به نادیده او وپیامبرانش را یاری می کند, بی گمان خداوند توانای پیروزمند است.
026_00	وبه راستی ما نوح وابراهیم را فرستادیم, ودر دودمان آن دو نبوت وکتاب قرار دادیم. پس بعضی از آنها هدایت یافته اند وبسیاری از آنها (بدکار و) فاسقند.
027_00	سپس در پی آنها پیامبران (دیگر) خود را فرستادیم, وبعد از آنان عیسی پسر مریم را آوردیم وبه او انجیل
027_01	عطا کردیم, ودر دلهای کسانی که از او پیروی کردند رأفت ورحمت قرار دادیم, ورهبانیتی که خود آن را پدید
027_02	آوردند, ما بر آنها مقرر نداشته بودیم, گرچه هدفشان بدست آوردن خشنودی خداوند بود, ولی چنانکه باید حق آن را
027_03	رعایت نکردند, لذا ما به کسانی از آنها که ایمان آوردند پاداششان را دادیم, و بسیاری از آنها (بدکار و) فاسقند.
028_00	ای کسانی که ایمان آورده اید!
028_01	از خدا بترسید وبه پیامبرش ایمان بیاورید تا دو بهره از رحمتش به شما ببخشد وبرای شما نوری قرار دهد که با آن راه بروید وگناهان شما را بیامرزد, وخداوند آمرزندۀ مهربان است.
029_00	(این را بیان کردیم) تا اهل کتاب بدانند که قادر بر چیزی از فضل خداوند نیستند, وآنکه
029_01	فضل به دست خداست به هرکس که بخواهد آن را می دهد, وخداوند دارای فضل بزرگ است.
