001_00	ق, سوگند به قرآن مجید (که تو پیامبر خدایی).
017_00	هنگامی که دو (فرشته ی) فراگیرنده بر جانب راست وچپ نشسته اند, (واعمالش را) فرا می گیرند.
018_00	هیچ سخنی را بر زبان نمی آورد, مگر اینکه نزدش مراقبی حاضر (وآماده نوشتن) است.
019_00	وسکرات (وسختی) مرگ به راستی فرا رسید, (وبه او گفته می شود: ای انسان,) این همان چیزی است که تو از آن می گریختی.
020_00	ودر "صور" دمیده شود, آن روز, (روز تحقق) وعدۀ (عذاب) است.
021_00	وهرکسی (به عرصۀ محشر) می آید در حالی که همراه او سوق دهنده وگواهی است.
022_00	(به او گفته می شود(: به راستی تو از این (صحنه) غافل بودی, پس ما پرده را از (چشم) تو برداشتیم, لذا امروز چشمانت تیز بین است.
023_00	و (فرشته) همنشین او می گوید: «این (اعمال اوست) آنچه که نزد من آماده (وحاضر) است».
024_00	(خداوند به فرشتگان مراقب فرمان می دهد) «هر نا سپاس سرکشی را در جهنم افکنید.
025_00	(همان) باز دارندۀ خیر, تجاوز گر شکّاک را.
026_00	(همان) کسی که با خدا معبود دیگری قرار داده است, پس او را در عذاب سخت بیفکنید».
027_00	همنشین او (از شیاطین) گوید: «پروردگارا! (من) اورا به طغیان (وگمراهی) وادار نکردم, لیکن (او خود) در گمراهی دور و درازی بود».
028_00	(خداوند) می فرماید: «نزد من (مجادله و) مخاصمه نکنید, ومسلماً من (پیش از این) برای شما هشدار فرستاده بودم.
029_00	(آن) سخن نزد من تغییر داده نمى شود, ومن هرگز به بندگان ستم نخواهم کرد».
030_00	(وبه یاد آور) روزی که به جهنم می گوییم: «آیا پرشده ای؟!» و(او) می گوید: «آیا هیچ افزون براین (هم) هست؟!»( ).
031_00	(در آن روز) بهشت را برای پرهیزگاران نزدیک آورند (تا آنها از آن) دور نباشند.
032_00	(به آنها گفته می شود:) این چیزی است که به شما وعده داده می شود, برای هر رجوع کنندۀ (به سوی خدا و) نگهدارنده (پیمان واحکام الهی) است.
033_00	کسی که در نهان از (خداوند) رحمان بترسد, وبا قلبی توبه کار (در محضر او) آمده باشد.
034_00	(به آنها گفته می شود:) «به سلامت وارد آن (بهشت) شوید, (که) این روز جاودانگی است».
035_00	هر چه بخواهند در آنجا برای آنها هست, ودر نزد ما افزون (براین) است.
036_00	وچه بسیار امتهایی را که پیش از آنها هلاک کردیم, که آنها از اینها قویتر بودند, پس در شهرها (سیر و) جستجو کردند, آیا هیچ راه فراری وجود دارد؟!
037_00	بی گمان دراین (سخن) برای صاحب دلان یا آنان که با حضور (خاطر) گوش فرا دهند, پندی است.
038_00	وبه راستی ما آسمانها وزمین وآنچه در میان آن دوست در شش روز آفریدیم, وهیچ (گونه) خستگی (و رنجی) به ما نرسید.
039_00	پس بر آنچه آنها می گویند شکیبا باش, وپیش از طلوع خورشید و پیش از غروب (آن) به ستایش پروردگارت تسبیح گوی( ).
040_00	و (نیز) پاره ای از شب وبعد از سجده ها اورا تسبیح گوی.
041_00	و (ای پیامبر) گوش فرا ده, روزی که منادی از مکانی نزدیک ندا می دهد.
042_00	روزی که همگان صیحه (= بانگ سهمناک رستاخیز) را بحق می شنوند, آن روز خروج (از گورها) است.
043_00	همانا ماییم که زنده می کنیم ومی میرانیم, وبازگشت (همگان) به سوی ماست.
044_00	روزی که زمین از (روی) آنها شکافته شود, (وآنها) شتابان (از گورها بیرون آیند), این گرد آوری برای ما آسان است.
045_00	ما به آنچه (مشرکان) می گویند داناتریم, وتو (ای پیامبر) بر آنها زورگونیستی (که آنها را به ایمان آوردن اجبار کنی) پس کسی را که از عذاب (وهشدار) من می ترسد, به (وسیلۀ) قرآن پند (واندرز) بده.
