001_00	کسانی که کافر شدند و (مردم را) از راه خدا بازداشتند, (خداوند) اعمال آنان را نابود کرد.
029_00	آیا کسانی که در دلهایشان بیماری (نفاق) است گمان کردند که خداوند کینه هایشان را آشکار نخواهد کرد؟!
030_00	واگر ما بخواهیم آنها را به تو (ای پیامبر) نشان می دهیم, آنگاه آنان را با سیما (وقیافه) هایشان بشناسی, ومسلماً تو آنان را در طرز سخن گفتنشان می شناسی, وخداوند اعمال شما را می داند.
031_00	و(همۀ) شما را قطعاً آزمایش می کنیم تا مجاهدان از شما و صابران را معلوم کنیم, و(اخبار و) احوال شما را بیازماییم.
032_00	بی گمان کسانی که کافر شدند و(دیگران را) از راه خدا باز داشتند و بعد از آشکار شدن (راه) هدایت برای آنها با پیامبر مخالفت ورزیدند, هرگز زیانی به خداوند نمی رسانند, و(خداوند) به زودی اعمالشان را تباه خواهد کرد.
033_00	ای کسانی که ایمان آورده اید! خدا را اطاعت کنید, ورسول (خدا) را اطاعت کنید, واعمالتان را باطل نکنید.
034_00	بی گمان کسانی که کافر شدند و(دیگران را) از راه خدا باز داشتند سپس در حال کفر مردند, پس خداوند هرگز آنها را نخواهد آمرزید.
035_00	پس (ای مؤمنان) هرگز (هنگام جهاد) سست نشوید, و(دشمنان را) به صلح وآشتی دعوت نکنید, در حالی که شما برتر هستید وخدا با شماست, و(چیزی از پاداش) اعمالتان را نخواهد کاست.
036_00	جز این نیست که زندگی دنیا بازی وسرگرمی است, واگر ایمان بیاورید وپرهیزگاری کنید (خداوند) پاداشهایتان را به شما خواهد داد, و(تمام) اموالتان را از شما نمی طلبد.
037_00	اگر (تمام) آن را از شما مطالبه کند, آنگاه اصرار نماید, بخل می ورزید, وکینه های شما را آشکار می سازد.
038_00	آگاه باشید, شما همان کسانی هستید که برای انفاق در راه خدا فرا خوانده می شوید, پس بعضی از شما بخل می ورزند, وهرکس بخل ورزد, جز این نیست که
038_01	بر خویشتن بخل ورزیده است, وخداوند بی نیازاست وشما (همه) فقیر (ونیازمند) ید, واگر روی بگردانید (خداوند) گروهی دیگر را بجای شما می آورد, آنگاه آنها مانند شما نخواهند بود.
