001_00	پر برکت وبزرگوار است کسی که فرقان (= قرآن) را بربنده اش نازل کرد؛ تا بیم دهنده ی جهانیان باشد.
017_00	و روزی که (همه ی) آنها و آنچه را که به جای خدا می پرستیدند؛ گرد آورد، پس (به معبودان باطل) می فرماید : « آیا شما این بندگان مرا گمراه کردید، یا خودشان راه را گم کردند ؟!»
018_00	گویند :« تو منزهی! برای ما شایسته نبود که به جای تو (اولیاء و) دوستانی برگزینیم، و لیکن آنها و پدرانشان را (از نعمتها) بهرمند نمودی تا اینکه یاد (تو) را فراموش کردند، و گروهی هلاک (و تباه) شده شدند».
019_00	(خداوند به آنها می فرماید :) به راستی (این معبودان) شما را در آنچه می گویید؛ تکذیب کردند،پس (اکنون) نمی توانید (عذاب را) برطرف کنید، و نه (از کسی) یاری بجویید، و هرکس از شما که ستم (= شرک) کند، عذاب بزرگی به او می چشانیم.
020_00	( ای پیامبر!) پیش از تو هیچ پیامبری را نفرستادیم، مگر اینکه آنها هم غذا می خورند، و در بازارها راه می رفتند، و ما بعضی از شما را وسیله ی آزمایش بعضی دیگر قرار داده ایم، آیا صبر می کنید ؟!
020_01	و پروردگار تو بیناست.
021_00	کسانی که به دیدار ما امید ندارند گفتند :« چرا فرشتگانی بر ما نازل نشدند، یا (چرا) پرروردگارمان را نمی بینیم؟! » به راستی آنها در باره ی خود تکبر ورزیدند، و طغیان (و سرکشی) بزرگی کردند.
022_00	روزی که فرشتگان را ببینند، در آن روز هیچ بشارتی برای مجرمان نخواهند بود؛ (بلکه روز مجازات و عذاب است) و (فرشتگان) می گویند :«(بهشت) بر شما ممنوع (و حرام) است (و بهره ای جز حرمان ندارید)».
023_00	و ما به هرگونه عملی که انجام داده اند؛ می پردازیم، پس آن را (چون) غبار پراکنده (در هوا) قرار می دهیم.
024_00	بهشتیان در آن روز جایگاهشان (ازهمه) بهتر، و استراحتگاهشان نیکوتر است.
025_00	و (به یاد آور) که آسمان با ابرها شکافته شود، و فرشتگان چنانکه باید (پی در پی) فرود آورده شوند.
026_00	فرمانروایی راستین (و حقیقی) در آن روز از آن (خداوند) رحمان است، و (آن روز) روز سختی بر کافران خواهد بود.
027_00	و (به یاد آور) روزی که ستمکار (از حسرت) دست خود را می گزد، می گوید :« ای کاش من با رسول (خدا) راهی بر گزیده بودم،
028_00	ای وای بر من، ای کاش فلانی را دوست نمی گرفتم.
029_00	به راستی او مرا از ذکر (= قرآن) گمراه ساخت، بعد از آن که به سوی من آمده بود، و شیطان همواره انسان را تنها (و خوار) می گذارد» .
030_00	و پیامبر (خدا) گوید :« پروردگارا ! بی گمان قوم من این قرآن را رها کردند» .
031_00	و این گونه برای هر پیامبری دشمنی از مجرمان قرار دادیم، وپروردگار تو برای راهنمایی و یاری (تو) کافی است.
032_00	و کسانی که کافر شدند؛ گفتند :« چرا قرآن یکباره براو نازل نمی شود ؟! » این گونه (آن را بخش بخش نازل کردیم) تا با آن قلب تو را استوار داریم ، و آن را آرام آرام (و به تدریج بر تو) بخوانیم.
033_00	و (کافران) هیچ (اعتراض و) مثلی برای تو نمی آورند؛ مگر آن که برای تو حق و (پاسخی) نیک بیان تر می آوریم.
034_00	کسانی که بر چهره هایشان به سوی جهنم محشور می شوند، اینان بد جایگاه تر و گمراه تر هستند.
035_00	و به راستی (ما) به موسی کتاب (تورات) دادیم، و برادرش هارون را همراه او مدد کار (او) قرار دادیم.
036_00	آنگاه گفتیم :« شما دو نفر سوی قومی که آیات ما را تکذیب کردند، بروید» پس آنها را بشدت (هلاک و) نابود کردیم.
037_00	وقوم نوح را هنگامی که پیامبران را تکذیب کردند، آنها را غرق کردیم، و آنها را برای مردم (نشانه و) عبرت قرار دادیم، و برای ستمکاران عذاب درد ناکی آماده کرده ایم.
038_00	و (همچنین) عاد و ثمود و اصحاب رس و نسلهای بسیار را که بین آنها بودند (هلاک کردیم).
039_00	و برای هر یک از آنها مثلها زدیم، و همگی (آنها) را سخت نابود (و هلاک) کردیم.
040_00	و به راستی آنها (= مشرکان مکه) بر قریه ای که باران بلا بر آن باریده بود، گذشتند، آیا آن را نمی دیدند ؟! (آری، می دیدند) بلکه به (قیامت و) زنده شدن امید (و ایمان) ندارند.
041_00	و هنگامی که تو را ببینند، فقط تو را به ریشخند (و مسخره) می گیرند، (و می گویند:) آیا این همان کسی است که خداوند او را به پیامبری فرستاده است ؟!
042_00	اگر ما بر (پرستش) خدایان مان استقامت نمی کردیم، نزدیک بود که ما را از (پرستش) آنها گمراه کند! و چون عذاب (الهی) را ببینند؛ به زودی خواهند دانست چه کسی گمراه تر (بوده) است.
043_00	آیا دیدی کسی را که هوای (نفس) خود را معبود خود برگزیده است ؟! آیا تو می توانی بر او (وکیل و) نگهبان باشی؟ !
044_00	آیا گمان می کنی بیشتر آنها می شنوند یا می فهمند ؟! آنها همچون چهارپایانی بیش نیستند، بلکه اینان گمراه ترند .
045_00	آیا ندیدی چگونه پروردگارت سایه را گسترانیده است، و اگر می خواست آن را ساکن قرار می داد، پس خورشید را بر (وجود) آن دلیل قرار دادیم.
046_00	سپس آن (سایه) را اندک اندک به سوی خود باز می گیریم.
047_00	و او کسی است که شب را برای شما پوششی قرار داد، و خواب را مایه ی آسایش، و روز را (هنگام) بر خاستن (و جنبش) قرار داد.
048_00	و او کسی است که بادها را بشارت دهندگانی پیشاپیش رحمتش فرستاد، و از آسمان آبی پاک نازل کردیم.
049_00	تا به آن سرزمین مرده ای را زنده کنیم، و آن را به چهارپایان و انسانهای بسیاری را که آفریده ایم؛ بنوشانیم.
050_00	و به راستی (ما) آن (آب باران) را در میان آنها تقسیم کردیم تا متذکر شوند، پس بیشتر مردم جز ناسپاسی را قبول نکردند.
051_00	و اگر می خواستیم در هر قریه و دیاری بیم دهنده ای می فرستادیم.
052_00	پس (ای پیامبر!) از کافران اطاعت مکن، و بوسیله ی آن (= قرآن) با آنها جهاد بزرگی بنما .
053_00	و او کسی است که دو دریا را به هم آمیخت، این گوارا وشیرین، و آن شور تلخ است، و در میان آن دو حائل و مانعی استوار قرار داد.
054_00	و او کسی است که از آب انسانی را آفرید، آنگاه او را (پیوند) نسبی و سببی قرار داد، و پروردگار تو تواناست.
055_00	و (مشرکان) به جای خداوند چیزی را می پرستند که نه به آنها سود می بخشد و نه به آنها زیانی می رساند. و کافر پیوسته در برابر پروردگارش پشتیبان (یکدیگر و یاور شیطان) است.
056_00	و (ای پیامبر!) ما تو را جز بشارت دهنده و بیم دهنده نفرستادیم.
057_00	بگو :« من در برابر (تبلیغ) آن هیچ گونه مزدی از شما نمی طلبم، مگر کسی که بخواهد راهی به سوی پروردگارش برگزیند»
058_00	و برزنده ای که هرگز نمی میرد؛ توکل کن، و به ستایش او تسبیح گوی، و همین بس که او به گناهان بندگانش آگاه است.
059_00	(همان) کسی که آسمانها و زمین و آنچه را در میان آن دو است، در شش روز آفرید، سپس بر عرش قرار گرفت (او خداوند) رحمان است. پس درباره ی او (تعالی) از کسی (= پیامبر) بپرس که آگاه است.
060_00	و هنگامی که به آنها گفته شود: « برای (خداوند) رحمان سجده کنید» گویند :« رحمان چیست ؟! (او را نمی شناسیم) آیا برای چیزی که تو به ما فرمان می دهی سجده کنیم ؟!» و برنفرت (و گریز شان) افزوده شد.
061_00	پر برکت و بزرگوار است کسی که در آسمان برجهایی قرار داد، و در (میان) آن چراغ روشن و ماه تابانی قرار داد.
062_00	و او (همان) کسی است که شب و روز را در پی یکدیگر قرار داد برای کسی که بخواهد متذکر شود یا بخواهد شکر گذاری کند.
063_00	و بندگان (خاص) رحمان، کسانی هستند که با فروتنی (و آرامش) بر زمین راه می روند، و هنگامی که جاهلان آنها را مخاطب قرار دهند (و سخنان نا بخردانه و ناسزا گویند) به آنها سلام گویند (و از آنها روی می گردانند).
064_00	و کسانی که شب را برای پروردگارشان سجده کنان و قیام کنان می گذرانند.
065_00	و کسانی که می گویند: « پروردگارا ! عذاب جهنم را از ما بر طرف کن، بی تردید عذابش (سخت و) پایدار است.
066_00	بی گمان آن (جهنم) بد قرار گاه و (بد) اقامتگاهی است.
067_00	و کسانی که چون انفاق کنند، اسراف نمی نمایند و سختگیری نمی کنند، و بین این دو (روش) اعتدال دارند.
068_00	و کسانی که با خداوند معبود دیگر را نمی خوانند، و نفسی را که خداوند (کشتنش را) حرام کرده است،
068_01	جز به حق نمی کشند، و زنا نمی کنند، و هر کس چنین کند، مجازات گناه (خود) را خواه دید.
069_00	عذاب او در روز قیامت مضاعف می گردد و با خواری (و ذلت) در آن جاودان خواهد ماند.
070_00	مگر کسی که توبه کند و ایمان آورد، و عمل صالح انجام دهد، پس اینانند که خداوند بدی هایشان را به نیکیها مبدل می کند، و خداوند آمرزنده ی مهربان است.
071_00	و کسی که توبه کند و عمل صالح انجام دهد، پس بی گمان او چنانکه باید به سوی خداوند بازگشت می کند.
072_00	و کسانی که شهادت دروغ نمی دهند، و چون بر (کار) لغو (وبیهوده) بگذرند، بزرگوارانه (از آن) می گذرند.
073_00	و کسانی که چون به آیات پروردگارشان پند داده شدند، کر و کور بر روی آن نمی افتند.
074_00	و کسانی که می گویند: « پروردگارا! از همسرانمان، و فرزندانمان مایه ی روشنی چشم به ما عطا فرما، و ما را برای پرهیزگاران پیشوا قرار بده».
075_00	(آری) اینان به (خاطر) صبری که کرده اند درجات (و منازل) عالی (بهشت) به آنها پاداش داده می شود، و در آن با تحیت و سلام استقبال می شوند.
076_00	در آن جادانه خواهند ماند، چه نیکو قرار گاه و(نیکو) اقامتگاهی است.
077_00	(ای پیامبر !) بگو :« پروردگار به شما اعتنایی ندارد؛اگر دعای شما نباشد، به راستی شما (حق را) تکذیب کردید، پس به زودی (کیفرش، گردن گیر و) ملازمتان خواهد بود.
