001_00	کهیعص (کاف. ها. یا. عین. صاد).
021_00	(فرشته) گفت : «این گونه است، پروردگارت فرموده است: این (کار) بر من آسان است، و او را برای مردم نشانه ای قرار می دهیم، و (نیز) رحمتی از سوی ماست، و این امری است انجام یافته».
022_00	پس (مریم) به او بار دار شد، آنگاه با اوبه جایی دور دستی (رفت و از مردم) کناره گرفت.
023_00	پس درد زایمان او را به سوی تنه ی (درخت) خرمایی کشاند، گفت: «ای کاش پیش از این مرده بودم، و بکلی از یادها رفته (و فراموش شده) بودم ».
024_00	نا گهان از (سمت) پایینش (فرشته یا عیسی) او را صدا زد که: «غمگین مباش، به راستی پروردگارت زیر (پای) توچشمه ای (جاری) قرار داده است .
025_00	و (این) تنه ی (درخت) خرما رابه طرف خود تکان بده، (که) رطب تازه ای بر تو فرو می ریزد.
026_00	پس (از آن) بخور و (از آب چشمه) بنوش، و دیدگان را(به این مولود) روشن دار، پس اگر کسی از انسانها را دیدی (با اشاره) بگو : «همانا من برای (خدای) رحمان روزه (سکوت) نذر کرده ام، لذا امروز با هیچ بشری سخن نمی گویم ».
027_00	پس (مریم) در حالی که او (= عیسی) را برداشته بود، نزد قومش آمد، گفتند : «ای مریم ! به راستی کاری (بسیار) زشت (و شگفت انگیزی) انجام داده ای !
028_00	ای خواهر هارون ! پدرت مرد بدی نبود، و مادرت (نیز) زن بد کاره ای نبود!».
029_00	پس (مریم) به او (=عیسی) اشاره کرد، گفتند : «چگونه با کسی که کودکی است در گهواره، سخن بگوییم ؟! »
030_00	(عیسی) گفت : «من بنده ی خدا هستم، به من کتاب داده، و مرا پیامبر قرار داده است.
031_00	و مرا هر جا که باشم پر برکت و فرخنده قرار داده، و تا زنده ام مرا به نماز و زکات سفارش کرده است.
032_00	و (مرا) نسبت به مادرم نیکو کار (قرار داده) ومرا سرکش (و) بدبخت قرار نداده است.
033_00	و سلام بر من، روزی که متولد شدم، و روزی که می میرم، و روزی که زنده برانگیخته شوم »
034_00	این است (حکایت) عیسی پسر مریم، گفتار راستی که در آن تردید (و اختلاف) می کنند.
035_00	(هرگز) شایسته خدا نیست که فرزندی برگیرد، اومنزه است، هرگاه کاری را فرمان دهد (و بخواهد) ، فقط به آن می گوید : «موجود شو» پس (بی درنگ) موجود می شود.
036_00	و (عیسی به قومش گفت :) «یقیناً الله پروردگار من و پروردگار شماست، پس او را پرستش کنید، (که) راه راست این است».
037_00	آنگاه گروه ها (ی یهود و نصاری) درمیان خود اختلاف کردند، پس وای بر کسانی که کافر شدند، از حضور (در آن) روز بزرگ (قیامت).
038_00	(آن) روزی که نزد ما می آیند، چه خوب شنوا و چه خوب بینا هستند، لیکن ستمکاران امروز در گمراهی آشکارند .
039_00	و (ای پیامبر!) آنها را از روز حسرت بترسان، آنگاه که کار پایان پذیرد، و آنها (همچنان) در غفلتند و ایمان نمی آورند.
040_00	همانا ماییم که زمین و کسانی را که بر آن هستند، به ارث می بریم، و (همگی) به سوی ما باز گردانده می شوند.
041_00	و (ای پیامبر!) در (این) کتاب ابراهیم را یاد کن، بی گمان او پیامبری راستگو بود.
042_00	هنگامی که به پدرش گفت : «ای پدر جان ! چرا چیزی را پرستش می کنی که نه می شنود و نه می بیند، و نه هیچ نیازی از تو بر آورده می سازد ؟!
043_00	ای پدر جان ! یقیناً (از جانب خدا) دانشی برای من آمده که برای تو نیامده است، پس از من پیروی کن، تا تو را به راه راست هدایت کنم .
044_00	ای پدرجان ! شیطان را پرستش نکن، زیرا که شیطان نسبت به (خداوند) رحمان نافرمان بود.
045_00	ای پدر جان ! من از این می ترسم که از (سوی خداوند) رحمان عذابی به تو برسد، آنگاه از دوستان شیطان (و همنشینان او در آتش) باشی » .
046_00	(پدرش) گفت : «ای ابراهیم ! آیا تو از معبود های من روی گردانی ؟ اگر باز نیایی، قطعاً تو را سنگسار می کنم، و برای مدت طولانی از من دور شو» .
047_00	(ابراهیم) گفت : «سلام بر تو ! به زودی از پروردگارم برای تو طلب آمرزش خواهم کرد، بی گمان او نسبت به من مهربان است.
048_00	و از شما و آنچه به جای خدا می خوانید، کناره گیری می کنم، و پروردگارم را می خوانم، امید است که در خواندن پروردگارم محروم نباشم » .
049_00	پس چون از آنها وآنچه به جای خدا می پرستیدند کناره گیری کرد، اسحاق و یعقوب را به او بخشیدیم، و هر یک (از آنان) را پیامبر گردانیدیم.
050_00	و از رحمت خود به آنها عطا کردیم، و برای شان (در میان امتها) ذکر خیر بلند آوازه ای قرار دادیم .
051_00	و (ای پیامبر!) در (این) کتاب موسی را یاد کن، به راستی او مخلص بود، و فرستاده ای پیامبر بود.
052_00	و (ما) او را از طرف راست (کوه) طور ندا دادیم، و رازگویان او را (به خود) نزدیک ساختیم .
053_00	و (ما) از رحمت خود برادرش هارون را - که پیامبر بود - به او عطا کردیم .
054_00	و در (این) کتاب اسماعیل را یاد کن، بی گمان او راست وعده، و فرستاده ای پیامبر بود.
055_00	و (او همواره) خانوده اش را به نماز و زکات فرمان می داد، و نزد پروردگارش پسندیده بود .
056_00	و در (این) کتاب ادریس را یاد کن بی شک او پیامبری راستگو بود .
057_00	و (ما) او را به جایگاهی بلند فرا بردیم .
058_00	اینان کسانی از پیامبران بودند که خداوند بر آنان انعام کرده بود، از فرزندان آدم و از کسانی که با نوح (بر کشتی) سوار کردیم، و از فرزندان ابراهیم و اسرائیل (= یعقوب) و از کسانی که آنها را هدایت کردیم و بر گزیدیم.
058_01	چون آیات (خداوند) رحمان بر آنها تلاوت می شد، سجد کنان و گریان (به خاک) می افتادند.
059_00	آنگاه پس از آنان (فرزندان) نا خلفانی جانشین شدند که نماز را (ضایع و) ترک کردند واز شهوات پیروی کردند، پس به زودی (کیفر) گمراهی (خود) را خواهند یافت .
060_00	مگر آن که توبه کرد و ایمان آورد، و کار شایسته انجام داد، پس اینان به بهشت داخل می شوند، و بر آنان هیچ ستمی نخواهند شد .
061_00	باغهایی (بهشتی) جاودانی است که (خداوند) رحمان به غیب (= نادیده) بندگانش را به آن وعده داده است، مسلماً وعده ی او فرا خواهد رسید .
062_00	در آنجا سخن بیهوده نمی شنوند، جز سلام (می شنوند) و بر آنها (هر) صبح وشام روزی شان (در بهشت آماده) است.
063_00	این همان بهشتی است که از (میان) بندگانمان (به) آن کسی که (در دنیا) پرهیزگار بوده به ارث می دهیم .
064_00	و (جبرئیل به پیامبر عرض کرد :) (ما فرشتگان) جز به فرمان پروردگارت نازل نمی شویم، (آگاهی از) آنچه پیش روی ما، و آنچه پشت سرما ، و آنچه میان این دو است، (همه) از آن اوست، و پروردگارت هر گز فراموشکار نیست .
065_00	(همان) پروردگار آسمانها و زمین، و آنچه میان آن دو است، پس او را پرستش کن، و بر عبادتش شکیبا (و پایدار) باش. آیا (مانند و) همنامی برای او می شناسی؟
066_00	و انسان (کافر) می گوید: «آیا زمانی که بمیریم، زنده (از گور) بیرون آورده خواهم شد ؟!»
067_00	آیا انسان به یاد نمی آورد که ما پیش از این او را آفریدیم در حالی که هیچ چیز نبود؟!
068_00	پس سوگند به پروردگارت که محققاً (همه ی) آنها را با شیاطین محشور خواهیم کرد، سپس (همه ی) آنها را به زانو در آمده پیرامون جهنم حاضر می سازیم.
069_00	آنگاه از هر گروه، کسانی را که در برابر (فرمان خداوند) رحمان (از همه) سرکش تر (و پر جرأت تر) بوده اند، جدا خواهیم کرد.
070_00	سپس ما به (حال) کسانی که (برای سوختن) در آتش (جهنم) سزاوارترند؛ دانا تریم .
071_00	و هیچ یک از شما نیست؛ مگر آن که وارد آن (= جهنم) شود، این (وعده) برپروردگارت فرمانی حتمی (و شدنی) است .
072_00	سپس کسانی را که تقوا پیشه کردند از آن رهایی می بخشیم، و ستمکاران را به زانو در آمده در آن رها می کنیم.
073_00	و هنگامی که آیات روشن ما بر آنها تلاوت شود، کسانی که کافر شدند به کسانی که ایمان آوردند؛ می گویند : «کدام یک از دو گروه (ما و شما) در جایگاه (و مقام ) بهتر، و از لحاظ محفل، (محفلشان) نیکو تر است » .
074_00	چه بسیار نسلها را پیش از آنان نابود کردیم که آنها از لحاظ ثروت از اینها بهتر بودند و ظاهر شان (نیز) آراسته تربود.
075_00	(ای پیامبر!) بگو : «کسی که در گمراهی است، پس (خداوند) رحمان (از روی استدراج) او را به فزونی مهلت دهد، تا زمانی که آنچه را به
075_01	آن وعده داده شده اند؛ یا عذاب و یا قیامت را ببینند، آنگاه به زودی خواهند دانست چه کسی جایگاهش بدتر، و سپاهش نا توان تر است.
076_00	و کسانی که هدایت یا فته اند، خداوند بر هدایتشان می افزاید، و (آثار و) نیکهای شایسته ماندگار در نزد پرردگارت پاداش بهتر، و عاقبت خوبتر دارد.
077_00	آیا دیده ای کسی که به آیات ما کافر شد، و گفت : «قطعاً مال و فرزند (فراوانی) به من داده خواهد شد»؟!
078_00	آیا بر غیب آگاهی یافته است، یا نزد (خدای) رحمان عهدی گرفته است ؟!
079_00	(هرگز) چنین نیست، (ما) به زودی آنچه را می گوید خواهیم نوشت، و بر عذاب او بسیار می افزاییم.
080_00	و آنچه را می گوید از او می گیریم، و تنها نزد ما می آید .
081_00	و (آنها) به جای خدا معبودانی را (برای خود) بر گزیدند، تا سبب عزتشان باشد.
082_00	چنین نیست، (بلکه) به زودی (معبودها) عبادت آنان را انکار خواهند کرد، و برضدشان برخیزند .
083_00	(ای پیامبر!) آیا ندیدی که ما شیا طین را بر کافران فرستادیم (و مسلط نبودیم) تا آنها را سخت بر انگیزند .
084_00	پس (ای پیامبر!) درباره ی آنها شتاب نکن، ما با دقت (اجل و اعمال) آنها را می شماریم .
085_00	روزی که پرهیز گاران را (دسته جمعی) - به صورت مهمان - به سوی (خداوند) رحمان گرد آوریم .
086_00	و مجرمان را تشنه کام به سوی جهنم برانیم .
087_00	آنها مالک شفاعت نیستند؛ مگر کسی که نزد (خداوند) رحمان عهدی گرفته باشد .
088_00	و (مشرکان) گفتند: «(خداوند) رحمان فرزندی (برای خود) برگزیده است».
089_00	به راستی چیزی بسیار زشت (و زننده ای، در میان) آوردید.
090_00	نزدیک است آسمانها از این (سخن) از هم متلاشی گردد، و زمین شکافته شود، و کوهها درهم شکافته فرو ریزند .
091_00	(از این رو) که برای (خداوند) رحمان فرزندی ادعا کرده اند.
092_00	و هرگز برای (خداوند) رحمان سزاوار نیست که فرزندی بر گزیند .
093_00	هیچ چیز در آسمانها و زمین نیست؛ مگر این که به بندگی سوی (خداوند) رحمان بیاید.
094_00	یقیناً (خداوندهمه ی) آنها را سر شماری کرده، و به دقت شمرده است،
095_00	و همه ی آنها روز قیامت، تنها نزد او حاضر می شوند .
096_00	بی گمان کسانی که ایمان آوردند و کارهای شایسته انجام دادند، (خداوند) رحمان برای آنها محبتی (در دلها) قرار می دهد .
097_00	پس همانا (ای پیامبر!) ما آن (= قرآن) به زبان تو آسان نمودیم، تا پرهیز گاران را با آن بشارت دهی، و گروه ستیزه گران (سر سخت) رابا آن هشدار دهی .
098_00	و چه بسیار نسلها که پیش از آنها هلاک کردیم، آیا کسی از آنها را احساس می کنی، یا کمترین صدایی از آنها می شنوی؟!
