001_00	طسم (طا. سین. میم)
072_00	(ابراهیم) گفت : «آیا هنگامی که آنها را می خوانید (صدای) شما را می شنوند ؟!
073_00	یا سود وزیانی به شما می رسانند؟!» .
074_00	گفتند :«(نه) بلکه ما نیاکان خود را یافتیم که چنین می کردند».
075_00	(ابراهیم) گفت :«آیا دیدید چیزهایی را که پیوسته عبادت می کردید،
076_00	شما و نیاکان پیشین شما.
077_00	پس همه آنها دشمن من هستند، جز پروردگار جهانیان.
078_00	(همان) کسی که مرا آفرید، پس او مرا هدایت می کند.
079_00	و کسی که او به من غذای می دهد و سیراب می نماید.
080_00	و هنگامی که بیمار شوم پس او مرا شفا می دهد.
081_00	و کسی که مرا می میراند؛ سپس زنده می کند.
082_00	و کسی که امیدوارم گناهانم را در روز جزا برایم ببخشد.
083_00	پروردگارا! به من (دانش و) حکمت ببخش، و مرا به صالحان ملحق کن.
084_00	و برای من در میان آیندگان آوازه نیک (و ذکر خیر) قرار بده.
085_00	و مرا از وارثان بهشت پر نعمت بگردان.
086_00	و پدرم را بیامرز، بی گمان او از گمراهان بود.
087_00	و در روزی که (همه ی مردم) برانگیخته می شوند، مرا رسوا (و شرمنده ) مکن.
088_00	روزی که مال و فرزندان سودی نبخشد.
089_00	مگر کسی که با قلب سلیم (خالی از شرک و کفر و نفاق) به پیشگاه خداوند بیاید».
090_00	و (در آن روز) بهشت برای پرهیزگاران نزدیک آورده شود.
091_00	و دوزخ برای گمراهان آشکار کنند.
092_00	و به آنها گفته می شود:« کجا هستند آنچه که به جای خدا پرستش می کردید ؟!
093_00	آیا آنها شما را یاری می کنند، یا (خود) انتقام می گیرند ؟!
094_00	پس آنها و گمراهان (به رو) در آن افکنده می شوند.
095_00	و(نیز) همه ی لشکریان ابلیس.
096_00	آنها در آنجا در حالی که با یکدیگر مخاصمه می کنند، گویند:
097_00	« به خدا سوگند که ما در گمراهی آشکار بودیم.
098_00	چون شما را با پروردگار جهانیان برابر می دانستیم.
099_00	و کسی جز مجرمان ما را گمراه نکرد.
100_00	پس (اکنون) هیچ شفاعت کنندگانی برای ما نیست.
101_00	و نه هیچ دوست (مخلص و) مهربانی.
102_00	پس ای کاش بار دیگر (به دنیا) باز گردیم، تا از مؤمنان باشیم ».
103_00	بی گمان در این (ماجرا) نشانه ای (روشن) است، و بیشتر آنها مؤمن نبودند.
104_00	و بی تردید پروردگار تو پیروزمند مهربان است.
105_00	قوم نوح پیامبران را تکذیب کردند.
106_00	هنگامی که برادرشان نوح به آنها گفت :« آیا (از خدا) نمی ترسید؟!».
107_00	مسلماً من برای شما پیامبری امین هستم.
108_00	پس از خدا بترسید، و مرا اطاعت کنید.
109_00	و من بر (رساندن) این (دعوت) هیچ مزدی از شما نمی طلبم، مزد من تنها بر (عهده ی) پروردگار جهانیان است.
110_00	پس از خدا بترسید، و مرا اطاعت کنید» .
111_00	گفتند:« آیا به تو ایمان بیاوریم در حالی که فرومایگان از تو پیروی کرده اند ؟!»
112_00	(نوح) گفت :« من چه می دانم آنها چه کارها کرده اند !
113_00	اگر می فهمید، حساب آنها تنها با پروردگار من است.
114_00	و من (هرگز) مؤمنان را طرد نخواهم کرد.
115_00	من جز بیم دهنده ای آشکار نیستم».
116_00	گفتند :«ای نوح ! اگر (از دعوتت) دست بر نداری، حتماً سنگسار خواهی شد».
117_00	(نوح) گفت :«پروردگارا ! همانا قوم من، مرا تکذیب کردند.
118_00	پس میان من وآنها داوری کن، و مرا و مؤمنانی را که با من هستند؛ نجات بده».
119_00	پس او و کسانی را که همراه او بودند، در (آن) کشتی پر (و انباشته) نجات دادیم.
120_00	سپس بقیه را غرق کردیم.
121_00	بی گمان در این (ماجرا) نشانه ای (روشن) است، و بیشتر آنها مؤمن نبودند.
122_00	و بی تردید پروردگار تو پیروزمند مهربان است.
123_00	(قوم) عاد (نیز) پیامبران (خدا) را تکذیب کردند.
124_00	هنگامی که برادرشان هود به آنها گفت :«آیا (از خدا) نمی ترسید ؟!»
125_00	به راستی من برای شما پیامبری امین هستم.
126_00	پس از خدا بترسید، و مرا اطاعت کنید.
127_00	و من بر (رساندن) این (دعوت) هیچ مزدی از شما نمی طلبم، مزد من تنها بر (عهده ی) پرودگار جهانیان است.
128_00	آیا بر هر مکان مرتفعی نشانه ای (از روی هوا و هوس و) بیهوده می سازید ؟!
129_00	و قصرها (و قلعه ها) محکم و استوار بنا می کنید، گویی که (در دنیا) جاودانه می مانید.
130_00	و چون (کسی را) کیفر دهید، همچون جباران کیفر می دهید.
131_00	پس از خدا بترسید و مرا اطاعت کنید.
132_00	و از کسی بترسید که شما را به آنچه می دانید مدد کرده است.
133_00	شما را به چهارپایان و فرزندان مدد (و یاری) فرموده است.
134_00	و (همچنین به) باغها و چشمه ها.
135_00	همانا من از عذاب روزی بزرگ بر شما می ترسم! »
136_00	گفتند :« برای ما یکسان است، چه ما را پند دهی یا پند ندهی.
137_00	این جز (همان) روش پیشینیان نیست.
138_00	و ما (هرگز) عذاب نخواهیم شد».
139_00	پس او (= هود) را تکذیب کردند، در نتیجه ما آنها را هلاک کردیم، بی گمان در این (ماجرا) نشانه ای است، و بیشتر آنها مؤمن نبودند.
140_00	و بی تردید پروردگار تو پیروزمند مهربان است.
141_00	(قوم) ثمود پیامبران (خدا) را تکذیب کردند.
142_00	هنگامی که برادرشان صالح به آنها گفت :«آیا (از خدا) نمی ترسید ؟!
143_00	بی گمان من برای شما پیامبری امین هستم.
144_00	پس از خدا بترسید و مرا اطاعت کنید.
145_00	و من بر (رساندن) این (دعوت) هیچ مزدی از شما نمی طلبم، مزد من تنها بر (عهده ی) پروردگار جهانیان است.
146_00	آیا (می پندارید که) شما در (نعمتهایی) اینجا ایمن رها می کنند ؟!
147_00	در (این) باغها و چشمه ها.
148_00	و (در این) زراعتها و نخلهایی که شکوفه هایش (نرم و) رسیده است ؟!
149_00	و شادمانه از کوهها خانه هایی می تراشید؟
150_00	پس از خدا بترسید و مرا اطاعت کنید .
151_00	و فرمان اسراف کاران را اطاعت نکنید.
152_00	(همان) کسانی که در زمین فساد می کنند و اصلاح نمی کنند».
153_00	گفتند :«(ای صالح) جز این نیست که تو از جادوشدگانی.
154_00	تو جز بشری همانند ما نیستی، پس اگر از راستگویانی نشانه ای بیاور».
155_00	(صالح) گفت :«این ماده شتری است، که برای او یک نوبت آب خوردن، و برای شما (نیز) نوبت روز معینی است.
156_00	و (کمترین) آزاری به آن نرسانید، که عذاب روزی بزرگ شما را فرو می گیرد».
157_00	پس آن را پی کردند، آنگاه (از کرده ی خود) پشیمان شدند.
158_00	پس عذاب (الهی) آنها را فرو گرفت، بی گمان در این (ماجرا) نشانه ای است، و بیشتر آنها مؤمن نبودند.
159_00	و بی تردید پروردگار تو پیروزمند مهربان است.
160_00	قوم لوط (نیز) پیامبران (خدا) را تکذیب کردند.
161_00	هنگامی که برادرشان لوط به آنها گفت :«آیا (از خدا) نمی ترسید ؟!
162_00	بی گمان من برای شما پیامبری امین هستم.
163_00	پس از خدا بترسید، و مرا اطاعت کنید.
164_00	و من بر (رساندن) این (دعوت) هیچ مزدی از شما نمی طلبم، مزد من تنها بر (عهده ی) پروردگار جهانیان است.
165_00	آیا در میان جهانیان شما به سراغ مردان می روید ؟!
166_00	و همسرانی که خدا برای شما آفریده است؛ رها می کنید، بلکه شما قومی متجاوز هستید.
167_00	گفتند :«ای لوط، اگر دست بر نداری، یقیناً از اخراج شدگان خواهی بود».
168_00	(لوط) گفت : «من دشمن سر سخت عمل شما هستم.
169_00	پروردگارا ! من و خانواده ام را از (عاقبت) آنچه (اینها) انجام می دهند، نجات بده».
170_00	پس او وخانواده اش را همگی نجات دادیم.
171_00	مگر پیرزنی که در میان بازماندگان بود.
172_00	سپس دیگران را نابود ساختیم.
173_00	و بر آنها بارانی (از سنگ) بارانیدیم، پس باران بیم داده شدگان چه بد بود.
174_00	بی گمان در این (ماجرا) نشانه ای است، و بیشتر آنها مؤمن نبودند.
175_00	و بی تردید پروردگار تو پیروزمند مهربان است.
176_00	اصحاب ایکه (= قوم شعیب) پیامبران (خدا) را تکذیب کردند.
177_00	هنگامی که شعیب به آنها گفت :«آیا (از خدا) نمی ترسید ؟!
178_00	همانا من برای شما پیامبری امین هستم.
179_00	پس از خدا بترسید، و مرا اطاعت کنید.
180_00	و من بر (رساندن) این (دعوت) هیچ مزدی از شما نمی طلبم، مزد من تنها بر (عهده ی) پروردگار جهانیان است.
181_00	پیمانه را تمام بدهید، و از کاهندگان (و کم فروشان) نباشید.
182_00	و با ترازوی درست وزن کنید.
183_00	و چیزهای مردم را کم ندهید (و حق آنها را ضایع نکنید) و در زمین به فساد نکوشید.
184_00	و از کسی که شما و آفریدگان نخستین را آفرید بترسید.
185_00	گفتند :«(ای شعیب!) جز این نیست که تو از جادو شدگانی،
186_00	تو جز بشری همانند ما نیستی، و تو را از دروغگویان می پنداریم.
187_00	پس اگر از راستگویانی، پاره ی از آسمان را بر (سر) ما بینداز»
188_00	(شعیب) گفت :«پروردگارم ! به آنچه انجام می دهید؛ داناتر است.
189_00	پس او را تکذیب کردند، آنگاه عذاب روز سایه آنها را فرو گرفت، بی گمان آن عذاب روز بزرگی بود.
190_00	بی گمان در این (ماجرا) نشانه ای است، و بیشتر آنها مؤمن نبودند.
191_00	و بی تردید پروردگار تو پیروزمند مهربان است.
192_00	و همانا این (قرآن) نازل شده (از جانب) پروردگار جهانیان است .
193_00	روح الامین (= جبرئیل) آن را فرود آورده است.
194_00	بر قلب تو، تا از هشدار دهندگان باشی.
195_00	(آن را) به زبان عربی روشن (نازل کرد).
196_00	و همانا (توصیف) آن در کتابهای پیشینیان (نیز آمده) است.
197_00	آیا همین نشانه برای آنها کافی نیست که علمای بنی اسرائیل از آن آگاهند؟!
198_00	و اگر آن را بر بعضی از عجمیان (= غیر عربها) نازل می کردیم.
199_00	پس او آن را برایشان می خواند، به آن ایمان نمی آورند.
200_00	(آری) این گونه آن (تکذیب) را در دلهای مجرمان در آوردیم.
201_00	به آن ایمان نمی آورند تا عذاب دردناک را (با چشم خود) ببینند.
202_00	پس ناگهان در حالی که بی خبرند به سراغ آنها می آید .
203_00	آنگاه می گویند:«آیا مهلتی به ما داده خواهد شد؟!»
204_00	آیا برای عذاب ما شتاب می کنند؟!
205_00	آیا دیدی که اگر سالیانی آنها را (از این زندگی دنیا) بهره مند سازیم.
206_00	سپس آنچه که به آنها وعده داده شده است به سراغشان بیاید.
207_00	این بهره مندیشان (از دنیا) سودی برای آنها نخواهد داشت.
208_00	و هیچ قریه ای را هلاک نکردیم؛ مگراین که هشدار دهندگانی (از پیامبران) داشتند.
209_00	برای پند دادن، و ما هرگز ستمکار نبودیم.
210_00	و شیطانها (هرگز) این (قرآن) را نازل نکرده اند.
211_00	و برای آنها سزاوار نیست؛ و نمی توانند.
212_00	بی گمان آنها از شنیدن (وحی، و استراق سمع) برکنارند.
213_00	پس (ای پیامبر!) هیچ معبودی را با الله مخوان، که از عذاب شدگان خواهی بود.
214_00	و خویشاوندان نزدیکت را هشدار بده.
215_00	و بال (رحمت و فروتنی) خود را برای مؤمنانی که از تو پیروی می کنند؛ بگستر.
216_00	پس اگر از (فرمان) تو سرپیچی کردند، بگو :«همانا من از آنچه انجام می دهید؛ بیزارم».
217_00	و بر خداوند پیروزمند مهربان توکل کن.
218_00	(همان) کسی که تو را به هنگامی که (برای عبادت) بر می خیزی می بیند.
219_00	و (نیز) حرکت (و نشست و بر خاست) تو را میان سجده کنندگان (را می بیند).
220_00	همانا او شنوای داناست.
221_00	آیا به شما خبردهم که شیاطین بر چه کسی نازل می شوند؟!
222_00	بر هر دروغگوی گنهکار نازل می گردند.
223_00	(به شیاطین) گوش فرا می دهند و بیشترشان دروغگو هستند.
224_00	و شاعران (کسانی) هستند که گمراهان از آنها پیروی می کنند.
225_00	آیا ندیدی که آنها درهر وادیی سرگشته (و حیران) هستند ؟!
226_00	و بی گمان آنها چیزی می گویند که (خود به آن) عمل نمی کنند ؟!
227_00	مگر کسانی که ایمان آوردند و کارهای شایسته انجام دادند و خدا را بسیار یاد کردند، و بعد از آن که ستم دیدند، انتقام
227_01	گرفتند،(و با شعر خود از اسلام و مسلمین دفاع نمودند)، و کسانی که ستم کردند؛ به زودی خواهند دانست به چه بازگشتگاهی باز می گردند.
