001_00	حساب مردم به آنها نزدیک شده است، در حالی که آنها در غفلت روی گردانند.
026_00	و گفتند : «(خداوند) رحمان فززندی برگزیده است » او منزه است، بلکه آنان (= فرشتگان) بندگان گرامی (او) هستند،
027_00	(هرگز) در سخن بر او پیشی نمی گیرند، و به فرمان او کار می کنند .
028_00	(خداوند) آنچه که در پیش روی آنها است، و آنچه که پشت سر آنهاست می داند، و آنها جز برای کسی که (خداوند از او خشنود باشد و) بپسندد، شفاعت نمی کنند، و آنها از ترس او بیمناکند.
029_00	و هر کس از آنها بگوید : «همانا من به جای او معبود هستم » پس سزای چنین کسی را جهنم می دهیم،وستمکاران را این گونه سزا می دهیم.
030_00	آیا کسانی که کافر شدند؛ ندیدند که آسمانها و زمین به هم پیوسته بودند، پس (ما) آنها را از یکدیگر باز کردیم، و هر چیز زنده ای را از آب پدید آوردیم ؟! آیا ایمان نمی آورند ؟!
031_00	و در زمین، کوهها (ی استوار) قرار دادیم، که (مبادا) آنها را بلرزاند، و در آن راههایی گشاده قرار دادیم؛ باشد که آنان راه یابند.
032_00	و آسمان را سقفی محفوظ قرار دادیم، و آنها از آیات آن روی گردانند.
033_00	و او کسی است که شب و روز، و خورشید و ماه را آفرید، هر یک در مداری شناورند .
034_00	و پیش از تو (ای پیامبر!) برای هیچ بشری جاودانگی قرار ندادیم، آیا اگرتو بمیری، پس آنها جاوید خواهند بود ؟!
035_00	هر کسی چشنده ی مرگ است، و شما را به بدی و نیکی (کاملاٌ) آزمایش می کنیم، و به سوی ما باز گردانده می شوید.
036_00	و کسانی که کافر شدند؛ هنگامی که تو را ببینند، فقط تو را به ریشخند می گیرند، (ومی گویند :) «آیا این همان کسی است که معبودان شما را (به بدی) یاد می کند؟! » در حالی که خودشان یاد (خداوند) رحمان را انکار می کنند .
037_00	انسان از شتاب آفریده شده، به زودی آیات خود را به شما نشان خواهیم داد، پس شتاب نکنید.
038_00	و می گویند : «اگر راست می گویید، این وعده ی (قیامت) کی خواهد بود ؟!».
039_00	اگر کسانی که کافر شدند؛ می دانستند زمانی که (قیامت فرا رسد) نمی توانند (شعله ها ی) آتش را از چهره هایشان و نه از پشتهایشان باز دارند، و نه کسی آنها را یاری می کند، (چنین نمی گفتند).
040_00	بلکه (حق این است که آن) ناگهانی به سراغشان می آید، پس مبهوتشان می کند، آنگاه نمی توانند آن را دفع کنند، و نه به آنها مهلت داده شود .
041_00	و به راستی به پیامبران پیش از تو (نیز) استهزاء شد (و مورد تمسخر قرار گرفتند)، پس آنچه را مسخره می کردند، (از عذاب الهی) دامان کسانی از آنها را که مسخره می کردند گرفت (و هلاک شدند).
042_00	(ای پیامبر!) بگو : « چه کسی شما را در شب و روز از (عذاب خداوند) رحمان نگاه می دارد ؟ بلکه (حق این است که) آنها از یاد پروردگارشان روی گردانند.
043_00	آیا آنها معبودانی دارند که (می توانند) آنها را در برابر (عذاب) ما (حفظ کنند و ) باز دارند . (آنها) نمی توانند خودشان را یاری دهند، و نه آنها از (عذاب) ما محفوظ هستند.
044_00	بلکه، (ما) آنها و پدرانشان را (از نعمتهای دنیوی) بهرمند ساختیم، تا اینکه عمرشان به درازا کشید (و مغرور شدند) آیا نمی بینند که ما پیوسته به سراغ (سر) زمین (کفر) می آییم، که آن را از اطراف (و دامنه هایش) می کاهیم ؟!
044_01	آیا آنها پیروزند، (یا ما) ؟!
045_00	(ای پیامبر!) بگو : «من تنها شما را به وحی هشدار می دهم » و کران هنگامی که هشدار می شوند، ندا را نمی شنوند .
046_00	اگر شمّه ای از عذاب پروردگارت به آنها برسد، قطعاً خواهند گفت : «ای وای بر ما ! بی گمان ما (همگی) ستمکار بودیم ».
047_00	و (ما) در روز قیامت ترازوهای عدل را می نهیم، پس به هیچ کس، هیچ ستمی نمی شود، و اگر (عملی) به مقدار سنگینی یک دانه ی خردل باشد، آن را (به حساب) می آوریم، و حسابرسی ما کافی است.
048_00	و به راستی به موسی و هارون فرقان (= جدا کننده ی حق از باطل) و روشنی و پندی برای پرهیزگاران، دادیم .
049_00	(همانا) کسانی که در نهان از پروردگارشان می ترسند، و آنان از قیامت بیم دارند.
050_00	و این (قرآن) پند مبارکی است که آن را نازل کردیم، آیا شما آن را انکار می کنید ؟!
051_00	به راستی (ما) پیش از این به ابراهیم رشد (و راه یابی اش) را دادیم، و به (حال) او آگاه بودیم.
052_00	چون به پدرش و قومش گفت : «این مجسمه ها چیست که شما به (پرستش) آنها دل نهاده اید ؟!
053_00	گفتند: «ما پدران خود را پرستش کنند گان آنها یافته ایم».
054_00	(ابراهیم) گفت : «به راستی شما وپدرانتان، در گمراهی آشکار بوده اید » .
055_00	گفتند : «آیا برای ما (سخن) حق را آورده ای، یا تو از بازی کنندگانی (و شوخی می کنی) ؟! »
056_00	گفت : « بلکه پروردگار شما، پروردگار آسمانها و زمین است، آن که آنها را پدید آورد، و من بر این (سخن) از گواهانم.
057_00	و (آهسته گفت :) به خدا سوگند، بعد از آن که پشت کنان روی بگردانید برای (نابودی) بتهای شما تدبیری خواهم اندیشید.
058_00	پس (در غیاب بت پرستان) همه ی آنها - جز (بت) بزرگشان - را قطعه قطعه کرد، باشد که به سوی او باز گردند.
059_00	(و هنگامی که به بت خانه آمدند و دیدند) گفتند : «هر کسی که با خدایان ما چنین کرده است، مسلماً او از ستمکاران است» .
060_00	(عده ای) گفتند : «شنیدیم جوانی که او را ابراهیم می گویند، آنها (= بتها) را (به بدی) یاد می کرد».
061_00	گفتند : « پس او را در برابر دیدگان مردم بیاورید، باشد که آنها گواهی دهند».
062_00	(هنگامی که ابراهیم را حاضر کردند) گفتند : «ای ابراهیم ! آیا تو این (کار) را با خدایان ما کرده ای؟! »
063_00	گفت :«بلکه این بزرگشان این (کار) را کرده است، پس از آنها بپرسید اگر سخن می گویند!».
064_00	آنگاه (آنها) به خود باز گشتند، پس گفتند : «بی گمان شما خود ستمکار هستید».
065_00	سپس (با شرمندگی) سر به زیر انداختند (و گفتند :) « مسلماً تو می دانی که اینها سخن نمی گویند» .
066_00	(ابراهیم) گفت : «آیا به جای الله چیزی را می پرستید که هیچ نفعی برای شما ندارد، و نه زیانی به شما می رساند؟!
067_00	اف برشما، و بر آنچه به جای الله می پرستید، آیا نمی اندیشید؟!»
068_00	گفتند :«او را بسوزانید، و معبودان خود را یاری کنید، اگر کننده ی (کاری) هستید» .
069_00	(سر انجا م آنها او را به آتش انداختند، ولی ما) گفتیم : «ای آتش ! بر ابراهیم سرد و سلامت باش».
070_00	و آنها خواستند برای (نابودی) او نیرنگ (خطرناکی) ورزند، پس آنها را زیانکارترین (مردم) قرار دادیم .
071_00	و او ولوط را به سرزمینی که در آن برای جهانیان برکت داده ایم، نجات دادیم.
072_00	و اسحاق، و افزون (بر او نوه اش) یعقوب را به او بخشیدیم، وهمه ی آنان را شایسته قرار دادیم .
073_00	و (نیز) آنها را پیشوایانی قرار دادیم که به فرمان ما (مردم را) هدایت می کردند، و انجام کارهای نیک و بر پاداشتن نماز و ادای زکات را به آنها وحی کردیم، و آنها (همه) عبادتگزار ما بودند.
074_00	و لوط را حکمت (= نبوت) و دانش دادیم، و او را از شهری که (مردمانش) اعمال زشت (و پلید) انجام می دادند، نجات دادیم، بی شک آنها مردم بدِ فاسقی بودند.
075_00	و او را در رحمت خود داخل کردیم، بی گمان او از صالحان بود.
076_00	و (ای پیامبر!) نوح را (به یاد آور) هنگامی که پیش از آن (ما را) ندا داد، پس ما (دعایش) برای او اجابت کردیم، آنگاه او و خاندانش را از اندوه بزرگ نجات دادیم.
077_00	و او را بر قومی که آیات ما را تکذیب کرده بودند؛ یاری دادیم، بی گمان آنها قوم بدی بودند، پس همه ی آنها را غرق کردیم.
078_00	و داود و سلیمان را(به یاد آور) هنگامی که در (باره ی) کشتزاری که گوسفندان قوم، شبانه در آن چریده بودند، داوری می کردند، و ما بر حکم (و قضاوت) آنها شاهد بودیم.
079_00	پس آن (شیوه ی قضاوت عادلانه و درست) را به سلیمان فهماندیم، و به هر یک از آنان حکمت (= داوری) و دانش عطا کردیم، و کوهها و پرندگان را با داود مسخر ساختیم که (همراه او) تسبیح می گفتند، و ما این (همه) را انجام دادیم.
080_00	و ساختن زره را بخاطر شما به او آموختیم، تا شما را از (آسیب) جنگ های تان محفوظ دارد، پس آیا شکر گزار هستید؟!.
081_00	و تند باد را مسخر (و مطیع) سلیمان کردیم، که به فرمان او به سوی سرزمینی که در آن برکت دادیم، حرکت می کرد، و ما بر هر چیز آگاهیم.
082_00	و(نیز) از شیاطین کسانی را (مسخر کردیم) که برایش غواصی می کردند، و کارهایی غیر از این (نیز) انجام می دادند، و (ما) حافظ آنها بودیم.
083_00	و (ای پیامبر!) ایوب را (به یاد آور) هنگامی که پروردگارش را ندا داد:« رنج و بیماری به من رسیده است، و تو مهربانترین مهربانانی».
084_00	پس (ما) دعای او را اجابت کردیم، و رنج و ناراحتی که داشت بر طرف ساختیم، و خانواده اش و (نیز) همانندشان را با آنها به او بازگرداندیم، (تا) رحمتی از جانب ما، و پندی برای عبادت کنندگان باشد.
085_00	و اسماعیل و ادریس و ذوالکفل را (به یاد آور) که همگی از صابران بودند.
086_00	و (ما) آنها را در رحمت خود وارد کردیم، بی گمان آنها از صالحان بودند.
087_00	و ذوالنون (= یونس) را (به یاد آور) هنگامی که خشمگین (از میان قومش) رفت، پس چنین پنداشت که ما هرگز بر او تنگ نمی گیریم، پس (وقتی که در شکم ماهی فرو رفت) در تاریکیها ندا داد که:«(خداوندا !) هیچ معبودی جز تو نیست، تو منزهی! بی گمان من از ستمکاران بودم».
088_00	پس دعای او را اجابت کردیم، و از اندوه نجاتش دادیم، و این گونه مؤمنان را نجات می دهیم.
089_00	و زکریا را (به یاد آور) هنگامی که پروردگارش را ندا داد:«پروردگارا! مرا تنها مگذار، و تو بهترین وارثانی».
090_00	پس دعای او را اجابت کردیم، و یحیی را به او بخشیدیم، و همسرش را (بعد از آن که نازا بود) برایش شایسته (و آماده بار داری) گردانیدیم.
090_01	بی گمان آنها همواره در کارهای خیر می شتافتند، و در حال بیم و امید ما را می خواندند، و پیوسته برای ما (خاشع و) فروتن بودند.
091_00	و (ای پیامبر! به یاد آور) زنی را که شرمگاهش را پاک نگاه داشت، پس (ما) از روح خود در آن دمیدیم، و او و فرزندنش را نشانه ای برای جهانیان قرار دادیم.
092_00	بی تردید این است آیین شما که آیینی یگانه است، و من پروردگار شما هستم، پس مرا پرستش کنید.
093_00	و (گروهی از پیروان انبیا) در میان خود در امر(دین) شان فرقه فرقه شدند، همگی به سوی ما باز می گردند.
094_00	پس کسی که از کارهای شایسته انجام دهد در حالی که مؤمن باشد، کوشش او ناسپاسی نخواهد شد، و بی گمان ما (اعمالش را) برایش می نویسیم.
095_00	و (مردم)هر شهری را که (بر اثر کفر و گناه) آن را هلاک کردیم، محال است که (به دنیا) بازگردند.
096_00	تا وقتی که (سد) یأجوج و مأجوج گشوده شود، و آنها از هر (تبه و) بلندی شتابان سرازیر گردند.
097_00	و وعده ی حق (= قیامت) نزدیک شود، پس در آن هنگام چشمهای کسانی که کافر شدند (از وحشت) خیره ماند (گویند:) ای وای برما که از این (واقعه) در غفلت بودیم، بلکه ما ستمکار بودیم!
098_00	یقیناً شما و آنچه به جای خدا می پرستید، هیزم جهنم هستید، شما در آن وارد خواهید شد.
099_00	اگر اینها (= بتها) معبودانی (برحق) بودند، هرگز وارد آن نمی شدند، و (آنها) همگی در آن جاودان خواهند ماند.
100_00	برای آنها در آن (= جهنم) ناله ها (ی دردناکی) است، و آنها در آن (چیزی) نمی شنوند.
101_00	به راستی کسانی که پیشتر از سوی ما (وعده ی) نیکوی برای آنها مقرر شده است، آنها از آن (= جهنم) دور نگاه داشته می شوند.
102_00	آنها (حتی) صدایش را نمی شنوند، و در آنچه دلشان بخواهد جاودانه (متنعم) هستند.
103_00	وحشت بزرگ (قیامت) آنها را اندوهگین نسازد، و فرشتگان به استقبالشان آیند (گویند:) « این همان روز تان است که به شما وعده داده می شد».
104_00	روزی که آسمان را چون طوماری نوشته شده درهم می پیچیم، همانگونه که نخستین آفرینش را آغاز کردیم، (دیگر بار) آن را باز می گردانیم، (این) وعده ای بر ما است، قطعاً آن را انجام خواهیم داد.
105_00	و به راستی بعد از ذکر (= تورات) در زبور نوشتیم که:« زمین را بندگان صالح من به ارث خواهند برد».
106_00	بی گمان در این (امر) برای گروه عبادت کنند گان پیام روشنی است.
107_00	و (ای پیامبر!) تو را جز رحمتی برای جهانیان نفرستادیم.
108_00	بگو:«تنها به سوی من وحی می شود که همانا معبود شما، معبود یگانه است، پس آیا شما تسلیم می شوید؟!».
109_00	پس اگر (باز) روی گردان شوند، بگو:« من شما را یکسان آگاه کردم (و اعلام خطر می کنم) و نمی دانم آنچه که به شما وعده داده می شود؛ نزدیک است یا دور؟!
110_00	بی شک او سخن آشکار را می داند، و (نیز) آنچه را (در دل خود) کتمان می کنید؛ می داند.
111_00	و من نمی دانم، شاید این (تأخیر عذاب) برای شما آزمایشی، و بهره مندی تا مدتی (معین) باشد».
112_00	(و پیامبر) گفت:«ای پروردگارا! به حق داوری کن، و پروردگار ما (خداوند) رحمان است، که از او استمداد می شود در برابر آنچه شما بیان می کنید».
