001_00	الر (الف.لام. را) این آیات کتاب روشنگر است.
072_00	گفتند : «پیمانه ی پادشاه را گم کرده ایم ، و هر کس آن را بیاورد یک بار شتر (جایزه) دارد، و من ضامن این (وعده) هستم.
073_00	گفتند :« به خداوند سوگند ، شما می دانید که ما نیامده ایم تا در این سرزمین فساد کنیم ، و ما (هرگز) دزد نبوده ایم ».
074_00	(آنها) گفتند: «پس اگر دروغگو باشید؛ کیفرش چیست ؟»
075_00	گفتند:«کیفر کسی که (آن پیمانه) در بارش پیدا شود ، پس خودش کیفر آن خواهد بود (که برده ی شما خواهد بود) ما این گونه ستم کاران را کیفر می دهیم ».
076_00	پس شروع به (جست جوی) بارهای آنها ، پیش از بار برادرش پرداخت ، آنگاه آن را از بار برادرش بیرون آورد ، این گونه برای یوسف چاره اندیشی کردیم ، او (هرگز)
076_01	نمی توانست در آیین پادشاه برادرش را بگیرد ، مگر آنکه خدا بخواهد ، درجات هرکس را بخواهیم بالا می بریم ، و بالاتر از هر صاحب علمی ، دانا تری است .
077_00	(برادران) گفتند :«اگر او دزدی کرده است (تعجب ندارد)؛ برادرش (نیز) پیش از این دزدی کرده بود ، پس یوسف آن (سخن) را در دل خود پنهان داشت ،
077_01	و برای آنها آشکار نکرد ، (در دل خود) گفت :«شما از نظر منزلت بدترین (مردم) هستید ، و خداوند به آنچه توصیف می کنید ، آگاه تراست ».
078_00	گفتند :«ای عزیز ! همانا او پدر پیری دارد ، (که از دوری او سخت ناراحت می شود) لذا یکی ازما را به جای او بگیر ، بی گمان ما تو را از نیکو کاران می بینیم ».
079_00	(یوسف) گفت : «پناه بر خدا ، که ما جز آن کسی که کالایمان را نزد او یافته ایم،(دیگری را) بگیریم ، بی گمان در آن صورت ستم کار خواهیم بود » .
080_00	پس چون (برادران) از او نامید شدند ، نجوا کنان به گوشه ای رفتند ، (برادر) بزرگشان گفت :«آیا نمی دانید که پدرتان از شما
080_01	به نام خدا پیمان (استوار) گرفته است وپیش از این (نیز) در باره ی یوسف کوتاهی کرده اید؟! پس من هرگز از این سرزمین (مصر)
080_02	بیرون نمی شوم ، تا پدرم به من اجازه دهد ، یا خداوند درباره ی من داوری کند ، و او بهترین داوران است .
081_00	(شما) به سوی پدرتان باز گردید ، و بگویید :«ای پدر جان ! بی گمان پسرت دزدی کرد، و ما جز به آنچه می دانستیم گواهی ندادیم ، و ما از غیب آگاه نبودیم .
082_00	و از(مردم) شهری که در آن بودیم ، و از کاروانی که با آن بودیم بپرس ، و بدون شک ما راستگو هستیم ».
083_00	(یعقوب) گفت: «(حقیقت چنین نیست) بلکه (هوای) نفس شما ، کاری (ناشایست) را برای شما آراسته است؛ پس (کار من) صبر جمیل است ، امید است خداوند همه ی آنها را به من باز گرداند ، بی گمان او دانای حکیم است ».
084_00	و از آنها روی بر گرداند وگفت: «افسوس بر یوسف» و چشمان او از اندوه سفید شد ، در حالی که (سرشارازغم بود) اندوه خود را فرو می برد .
085_00	گفتند :«به خدا سو گند ، پیوسته یوسف را یاد می کنی ، تا آنکه سخت بیمار گردی یا بمیری ».
086_00	(یعقوب) گفت: «من شرح غم و پریشانی خود را تنها به خدا می گویم ، (و به سوی او شکایت می برم) و از (سوی) خدا چیزهای می دانم که شما نمی دانید».
087_00	ای پسران من! بروید و از یوسف و برادرش جست جو کنید ، و از رحمت خدا نامید نشوید ، چرا که جز گروه کافران کسی از رحمت خدا نامید نمی شود ».
088_00	پس چون (به مصر رفتند و) بر او(= یوسف) وارد شدند ، گفتند :«ای عزیز!
088_01	به ما و خاندان ما سختی (و ناراحتی ) رسیده است،و(اینک) کالای نا چیز(واندکی) با خود آورده ایم؛ پس پیمانه را برای ما کامل کن ، وبر ما صدقه (و بخشش) کن ، بی گمان خداوند بخشندگان را پاداش می دهد ».
089_00	(یوسف) گفت:«آیا دانستید با یوسف چه کردید ، هنگامی که نادان بودید ؟! » .
090_00	(برادران ) گفتند:«آیا به راستی تو همان یوسفی ؟!
090_01	». (یوسف) گفت:«(آری) من یوسفم، و این برادر من است ، یقینا ً خداوند بر ما منّت گذاشت ، همانا هر کس پرهیزگاری کند و صبر نماید ، بی گمان خداوند پاداش نیکو کاران را ضایع نمی کند ».
091_00	(برادران) گفتند:«به خدا سوگند ، یقیناً خداوند تو را بر ما برتری داده ، و حقاً ما خطا کار بودیم » .
092_00	(یوسف ) گفت:« امروز هیچ سرزنشی بر شما نیست ، خداوند شما را می آمرزد، و او مهربانترین مهربانان است».
093_00	این پیراهن مرا ببرید ، وبر چهره ی پدرم بیندازید تا بینا گردد ، و همه ی خانواده ی خود را نزد من بیاورید ».
094_00	و چون کاروان (از سرزمین مصر) جدا شد (و حرکت کرد ) پدرشان (به اطرافیان) گفت:«یقیناً من بوی یوسف را میابم ، اگر مرا به کم عقلی نسبت ندهید ».
095_00	(آنها) گفتند :«به خدا سوگند، بی گمان تو در همان اشتباه دیرینه ات هستی ».
096_00	پس چون بشارت دهنده آمد و آن (پیراهن) را برچهره او افکند ، نا گهان بینا شد ، گفت: «آیا به شما نگفتم که من از (سوی) خدا چیزهای می دانم که شما نمی دانید ؟! ».
097_00	گفتند :«ای پدر(جان) ما ! برای ما (در باره ی ) گناهانمان آمرزش بخواه ، بی گمان ما خطا کار بودیم ».
098_00	(یعقوب) گفت:« به زودی برای شما از پروردگارم آمرزش می طلبم ، بدون شک او آمرزنده ی مهربان است » .
099_00	پس چون بر یوسف وارد شدند ، او پدر ومادرش را (در آغوش گرفت و) نزد خود جای داد و گفت :«(همگی) به مصر درآیید؛ اگر خدا بخواهد در امن (و امان) خواهید بود».
100_00	و پدر ومادر خود را بر تخت نشاند ، و (همگی) برای او به سجده افتادند ، و(یوسف) گفت:« ای پدرجان! این تعبیرخوابم است ، که از پیش دیده بودم ، پروردگارم
100_01	آن را راست گرداند (و تحقق بخشید ) ، یقیناً به من نیکی کرد هنگامی که مرا از زندان بیرون آورد ، و شما را از آن بیابان (به اینجا) آورد ،
100_02	بعد از آنکه شیطان میان من وبرادرانم (فتنه و) فساد کرد ، بی گمان پروردگارم به آنچه که می خواهد (تدبیر کند) باریک بین است ، همان او دانا ی حکیم است .
101_00	پروردگارا!
101_01	(بهره ی عظیمی) از فرمانروایی به من عطا کردی ، و از علم (تأویل احادیث =)تعبیر خوابها به من آموختی ، پدید آورنده ای آسمانها و زمین ! تویی کار ساز من در دنیا و آخرت ، مرا مسلمان بمیران و به شایستگان ملحق فرما».
102_00	(ای پیامبر!) این از خبرهای غیب است که به تو وحی می کنیم ، و هنگامی که (برادران یوسف) بد اندیشی می کردند و تصمیم (قطعی )گرفتند ، تونزد آنها نبودی .
103_00	و بیشتر مردم – و اگر چه (برایمان شان) حرص ورزی – مؤمن نخواهند بود .
104_00	و تو بر این (دعوت) از آنها پاداشی نمی طلبی ، آن جز پندی برای جهانیان نیست .
105_00	و چه بسا نشانه ای در آسمانها و زمین وجود دارد که آنها از کنارش می گذرند و از آن روی می گردانند.
106_00	و بیشتر آنها به خداوند ایمان نمی آورند ؛ مگر اینکه آنان (به نوعی) مشرک اند.
107_00	آیا ایمن هستند از اینکه عذاب فراگیری از سوی خدا به سراغ آنها بیاید ، یا ناگهان قیامت به سراغشان آید ، در حالی که آنان بی خبرند .
108_00	(ای پیامبر!) بگو:«این راه من است ، من با بصیرت (کامل) به سوی خدا دعوت می کنم، و کسانی که از من پیروی کردند (نیز چنین می کند ) و خداوند پاک ومنزه است ، ومن از مشرکان نیستم».
109_00	و ما پیش از تو نفرستادیم ، جزمردمی از اهل قریه ها که به آنها وحی می کردیم ، آیا (مشرکان) در زمین سیر نکردند؛ تا ببیند عاقبت کسانی که پیش از آنها بودند، چگونه بود ؟!
109_01	و یقیناً سرای آخرت برای کسانی که پرهیزگاری کردند ، بهتر است ، آیا نمی اندیشید؟!
110_00	(کافران پیوسته به انکار خود ادامه دادند) تا آنگاه که پیامبران (از قومشان) ناامید شدند، و (مردم) پنداشتند که به آنها دروغ گفته شده است، (در این هنگام) یاری ما به سراغشان آمد ، پس هر کس را که خواستیم نجات یافت ، و عذاب ما از قوم گنهکار را باز نخواهد گشت.
111_00	یقیناً در داستانهایشان عبرتی برای خرد مندان است ، این (قرآن) سخنی نبود که (به دروغ) بافته شود ، بلکه تصدیق کننده ی کتابهای است
111_01	که پیش از آن است ، و بیان کننده (و شرح) هر چیز است ، و هدایت و رحمت برای گروهی است که ایمان می آورند.
