001_00	الم (الف. لام. میم).
014_00	و به راستی که (ما) نوح را به سوی قومش فرستادیم ، پس او در میان آنان هزار سال به جز پنجاه سال (= نهصد و پنجاه سال) درنگ کرد، آنگاه طوفان (و سیلاب) آنان را فرو گرفت در حالی که ستمکار بودند.
015_00	آنگاه او و سرنشینان کشتی را نجات دادیم، و آن (کشتی) را نشانه (ی عبرتی) برای جهانیان قرار دادیم.
016_00	و ابراهیم را (نیز فرستادیم)، هنگامی که به قومش گفت :« خدا را بپرستید و از او بترسید، که اگر بدانید این برای شما بهتر است.
017_00	شما به جای خدا فقط بتها (یی از سنگ و چوب) را می پرستید، و دروغی (بزرگ) به هم می بافید، بی گمان کسانی را که به جای خدا می پرستید، مالک
017_01	هیچ رزقی برای شما نیستند، پس روزی را تنها (از) نزد خدا طلب کنید، و او را بپرستید، و شکر او را بجای آورید، که به سوی او باز گردانیده می شوید.
018_00	و اگر شما تکذیب کنید (عجیب نیست) به راستی که امتهایی پیش از شما نیز تکذیب کردند، و بر (عهده ی) پیامبر (خدا) چیزی جز تبلیغ آشکار نیست».
019_00	آیا ندیدند که خدا چگونه آفرینش را آغاز می کند، سپس باز می گرداند؟! بی تردید این (کار) بر خدا آسان است.
020_00	(ای پیامبر!) بگو :« در زمین بگردید؛ آنگاه بنگرید (خداوند) چگونه آفرینش را آغاز کرد، سپس خداوند (به همین گونه) پیدایش باز پسین را پدید می آورد، بی گمان خداوند بر هر چیز تواناست.
021_00	هر کس را بخواهد عذاب می کند، و هر کس را بخواهد رحمت می آورد، و (شما) به سوی او باز گردانیده می شوید.
022_00	و شما هرگز نمی توانید ما را در زمین و نه در آسمان به ستوه آورید (و از عقوبت ما فرار کنید) و برای شما جز خدا هیچ کار ساز و یاوری نیست».
023_00	و کسانی که به آیات خدا و دیدار او کافر شدند، اینانند که از رحمت من نومید هستند، و آنان برای شان عذاب درد ناکی است.
024_00	آنگاه جواب قوم او (= ابراهیم) جز این نبود که گفتند :«او را بکشید، یا او را بسوزانید» پس خداوند او را از آتش نجات داد، بی گمان در این (ماجرا) نشانه هایی است برای گروهی که ایمان می آورند.
025_00	و (ابراهیم) گفت :« شما غیر از خدا بتهایی را برای خود برگزیده اید که مایه ی دوستی و محبت میان شما در زندگی دنیا باشد، سپس روز قیامت برخی
025_01	از شما برخی (دیگر) را انکار می کند، و برخی از شما برخی (دیگر) را لعنت می کند، و جایگاه شما آتش است، و هیچ یاوری برای شما نخواهد بود .
026_00	پس لوط به او (= ابراهیم) ایمان آورد، و (ابراهیم) گفت : « من به سوی پروردگارم هجرت می کنم، بی گمان او پیروزمند حکیم است»
027_00	و اسحاق و یعقوب را به او بخشیدیم، و در فرزندانش نبوت و کتاب (آسمانی) قرار
027_01	دادیم، و پاداش او را در دنیا دادیم، و بی تردید او در آخرت از صالحان است.
028_00	و لوط را (فرستادیم) هنگامی که به قومش گفت :« بی گمان شما (عمل) بسیار زشتی انجام می دهید، که هیچ کس از جهانیان پیش از شما آن را انجام نداده است!
029_00	آیا شما (برای کامجویی) به سراغ مردان می روید، و راه را قطع می کنید، و در محافل خود اعمال نا پسند انجام می دهید ؟!»
029_01	پس جواب قومش جزاین نبود که گفتند :« اگر از راستگویانی عذاب خدا را برای ما بیاور».
030_00	(لوط) گفت :« پروردگارا ! مرا بر قوم مفسدان یاری فرما».
031_00	و هنگامی که فرستادگان ما ابراهیم را بشارت (تولد فرزند) آوردند، گفتند :« به راستی ما اهل این قریه (سدوم) را هلاک خواهیم کرد، بی شک اهل آن ستمکار بودند».
032_00	(ابراهیم) گفت :«همانا لوط در آنجاست ! » (فرشتگان) گفتند :« ما به هر کس که در آنجاست داناتریم، یقیناً او و خانواده اش را نجات می دهیم، جز همسرش که از بازماندگان خواهد بود».
033_00	و چون فرستادگان ما نزد لوط آمدند، از (دیدن) آنها اندوهگین، و به خاطر آنها دلتنگ شد، و (فرشتگان) گفتند: «
033_01	نترس، و غمگین مباش، بی گمان ما تو و خانواده ات را نجات خواهیم داد؛ جز همسرت که از بازماندگان خواهد بود.
034_00	همانا ما بر اهل این قریه به (خاطر) آن که نافرمانی (و گناه) می کردند، عذابی از آسمان فرو خواهیم ریخت».
035_00	و به راستی از آن (قریه) نشانه (و عبرت) روشنی برای گروهی که خرد می ورزند؛ باقی گذاشتیم.
036_00	وبه سوی مدین برادرشان شعیب را فرستادیم، پس گفت :«ای قوم من! خدا را بپرستید، و به روز باز پسین امیدوار باشید، و در زمین به فساد نکوشید».
037_00	آنگاه او را تکذیب کردند، پس زلزله آنان را فرو گرفت، پس در خانه های خود به رو افتادند (و مردند).
038_00	و (قوم) عاد و ثمود را (نیز هلاک کردیم) و یقیناً برخی از مساکن (ویران شده ی) آنها برای شما آشکار شده است. و شیطان اعمالشان را برای آنها بیاراست، پس آنها را از راه (خدا) بازداشت در حالی که بینا بودند.
039_00	و قارون و فرعون و هامان را (نیز هلاک کردیم) و به راستی موسی با دلایل روشن نزد آنان آمد، پس آنها در زمین سرکشی کردند و پیشی گیرندگان (بر خدا) نبودند.
040_00	آنگاه هر یک از آنها را به (کیفر) گناهش گرفتیم، پس بر بعضی از آنها طوفانی از سنگریزه فرستادیم،
040_01	و بعضی از آنها را صیحه (= بانگ مرگبار) فرو گرفت، و بعضی را در زمین فرو بردیم، و
040_02	بعضی را غرق کردیم، و خداوند هرگز به آنها ستم نکرد، و لیکن آنها (خود) بر خویشتن ستم می کردند.
041_00	مثل کسانی که بجای خدا اولیاء (و دوستانی برای خود) بر گزیدند، همچون مثل عنکبوت است، که خانه
041_01	ای (برای خود) برگزیده است،و بی گمان سست ترین خانه ها خانه ی عنکبوت است، اگر می دانستند.
042_00	یقیتاً خداوند هر آنچه را که به جای او می خوانند، می داند، و او پیروزمند حکیم است.
043_00	و این مثالهایی است که آنها را برای مردم می زنیم، و جز دانایان آنها را در نمی یابند.
044_00	خداوند آسمانها و زمین را به حق آفرید، بی گمان در این نشانه ی (بزرگ) برای مؤمنان است.
045_00	(ای پیامبر!) آنچه را از (این) کتاب بر تو وحی شده است تلاوت کن، و نماز را بر پا دار، یقیناً نماز (انسان
045_01	را) از زشتیها و منکر باز می دارد، و البته یاد خدا بزرگتر است، و خداوند آنچه را انجام می دهید؛ می داند.
046_00	و با اهل کتاب جز به روشی که آن بهتر است مجادله نکنید، مگر کسانی از آنان که ستم کردند، و بگویید :« به آنچه (از سوی
046_01	خدا) بر ما نازل شده و آنچه بر شما نازل شده، ایمان آورده ایم، و معبود ما و معبود شما یکی است، و ما برای او تسلیم هستیم».
047_00	و این گونه کتاب (= قرآن) را بر تو نازل کردیم، پس کسانی که به آنها کتاب (آسمانی) دادیم، به آن ایمان می
047_01	آورند، و از همین گروه (مشرکان نیز) کسی است که به آن ایمان می آورد، و آیات ما را جز کافران انکار نمی کنند.
048_00	و تو (هرگز) پیش از این (قرآن) هیچ کتابی را نمی خواندی، و با (دست) راست خود چیزی نمی نوشتی، اگر چنین بود، باطل گرایان به شک (و تردید) می افتادند.
049_00	بلکه آن (قرآن) آیات روشنی است که در سینه ی کسانی که دانش داده شده اند، جای دارد، و آیات ما را جز ستمکاران انکار نمی کنند.
050_00	و گفتند :«چرا نشانه هایی از سوی پروردگارش بر او نازل نشده است ؟!» (ای پیامبر!) بگو :«همانا نشانه ها (همه) نزد خداست (و به فرمان او نازل می شود) و من تنها هشدا دهنده ای آشکار هستم».
051_00	آیا برای آنها کافی نیست که همانا ما (این) کتاب (قرآن) را بر تو نازل کردیم که (پیوسته) بر آنها تلاوت می شود؟! بی گمان در این (قرآن) رحمت و پندی است برای کسانی که ایمان می آورند.
052_00	بگو :«همین بس که خدا میان من و شما گواه است، آنچه را در آسمانها و زمین است
052_01	می داند، و کسانی به که باطل ایمان آوردند و به خدا کافر شدند، اینان زیانکاران (واقعی) هستند»
053_00	و آنها با شتاب عذاب را از تو طلب می کنند، و اگر موعد مقرری تعیین نشده بود، یقیناً عذاب (الهی) به (سراغ) آنها می آمد، و ناگهان در حالی که نمی دانند به (سراغ) آنها خواهد آمد.
054_00	و آنها با شتاب عذاب را از تو می طلبند، و بی گمان جهنم به کافران احاطه دارد.
055_00	روزی که عذاب آنها را از بالای (سر)شان و از زیر پاهایشان در بر می گیرد، و (خداوند به آنها) می فرماید:« بچشید آنچه را انجام می دادید.
056_00	ای بندگان من که ایمان آورده اید ! بی گمان زمین من وسیع است، پس تنها مرا بپرستید» .
057_00	هر کسی چشنده ی مرگ است، سپس به سوی ما باز گردانده می شوید.
058_00	و کسانی که ایمان آوردند و کارهای شایسته انجام دادند، قطعاً آنها را در غرفه هایی از بهشت جای می دهیم که نهر ها درزیر آن جاری است، جاودانه در آن خواهند ماند، چه خوب است پاداش عمل کنندگان.
059_00	(همان) کسانی که صبر کردند و تنها بر پروردگارشان توکل می کنند.
060_00	و چه بسیار جنبدگانی که روزی خود را بر دوش نمی گیرند، خداوند به آنها و شما روزی می دهد، و او شنوای داناست.
061_00	و اگر از آنها بپرسی :«چه کسی آسمانها و زمین را آفریده، و خورشید و ماه را مسخر کرده است ؟!» البته می گویند:«الله» پس چگونه (از حق) منحرف می شوند ؟!
062_00	خداوند روزی را برای هر کس از بندگانش که بخواهد فراخ می گرداند، و (یا) برایش تنگ می دارد، بی گمان خداوند به همه چیز داناست.
063_00	و اگر از آنها بپرسی :«چه کسی از آسمان آبی را نازل کرد، آنگاه با آن (آب) زمین را بعد از مردنش زنده کرد ؟» البته می گویند :«الله»
063_01	بگو :« حمد و ستایش مخصوص خداوند است» بلکه بیشتر آنها در نمی یابند.
064_00	و این زندگی دنیا (چیزی) جز سرگرمی و بازیچه نیست، و بی تردید اگر می دانستند سرای آخرت همان زندگی (واقعی) است.
065_00	پس هنگامی که در کشتی سوار شوند، خدا را با اخلاص می خوانند، پس چون (خدا) آنها را (با آوردن) به خشکی نجات داد، باز آنان شرک می آورند.
066_00	تا آنچه را به آنها داده ایم؛ کفران کنند، و تا (از لذات زندگی دنیا) بهره گیرند، پس به زودی خواهند دانست.
067_00	آیا ندیدند که همانا ما حرم امنی (برای آنها) قرار دادیم، در حالی که مردم از اطراف آنان ربوده می شوند؟! آیا به باطل ایمان می آورند و به نعمت خدا ناسپاسی می کنند؟!
068_00	و کیست ستمکارتر از آن کسی که بر خدا دروغ بندد یا حق را چون به سوی او آید تکذیب کند ؟! آیا جایگاه کافران در جهنم نیست ؟!
069_00	و کسانی که در راه ما (کوشش و) جهاد کنند؛ قطعاً به راههای خویش هدایت شان می کنیم، و یقیناً خداوند با نیکوکاران است.
