001_00	الم (الف. لام. میم).
037_00	آیا ندیدند که خداوند روزی را برای هر کس که بخواهد فراخ می گرداند، و (یا) تنگ می گیرد؟! بی گمان در این (گشایش و تنگی) نشانه هایی است برای گروهی که ایمان می آورند.
038_00	پس حق خویشاوندان و مسکینان و در راه ماندگان را بده، این برای کسانی که روی خدا می طلبند؛ بهتر است، و اینانند که رستگارند.
039_00	و آنچه (به قصد) ربا می دهید تا در اموال مردم فزونی یابد، نزد خدا فزونی نخواهد یافت، وآنچه را (به عنوان)
039_01	زکات می پردازید که تنها وجه الله را می طلبید (برکت و فزونی می یابد) پس (کسانی که چنین کنند) اینان فزونی یافتگانند.
040_00	الله همان کسی است که شما را آفرید، آنگاه به شما روزی داد، پس شما را می میراند، آنگاه شما را زنده می کند، آیا هیچ یک از شریکان تان می توانند چیزی از این (کارها) انجام دهند ؟!
040_01	او منزه و برتر است از آنچه شریک او قرار می دهند.
041_00	به سبب کارهای که مردم انجام داده اند، فساد در خشکی و دریا آشکار شده است، تا (خداوند) جزای بعضی از آنچه را که انجام داده اند، به آنان بچشاند، باشد که آنان (به سوی حق) باز گردند.
042_00	(ای پیامبر!) بگو :« در زمین سیر کنید، پس بنگرید عاقبت کسانی که پیش از این بودند؛ چگونه بود، بیشتر آنها مشرک بودند.
043_00	پس روی خود را به آیین پایدار بیاور، پیش از آن که روزی فرا رسد که برایش هیچ بازگشتی از (سوی) خداوند نیست، آن روز (مردم) متفرق شوند.
044_00	کسی که کفر ورزد، پس کفرش بر زیان (خود) اوست، و کسی که کار شایسته انجام دهد، پس برای خودشان آماده می سازند.
045_00	تا (خداوند) کسانی را ایمان آورده اند و کارهای شایسته انجام داده اند از فضل خود پاداش دهد، بی گمان او کافران را دوست نمی دارد.
046_00	و از نشانه های (عظمت) او آن است که بادهای مژده دهنده را می فرستد، و تا از رحمت خود به شما بچشاند، و تا کشتیها به فرمان او حرکت کنند، و تا از فضل او (روزی) بجویید، و باشد که سپاس گویید.
047_00	و به راستی پیش از تو پیامبرانی را به سوی قومشان فرستادیم، پس با دلایل روشن نزدشان آمدند، آنگاه از
047_01	کسانی که گناه کردند، انتقام گرفتیم، (و مؤمنان را یاری دادیم) و یاری دادن مؤمنان بر (عهده ی) ما بود.
048_00	الله همان کسی است که بادها را می فرستد، آنگاه ابرها را به حرکت در می آورد، سپس آن (ابرها) را در آسمان آن گونه که بخواهد می گستراند، و آن را پاره پاره می گرداند، پس می بینی که دانه های باران از لابه لای آن خارج می شود .
048_01	پس هنگامی که این (باران حیات بخش) را به هر کس از بندگانش که بخواهد برساند، ناگهان آنان خوشحال می شوند.
049_00	و اگر چه پیش از آن که (باران رحمت) بر آنان نازل شود؛ مأیوس بودند.
050_00	پس به آثار رحمت خدا بنگر که چگونه زمین را بعد از مردنش زنده می کند، یقیناً این (خداوند) زنده کننده ی مردگان است، و او بر همه چیز تواناست.
051_00	و اگر بادی بفرستیم (گرم و سوزان) آنگاه آن (کشتزارها) را زرد شده ببینند، (مأیوس شده، و) پس از آن ناسپاس می شوند.
052_00	پس (ای پیامبر!) تو نمی توانی (سخنت را) به (گوش) مردگان بشنوانی، و نمی توانی کران را هنگامی که پشت کنان روی می گردانند؛ سخن (و ندای خود را) بشنوانی.
053_00	و تو نمی توانی کوران را از گمراهی شان (باز گردانی و) هدایت کنی، تو تنها می توانی (سخن خود را) به کسانی بشنوانی که به آیات ما ایمان دارند، پس آنها (در برابر حق) تسلیم شدگان هستند.
054_00	الله همان کسی است که شما راناتوان آفرید، سپس بعد از ناتوانی، قوت بخشید، و آنگاه
054_01	بعد از قوت ناتوانی و پیری قرار داد، هرچه بخواهد می آفریند، و او دانای تواناست.
055_00	و روزی که قیامت بر پا شود، مجرمان سوگند یاد می کنند که جز ساعتی (در دنیا) درنگ نکردند! (آری) این گونه (از حقیقت و راه حق) باز گردانده می شوند.
056_00	و کسانی که دانش و ایمان داده شده اند، گویند: «به راستی شما به فرمان کتاب
056_01	خدا (لوح محفوظ) تا روز رستاخیز درنگ کردید، پس این روز رستاخیز است، لیکن شما نمی دانستید».
057_00	پس آن روز کسانی که ستم کردند؛ عذر خواهی شان سودی ندارد و به آنان مهلت (توبه) داده نخواهد شد.
058_00	به راستی برای مردم در این قرآن از هر گونه مثلی آوردیم، و اگر نشانه ای برای آنان بیاوری، البته کسانی که کافر شدند، گویند:«شما جز بیهوده گویان نیستید».
059_00	این گونه خداوند بر دلهای کسانی که نمی دانند، مهر می نهد.
060_00	پس (ای پیامبر گرامی !) صبر پیشه کن، بی گمان وعده ی خدا حق است، و هرگز کسانی که یقین ندارند تو را سبکسر نگردانند.
