001_00	طسم (طا. سین. میم)
035_00	فرمود:« به زودی بازوی تو را با برادرت قوی (و نیرومند) خواهیم کرد، و برای شما سلطه و برتری قرار می دهیم، پس به سبب آیات ما، بر شما دست نیابند، و شما دو نفر و کسی که از شما پیروی کند؛ پیروزید»
036_00	پس هنگامی که موسی با آیات روشن ما به سوی آنها آمد، گفتند :«این (چیزی) جز سحر ساختگی نیست، و ما چنین چیزی را در نیاکان پیشینیان خود نشنیده ایم».
037_00	و موسی گفت : « پروردگار من از (حال) کسی که هدایت را از نزد او آورده، و کسی که سرانجام سرا(ی دیگر) از آن اوست، داناتر است، بی گمان ستمکاران رستگار نخواهند شد»
038_00	و فرعون گفت :«ای بزرگان!
038_01	من معبودی جز خودم برای شما نمی شناسم، پس ای هامان! برایم آتشی بر گل بیفروز (و آجر بپز) آنگاه برایم برج بلندی بساز، شاید که از خدای موسی با خبر شوم، و هرچند من گمان می کنم که او از دروغگویان است».
039_00	و او (= فرعون) و لشکریانش به ناحق در زمین سرکشی کردند، و پنداشتند که آنها به سوی ما باز گردانده نمی شوند.
040_00	پس (ما) او و لشکریانش را فرو گرفتیم، آنگاه در دریا انداختیم، پس بنگر عاقبت ستمکاران چگونه بود ؟!
041_00	و آنها را پیشوایانی قرار دادیم که به سوی آتش (دوزخ) دعوت می کنند، و روز قیامت یاری نخواهند شد.
042_00	در این دنیا لعنتی به دنبال آنان روانه کردیم؛ و روز قیامت از زشت رویانند.
043_00	و به راستی بعد از آنکه امتهای پیشین را هلاک نمودیم؛ به موسی کتاب (تورات) دادیم که برای مردم بصیرت و هدایت و رحمت باشد، شاید پند گیرند.
044_00	و تو (ای پیامبر!) در ناحیه غربی نبودی، هنگامی که فرمان (نبوت) را به موسی دادیم و تو از حاضران نبودی.
045_00	ولیکن (ما) نسلها آفریدیم که عمر دراز یافتند، و تو در میان اهل مدین اقامت نداشتی که آیات ما را بر آنها بخوانی، و لیکن ما بودیم که (پیامبرانی) می فرستادیم.
046_00	و تو در کنار طور نبودی آنگاه که ندا دادیم، ولی این (وحی) رحمتی از جانب پروردگارت است؛ تا گروهی را بیم دهی که پیش از تو بیم دهنده ای برای آنها نیامده بود، شاید که آنها پند گیرند.
047_00	و اگر آن نبود که به (سبب) اعمالی که مرتکب شده اند؛ مصیبتی به آنها برسد، آنگاه بگویند :« پروردگارا ! چرا به سوی ما پیامبری نفرستادی تا از آیات تو پیروی کنیم و از مؤمنان باشیم ؟».
048_00	پس هنگامی که حق از نزد ما برای آنها آمد، گفتند :« چرا (به این پیامبر) مانند آنچه به موسی داده شد، داده نشده است ؟!»
048_01	آیا به آنچه پیش از این به موسی داده شد، کفر نورزیدند؟ گفتند : «این دو (قرآن و تورات) جادوی تأیید کننده یکدیگرند» و گفتند : « همانا ما به هر کدام (ازآنها) کافریم».
049_00	بگو:«اگر راست می گویید، پس کتابی هدایت کننده تر از این دو (کتاب) از نزد خدا بیاورید، تا من از آن پیروی کنم».
050_00	پس اگر (این سخن) تو را نپذیرفتند، بدان که آنها فقط از هوسهای خود پیروی می کنند، و گمراه تر از آن کس که هوای نفس خویش را بدون (هیچ) هدایتی از (سوی) خدا پیروی می کند؛ کیست ؟!
050_01	بی گمان خداوند گروه ستمکاران را هدایت نمی کند.
051_00	و به راستی (ما این) سخن را یکی پس از دیگری برای آنها آوردیم؛ شاید متذکر شوند.
052_00	کسانی که پیش از این (قرآن) به آنان کتاب (آسمانی) داده ایم؛ به آن ایمان می آورند.
053_00	و چون (قرآن) بر آنها خوانده شود، گویند :«به آن ایمان آوردیم، بی تردید، این حق از سوی پروردگارما است، همانا ما پیش از (نزول) آن هم مسلمان بودیم».
054_00	اینان (کسانی اند که) به (سبب) صبری که کرده اند، پاداششان دوبار (به آنان) داده می شود، و (اینها) با نیکیها بدی ها را دفع می کنند، و از آنچه به آنها روزی داده ایم؛ انفاق می کنند.
055_00	و هنگامی که سخن لغو (و بیهوده) بشوند، از آن روی می گردانند و گویند:«اعمال ما از آن ماست، و اعمال شما از آن شما، سلام بر شما ما خواستار جاهلان نیستیم».
056_00	(ای پیامبر!) بی تردید تو هر کس را دوست داری نمی توانی هدایت کنی، ولی خداوند هر کس را بخواهد هدایت می کند، و او به هدایت شدگان آگاه تر است.
057_00	و (مشرکان) گفتند :«اگر به همراه تو از هدایت پیروی کنیم، ما را از سرزمین مان می ربایند»
057_01	آیا ما (آنها را) در حرم امنی جایشان ندادیم، که ثمرات (و فرآورده های) هر چیزی (از هر سو) به سوی آن آورده می شود، (این) رزقی است از جانب ما، ولیکن بیشتر آنها نمی دانند.
058_00	و چه بسیار از قریه ها (و آبادیها) یی را که بر اثر فزونی نعمت، مست و مغرور شده بودند؛ هلاک کردیم، پس این خانه های (ویران شده ی) آنهاست، که بعد از آنها جز اندکی (کسی) در آنها سکونت نکرد، و ما وارث آنها بودیم.
059_00	و پروردگار تو هرگز نابود کننده ی قریه ها (و آبادیها) نبود، تا اینکه در کانون آنها پیامبری بفرستد، که آیات ما را برآنها بخواند، و ما هرگز قریه ها (و آبادیها) را هلاک نکردیم؛ مگر آن که اهالی آن ستمکار بودند.
060_00	و آنچه به شما داده شده، متاع زندگی دنیا و زینت آن است، و آنچه نزد الله است، بهتر و پایدار تر است، آیا نمی اندیشید؟!
061_00	آیا کسی که به او وعده نیک داده ایم، پس او به آن (وعده) خواهد رسید، همانند کسی است که او را از متاع زندگی دنیا بهرمند ساخته ایم، سپس روز قیامت از احضار شدگان (در عذاب) خواهد بود ؟
062_00	و روزی که (خداوند) آنان را ندا دهد، آنگاه فرماید: «کجا هستند، شریکانی که برای من می پنداشتید؟!»
063_00	کسانی (از معبودان) که فرمان (عذاب) بر آنان تحقیق یافته است.
063_01	می گویند:« پروردگارا ! اینها (= عابدان) کسانی اند که گمراه شان کردیم؛ (آری) آنها را گمراه کردیم، همان گونه که (خودمان) گمراه شدیم، از آنها به سوی تو بیزاری می جوییم، آنها (در حقیقت) ما را نمی پرستیدند (بلکه آنها شیطان را پرستش می کردند)»
064_00	و (به عابدان) گفته می شود :«معبودهایتان را (که شریک خدا می پنداشتید) بخوانید (تا شما را یاری کنند)» پس آنها را می خوانند، ولی جوابی به ایشان نمی دهند، و عذاب (الهی) را (با چشم خود) ببینید، (و آرزو کنند) که ای کاش هدایت یافته بودند.
065_00	و روزی که (خداوند) آنان را ندا دهد، آنگاه فرماید :«پیامبران را چه پاسخی دادید؟!»
066_00	در آن روز همه ی خبرها (و حجتها) بر آنها پوشیده ماند، (و همه چیز را فراموش کنند) پس آنان از یکدیگر نپرسند.
067_00	اما کسی که توبه کرد و ایمان آورد و عمل شایسته انجام داد، پس امید است که از رستگاران باشد.
068_00	و پروردگار تو هر چه بخواهد می آفریند، و (هر چه بخواهد) بر می گزیند، آنان را (هیچ) اختیاری نیست، خداوند منزه و برتر است از آنچه شریک او قرار می دهند.
069_00	و پروردگار تو می داند آنچه را که سینه های آنان پنهان می دارد، و آنچه را آشکار می کنند.
070_00	و او خدایی است که هیچ معبودی (به حق) جز او نیست، ستایش در دنیا و آخرت برای اوست، و حکم (و فرمانروایی) از آن اوست، و (همه ی شما) به سوی او باز گردانده می شوید.
071_00	(ای پیامبر!) بگو :« به من خبر دهید اگر خداوند شب را تا روز قیامت بر شما پایدار سازد، کیست معبودی جز الله که برای شما روشنی آورد ؟! آیا نمی شنوید؟!».
072_00	بگو :« به من خبر دهید اگر خداوند روز را تا روز قیامت بر شما پایدار گرداند، کیست معبودی جز الله که برای شما شبی آورد که در آن آرام بگیرید؟!
072_01	آیا نمی بینید؟!
073_00	و از رحمت خویش شب و روز را برای شما قرار داد، تا در آن (= شب) آرام بگیرید، و تا (در روز) از فضل او (روزی) بجویید، و شاید سپاس گزارید.
074_00	و روزی که (خداوند) آنان را ندا دهد، آنگاه فرماید :«کجا هستند، شریکانی را که برای من می پنداشتید ؟!»
075_00	و از هر امتی گواهی بر می گزینیم، آنگاه می گوییم : « دلیل خود را بیاورید» آنگاه بدانند که حق از آن خداست، و (تمام) آنچه را افترا می بستند از (نظر) آنان ناپدید شود (و تباه گردد) .
076_00	بی گمان قارون از قوم موسی بود، پس بر آنها ستم کرد، آن قدر از گنجها به او
076_01	داده بودیم که حمل کلید هایش بر گروهی زورمند دشوار (و سنگین) بود . هنگامی که قومش به
076_02	او گفت: «(به خاطر مالت این همه مغرورانه ) شادی نکن، همانا خداوند شادی کنندگان (مغرور) را دوست ندارد.
077_00	و در آنچه خدا به تو داده، سرای آخرت را بجوی و بهره ات را از دنیا فراموش نکن، و همانگونه که خداوند
077_01	به تو نیکی کرده است؛ نیکی کن، و هر گز در زمین در پی فساد مباش، بی گمان خداوند مفسدان را دوست ندارد»
078_00	(قارون) گفت :« تنها به سبب دانشی که نزد من است آن (مال و ثروت) به من داده شده است»
078_01	آیا او نمی دانست که خداوند پیش از او اقوامی را هلاک کرد که از او نیرومندتر و ثروتمندتر بودند؟!
078_02	و مجرمان از گناهانشان پرسیده نمی شوند.
079_00	پس (روزی قارون) با آرایش و زینت خویش بر قومش بیرون آمد، کسانی که خواهان زندگی دنیا بودند، گفتند :«ای کاش همانند آنچه به قارون داده شده است؛ ما نیز داشتیم، به راستی که او بر خوردار از بهره ی عظیمی است».
080_00	و کسانی که دانش به آنها داده شده بود، گفتند :« وای بر شما ! ثواب خدا برای کسی که ایمان آورد و کار شایسته انجام دهد بهتر است، و آن (سخن را کسانی) جز صابران نمی پذیرند»
081_00	پس او وخانه اش در زمین فرو بردیم، و هیچ گروهی نداشت که او را در برابر (عذاب) خدا یاری کنند، و خود (نیز) نمی توانست خویش را یاری کند .
082_00	و کسانی که دیروز آرزو می کردند به جای او باشند، می گفتند :« وای بر ما !
082_01	گویی خدا روزی را برای هر کس از بندگانش که بخواهد فراخ می گرداند، و (یا) تنگ می گیرد، اگر خدا بر ما منّت ننهاده بود، بی تردید ما را (نیز به قعر زمین) فرو می برد، ای وای ! گویی کافران هرگز رستگار نمی شوند.
083_00	(آری) این سرای آخرت را (فقط) برای کسانی قرار می دهیم که نه خواهان برتری جویی هستند ونه خواهان فساد، و سرانجام نیک برای پرهیز گاران است.
084_00	کسی که نیکی آورد، پس برای او پاداش بهتر از آن است، و کسی که بدی آورد، پس کسانی که بدیها انجام دادند، جز (به اندازه) آنچه می کردند، مجازات نخواهند داشت.
085_00	بی تردید کسی که قرآن را بر تو فرض (و نازل) کرد، قطعاً تو را به جایگاهت (= مکه) باز می گرداند. بگو: « پروردگار من بهتر می داند چه کسی هدایت آورده، و چه کسی در گمراهی آشکار است».
086_00	و تو امید نداشتی که کتاب (آسمانی) بر تو القا شود، جز این که رحمت پروردگارت بود، پس هرگز پشتیبان کافران مباش.
087_00	و هرگز (کافران) تو را از آیات خدا، بعد از آن که برتو نازل شد، باز ندارند، و به سوی پروردگارت دعوت کن، و هرگز از مشرکان مباش.
088_00	و معبود دیگری با الله مخوان، هیچ معبودی (به حق) جز او نیست، همه چیز جز روی (= ذات) او نابود می شود، فرمانروایی (تنها) از آن اوست، و (همه) به سوی او باز گردانده می شوید.
