001_00	حم (حا . میم).
018_01	دانند که آن حق است, آگاه باشید, بی گمان کسانی که در (بارۀ) قیامت جدال می کنند, در گمراهی دور ودراز هستند.
019_00	خداوند نسبت به بندگانش لطیف (ومهربان) است, هر کس را بخواهد روزی می دهد, واو توانای پیروزمنداست.
020_00	کسی که کِشت آخرت را بخواهد, در کشت او (برکت می دهیم, و) می افزاییم, وکسی کشت دنیا را بخواهد, از آن به او می دهیم,و او در آخرت هیچ (نصیب و) بهره ای ندارد.
021_00	آیا (مشرکان) معبودانی دارند که بدون اجازۀ خداوند آیینی برای آنها مقرر داشته اند؟!
021_01	واگر وعدۀ فیصله بخش (سابق, در تأخیر عذابشان) نبود, یقیناً در میان آنها داوری می شد, وبی گمان برای ستمکاران عذابی دردناک است.
022_00	(در روز قیامت) ستمکاران را می بینی که از آنچه به دست آورده اند, بیمناکند, و(کیفر) آن به آنها خواهد رسید.
022_01	وکسانی که ایمان آورده اند وکارهای شایسته انجام داده اند در باغهای بهشتند, وهرچه بخواهند نزد پروردگارشان برای آنها (مهیا) است. این همان فضل (وبخشش) بزرگ است.
023_00	این همان چیزی است که خداوند بندگانش را که ایمان آورده اند وکارهای شایسته انجام داده اند, به آن مژده می دهد.
023_01	بگو: «من بر (رساندن) آن هیچ پاداشی از شما در خواست نمی کنم, جز محبت خویشاوندی, (که بجای آورید)»( ). وهرکس که نیکی کند, بر نیکی اش می افزاییم, بی گمان خداوند آمرزندۀ قدر شناس است.
024_00	آیا می گویند: «(پیامبر) بر خدا دروغ بسته است؟!»
024_01	پس اگر خدا بخواهد بر قلب تو مهر می زند, وخداوند باطل را محو می کند, وحق را با سخنان خویش محقق (وپا برجا) می سازد, بی گمان او به راز سینه ها آگاه است.
025_00	و او کسی است که از بندگانش توبه می پذیرد, واز بدیها در می گذرد, وآنچه را انجام می دهید می داند( ).
026_00	(دعای) کسانی را که ایمان آورده وکارهای شایسته انجام داده اند, اجابت می کند, واز فضل (وکرم) خویش آنان را افزون می دهد, وبرای کافران, عذاب شدیدی است.
027_00	واگر خداوند روزی را برای بندگانش فراخ (وگشاده) می گرداند, یقیناً در زمین فساد می کردند, ولکن به اندازه ای که بخواهد نازل می کند, بی گمان او به بندگانش دانای بیناست.
028_00	و او کسی است که باران (سودمند) را پس از آنکه نا امید شدند, نازل می کند, ورحمت خود را می گستراند, و اوکارسازٍ ستوده است.
029_00	واز نشانه های او آفرینش آسمانها وزمین است, وآنچه از جنبدگان که در آن دو پراکنده است. و او هرگاه بخواهد, بر گرد آوری آنها تواناست.
030_00	وهر مصیبتی که به شما رسد, به خاطر کارهایی است که انجام داده اید, و(خداوند) از بسیاری (گناهان) در می گذرد.
031_00	وشما هرگز در زمین عاجز کننده نیستید (ونمی توانید از او بگریزید) و شما را غیر از خدا, هیچ یار ویاوری نیست.
032_00	واز نشانه های او کشتیهایی است که همچون کوه در دریا روانند.
033_00	اگر بخواهد باد را (از حرکت) باز می دارد, پس کشتیها بر پشت آن (دریا) بی حرکت بمانند, بی گمان در این نشانه هایی برای هر صبر کنندۀ شکر گزاری است.
034_00	یا (اگر بخواهد) آنها (= سرنشینان کشتی) را به خاطر اعمالشان نابود (وغرق) می سازد, واز بسیاری (گناهان) در می گذرد.
035_00	و(تا) کسانی که در آیات ما مجادله می کنند, بدانند که هیچ گریزگاهی ندارند.
036_00	پس آنچه به شما داده است, متاع زود گذر زندگی دنیاست, وآنچه نزد خداست برای کسانی که ایمان آورده اند وبر پروردگارشان توکّل می کنند بهتر وپایدار تراست.
037_00	و(همان) کسانی که از گناهان بزرگ( ) وزشتیها اجتناب می کنند, وهنگامی که خشمگین شوند, گذشت می کنند.
038_00	و کسانی که (دعوت) پروردگارشان را اجابت کردند, ونماز را بر پا می دارند, وکارهایشان بین آنان به (صورت) مشورت است, واز آنچه به آنها روزی داده ایم. (در راه خدا) انفاق می کنند.
039_00	وکسانی که چون ستمی به آنها برسد, انتقام می گیرند.
040_00	و جزایی بدی, بدیی است همانند آن, پس هر کس که در گذرد, واصلاح (وآشتی) کند, پاداشش بر خداوند است, بی گمان او ستمکاران را دوست ندارد.
041_00	وکسی که پس از ستمی که بر او رفته است, انتقام بگیرد, پس اینانند که هیچ راه (ملامتی) بر آنان نیست.
042_00	تنها راه (ملامت) بر کسانی است که به مردم ستم می کنند, ودر زمین به ناحق سرکشی (وستم) می کنند, اینانند که بر ایشان عذابی دردناک است.
043_00	وکسی که شکیبایی کند, و در گذرد, بی گمان این از کارهای سترگ (پسندیده) است.
044_00	و کسی را که خدا گمراه کند, پس بعد از او برایش هیچ ولی (وکارسازی) نیست, وستمکاران را (روز قیامت) می بینی که چون عذاب (الهی) را مشاهده کنند, می گویند: «آیا هیچ راهی به سوی بازگشت وجود دارد؟!».
045_00	وآنها را می بینی که بر آن (= آتش) عرضه می شوند, که از شدت خواری خاشعند, از گوشۀ چشم نیم گشوده, نگاه می کنند, وکسانی که ایمان آورده اند می گویند: «بی گمان زیانکاران کسانی هستند که در روز قیامت خود وخانواده ی خویش را به زیان افکندند».
045_01	آگاه باشید که ستمکاران در عذابی دایم خواهند بود.
046_00	وآنها جز خدا, یا ورانی ندارند, که یاریشان کنند, وکسی را که خدا گمراه سازد, پس برایش هیچ راه (نجاتی) نیست.
047_00	(دعوت) پروردگارتان را اجابت کنید, پیش از آنکه روزی فرا رسد که از (جانب) خدا (راه) بازگشتی در آن نیست, در آن روز پناهی نخواهید داشت, وهیچ مدافعی (وراه انکاری) ندارید.
048_00	پس (ای پیامبر) اگر (مشرکان اعراض کنند, (نگران نباش), ما تو را نگهبان بر آنها نفرستاده ایم, بر (عهده ی) تو جز تبلیغ (رسالت) نیست, وما چون رحمتی از سوی خود
048_01	به انسان بچشانیم, به آن شاد می شود, واگر به خاطر کارهایی که انجام داده اند بلایی به آنها برسد, پس (به ناسپاسی می پردازند) بی گمان انسان بسیار نا سپاس است.
049_00	فرمانروایی آسمانها وزمین از آن خداست, هر چه را بخواهد می آفریند, به هر کس بخواهد دختر می بخشد, وبه هرکس بخواهد پسر می بخشد.
050_00	یا پسر و دختر ـ هر دو ـ با هم می دهد, وهرکس را که بخواهد عقیم می گرداند, بی گمان او دانای قادر است.
051_00	و برای هیچ بشری (ممکن) نیست که خدا با او سخن بگوید, مگر با وحی یا از پس پرده یا رسولی بفرستد که به فرمان او (= خداوند) آنچه را بخواهد (به او) وحی کند, بی گمان او بلند مرتبه ی حکیم است.
052_00	واین گونه بر تو (ای پیامبر) روحی (= قرآن کریم) را به فرمان خود وحی کردیم, تو (پیش از این) نمی دانستی کتاب وایمان چیست, ولی ما
052_01	آن را نوری قرار دادیم, با آن هر کس از بندگانمان را که بخواهیم, هدایت می کنیم, ومسلماً تو (ای پیامبر) به راه راست هدایت می کنی.
053_00	راه خدایی که آنچه در آسمانها وآنچه در زمین است از آنٍ اوست, آگاه باشید, که (همه ی) کارها به سوی خدا باز می گردد.
