001_00	پاک ومنزه است کسی که بنده اش را شبی از مسجد الحرام به مسجد الأقصی - که گرداگردش را برکت
023_01	به سن پیری رسند، (حتی) به آنها (کلمه ی) افّ (= کمترین کلمه رنج آور) نگو، و بر(سر) آنها فریاد نزن، و با نیکی (و بزرگوارانه) با آنها سخن بگو .
024_00	و از روی مهربانی بال فروتنی (و خاکساری) برای آنها فرود آور، و بگو : « پروردگارا ! به آنان رحمت آور ، همانگونه که مرا در کودکی پرورش دادند ».
025_00	پروردگار شما به آنچه در دلهایتان است؛ آگاه تر است، اگر صالح باشید، بی گمان او برای توبه کنندگان آمرزنده است.
026_00	و حق خویشاوندان را بپرداز، و (همچنین حق) مسکین ، و در راه مانده را (بپرداز) و هرگز اسراف (و تبذیر) نکن .
027_00	به راستی که تبذیر کنند گان؛ برادران شیاطین هستند، و شیطان نسبت به پروردگارش بسیار ناسپاس است .
028_00	و هرگاه امیدوار رحمت (و گشایش) پروردگارت باشی، از آنان (= مسکینان و در راه ماندگان) اعراض کنی، پس با گفتاری نرم با آنان سخن بگو .
029_00	و (هرگز) دستت را به گردن خوددت نبند، (و ترک انفاق منما) و بیش از حد آن را مگشا ، آنگاه سرزنش شده ی درمانده بنشینی .
030_00	یقیناً پروردگارت روزی را برای هرکس که بخواهد گشاده و (یا) تنگ می دارد، بی گمان او به بندگانش دانای بیناست.
031_00	و فرزندانتان از ترس تنگدستی نکشید، ما آنها وشما را روزی می دهیم، به راستی کشتن آنها گناه بزرگی است .
032_00	و نزدیک زنا نشوید، که کار بسیار زشت، و بد راهی است!
033_00	و جانی که خداوند (خونش را) حرام شمرده ،جز به حق نکشید، و کسی که مظلوم کشته شود ، برای ولیش
033_01	(برای حق قصاص) قدرتی قرار داده ایم ، پس در کشتن (و خونخواهی) اسراف نکند، بی گمان او مورد حمایت است .
034_00	و به مال یتیم نزدیک نشوید، جز به روشی که آن بهتر است ، تا آنکه به (حد بلوغ) و رشدش برسد، و به عهد (خویش) وفا کنید ، بی گمان از عهد سؤال می شود .
035_00	و هنگامی که پیمانه می کنید، پیمانه را کامل (و تمام) دهید، و با ترازوی درست وزن کنید، این برای شما بهتر و عاقبتش نیکوتر است .
036_00	و از آنچه به آن علم نداری، پیروی نکن، بدون شک گوش و چشم و دل ، هر یک از اینها از آن باز خواست خواهند شد .
037_00	و در روی (روی) زمین با تکبر راه مرو، بی گمان تو نمی توانی زمین را بشکافی ، و (هرگز) در بلندی (و قامت) به کوهها نمی رسی.
038_00	همه ی این کارها (ی ذکر شده) بدی (و گناه) آن نزد پروردگارت ناپسند است .
039_00	این (احکام) از آن حکمتی است که پروردگارت به تو وحی فرستاده، و هرگز معبودی را با خدا قرار نده، که نکوهیده ی مطرود در جهنم افکنده می شوی.
040_00	آیا پروردگارتان برای شما پسران برگزید، و (خودش) از فرشتگان دختران را برگزیده است ؟! بی گمان شما سخن بزرگ (و زشتی) می گویید .
041_00	و به راستی (ما) در این قرآن (سخنان) گوناگون آوردیم ، تا متذکر شوند، ولی جز به رمیدنشان نمی افزاید.
042_00	(ای پیامبر!) بگو : «اگر آن چنان که آنها (= مشرکان) می گویند با او معبودانی بود، در این صورت، (معبودان) سعی می کردند راهی به سوی (خداوند) صاحب عرش پیدا کنند »
043_00	او منزه و پاک است، و از آنچه آنها می گویند بسی برتر است .
044_00	آسمانهای هفتگانه و زمین و هرکس که در آنهاست همه تسبیح او می گویند، و هیچ چیز نیست؛ مگر آنکه
044_01	به ستایش او تسبیح می گوید، ولیکن شما تسبیح آنها را در نمی یابید ، بی گمان او بردبار آمرزنده است.
045_00	و(ای پیامبر!) هنگامی که قرآن بخوانی، میان تو و میان کسانی که به آخرت ایمان نمی آورند، پرده ای پوشیده قرار می دهیم .
046_00	و بر دلهایشان پوششهایی قرار می دهیم تا آن را در نیابند، و در گوشهایشان سنگینی (می گذاریم که نشنوند) .
046_01	و چون پروردگارت را در قرآن به یگانگی یاد کنی، آنها با نفرت پشت می کنند (و می گریزند).
047_00	وچون به تو گوش فرا می دهند، ما داناتریم به چه (منظور) به آن (= قرآن) گوش فرا می دهند، و (نیز) هنگامی که آنان نجوی می کنند، آنگاه که ستمگران می گویند: «شما جز از مردی که جادوشده پیروی نمی کنید ».
048_00	بنگرچگونه برای تو مثلها زدند ، پس گمراه شدند، لذا نمی توانند راهی (به سوی حق) بیابند.
049_00	و (کافران) گفتند: «آیا هنگامی که ما استخوانها یی (پوسیده) و پراکنده ای شدیم، آیا دگر بار با آفرینش تازه ای بر انگیخته خواهیم شد؟! »
050_00	بگو: «سنگ باشید یا آهن ،
051_00	یا (هر) مخلوقی که درخاطرتان بزرگ می نماید ، (باز هم خداوند قادر است شما را دوباره زنده کند ). پس خواهند گفت : «چه کسی ما را بازمی گرداند ؟!» بگو:« (همان) کسی که نخستین بار شما را آفرید»
051_01	. پس آنان سرهایشان را (از روی تردید) به تو می جنبانند و می گویند : «آن چه زمانی خواهد بود ؟! » بگو: «شاید که نزدیک باشد ،
052_00	روزی که (خداوند) شما را (از قبرهایتان) فرا می خواند ، پس شما هم سپاس گویان (دعوت) اورا اجابت می کنید، و می پندارید جز مدت کوتاهی (در دنیا) درنگ نکرده اید ».
053_00	و به بند گانم بگو: «(با یکدیگر) سخنی بگویند که آن بهترین باشد ، بی گمان شیطان میان آنها فتنه (و فساد) می کند، به راستی که شیطان دشمن آشکاری برای انسان است».
054_00	و پروردگارشما به (حال) شما داناتر است، اگر بخواهد بر شما رحمت می آورد، یا اگر بخواهد عذابتان می کند،و(ای پیامبر!) ما تو را بر آنها نگهبان نفرستاده ایم.
055_00	پروردگار تو، به (حال هر) کسی که در آسمانها و زمین است، داناتر است، و به راستی (ما) بعضی پیامبران را بر بعضی (دیگر) برتری دادیم، و به داود زبور عطا کردیم .
056_00	(ای پیامبر!) بگو: « کسانی را که به جای او (معبود خود) می پندارید؛ بخوانید ، پس آنها نه می توانند بلا (و مشکلی) را از شما دورسازند ، و نه تغییر دهند .
057_00	کسانی را که (کافران) آنان را می خوانند ، خودشان به سوی پروردگارشان وسیله ی (تقرب) می جویند، که کدام یک از آنها نزدیکترند، و به رحمت او امیدوارند و از عذابش می ترسند ، بی گمان عذاب پروردگارت همواره ترسناک است»
057_01	.
058_00	و هیچ (آبادی و) قریه ای نیست؛ مگر اینکه پیش از (فرا رسیدن) روز قیامت، ما آنان را هلاک خواهیم کرد، یا به عذاب شدیدی عذابشان می کنیم، این در کتاب (= لوح محفوظ) ثبت است .
059_00	و (هیچ چیز) ما را از فرستادن معجزات باز نداشت؛ جز اینکه پیشینیان آن را تکذیب کردند، و به (قوم) ثمود، ماده شتر که (معجزه ای) روشنگر بود ، دادیم، پس (آنها) به آن ستم کردند (و آن را کشتند) .
059_01	و ما معجزات را جز برای ترسانیدن نمی فرستیم .
060_00	(و ای پیامبر!
060_01	به یاد آور) هنگامی را که به تو گفتیم : «بی شک پروردگارت به مردم احاطه (کامل) دارد، و رؤیایی را که (در شب اسراء و معراج عیاناً) به تو نشان دادیم و (همچنین) درخت ملعون در قرآن ، (چیزی) جز برای آزمایش مردم قرار ندادیم ، ما آنها را می ترسانیم، پس (این ترسانیدن) جز سرکشی بزرگ، چیزی بر آنها نمی افزاید ».
061_00	و (به یاد آور) چون به فرشتگان گفتیم : «برای آدم سجده کنید» پس (همگی) سجده کردند؛ جز ابلیس که گفت : «آیا برای کسی سجده کنم که (او را) از گل آفریده ای؟!» .
062_00	(سپس) گفت : «به من خبر بده، این کسی را که بر من برتری داده ای (به چه دلیل بوده است ؟ !) اگر مرا تا روز قیامت مهلت دهی، فرزندانش را؛ جز عده ی کمی (گمراه و) ریشه کن خواهم کرد» .
063_00	(خداوند) فرمود : «برو، پس هر کس از آنان، از تو پیروی کند ، بی تردید جهنم کیفر شماست، که کیفری کامل (و فراوان) است،
064_00	و هرکس از آنان را که می توانی با صدایت بر انگیز، و با (یاری) سواران و پیادگانت بر آنها بتاز، و در
064_01	اموال و فرزندان با آنها شرکت جوی، و به آنها وعده بده - و شیطان جز فریب به آنها وعده نمی دهد -
065_00	بی گمان توهرگز بر بندگان من سلطه ای نخواهی داشت؛ و پروردگار تو برای نگهبانی آنها کافی است ».
066_00	پروردگارشما کسی است که کشتی را در دریا برای شما به حرکت در می آورد، تا از فضلش بهره مند شوید، بی گمان او نسبت به شما مهربان است .
067_00	و هنگامی که در دریا سختی به شما برسد، جز او همه کسانی را که می خوانید؛ فراموش می کنید، پس چون شما را به خشکی نجات دهد؛ روی می گردانید، و انسان بسیار ناسپاس است .
068_00	آیا از آن که شما را به کناره ای از خشکی فرو برد؛ یا تند بادی از سنگریزه بر شما بفرستد؛ ایمن شده اید؟! آنگاه برای خود هیچ نگهبان (و کارسازی) نیابید.
069_00	آیا از آن که بار دیگر شما را به دریا باز گرداند؛ سپس تند باد کوبنده ای بر شما بفرستد، آنگاه شما را به (کیفر) کفرتان غرق کند؛ ایمن شده اید؟! سپس در برابر ما بازخواست کننده (و خونخواهی برای خود) نیابید .
070_00	و به راستی ما فرزندان آدم را گرامی داشتیم، و آنها را در خشکی و دریا (بر مرکبها) حمل کردیم ، و از انواع (روزیهای) پاکیزه به آنها روزی دادیم، و آنها را بر بسیاری از موجوداتی که آفریده ایم؛ چنانکه باید برتری بخشیدیم .
071_00	(به یاد آورید) روزی را که هرگروهی را با پیشوایشان فرا خوانیم، پس کسی که نامه ی (اعمال) اش را به (دست) راستش داده شود، پس اینان نامه شان را (با شادمانی) می خوانند، و به اندازه ی رشته ی شکاف هسته ی خرمایی ستم نمی بینند.
072_00	و (اما) کسی که در این (دنیا از دیدن حق) نا بینا بوده است؛ پس او در آخرت (نیز) نابینا و گمراه تر است .
073_00	و (ای پیامبر!) نزدیک بود (مشرکان) تو را (با وسوسه های خود ) از آنچه بر تو وحی کرده ایم؛ منصرف کنند، تا غیر آن را به ما نسبت دهی، و آنگاه تو را دوست خود بگیرند.
074_00	و اگر (ما) تو را ثابت قدم نمی کردیم؛ به راستی نزدیک بود اندکی به آنها تمایل کنی .
075_00	(اگر چنین می کردی) آنگاه دو چندان عذاب در زندگی دنیا و دو چندان عذاب (بعد از) مرگ به تو می چشاندیم، سپس در برابر ما برای خود یاوری نمی یافتی .
076_00	ونزدیک بود (با مکر و توطئه) تو را از (سر)زمین (مکه) بلغزانند، تا تو را از آن بیرون کنند، (و اگر چنین می کردند) آنگاه پس از تو جز مدت کمی (باقی) نمی ماندند .
077_00	این (روش و) سنت (ما درباره ی) پیامبرانی است که پیش از تو فرستادیم، و (هرگز) برای سنت ما تغییر و دگرگونی نخواهی یافت .
078_00	نماز را از زوال آفتاب (هنگام ظهر) تا تاریکی شب بر پا دار، و (نیز) قرآن فجر (= نماز صبح) را؛ بی گمان قرآن (خواندن ، در نماز) فجر (فرشتگان) حاضر آیند.
079_00	و پاسی از شب را (از خواب) بر خیز و با آن (= قرآن) نماز بخوان، که برای تو افزون (بر دیگران) است،امید است پروردگارت تو را به مقامی پسندیده برانگیزد.
080_00	و بگو :« پروردگارا ! مرا به در آوردنی راست (به مدینه) در آور، و به بیرون آوردنی راست، مرا (از مکه) بیرون آور ، و از سوی خود حجتی یاری کننده برایم قرار بده».
081_00	و بگو:«حق آمد، و باطل نابود شد ، بی گمان باطل نابود شدنی است».
082_00	و از قرآن آنچه را که شفا و رحمت برای مؤمنان است؛ نازل می کنیم، و ستمکاران را جز زیان نمی افزاید.
083_00	و هنگامی که برانسان نعمت بخشیم ، (از حق) روی بگرداند، و (متکبرانه) پهلویش را دورکند، و هنگامی که (کمترین) بدی به او برسد، نا امید گردد .
084_00	(ای پیامبر!) بگو :«هر کس به روش خود عمل می کند، پس پروردگارتان به کسی که او هدایت یافته تر است؛ داناتر است».
085_00	و (ای پیامبر!) از تو درباره ی روح سؤال می کنند، بگو :«روح از فرمان پروردگار من است، و جز اندکی از دانش به شما داده نشده است » .
086_00	و اگر بخواهیم آنچه را که به تو وحی کرده ایم؛ (از سینه ات) می بریم، آنگاه در برابر ما برای خود هیچ کارسازی (و مدد کننده ای) نخواهی یافت،
087_00	لیکن (باقی ماندنش به سبب) رحمتی از جانب پروردگارت است؛ بدون شک فضل او بر تو بزرگ است.
088_00	(ای پیامبر!) بگو :«اگر انس و جن (همگی) گرد آیند بر آن که همانند این قرآن را بیاورند، (هرگز) همانند آن را نخواهند آورد، هر چند برخی از آنان یاور برخی (دیگر) باشند».
089_00	و به تحقیق (ما) در این قرآن، برای مردم هر مثلی را گوناگون بیان کردیم، پس بیشتر مردم جز ناسپاسی را قبول نکردند،
090_00	و گفتند : «ما هرگز به تو ایمان نمی آوریم؛ تااینکه از زمین چشمه ای برای ما جاری کنی .
091_00	یا باغی از نخل و انگور داشته باشی، آنگاه نهرها در میان آن به خوبی جاری سازی .
092_00	یا آسمان را آنچنان که می پنداری پاره پاره بر (سر) ما فرود آوری، یا خداوند و فرشتگان را روبروی (ما) بیاوری،
093_00	یا اینکه خانه ای (پر نقش و نگار) از سیم ورز داشته باشی، یا در آسمان بالا روی، و هرگز به بالا رفتنت ایمان نمی آوریم؛ مگر آنکه کتابی بر ما نازل کنی، که آن را بخوانیم»
093_01	. بگو :«پروردگارم منزه است،آیا من جز بشری فرستاده شده هستم ؟!».
094_00	و مردم را (هیچ چیز) باز نداشت، از آنکه ایمان آوردند هنگامی که هدایت به سوی آنان آمد؛ مگر این که گفتند : «آیا خداوند بشری را (بعنوان) پیامبر فرستاده است ؟!»
095_00	(ای پیامبر!) بگو :«اگر در زمین فرشتگانی بودند که با آرامش (و مطمئن) راه می رفتند، مسلماً از آسمان فرشته ای را (بعنوان) پیامبر بر آنها نازل می کردیم» (اما چون شما انسان هستید پیامبرتان نیز از خودتان است)
096_00	(ای پیامبر!) بگو :«همین کافی است که خداوند میان من وشما گواه باشد، بی گمان او (نسبت) به بندگانش دانای بیناست.
097_00	و هرکسی را که خدا هدایت کند، پس او هدایت یافته ی (واقعی) است، و هرکسی را که گمراه سازد؛ پس جز خدا (سر پرستان و) دوستانی برای او نخواهی یافت،
097_01	و روز قیامت آنان را بر چهره هایشان، نابینا و گنگ و کر محشور می کنیم، جایگاهشان جهنم است، هرگاه (آتش آن) فرو نشیند، بر آنان شعله ای (سوزان) می افزاییم.
098_00	این کیفر آنهاست، به (خاطر) این که به آیات ما کافر شدند، و گفتند : «آیا هنگامی که ما استخوانهایی (پوسیده) و پراکنده ای شدیم، آیا دگر بار با آفرینش تازه ای برانگیخته خواهیم شد ؟!» .
099_00	آیا نمی دانند، که خداوندی که آسمانها و زمین را آفریده؛ قادر است که مانند آنها را بیافریند، و برای آنان سر آمدی مقررکرده که شکی در آن نیست، سپس ستمکاران جز ناسپاسی را قبول نکردند .
100_00	(ای پیامبر!) بگو : «اگرشما مالک گنجینه های (بخشش و) رحمت پروردگار من بودید، آنگاه از ترس فقر (و تنگدستی) از انفاق خود داری می کردید، و انسان بسیار بخیل (و تنگ نظر) است» .
101_00	و به راستی (ما) به موسی نه معجزه ی روشن دادیم، پس (ای پیامبر) از بنی اسرائیل بپرس، آن زمان که (موسی) به سوی آنان آمد، فرعون به او گفت : «ای موسی گمان می کنم تو سحر شده ای» .
102_00	(موسی) گفت : «تو قطعاً می دانی که این (معجزه) ها را جز پروردگار آسمانها و زمین؛ برای روشنگری نفرستاده است، و من ای فرعون، یقیناً تو را هلاک شده می پندارم».
103_00	پس (فرعون) تصمیم گرفت که آنان (= بنی اسرائیل) را از آن سرزمین بیرون کند، پس (ما) او وهمه ی کسانی را که با او بودند؛ غرق کردیم .
104_00	و بعد از (هلاکت) او به بنی اسرائیل گفتیم: « در (این) سرزمین (شام) ساکن شوید، پس هنگامی که وعده آخرت فرا رسد، همه ی شما دسته جمعی خواهیم آورد » .
105_00	و (ما) این (قرآن) را به حق نازل کردیم، و به حق نازل شد، و تو را (ای پیامبر) جز بشارت دهنده و هشدار دهنده نفرستادیم .
106_00	و قرآنی که (آیات و سوره هایش را) جدا ساختیم، تا آن را با درنگ (وتأنّی) بر مردم بخوانی، و آن را تدریج (و کم کم) نازل کردیم .
107_00	(ای پیامبر!) بگو :«(خواه) به آن ایمان آورید، یا ایمان نیاورید، بی گمان کسانی که پیش از آن به آنها دانش داده شده، هنگامی که (آیات قرآن) بر آنها خوانده می شود، سجده کنان به رو در می افتند».
108_00	و می گویند: «منزه است پروردگار ما، که یقیناً وعده هایش انجام شدنی است » .
109_00	و (آنها) گریه کنان به رو در می افتند، و (تلاوت این قرآن) بر فروتنی شان می افزاید.
110_00	بگو :«الله»
110_01	را بخوانید یا « رحمان» را بخوانید، هر کدام را بخوانید، پس (فرقی ندارد) برای او نامهای نیکوست، و نمازت را نه زیاد بلند بخوان، و نه آن را خیلی آهسته بخوان، و میان آن دو؛ راهی (معتدل) برگزین .
111_00	و بگو : « ستایش برای خداوند است که فرزندی (برای خود) بر نگزیده و او را در فرمانروای هیچ شریکی نیست، و بخاطر ناتوانی (و ذلت حامی و) سرپرستی برای او نیست، و او را به شایستگی بزرگ بشمار».
