001_00	ای پیامبر ! از خدا بترس، و از کافران و منافقان اطاعت نکن، بی گمان خداوند دانای حکیم است.
030_00	ای زنان پیامبر ! هر کس از شما که (گناه) نا شایست آشکاری مرتکب شود، عذاب او دو چندان افزوده می شود، و این بر خدا آسان است.
031_00	و هر کس از شما برای خدا و پیامبرش خضوع (و فرمانبرداری) کند، و عمل صالح انجام دهد، پاداش او را دوبار به او خواهیم داد، و روزی ارزشمندی برای او آماده کرده ایم.
032_00	ای زنان پیامبر!
032_01	شما مانند هیچ یک از زنان (عادی دیگر) نیستید، اگر پرهیزگاری کنید؛ پس در سخن گفتن نرمی نکنید که آنگاه کسی که در دلش بیماری است؛ طمع کند، و سخن شایسته بگویید.
033_00	و در خانه های خود بمانید، و به شیوه ی جاهلیت نخستین زینتهای خود را آشکار نکنید، و نماز را بر پا دارید، و زکات را
033_01	بدهید، و خدا و پیامبرش را اطاعت کنید، خداوند قطعاً می خواهد پلیدی را از شما اهل بیت دور کند و چنانکه باید شما را پاک سازد.
034_00	و آنچه را در خانه هایتان از آیات خداوند و حکمت (= سنت پیامبر) خوانده می شود یاد کنید؛ بی گمان خداوند باریک بین آگاه است.
035_00	همانا مردان مسلمان و زنان مسلمان، مردان مؤمن و زنان مؤمن، مردان فرمانبردار و زنان فرمانبردار، مردان راستگو و زنان راستگو، مردان صابر و زنان صابر، مردان با خشوع و زنان
035_01	با خشوع، مردان صدقه دهنده و زنان صدقه دهنده، مردان روزه دار و زنان روزه دار، مردانی که شرمگاه خود را حفظ می کنند، و زنانی که شرمگاه خود را حفظ
035_02	می کنند، و مردانی که خدا را بسیار یاد می کنند، و زنانی که خدا را بسیار یاد می کنند، خداوند برای (همه ی) آنان آمرزش و پاداش عظیمی آماده کرده است.
036_00	و هیچ مرد مؤمن و زن مؤمنی را نرسد ؛هنگامی که خدا و پیامبرش کاری را حکم کند، آنکه آنها
036_01	در کارشان اختیاری باشد، و هرکس خدا و پیامبرش را نافرمانی کند، به راستی که در گمراهی آشکاری گرفتار شده است.
037_00	و (به یاد بیاور) زمانی را که به آن کس که خدا به او نعمت داده بود، و تو (نیز) به او نعمت داده بودی، می گفتی :«همسرت را
037_01	نگاه دار و از خدا بترس» و در دل خود چیزی را پنهان می داشتی که خداوند آن را آشکار می کند، و از مردم می ترسیدی؛ در حالی
037_02	که خداوند سزاوارتر است که از او بترسی، پس چون زید از او حاجت خویش بگزارد، (و طلاقش داد) او را به ازدواج تو در آوردیم؛ تا بر مؤمنان
037_03	در (باره ی ازدواج با) زنان پسر خواندگان شان هیچ حرجی نباشد؛ هنگامی که حاجت خویش از او بگزارده (و طلاقشان داده) باشند، و فرمان خدا انجام شدنی است.
038_00	بر پیامبر در آنچه خدا برای او حلال (و مقرر) کرده است؛ هیچ حرجی نیست، این سنت خداوند است در (باره ی) کسانی که پیش از این بوده اند، و فرمان خداوند حساب شده و دقیق است.
039_00	(همان) کسانی که پیامهای خدا را می رسانند و از او می ترسند و از هیچ کس جز او نمی ترسند، و خداوند برای حسابگری (اعمالشان) کافی است.
040_00	محمد (صلی الله علیه و آله و سلم) پدر هیچ یک از مردان شما نیست، و لیکن رسول خدا و خاتم پیامبران است، و خداوند به هر چیز آگاه است.
041_00	ای کسانی که ایمان آورده اید! خدا را بسیار یاد کنید.
042_00	و صبح و شام او را تسبیح گویید.
043_00	او کسی است که بر شما درود می فرستد، و فرشتگانش (نیز بر شما درود می فرستند) تا شما را از تاریکیها به سوی نور بیرون برد، و (خداوند) نسبت به مؤمنان مهربان است.
044_00	تحیت آنان در روزی که با او دیدار می کنند «سلام» است، و برای آنها پاداش ارزشمندی آماده کرده است.
045_00	ای پیامبر! ما تو را گواه، و بشارت دهنده و بیم دهنده فرستادیم.
046_00	و دعوت کننده به سوی خداوند به فرمان او، و چراغی روشنی بخش قرار دادیم.
047_00	و مؤمنان را بشارت ده که برای آنها از سوی خداوند فضل بزرگی است.
048_00	و از کافران و منافقان اطاعت مکن، و آزارشان را واگذار (و به آنا اعتنای نکن) و بر خدا توکل کن، و خداوند (به عنوان) کارساز(و مدافع) بسنده است.
049_00	ای کسانی که ایمان آورده اید!
049_01	هنگامی که با زنان با ایمان ازدواج کردید، آنگاه پیش از آن که با آنها همبستری کنید، طلاقشان دادید، پس عدّه ای برای شما بر آنها نیست که شما آن را بشمارید، لذا آنها را (با هدیه ی مناسب) بهرمند سازید و به نیکوترین وجه رهایشان کنید.
050_00	ای پیامبر! ما همسرانت را که مهرشان را پرداخته ای برای تو حلال کردیم، و (نیز) کنیزانی را که (از طریق غنایم جنگی) خدا به تو ارزانی داشته است،
050_01	و دختران عمویت، و دختران عمه هایت و دختران دایی ات، و دختران خاله هایت که با تو هجرت کرده اند، (ازدواج با آنها برای تو حلال کرده ایم)
050_02	و (نیز) زن مؤمنی را که اگر خود را به پیامبر ببخشد، اگر پیامبر بخواهد او را به زنی گیرد، (این حکم) ویژه ی توست؛ نه دیگر مؤمنان، به
050_03	راستی که ما می دانیم آنچه را که بر آنها در (باره ی) همسرانشان و کنیزانشان واجب کرده ایم، تا بر تو هیچ حرجی نباشد، و خداوند آمرزنده ی مهربان است.
051_00	(نوبت) هر یک از همسرانت را که بخواهی (می توانی) به تأخیر اندازی، و هر کدام را بخواهی نزد خود جای دهی، و اگر (بعضی) از آنها
051_01	که بر کنار ساخته ای بخواهی نزد خود جای دهی، هیچ گناهی بر تو نیست، این (گزینش) برای آن که چشم آنان روشن گردد و این که
051_02	غمگین نباشند، و همگی شان به آنچه به آنان می دهی خشنود گردند، و خدا آنچه را که در دلهای شماست می داند، و خداوند دانای بردبار است.
052_00	بعد از این، (دیگر) هیچ زنی برای تو حلال نیست، و نه (حلال است) آن که همسران دیگری جای گزین آنها کنی، هر
052_01	چند زیبایی آنها تو را به شگفت آورد، مگر آنچه که (بصورت کنیز) دست تو مالک شد، و خداوند بر همه چیز نگهبان است.
053_00	ای کسانی که ایمان آورده اید! به خانه های پیامبر داخل نشوید؛ مگر آنکه برای (صرف) غذا به شما اجازه داده شود، بی آنکه منتظر پخته شدنش باشید، ولی چون دعوت شدید، داخل شوید، پس
053_01	هنگامی که غذا خوردید؛ پراکنده شوید، و (بعد از صرف غذا) برای بحث و گفتگو ننشینید، بی گمان این (عمل) پیامبر را آزار می دهد، پس (او) از شما شرم می کند (و چیزی نمی
053_02	گوید) و خداوند از (بیان) حق شرم نمی کند، و هنگامی که چیزی (از وسایل زندگی به عاریت) خواستید، پس از آنان (= زنان پیامبر) ازپشت پرده بخواهید، این (کار) برای دلهای شما و دلهای
053_03	آنان پاکیزه تر است، و شما را نرسد که پیامبر خدا را بیازارید، و نه آن که همسرانش را بعد از او هرگز به همسری گیرید، بی تردید این (کار) نزد خدا (گناهی) بزرگ است.
054_00	اگر چیزی را آشکار کنید یا آن را پنهان دارید، پس بی گمان خداوند به هر چیز آگاه است.
055_00	بر آنان (= زنان) گناهی نیست (که) در (حضور) پدرانشان و پسرانشان و برادرانشان و پسران برادرانشان و پسران خواهرانشان و
055_01	زنان (هم دین) شان و بردگانشان (بدون حجاب باشند) و (ای زنان!) از خدا بترسید، قطعاً خداوند بر همه چیز گواه است.
056_00	بی گمان خدا و فرشتگانش بر پیامبر درود می فرستند؛ ای کسانی که ایمان آورده اید! بر او درود فرستید، و سلام بگویید، سلامی نیکو.
057_00	همانا کسانی که خدا و پیامبرش را آزار می دهند، خداوند آنها را در دنیا و آخرت لعنت کرده، و برای آنها عذاب خوار کننده ای آماده کرده است.
058_00	و کسانی که مردان مؤمن و زنان مؤمن را بی هیچ گناهی که مرتکب شده باشند؛ آزار می دهند، به راستی (بار) بهتان و گناه آشکاری را به دوش کشیده اند.
059_00	ای پیامبر !
059_01	به همسرانت و دخترانت و زنان مؤمنان بگو :«چادرهای خود را بر خویش فرو افکنند، (و با آن سر و صورت و سینه هایشان را بپوشانند) این مناسب تر است تا شناخته شوند؛ پس مورد آزار قرار نگیرند، و خداوند آمرزنده ی مهربان است.
060_00	اگر منافقان و کسانی که در دلهایشان بیماری است، و شایعه پراکنان در مدینه (از کار خود) باز نایستند، یقیناً تو را بر (ضد) آنها می شورانیم (و بر آنها مسلط می گردانیم) سپس جز اندکی در کنار تو در آن (شهر مدینه) نباشند.
061_00	طرد شدگانند، هر کجا یافت شوند، گرفته خواهند شد، و به سختی کشته خواهند شد.
062_00	(این)سنت خداوند است در (باره ی) کسانی که پیش از این گذشتند، و هرگز برای سنت خدا دگرگونی نخواهی یافت.
063_00	(ای پیامبر !) مردم تو را از (زمان قیام) قیامت می پرسند، بگو :«علم آن تنها نزد الله است» و تو چه می دانی شاید که قیامت نزدیک باشد.
064_00	بی تردید خداوند کافران را لعنت کرده، و برای آنها آتش سوزان آماده کرده است.
065_00	که جاودانه در آن خوهند ماند، هیچ دوست و یاوری نخواهند یافت.
066_00	روزی که صورتهایشان در آتش (جهنم) گردانیده شود (پشیمان می شوند و) می گویند :«ای کاش خدا را اطاعت کرده بودیم، ورسول (خدا) را اطاعت کرده بودیم»
067_00	و گفتند :« پروردگارا ! ما از سروران و بزرگان خود اطاعت کردیم، پس ما را از راه به در بردند(و گمراه کردند)
068_00	پروردگارا ! آنها را از عذاب دو چندان ده، و آنها را به لعنتی بزرگ (و سخت) لعنت فرما»
069_00	ای کسانی که ایمان آورده اید! مانند کسانی نباشید که موسی را آزار دادند، آنگاه خداوند او را از آنچه (در حق او) گفته بودند؛ مبّرا ساخت، و (او) نزد خداوند آبرومند (و صاحب منزلت) بود.
070_00	ای کسانی که ایمان آورده اید! از خدا بترسید، و سخن درست (و حق) بگویید.
071_00	تا (خداوند) کارهایتان را برای تان اصلاح کند، و گناهان تان را بیامرزد، و هرکس که از خدا و پیامبرش اطاعت کند؛ یقیناً به کامیابی عظیمی نائل شده است.
072_00	همانا ما امانت (خویش) را بر آسمانها و زمین و کوهها عرضه داشتیم، پس آنها از تحمل آن سر
072_01	باز زدند و از آن ترسیدند، و انسان آن را بر دوش گرفت که او بسیار ستمکار نادان است.
073_00	تا (سرانجام) خداوند مردان منافق و زنان منافق و مردان مشرک و زنان مشرک را عذاب کند، و خداوند توبه
073_01	ی مردان مؤمن و زنان مؤمن را بپذیرد (و از گناهان شان در گذرد) و خداوند آمرزنده ی مهربان است.
