001_00	Alif, Lâm, Mîm, Sâd,
025_00	Di essa vivrete - disse Allah - su di essa morrete e da essa sarete tratti.”
026_00	O figli di Adamo, facemmo scendere su di voi un abito che nascondesse la vostra vergogna e per ornarvi, ma l'abito del timor di Allah è il migliore.
026_01	Questo è uno dei segni di Allah, affinché se ne ricordino!
027_00	O Figli di Adamo, non lasciatevi tentare da Satana, come quando fece uscire dal Paradiso i vostri genitori, strappando loro i vestiti per palesare la loro vergogna.
027_01	Esso e i suoi alleati vi vedono da dove voi non li vedete. A coloro che non credono abbiamo assegnato i diavoli per alleati.
028_00	Quando commettono qualcosa di turpe, dicono: “Così facevano i nostri avi, è Allah che ce lo ha ordinato”.
028_01	Di': “Allah non comanda la turpitudine. Direte, contro Allah, ciò che non conoscete?”.
029_00	Di': “Il mio Signore ha ordinato l'equità, di sollevare la testa in ogni luogo di preghiera, di invocarLo e di attribuirGli un culto puro. Ritornerete [a Lui] così come vi ha creati”.
030_00	Guida gli uni, mentre altri meritano la perdizione per aver preso i diavoli a patroni al posto di Allah e credono di essere loro i ben guidati.
031_00	O Figli di Adamo, abbigliatevi prima di ogni orazione. Mangiate e bevete, ma senza eccessi, ché Allah non ama chi eccede.
032_00	Di': “Chi ha proibito gli ornamenti che Allah ha prodotto per i Suoi servi e i cibi eccellenti?”. Di': “Appartengono ai credenti, in questa vita terrena e soltanto ad essi nel Giorno della Resurrezione”.
032_01	Così spieghiamo i Nostri segni ad un popolo che sa.
033_00	Di': “Il mio Signore ha vietato solo le turpitudini palesi o nascoste, il peccato e la ribellione ingiusta,
033_01	l'attribuire ad Allah consimili, a proposito dei quali [Egli] non ha concesso autorità alcuna e il dire contro Allah cose di cui non conoscete nulla”.
034_00	Ogni comunità ha un termine stabilito, e quando il suo tempo giunge, non ci sarà ritardo, né anticipo di un’ora.
035_00	O Figli di Adamo, quando vi giungono messaggeri della gente vostra che vi riferiscono i Miei segni, chi allora sarà timorato e si correggerà non avrà nulla da temere e non sarà afflitto.
036_00	Coloro che invece smentiscono i Nostri segni e se ne allontanano per orgoglio, sono i compagni del Fuoco dove rimarranno in perpetuo.
037_00	Chi è peggior ingiusto di colui che inventa menzogne contro Allah e considera bugia i Suoi segni?
037_01	Avranno quanto è prestabilito; poi verranno i Nostri Angeli, li faranno morire e diranno: “Dove sono quelli che avevate l'abitudine di invocare al posto di Allah?”.
037_02	Diranno: “Ci hanno abbandonati” e testimonieranno contro loro stessi della loro miscredenza.
038_00	“Entrate nel Fuoco, dirà Allah, assieme ai dèmoni e agli uomini delle comunità che vi precedettero.” Ogni comunità che vi entrerà maledirà sua sorella.
038_01	Quando poi vi s'incontreranno tutte, l'ultima dirà della prima: “O nostro Signore! Ecco quelli che ci hanno traviati, da' loro un doppio castigo di fuoco”.
038_02	Lui dirà: “Il doppio per tutti quanti, ma voi non sapete”.
039_00	E la prima dirà all'ultima: “Non avete nessun merito su di noi! Gustate il castigo per quello che avete commesso”.
040_00	In verità le porte del cielo non si apriranno mai per coloro che smentiscono i Nostri segni allontanandosene orgogliosamente: non entreranno in Paradiso sino a quando un cammello non passi per la cruna di un ago.
040_01	Così Noi compensiamo i peccatori.
041_00	Avranno nell'Inferno letti e coperte che li avvolgeranno. Così compensiamo gli ingiusti!
042_00	Quanto a coloro che credono e compiono il bene - ché non obbligheremo nessuno oltre le sue possibilità - essi saranno i compagni del Giardino e vi rimarranno in perpetuo.
043_00	Cancelleremo il rancore dai loro petti, mentre ai loro piedi scorreranno i ruscelli e diranno: “La lode [appartiene] ad Allah, Che ci ha guidati a ciò! Non saremmo stati guidati, se Allah non ci avesse guidato.
043_01	I messaggeri del nostro Signore sono venuti con la verità”.
043_02	Verrà affermato a gran voce: “Ecco, il Giardino vi è dato in eredità per quello che avete fatto”.
044_00	E quelli del Giardino grideranno ai compagni del Fuoco: “Abbiamo verificato quello che il nostro Signore ci aveva promesso. E voi avete verificato quello che vi era stato promesso?”.
044_01	“Sì”, diranno. Poi un nunzio proclamerà in mezzo a loro: “Maledizione di Allah sugli ingiusti,
045_00	che ponevano ostacoli sul sentiero di Allah e cercavano di renderlo tortuoso e non credevano all'altra vita”.
046_00	E tra i due vi sarà un velo e sull'Arâf uomini che riconoscono tutti per i loro segni caratteristici.
046_01	E grideranno ai compagni del Giardino: “Pace su di voi!”, senza potervi entrare pur desiderandolo.
047_00	Quando i loro sguardi si rivolgeranno ai compagni del Fuoco, diranno: “O Signor nostro, non metterci con il popolo degli ingiusti”.
048_00	E i compagni dell'Arâf chiameranno gli uomini che riconosceranno per il loro aspetto, dicendo: “Le ricchezze e l'orgoglio non vi hanno giovato in nulla.
049_00	Sono essi coloro che, giuravate, non sarebbero stati raggiunti dalla misericordia di Allah?”. [Verrà detto loro]: “Entrate nel Giardino! Non avrete niente da temere e non sarete afflitti”.
050_00	E i compagni del Fuoco grideranno ai compagni del Giardino: “Versate acqua su di noi e parte del cibo che Allah vi ha concesso”.
050_01	Risponderanno: “In verità Allah ha proibito l'una e l'altro ai miscredenti.
051_00	che consideravano la loro religione gioco e passatempo ed erano ingannati dalla vita terrena”.
051_01	Ebbene, oggi Noi li dimenticheremo, come loro hanno dimenticato l'incontro di questo Giorno e hanno rigettato i Nostri segni.
052_00	Facemmo loro giungere un Libro e lo abbiamo spiegato nei particolari, ché fosse guida e misericordia per coloro che credono.
053_00	Aspettano forse l'adempiersi [dell'evento]? Il Giorno in cui si sarà compiuto, coloro che prima lo smentivano diranno: “I messaggeri del nostro Signore erano venuti con la verità.
053_01	Ci sono intercessori che possano intercedere per noi,
053_02	o potremo ritornare, per agire diversamente da come abbiamo agito?”. Si sono rovinati da loro stessi e quello che inventavano li ha abbandonati.
054_00	Allah è il vostro Signore, Colui Che in sei giorni ha creato i cieli e la terra e poi si è innalzato sul Trono.
054_01	Ha coperto il giorno con la notte ed essi si susseguono instancabilmente. Il sole e la luna e le stelle sono sottomesse ai Suoi comandi.
054_02	Non è a Lui che appartengono la creazione e l'ordine? La lode [appartiene] ad Allah Signore dei mondi!
055_00	Invocate il vostro Signore umilmente e in segreto. Egli, in verità, non ama i trasgressori.
056_00	Non spargete la corruzione sulla terra, dopo che è stata resa prospera. InvocateLo con timore e desiderio. La misericordia di Allah è vicina a quelli che fanno il bene.
057_00	Egli è Colui Che invia i venti, annunciatori e precursori della Sua misericordia.
057_01	Quando poi recano una nuvola pesante, la dirigiamo verso una terra morta e ne facciamo discendere l'acqua, con la quale suscitiamo ogni tipo di frutti.
057_02	Così resusciteremo i morti. Forse rifletterete [in proposito].
058_00	Nelle buone terre crescono piante in quantità, per volontà del loro Signore, in quelle cattive non spuntano che a stento. Così spieghiamo i nostri segni per il popolo che si dimostra riconoscente.
059_00	In verità mandammo Noè al suo popolo. Disse: “O popol mio, adorate Allah! Per voi non c'è altro dio che Lui. Temo, per voi, il castigo di un Giorno terribile”.
060_00	I notabili del suo popolo dissero: “Ti vediamo manifestamente sviato”.
061_00	Disse: “O popol mio, non c'è errore in me, non sono che un messaggero del Signore dei mondi!
062_00	Vi riferisco i messaggi del mio Signore, vi dò sinceri consigli e ho ricevuto da Allah la conoscenza di ciò che ignorate.
063_00	Vi stupite, forse, che vi giunga un richiamo da parte del vostro Signore tramite uno dei vostri uomini, che vi avverta e vi esorti al timor [di Allah], affinché possiate godere della [Sua] misericordia?”.
064_00	Lo tacciarono di menzogna. Salvammo lui e coloro che stavano con lui nell'Arca e annegammo coloro che smentivano i segni Nostri. In verità era un popolo cieco.
065_00	E agli Âd [inviammo] il loro fratello Hûd: “O popol mio, disse, adorate Allah. Per voi non c'è altro dio che Lui. Non Lo temerete?”.
066_00	I notabili del suo popolo - che erano miscredenti - dissero: “Ci pare che tu sia in preda alla stoltezza e crediamo che tu sia un bugiardo”.
067_00	Disse: “Non c'è stoltezza in me, sono messaggero del Signore dei mondi.
068_00	Vi riferisco i messaggi del vostro Signore e sono per voi un consigliere affidabile.
069_00	Vi stupite che vi giunga un richiamo da parte del vostro Signore per il tramite di uno dei vostri uomini, che vi ammonisce? Ricordatevi di quando vi designò successori del popolo di Noè e accrebbe la vostra prestanza nel mondo.
069_01	Ricordate i benefici di Allah, affinché possiate prosperare. ”
070_00	Dissero: “Sei venuto per far sì che adoriamo Allah, l'Unico, abbandonando quello che adoravano i nostri avi? Se sei sincero, mostraci quello di cui ci minacci”.
071_00	Disse: “Ecco che il vostro Signore ha fatto cadere su di voi supplizio e collera! Volete polemizzare con me sui nomi che voi e i vostri avi avete inventato senza che Allah vi abbia concesso a riguardo alcuna autorità?
071_01	Aspettate e anch'io rimarrò in attesa insieme a voi”.
072_00	Abbiamo salvato lui e coloro che erano con lui, per Nostra misericordia, e cancellato anche le tracce,di coloro che smentivano i Nostri segni e non credevano.
073_00	E ai Thamûd [inviammo] il loro fratello Sâlih. [Disse]: “O popol mio, adorate Allah.
073_01	Per voi non c'è altro dio all'infuori di Lui. Ecco che vi è giunta una prova da parte del vostro Signore: ecco la cammella di Allah, un segno per voi. Lasciatela pascolare sulla terra di Allah e non le fate alcun male: scontereste un doloroso castigo.
074_00	E ricordatevi di quando, dopo gli Âd, vi costituì loro successori e vi stabilì sulla terra: costruiste castelli nelle pianure e scavaste case nelle montagne.
074_01	Ricordatevi dei benefici di Allah e non contaminate la terra [comportandovi da] corruttori”.
075_00	I notabili del suo popolo, che erano tronfi di orgoglio, dissero agli oppressi, fra quelli di loro che avevano creduto: “Siete sicuri che Sâlih sia un inviato del suo Signore?”.
075_01	Ed essi risposero: “Sì, crediamo nel messaggio inviato suo tramite”.
076_00	Gli orgogliosi dissero: “Certamente neghiamo ciò in cui credete!”.
077_00	Quindi tagliarono i garretti alla cammella, disobbedirono agli ordini del loro Signore e dissero: “O Sâlih, se sei uno degli inviati, fai cadere su di noi ciò di cui ci minacci”.
078_00	Li colse il cataclisma e al mattino giacquero bocconi nelle loro dimore.
079_00	Allora [Sâlih] si allontanò da loro e disse: “O popol mio, vi avevo trasmesso il messaggio del mio Signore, e vi avevo dato consigli sinceri, ma voi non amate i consiglieri sinceri”.
080_00	E quando Lot disse al suo popolo: “Vorreste commettere un'infamità che mai nessuna creatura ha mai commesso?
081_00	Vi accostate con desiderio agli uomini piuttosto che alle donne. Sì, siete un popolo di trasgressori”.
082_00	E in tutta risposta il suo popolo disse: “Cacciateli dalla vostra città! Sono persone che vogliono esser pure!”.
083_00	E Noi salvammo lui e la sua famiglia, eccetto sua moglie, che fu tra quelli che rimasero indietro.
084_00	Facemmo piovere su di loro una pioggia... Guarda cosa è avvenuto ai perversi.
085_00	Agli abitanti di Madyan [inviammo] il loro fratello Shuayb! Disse: “O popol mio, adorate Allah.
085_01	Per voi non c'è altro dio che Lui. Vi è giunta una prova da parte del vostro Signore.
085_02	Riempite la misura e date il giusto peso e non danneggiate gli uomini nei loro beni. Non corrompete la terra dopo che Allah la creò pura: ciò è meglio per voi, se siete credenti.
086_00	Non appostatevi su ogni strada, distogliendo dal sentiero di Allah coloro che credono in Lui, e cercando di renderlo tortuoso.
086_01	Ricordatevi di quando eravate pochi ed Egli vi ha moltiplicati. Guardate cosa è accaduto ai corruttori.
087_00	Se una parte di voi crede nel messaggio con il quale sono stato inviato ed un'altra parte non crede, siate pazienti e sopportate fino a che Allah giudichi tra di noi!
087_01	Egli è il migliore dei giudici”.
088_00	I notabili del suo popolo, che erano tronfi di orgoglio, dissero: “O Shuayb, certamente ti cacceremo dalla nostra città, tu e quelli che hanno creduto in te, a meno che non ritorniate alla nostra religione!”.
088_01	Rispose: “Anche se la aborriamo?
089_00	Inventeremmo menzogne contro Allah se ritornassimo alla vostra religione dopo che Allah ce ne ha salvati. Non potremo farvi ritorno - a meno che lo voglia Allah nostro Signore.
089_01	Il nostro Signore possiede la scienza di ogni cosa. In Allah riponiamo la nostra fiducia.
089_02	O Signor nostro, giudica secondo verità, tra noi e il nostro popolo; Tu sei il Migliore dei giudici”.
090_00	I notabili del suo popolo, che erano miscredenti, dissero: “Se seguite Shuayb sarete sicuramente rovinati!”.
091_00	Li colse il cataclisma e al mattino giacquero prostrati nelle loro dimore.
092_00	Per coloro che avevano tacciato Shuayb di menzogna, fu come se non avessero mai abitato in quei luoghi. Coloro che tacciavano Shuayb di menzogna, sono andati in rovina.
093_00	Si allontanò da loro e disse: “O popol mio, vi avevo trasmesso i messaggi del mio Signore e vi avevo dato consigli sinceri. Come potrei ora essere afflitto per un popolo di miscredenti?”.
094_00	Non inviammo mai un profeta in una città, senza colpire i suoi abitanti con disgrazie e carestie, affinché fossero umili.
095_00	Poi sostituimmo il male con il bene finché, aumentando in numero e ricchezze, dissero: “Agi e disagi toccarono anche ai nostri avi”. Allora li afferrammo all'improvviso, senza che se ne accorgessero.
096_00	Se gli abitanti di queste città avessero creduto e avessero avuto timor di Allah, avremmo diffuso su di loro le benedizioni dal cielo e dalla terra. Invece tacciarono di menzogna e li colpimmo per ciò che avevano fatto.
097_00	Forse, che la gente delle città è al riparo dal Nostro castigo severo che li colpisce la notte, durante il sonno?
098_00	Forse, che la gente delle città è al riparo dal Nostro castigo severo che li colpisce in pieno giorno, mentre si divertono?
099_00	Si ritengono al riparo dallo stratagemma di Allah? Di fronte allo stratagemma di Allah, si sentono al sicuro solo coloro che già si sono perduti.
100_00	Non è forse palese a coloro che ricevono l'eredità della terra che, se Noi volessimo, li colpiremmo per i loro peccati e sigilleremmo i loro cuori, sicché non udrebbero più nulla?
101_00	Ecco le città di cui con verità, ti raccontiamo la storia. Giunsero loro messaggeri con prove evidenti, ma essi non potevano credere in quello che prima avevano tacciato di menzogna.
101_01	Così Allah sigilla i cuori dei miscredenti.
102_00	E non trovammo, nella maggior parte di loro, rispetto alcuno per il Patto e, anzi, trovammo perversa la maggior parte di loro.
103_00	Poi, dopo di loro, inviammo Mosè con i Nostri segni, a Faraone e ai suoi notabili, ma essi trasgredirono. Guarda dunque ciò che è accaduto ai perversi.
104_00	Disse Mosè: “O Faraone, in verità io sono un messaggero inviato dal Signore dei mondi.
105_00	Non dirò, su Allah, altro che la verità. Son giunto con una prova da parte del vostro Signore. Lascia che i figli di Israele vengano via con me”.
106_00	“Se hai recato una prova con te, disse [Faraone], allora mostrala, se sei uno che dice la verità.”
107_00	Gettò il bastone, ed ecco che si trasformò in un serpente [ben] evidente.
108_00	Stese la mano, ed ecco che apparve bianca agli astanti.
109_00	I notabili del popolo di Faraone dissero: “Si tratta certamente di un mago sapiente
110_00	che vuole scacciarvi dalla vostra terra”. “Cosa dunque ordinate in proposito?”
111_00	Dissero: “Fai attendere lui e suo fratello e manda nunzi nelle città:
112_00	che ti conducano tutti i maghi più esperti”.
113_00	I maghi si presentarono a Faraone e dissero: “Davvero ci sarà un premio per noi, se saremo i vincitori?”.
114_00	Disse: “Sì, e inoltre sarete tra i favoriti”.
115_00	Dissero: “O Mosè, getti tu o tocca a noi gettare?”.
116_00	“Gettate pure”, rispose. Dopo che ebbero gettato, stregarono gli occhi della gente, la spaventarono e realizzarono un grande incantesimo.
117_00	Noi ispirammo a Mosè: “Getta la tua verga”. E quella inghiottì tutto quello che avevano fabbricato.
118_00	Così si affermò la verità e vanificò quello che avevano fatto.
119_00	Furono sconfitti e sembravano umiliati.
120_00	Allora i maghi si prosternarono.
121_00	E dissero: “Crediamo nel Signore dei mondi,
122_00	il Signore di Mosè e di Aronne”.
123_00	“Vorreste credere prima che ve ne dia il permesso? - disse Faraone - Si tratta certo di una congiura, che avete ordito nella città, per scacciarne gli abitanti. Ebbene, presto saprete:
124_00	vi farò tagliare mani e piedi alternati, quindi vi farò crocifiggere tutti.”
125_00	Dissero: “In verità siamo pronti a tornare al nostro Signore;
126_00	ti vendichi su di noi, solo perché abbiamo creduto ai segni del nostro Signore, quando essi ci sono giunti. O Signore, concedici la sopportazione e facci morire [a Te] sottomessi”.
127_00	I notabili, del popolo di Faraone, dissero: “Lascerai che Mosè e il suo popolo spargano corruzione sulla terra, abbandonando te e i tuoi dèi?”.
127_01	Disse: “Poiché abbiamo il dominio su di loro, uccideremo immediatamente i loro figli maschi e risparmieremo le loro femmine”.
128_00	Disse Mosè al suo popolo: “Chiedete aiuto ad Allah e sopportate con pazienza: la terra è di Allah, ed Egli ne fa erede colui che sceglie tra i Suoi servi. L'esito felice sarà per coloro che [Lo] temono”.
129_00	Dissero: “Siamo stati perseguitati prima che tu venissi e dopo che venisti a noi”.
129_01	Rispose: “Può darsi che presto il vostro Signore distrugga il nemico e vi costituisca vicari sul paese, per poi guardare quello che farete”.
130_00	Colpimmo la gente di Faraone con anni di miseria e scarsità di frutti, affinché riflettessero.
131_00	Quando veniva loro un bene dicevano: “Questo ci spetta”; mentre se li colpiva un male, vedevano in Mosè e in quelli che erano con lui, uccelli di malaugurio.
131_01	Non dipendeva da Allah la loro sorte? Ma la maggior parte di loro non sapeva.
132_00	Dissero: “Qualunque segno addurrai per stregarci, noi non crederemo in te”.
133_00	Mandammo contro di loro l'inondazione e le cavallette, le pulci, le rane e il sangue, segni ben chiari. Ma furono orgogliosi e rimasero un popolo di perversi.
134_00	Quando il castigo li toccava, dicevano: “O Mosè, invoca per noi il tuo Signore, in forza del patto che ha fatto con te.
134_01	Se allontanerai il castigo da noi, crederemo certamente in te e lasceremo partire con te i Figli di Israele”.
135_00	Allontanammo da loro il tormento, ma quando giunse il termine che dovevano rispettare, ecco che mancarono al loro impegno.
136_00	Allora Ci vendicammo di loro, li inghiottimmo nel mare, perché tacciavano di menzogna i Nostri segni, ed erano indifferenti ad essi.
137_00	E abbiamo fatto, del popolo che era oppresso, l'erede degli Orienti e degli Occidenti della terra che abbiamo benedetta.
137_01	Così, la bella promessa del tuo Signore si realizzò sui Figli di Israele, compenso della loro pazienza. E distruggemmo ciò che Faraone e il suo popolo avevano realizzato ed eretto.
138_00	Facemmo traversare il mare ai Figli di Israele. Incontrarono un popolo che cercava rifugio presso i propri idoli.
138_01	Dissero: “O Mosè, dacci un dio simile ai loro dèi”. Disse: “In verità siete un popolo di ignoranti”.
139_00	Sì, il culto a cui si dedicano sarà distrutto e sarà reso vano il loro operare.
140_00	Disse: “Dovrei cercare per voi un altro dio, all'infuori di Allah, Colui Che vi ha preferito alle altre creature?”.
141_00	E quando vi salvammo dalla famiglia di Faraone che vi infliggeva il peggiore dei tormenti: uccideva i vostri figli e risparmiava le vostre femmine;
141_01	era questa una dura prova, da parte del vostro Signore!
142_00	E fissammo per Mosè un termine di trenta notti, che completammo con altre dieci, affinché fosse raggiunto il termine di quaranta notti stabilito dal suo Signore.
142_01	E Mosè disse a suo fratello Aronne: “Sostituiscimi alla guida del mio popolo, agisci bene e non seguire il sentiero dei corruttori”.
143_00	E quando Mosè venne al Nostro luogo di convegno, e il suo Signore gli ebbe parlato, disse: “O Signor mio, mostraTi a me, affinché io Ti guardi”.
143_01	Rispose: “No, tu non Mi vedrai, ma guarda il Monte; se rimane al suo posto, tu Mi vedrai”.
143_02	Non appena il suo Signore si manifestò sul Monte esso divenne polvere e Mosè cadde folgorato. Quando ritornò in sé, disse: “Gloria a Te! Io mi pento e sono il primo dei credenti”.
144_00	Disse [Allah]: “O Mosè, ti ho eletto al di sopra degli uomini per [affidarti] i Miei messaggi e le Mie parole. Prendi ciò che ti do e sii riconoscente”.
145_00	Scrivemmo per lui, sulle Tavole, un'esortazione su tutte le cose e la spiegazione precisa di ogni cosa. “Prendile con fermezza e comanda al tuo popolo di adeguarvisi al meglio.
145_01	Presto vi mostrerò la dimora degli empi.
146_00	Presto allontanerò dai segni Miei, coloro che sono orgogliosi sulla terra.
146_01	Quand'anche vedessero ogni segno non crederanno; se vedessero la retta via, non la seguirebbero;
146_02	se vedessero il sentiero della perdizione, lo sceglierebbero come loro via. Ciò in quanto tacciano di menzogna i Nostri segni e sono noncuranti di essi.
147_00	Quanto a coloro che negano i Nostri segni e l'incontro dell'altra vita, le loro opere sono vanificate. Saranno compensati per altro che di quello che avranno fatto?”
148_00	E il popolo di Mosè, in sua assenza, si scelse per divinità un vitello fatto con i loro gioielli, un corpo mugghiante.
148_01	Non si accorsero che non parlava loro e che non li guidava su nessuna via? Lo adottarono come divinità e furono ingiusti.
149_00	Quando li si convinse di ciò e si accorsero che si erano traviati, dissero: “Se il nostro Signore non ci usa misericordia e non ci perdona, saremo tra coloro che si sono perduti”.
150_00	Quando Mosè, adirato e contrito, ritornò presso il suo popolo, disse: “Che infamità avete commesso in mia assenza! Volevate affrettare il decreto del vostro Signore?”.
150_01	Scagliò [in terra] le tavole e afferrò per la testa suo fratello e lo trasse a sé:
150_02	“O figlio di mia madre _ disse quello _ il popolo ha preso il sopravvento su di me e c'è mancato poco che mi uccidessero. Non permettere che i nemici si rallegrino [della mia sorte] e non annoverarmi tra gli ingiusti”.
151_00	E Mosè: “O Signore mio, perdona a me e a mio fratello e facci entrare nella Tua misericordia, poiché Tu sei il più Misericordioso dei misericordiosi”.
152_00	Coloro che si scelsero il vitello [come divinità] saranno ben presto sopraffatti dalla collera del loro Signore e dalla vergogna, nella vita terrena. In tal modo ricompensiamo i mentitori.
153_00	Quanto a coloro che hanno fatto il male e poi si sono pentiti e hanno creduto... ebbene, il tuo Signore è perdonatore, misericordioso.
154_00	Quando la collera di Mosè si acquietò, raccolse le tavole. In esse era scritta la guida e la misericordia per coloro che temono il loro Signore.
155_00	Mosè scelse settanta uomini del suo popolo, per il Nostro luogo di convegno.
155_01	Dopo che li colse il cataclisma, disse: “O Signore, se Tu avessi voluto, già li avresti distrutti in precedenza e me con loro.
155_02	Ci distruggerai per ciò che hanno commesso gli stolti della nostra gente? Questa non è se non una prova da parte Tua, con la quale svii chi vuoi e guidi chi vuoi. Tu sei il nostro Patrono, perdonaci e usaci misericordia. Tu sei il migliore dei perdonatori.
156_00	Annoveraci un bene in questa vita terrena e un bene nell'Altra vita. Ecco che, pentiti, ritorniamo a Te”.
156_01	E [Allah] disse: “Farò sì che il Mio castigo colpisca chi voglio, ma la Mia misericordia abbraccia ogni cosa: la riserverò a coloro che [Mi] temono e pagano la decima, a coloro che credono nei Nostri segni,
157_00	a coloro che seguono il Messaggero, il Profeta illetterato che trovano chiaramente menzionato nella Torâh e nell'Ingil, colui che ordina le buone
157_01	consuetudini e proibisce ciò che è riprovevole, che dichiara lecite le cose buone e vieta quelle cattive, che li libera del loro fardello e dei le
157_02	gami che li opprimono. Coloro che crederanno in lui, lo onoreranno, lo assisteranno e seguiranno la luce che è scesa con lui, invero prospereranno”.
158_00	Di': “Uomini, io sono un Messaggero di Allah a voi tutti inviato da Colui al Quale appartiene la sovranità dei cieli e della terra. Non c'è altro dio all'infuori di Lui. Dà la vita e dà la morte.
158_01	Credete in Allah e nel Suo Messaggero, il Profeta illetterato che crede in Allah e nelle Sue parole. Seguitelo, affinché possiate essere sulla retta via”.
159_00	E tra il popolo di Mosè c'è gente che si dirige con la verità e in base ad essa agisce con giustizia.
160_00	Li dividemmo in dodici tribù o nazioni.
160_01	Quando il suo popolo gli chiese da bere, ispirammo a Mosè: “Colpisci la roccia con la tua verga”. Sgorgarono da essa dodici sorgenti e ogni tribù conobbe da dove avrebbe dovuto bere; prestammo loro l'ombra di una nuvola, e facemmo scendere la manna e le quaglie: “Mangiate le buone cose di cui vi abbiamo provvisto”.
160_02	Non è a Noi che fecero torto, fecero torto a loro stessi.
161_00	E quando fu detto loro: “Abitate questa città e mangiate a vostro piacere, ma dite: Perdono", ed entrate dal
161_01	la porta prosternandovi; perdoneremo i vostri peccati e, a coloro che fanno il bene, daremo ancora di più!”.
162_00	Quelli di loro che erano ingiusti, sostituirono un'altra parola a quella che era stata detta. Allora inviammo contro di loro un castigo dal cielo, per il torto che avevano commesso.
163_00	Chiedi loro a proposito della città sul mare in cui veniva trasgredito il sabato, [chiedi] dei pesci che salivano alla superficie nel giorno del sabato e che invece non affioravano negli altri giorni!
163_01	Così li mettemmo alla prova, perché dimostrassero la loro empietà.
164_00	E quando alcuni di loro dissero: “Perché ammonite un popolo che Allah distruggerà o punirà con duro castigo?”.
164_01	Risposero: “Per avere una scusa di fronte al vostro Signore e affinché [Lo] temano!”.
165_00	Quando poi dimenticarono quello che era stato loro ricordato, salvammo coloro che proibivano il male e colpimmo con severo castigo coloro che erano stati ingiusti e che perversamente agivano.
166_00	Quando poi per orgoglio si ribellarono a ciò che era stato loro vietato, dicemmo loro: “Siate scimmie reiette!”.
167_00	E il tuo Signore annunciò che avrebbe inviato contro di loro qualcuno che li avrebbe duramente castigati, fino al Giorno della Resurrezione!
167_01	In verità il tuo Signore è sollecito nel castigo, ma è anche perdonatore, misericordioso.
168_00	Li dividemmo sulla terra in comunità diverse. Tra loro ci sono genti del bene e altre [che non lo sono]. Li mettemmo alla prova con prosperità e avversità, affinché ritornassero [sulla retta via].
169_00	Dopo di loro vennero altre generazioni che ereditarono la Scrittura. Sfruttarono i beni del mondo terreno dicendo: “Presto saremo perdonati”.
