001_00	Alif, Lâm, Mîm.
022_00	E fan parte dei Suoi segni, la creazione dei cieli e della terra, la varietà dei vostri idiomi e dei vostri colori. In ciò vi sono segni per coloro che sanno.
023_00	E fan parte dei Suoi segni, il sonno della notte e del giorno e la vostra ricerca della Sua grazia. Ecco davvero dei segni per coloro che sentono.
024_00	E fa parte dei Suoi segni farvi scorgere il lampo, con timore e brama, e il far scendere dal cielo l'acqua con la quale ridà vita alla terra che già era morta.
024_01	Ecco davvero segni per coloro che ragionano.
025_00	E fa parte dei Suoi segni che il cielo e la terra si tengano ritti per ordine Suo. Quando poi vi chiamerà d'un solo richiamo, ecco che sorgerete [dalle tombe].
026_00	Appartengono a Lui tutti quelli che sono nei cieli e sulla terra: tutti Gli obbediscono.
027_00	Egli è Colui Che inizia la creazione e la reitera e ciò Gli è facile. A lui appartiene la similitudine più sublime nei cieli e sulla terra. È Lui l'Eccelso, il Saggio!
028_00	Da voi stessi, trae una similitudine: ci sono, tra gli schiavi che possedete, alcuni che fate vostri soci, alla pari, in ciò che Allah vi ha concesso?
028_01	Li temete forse quanto vi temete [a vicenda]?
028_02	Così esplicitiamo i Nostri segni per coloro che ragionano.
029_00	Gli ingiusti cedono, invece, alle loro passioni senza sapere. Chi può guidare colui che Allah allontana? Essi non avranno chi li soccorra.
030_00	Rivolgi il tuo volto alla religione come puro monoteista, natura originaria che Allah ha connaturato agli uomini; non c'è cambiamento nella creazione di Allah.
030_01	Ecco la vera religione, ma la maggior parte degli uomini non sa.
031_00	Ritornate a Lui, temeteLo, assolvete all'orazione e non siate associatori.
032_00	E neppure [siate tra] coloro che hanno scisso la loro religione e hanno formato sette, ognuna delle quali è tronfia di quello che afferma.
033_00	Quando un male colpisce gli uomini, invocano il loro Signore e tornano a Lui. Quando poi li gratifica con una misericordia che proviene da Lui, alcuni di loro Gli attribuiscono consoci,
034_00	così da rinnegare quello che abbiamo dato loro. Godete dunque, presto saprete!
035_00	Abbiamo, forse, fatto scendere su di loro un'autorità che dia loro ragione di ciò che Gli associano?
036_00	Quando gratifichiamo gli uomini di una misericordia, se ne rallegrano. Se poi, li coglie una disgrazia per ciò che le loro mani hanno perpetrato, ecco che se ne disperano.
037_00	Non hanno visto che Allah dona con larghezza a chi vuole e lesina anche? Questi sono segni per coloro che credono.
038_00	Riconosci il loro diritto al parente, al povero e al viandante diseredato. Questo è il bene per coloro che bramano il volto di Allah: questi sono coloro che prospereranno.
039_00	Ciò che concedete in usura, affinché aumenti a detrimento dei beni altrui, non li aumenta affatto presso Allah.
039_01	Quello che invece date in elemosina bramando il volto di Allah, ecco quel che raddoppierà.
040_00	Allah è Colui Che vi ha creati, poi vi ha nutriti, poi vi darà la morte e quindi vi darà la vita.
040_01	C'è una delle vostre divinità che faccia qualcuna di queste cose? Gloria a Lui! Egli è ben più alto di ciò che Gli associano.
041_00	La corruzione è apparsa sulla terra e nel mare a causa di ciò che hanno commesso le mani degli uomini, affinché Allah faccia gustare parte di quello che hanno fatto. Forse ritorneranno [sui loro passi]?
042_00	Di': “Percorrete la terra e considerate ciò che è avvenuto a coloro che vi hanno preceduto. La maggior parte di loro erano associatori”.
043_00	Rivolgi il tuo volto alla vera religione, prima che da Allah venga un Giorno che non sarà possibile respingere. In quel Giorno saranno separati:
044_00	chi sarà stato miscredente, la sua miscredenza gli si rivolgerà contro. Quanto a chi avrà compiuto il bene, è per se stesso che avrà preparato.
045_00	Così Allah ricompenserà con la Sua grazia coloro che hanno creduto e compiuto il bene. In verità Egli non ama i miscredenti.
046_00	E fa parte dei Suoi segni mandare i venti come nunzi per farvi gustare la Sua misericordia e far navigare la nave al Suo comando, sì che possiate procurarvi la Sua grazia. Forse sarete riconoscenti.
047_00	Già mandammo, prima di te, messaggeri ai loro popoli. E si recarono loro con prove evidenti. Poi ci vendicammo di quelli che commettevano crimini:
047_01	Nostra cura è soccorrere i credenti.
048_00	Allah è Colui Che invia i venti che sollevano una nuvola; la distende poi nel cielo come vuole e la frantuma, e vedi allora le gocce uscire dai suoi recessi.
048_01	Quando poi ha fatto sì che cadano su chi vuole tra i Suoi servitori, questi ne traggono lieta novella,
049_00	anche se, prima che cadessero su di loro, erano disperati.
050_00	Considera le tracce della misericordia di Allah, come Egli ridà la vita ad una terra, dopo che era morta. Egli è Colui Che fa rivivere i morti. Egli è onnipotente.
051_00	Se inviassimo loro un vento che ingiallisse [le coltivazioni], rimarrebbero ingrati.
052_00	Tu non potrai far sì che sentano i morti o far sì che i sordi sentano il richiamo quando ti volgono le spalle.
053_00	Non sei tu a guidare i ciechi dal loro obnubilamento: solo potrai far udire quelli che credono nei Nostri segni e sono sottomessi.
054_00	Allah è Colui Che vi ha creati deboli, e quindi dopo la debolezza vi ha dato la forza, e dopo la forza vi riduce alla debolezza e alla vecchiaia.
054_01	Egli crea quello che vuole, Egli è il Sapiente, il Potente.
055_00	Il Giorno in cui sorgerà l'Ora, giureranno i criminali di non essere rimasti che un'ora. Già mentivano [sulla terra].
056_00	Mentre coloro cui fu data la scienza e la fede diranno: “Voi rimaneste, [com'è stabilito] nel Libro di Allah, fino al Giorno della Resurrezione:
056_01	ecco il Giorno della Resurrezione, ma voi nulla sapete”.
057_00	In quel Giorno le scuse saranno inutili a coloro che furono ingiusti: non saranno ascoltati.
058_00	In questo Corano abbiamo proposto agli uomini ogni specie di metafora. Quando però porti loro un segno, i miscredenti diranno: “Non siete altro che impostori”.
059_00	Così Allah sigilla i cuori di coloro che nulla conoscono.
060_00	Sopporta dunque con pazienza [o Muhammad]. La promessa di Allah è veritiera e non ti rendano leggero, coloro che non hanno certezza.
